game,2019,12,20191124,201911240cle,mia,"Miami Dolphins",24,cle,"Cleveland Browns",41
team,201911240cle,mia,First Downs,22,,,,,,
team,201911240cle,cle,First Downs,30,,,,,,
team,201911240cle,mia,Rush-Yds-TDs,20-92-1,,,,,,
team,201911240cle,cle,Rush-Yds-TDs,32-147-2,,,,,,
team,201911240cle,mia,Cmp-Att-Yd-TD-INT,21-39-214-2-2,,,,,,
team,201911240cle,cle,Cmp-Att-Yd-TD-INT,24-34-327-3-1,,,,,,
team,201911240cle,mia,Sacked-Yards,4-22,,,,,,
team,201911240cle,cle,Sacked-Yards,1-7,,,,,,
team,201911240cle,mia,Net Pass Yards,192,,,,,,
team,201911240cle,cle,Net Pass Yards,320,,,,,,
team,201911240cle,mia,Total Yards,284,,,,,,
team,201911240cle,cle,Total Yards,467,,,,,,
team,201911240cle,mia,Fumbles-Lost,1-0,,,,,,
team,201911240cle,cle,Fumbles-Lost,2-0,,,,,,
team,201911240cle,mia,Turnovers,2,,,,,,
team,201911240cle,cle,Turnovers,1,,,,,,
team,201911240cle,mia,Penalties-Yards,8-94,,,,,,
team,201911240cle,cle,Penalties-Yards,7-70,,,,,,
team,201911240cle,mia,Third Down Conv.,6-14,,,,,,
team,201911240cle,cle,Third Down Conv.,4-8,,,,,,
team,201911240cle,mia,Fourth Down Conv.,0-1,,,,,,
team,201911240cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201911240cle,mia,Time of Possession,23:54,,,,,,
team,201911240cle,cle,Time of Possession,36:06,,,,,,
player,201911240cle,mia,FitzRy00,pass_cmp,21,,,,,
player,201911240cle,mia,FitzRy00,pass_att,39,,,,,
player,201911240cle,mia,FitzRy00,pass_yds,214,,,,,
player,201911240cle,mia,FitzRy00,pass_td,2,,,,,
player,201911240cle,mia,FitzRy00,pass_int,2,,,,,
player,201911240cle,mia,FitzRy00,pass_sacked,4,,,,,
player,201911240cle,mia,FitzRy00,pass_sacked_yds,22,,,,,
player,201911240cle,mia,FitzRy00,pass_long,22,,,,,
player,201911240cle,mia,FitzRy00,pass_rating,65.5,,,,,
player,201911240cle,mia,FitzRy00,rush_att,5,,,,,
player,201911240cle,mia,FitzRy00,rush_yds,45,,,,,
player,201911240cle,mia,FitzRy00,rush_td,1,,,,,
player,201911240cle,mia,FitzRy00,rush_long,17,,,,,
player,201911240cle,mia,FitzRy00,targets,0,,,,,
player,201911240cle,mia,FitzRy00,rec,0,,,,,
player,201911240cle,mia,FitzRy00,rec_yds,0,,,,,
player,201911240cle,mia,FitzRy00,rec_td,0,,,,,
player,201911240cle,mia,FitzRy00,rec_long,0,,,,,
player,201911240cle,mia,FitzRy00,fumbles,1,,,,,
player,201911240cle,mia,FitzRy00,fumbles_lost,0,,,,,
player,201911240cle,mia,LairPa00,pass_cmp,0,,,,,
player,201911240cle,mia,LairPa00,pass_att,0,,,,,
player,201911240cle,mia,LairPa00,pass_yds,0,,,,,
player,201911240cle,mia,LairPa00,pass_td,0,,,,,
player,201911240cle,mia,LairPa00,pass_int,0,,,,,
player,201911240cle,mia,LairPa00,pass_sacked,0,,,,,
player,201911240cle,mia,LairPa00,pass_sacked_yds,0,,,,,
player,201911240cle,mia,LairPa00,pass_long,0,,,,,
player,201911240cle,mia,LairPa00,pass_rating,,,,,,
player,201911240cle,mia,LairPa00,rush_att,3,,,,,
player,201911240cle,mia,LairPa00,rush_yds,20,,,,,
player,201911240cle,mia,LairPa00,rush_td,0,,,,,
player,201911240cle,mia,LairPa00,rush_long,13,,,,,
player,201911240cle,mia,LairPa00,targets,1,,,,,
player,201911240cle,mia,LairPa00,rec,0,,,,,
player,201911240cle,mia,LairPa00,rec_yds,0,,,,,
player,201911240cle,mia,LairPa00,rec_td,0,,,,,
player,201911240cle,mia,LairPa00,rec_long,0,,,,,
player,201911240cle,mia,LairPa00,fumbles,0,,,,,
player,201911240cle,mia,LairPa00,fumbles_lost,0,,,,,
player,201911240cle,mia,BallKa00,pass_cmp,0,,,,,
player,201911240cle,mia,BallKa00,pass_att,0,,,,,
player,201911240cle,mia,BallKa00,pass_yds,0,,,,,
player,201911240cle,mia,BallKa00,pass_td,0,,,,,
player,201911240cle,mia,BallKa00,pass_int,0,,,,,
player,201911240cle,mia,BallKa00,pass_sacked,0,,,,,
player,201911240cle,mia,BallKa00,pass_sacked_yds,0,,,,,
player,201911240cle,mia,BallKa00,pass_long,0,,,,,
player,201911240cle,mia,BallKa00,pass_rating,,,,,,
player,201911240cle,mia,BallKa00,rush_att,7,,,,,
player,201911240cle,mia,BallKa00,rush_yds,13,,,,,
player,201911240cle,mia,BallKa00,rush_td,0,,,,,
player,201911240cle,mia,BallKa00,rush_long,4,,,,,
player,201911240cle,mia,BallKa00,targets,1,,,,,
player,201911240cle,mia,BallKa00,rec,1,,,,,
player,201911240cle,mia,BallKa00,rec_yds,13,,,,,
player,201911240cle,mia,BallKa00,rec_td,0,,,,,
player,201911240cle,mia,BallKa00,rec_long,13,,,,,
player,201911240cle,mia,BallKa00,fumbles,0,,,,,
player,201911240cle,mia,BallKa00,fumbles_lost,0,,,,,
player,201911240cle,mia,GaskMy00,pass_cmp,0,,,,,
player,201911240cle,mia,GaskMy00,pass_att,0,,,,,
player,201911240cle,mia,GaskMy00,pass_yds,0,,,,,
player,201911240cle,mia,GaskMy00,pass_td,0,,,,,
player,201911240cle,mia,GaskMy00,pass_int,0,,,,,
player,201911240cle,mia,GaskMy00,pass_sacked,0,,,,,
player,201911240cle,mia,GaskMy00,pass_sacked_yds,0,,,,,
player,201911240cle,mia,GaskMy00,pass_long,0,,,,,
player,201911240cle,mia,GaskMy00,pass_rating,,,,,,
player,201911240cle,mia,GaskMy00,rush_att,4,,,,,
player,201911240cle,mia,GaskMy00,rush_yds,10,,,,,
player,201911240cle,mia,GaskMy00,rush_td,0,,,,,
player,201911240cle,mia,GaskMy00,rush_long,4,,,,,
player,201911240cle,mia,GaskMy00,targets,1,,,,,
player,201911240cle,mia,GaskMy00,rec,1,,,,,
player,201911240cle,mia,GaskMy00,rec_yds,7,,,,,
player,201911240cle,mia,GaskMy00,rec_td,0,,,,,
player,201911240cle,mia,GaskMy00,rec_long,7,,,,,
player,201911240cle,mia,GaskMy00,fumbles,0,,,,,
player,201911240cle,mia,GaskMy00,fumbles_lost,0,,,,,
player,201911240cle,mia,WilsAl02,pass_cmp,0,,,,,
player,201911240cle,mia,WilsAl02,pass_att,0,,,,,
player,201911240cle,mia,WilsAl02,pass_yds,0,,,,,
player,201911240cle,mia,WilsAl02,pass_td,0,,,,,
player,201911240cle,mia,WilsAl02,pass_int,0,,,,,
player,201911240cle,mia,WilsAl02,pass_sacked,0,,,,,
player,201911240cle,mia,WilsAl02,pass_sacked_yds,0,,,,,
player,201911240cle,mia,WilsAl02,pass_long,0,,,,,
player,201911240cle,mia,WilsAl02,pass_rating,,,,,,
player,201911240cle,mia,WilsAl02,rush_att,1,,,,,
player,201911240cle,mia,WilsAl02,rush_yds,4,,,,,
player,201911240cle,mia,WilsAl02,rush_td,0,,,,,
player,201911240cle,mia,WilsAl02,rush_long,4,,,,,
player,201911240cle,mia,WilsAl02,targets,7,,,,,
player,201911240cle,mia,WilsAl02,rec,6,,,,,
player,201911240cle,mia,WilsAl02,rec_yds,33,,,,,
player,201911240cle,mia,WilsAl02,rec_td,0,,,,,
player,201911240cle,mia,WilsAl02,rec_long,16,,,,,
player,201911240cle,mia,WilsAl02,fumbles,0,,,,,
player,201911240cle,mia,WilsAl02,fumbles_lost,0,,,,,
player,201911240cle,mia,ParkDe01,pass_cmp,0,,,,,
player,201911240cle,mia,ParkDe01,pass_att,0,,,,,
player,201911240cle,mia,ParkDe01,pass_yds,0,,,,,
player,201911240cle,mia,ParkDe01,pass_td,0,,,,,
player,201911240cle,mia,ParkDe01,pass_int,0,,,,,
player,201911240cle,mia,ParkDe01,pass_sacked,0,,,,,
player,201911240cle,mia,ParkDe01,pass_sacked_yds,0,,,,,
player,201911240cle,mia,ParkDe01,pass_long,0,,,,,
player,201911240cle,mia,ParkDe01,pass_rating,,,,,,
player,201911240cle,mia,ParkDe01,rush_att,0,,,,,
player,201911240cle,mia,ParkDe01,rush_yds,0,,,,,
player,201911240cle,mia,ParkDe01,rush_td,0,,,,,
player,201911240cle,mia,ParkDe01,rush_long,0,,,,,
player,201911240cle,mia,ParkDe01,targets,11,,,,,
player,201911240cle,mia,ParkDe01,rec,6,,,,,
player,201911240cle,mia,ParkDe01,rec_yds,91,,,,,
player,201911240cle,mia,ParkDe01,rec_td,0,,,,,
player,201911240cle,mia,ParkDe01,rec_long,22,,,,,
player,201911240cle,mia,ParkDe01,fumbles,0,,,,,
player,201911240cle,mia,ParkDe01,fumbles_lost,0,,,,,
player,201911240cle,mia,HurnAl01,pass_cmp,0,,,,,
player,201911240cle,mia,HurnAl01,pass_att,0,,,,,
player,201911240cle,mia,HurnAl01,pass_yds,0,,,,,
player,201911240cle,mia,HurnAl01,pass_td,0,,,,,
player,201911240cle,mia,HurnAl01,pass_int,0,,,,,
player,201911240cle,mia,HurnAl01,pass_sacked,0,,,,,
