game,2019,3,20190922,201909220crd,car,"Carolina Panthers",38,crd,"Arizona Cardinals",20
team,201909220crd,car,First Downs,21,,,,,,
team,201909220crd,crd,First Downs,21,,,,,,
team,201909220crd,car,Rush-Yds-TDs,31-173-1,,,,,,
team,201909220crd,crd,Rush-Yds-TDs,22-121-0,,,,,,
team,201909220crd,car,Cmp-Att-Yd-TD-INT,19-26-261-4-0,,,,,,
team,201909220crd,crd,Cmp-Att-Yd-TD-INT,30-43-173-2-2,,,,,,
team,201909220crd,car,Sacked-Yards,2-21,,,,,,
team,201909220crd,crd,Sacked-Yards,8-46,,,,,,
team,201909220crd,car,Net Pass Yards,240,,,,,,
team,201909220crd,crd,Net Pass Yards,127,,,,,,
team,201909220crd,car,Total Yards,413,,,,,,
team,201909220crd,crd,Total Yards,248,,,,,,
team,201909220crd,car,Fumbles-Lost,2-1,,,,,,
team,201909220crd,crd,Fumbles-Lost,0-0,,,,,,
team,201909220crd,car,Turnovers,1,,,,,,
team,201909220crd,crd,Turnovers,2,,,,,,
team,201909220crd,car,Penalties-Yards,3-35,,,,,,
team,201909220crd,crd,Penalties-Yards,7-52,,,,,,
team,201909220crd,car,Third Down Conv.,4-10,,,,,,
team,201909220crd,crd,Third Down Conv.,9-17,,,,,,
team,201909220crd,car,Fourth Down Conv.,0-0,,,,,,
team,201909220crd,crd,Fourth Down Conv.,1-1,,,,,,
team,201909220crd,car,Time of Possession,28:16,,,,,,
team,201909220crd,crd,Time of Possession,31:44,,,,,,
player,201909220crd,car,AlleKy00,pass_cmp,19,,,,,
player,201909220crd,car,AlleKy00,pass_att,26,,,,,
player,201909220crd,car,AlleKy00,pass_yds,261,,,,,
player,201909220crd,car,AlleKy00,pass_td,4,,,,,
player,201909220crd,car,AlleKy00,pass_int,0,,,,,
player,201909220crd,car,AlleKy00,pass_sacked,2,,,,,
player,201909220crd,car,AlleKy00,pass_sacked_yds,21,,,,,
player,201909220crd,car,AlleKy00,pass_long,52,,,,,
player,201909220crd,car,AlleKy00,pass_rating,144.4,,,,,
player,201909220crd,car,AlleKy00,rush_att,3,,,,,
player,201909220crd,car,AlleKy00,rush_yds,-1,,,,,
player,201909220crd,car,AlleKy00,rush_td,0,,,,,
player,201909220crd,car,AlleKy00,rush_long,1,,,,,
player,201909220crd,car,AlleKy00,targets,0,,,,,
player,201909220crd,car,AlleKy00,rec,0,,,,,
player,201909220crd,car,AlleKy00,rec_yds,0,,,,,
player,201909220crd,car,AlleKy00,rec_td,0,,,,,
player,201909220crd,car,AlleKy00,rec_long,0,,,,,
player,201909220crd,car,AlleKy00,fumbles,2,,,,,
player,201909220crd,car,AlleKy00,fumbles_lost,1,,,,,
player,201909220crd,car,McCaCh01,pass_cmp,0,,,,,
player,201909220crd,car,McCaCh01,pass_att,0,,,,,
player,201909220crd,car,McCaCh01,pass_yds,0,,,,,
player,201909220crd,car,McCaCh01,pass_td,0,,,,,
player,201909220crd,car,McCaCh01,pass_int,0,,,,,
player,201909220crd,car,McCaCh01,pass_sacked,0,,,,,
player,201909220crd,car,McCaCh01,pass_sacked_yds,0,,,,,
player,201909220crd,car,McCaCh01,pass_long,0,,,,,
player,201909220crd,car,McCaCh01,pass_rating,,,,,,
player,201909220crd,car,McCaCh01,rush_att,24,,,,,
player,201909220crd,car,McCaCh01,rush_yds,153,,,,,
player,201909220crd,car,McCaCh01,rush_td,1,,,,,
player,201909220crd,car,McCaCh01,rush_long,76,,,,,
player,201909220crd,car,McCaCh01,targets,4,,,,,
player,201909220crd,car,McCaCh01,rec,3,,,,,
player,201909220crd,car,McCaCh01,rec_yds,35,,,,,
player,201909220crd,car,McCaCh01,rec_td,0,,,,,
player,201909220crd,car,McCaCh01,rec_long,18,,,,,
player,201909220crd,car,McCaCh01,fumbles,0,,,,,
player,201909220crd,car,McCaCh01,fumbles_lost,0,,,,,
player,201909220crd,car,MoorD.00,pass_cmp,0,,,,,
player,201909220crd,car,MoorD.00,pass_att,0,,,,,
player,201909220crd,car,MoorD.00,pass_yds,0,,,,,
player,201909220crd,car,MoorD.00,pass_td,0,,,,,
player,201909220crd,car,MoorD.00,pass_int,0,,,,,
player,201909220crd,car,MoorD.00,pass_sacked,0,,,,,
player,201909220crd,car,MoorD.00,pass_sacked_yds,0,,,,,
player,201909220crd,car,MoorD.00,pass_long,0,,,,,
player,201909220crd,car,MoorD.00,pass_rating,,,,,,
player,201909220crd,car,MoorD.00,rush_att,1,,,,,
player,201909220crd,car,MoorD.00,rush_yds,12,,,,,
player,201909220crd,car,MoorD.00,rush_td,0,,,,,
player,201909220crd,car,MoorD.00,rush_long,12,,,,,
player,201909220crd,car,MoorD.00,targets,2,,,,,
player,201909220crd,car,MoorD.00,rec,1,,,,,
player,201909220crd,car,MoorD.00,rec_yds,52,,,,,
player,201909220crd,car,MoorD.00,rec_td,1,,,,,
player,201909220crd,car,MoorD.00,rec_long,52,,,,,
player,201909220crd,car,MoorD.00,fumbles,0,,,,,
player,201909220crd,car,MoorD.00,fumbles_lost,0,,,,,
player,201909220crd,car,BonnRe00,pass_cmp,0,,,,,
player,201909220crd,car,BonnRe00,pass_att,0,,,,,
player,201909220crd,car,BonnRe00,pass_yds,0,,,,,
player,201909220crd,car,BonnRe00,pass_td,0,,,,,
player,201909220crd,car,BonnRe00,pass_int,0,,,,,
player,201909220crd,car,BonnRe00,pass_sacked,0,,,,,
player,201909220crd,car,BonnRe00,pass_sacked_yds,0,,,,,
player,201909220crd,car,BonnRe00,pass_long,0,,,,,
player,201909220crd,car,BonnRe00,pass_rating,,,,,,
player,201909220crd,car,BonnRe00,rush_att,2,,,,,
player,201909220crd,car,BonnRe00,rush_yds,5,,,,,
player,201909220crd,car,BonnRe00,rush_td,0,,,,,
player,201909220crd,car,BonnRe00,rush_long,4,,,,,
player,201909220crd,car,BonnRe00,targets,0,,,,,
player,201909220crd,car,BonnRe00,rec,0,,,,,
player,201909220crd,car,BonnRe00,rec_yds,0,,,,,
