game,2019,17,20191229,201912290car,nor,"New Orleans Saints",42,car,"Carolina Panthers",10
team,201912290car,nor,First Downs,25,,,,,,
team,201912290car,car,First Downs,16,,,,,,
team,201912290car,nor,Rush-Yds-TDs,35-115-2,,,,,,
team,201912290car,car,Rush-Yds-TDs,18-41-1,,,,,,
team,201912290car,nor,Cmp-Att-Yd-TD-INT,20-31-267-3-0,,,,,,
team,201912290car,car,Cmp-Att-Yd-TD-INT,26-49-299-0-2,,,,,,
team,201912290car,nor,Sacked-Yards,1-3,,,,,,
team,201912290car,car,Sacked-Yards,2-11,,,,,,
team,201912290car,nor,Net Pass Yards,264,,,,,,
team,201912290car,car,Net Pass Yards,288,,,,,,
team,201912290car,nor,Total Yards,379,,,,,,
team,201912290car,car,Total Yards,329,,,,,,
team,201912290car,nor,Fumbles-Lost,0-0,,,,,,
team,201912290car,car,Fumbles-Lost,1-1,,,,,,
team,201912290car,nor,Turnovers,0,,,,,,
team,201912290car,car,Turnovers,3,,,,,,
team,201912290car,nor,Penalties-Yards,3-44,,,,,,
team,201912290car,car,Penalties-Yards,5-54,,,,,,
team,201912290car,nor,Third Down Conv.,4-11,,,,,,
team,201912290car,car,Third Down Conv.,5-16,,,,,,
team,201912290car,nor,Fourth Down Conv.,0-0,,,,,,
team,201912290car,car,Fourth Down Conv.,1-2,,,,,,
team,201912290car,nor,Time of Possession,35:40,,,,,,
team,201912290car,car,Time of Possession,24:20,,,,,,
player,201912290car,nor,BreeDr00,pass_cmp,19,,,,,
player,201912290car,nor,BreeDr00,pass_att,30,,,,,
player,201912290car,nor,BreeDr00,pass_yds,253,,,,,
player,201912290car,nor,BreeDr00,pass_td,3,,,,,
player,201912290car,nor,BreeDr00,pass_int,0,,,,,
player,201912290car,nor,BreeDr00,pass_sacked,0,,,,,
player,201912290car,nor,BreeDr00,pass_sacked_yds,0,,,,,
player,201912290car,nor,BreeDr00,pass_long,45,,,,,
player,201912290car,nor,BreeDr00,pass_rating,123.3,,,,,
player,201912290car,nor,BreeDr00,rush_att,1,,,,,
player,201912290car,nor,BreeDr00,rush_yds,-1,,,,,
player,201912290car,nor,BreeDr00,rush_td,0,,,,,
player,201912290car,nor,BreeDr00,rush_long,-1,,,,,
player,201912290car,nor,BreeDr00,targets,0,,,,,
player,201912290car,nor,BreeDr00,rec,0,,,,,
player,201912290car,nor,BreeDr00,rec_yds,0,,,,,
player,201912290car,nor,BreeDr00,rec_td,0,,,,,
player,201912290car,nor,BreeDr00,rec_long,0,,,,,
player,201912290car,nor,BreeDr00,fumbles,0,,,,,
player,201912290car,nor,BreeDr00,fumbles_lost,0,,,,,
player,201912290car,nor,BridTe00,pass_cmp,1,,,,,
player,201912290car,nor,BridTe00,pass_att,1,,,,,
player,201912290car,nor,BridTe00,pass_yds,14,,,,,
