game,2019,8,20191027,201910270clt,den,"Denver Broncos",13,clt,"Indianapolis Colts",15
team,201910270clt,den,First Downs,21,,,,,,
team,201910270clt,clt,First Downs,19,,,,,,
team,201910270clt,den,Rush-Yds-TDs,28-113-1,,,,,,
team,201910270clt,clt,Rush-Yds-TDs,31-127-1,,,,,,
team,201910270clt,den,Cmp-Att-Yd-TD-INT,20-32-174-0-0,,,,,,
team,201910270clt,clt,Cmp-Att-Yd-TD-INT,15-25-202-0-0,,,,,,
team,201910270clt,den,Sacked-Yards,3-8,,,,,,
team,201910270clt,clt,Sacked-Yards,4-11,,,,,,
team,201910270clt,den,Net Pass Yards,166,,,,,,
team,201910270clt,clt,Net Pass Yards,191,,,,,,
team,201910270clt,den,Total Yards,279,,,,,,
team,201910270clt,clt,Total Yards,318,,,,,,
team,201910270clt,den,Fumbles-Lost,1-0,,,,,,
team,201910270clt,clt,Fumbles-Lost,2-1,,,,,,
team,201910270clt,den,Turnovers,0,,,,,,
team,201910270clt,clt,Turnovers,1,,,,,,
team,201910270clt,den,Penalties-Yards,10-88,,,,,,
team,201910270clt,clt,Penalties-Yards,10-103,,,,,,
team,201910270clt,den,Third Down Conv.,2-12,,,,,,
team,201910270clt,clt,Third Down Conv.,4-12,,,,,,
team,201910270clt,den,Fourth Down Conv.,0-0,,,,,,
team,201910270clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201910270clt,den,Time of Possession,30:44,,,,,,
team,201910270clt,clt,Time of Possession,29:16,,,,,,
player,201910270clt,den,FlacJo00,pass_cmp,20,,,,,
player,201910270clt,den,FlacJo00,pass_att,32,,,,,
player,201910270clt,den,FlacJo00,pass_yds,174,,,,,
player,201910270clt,den,FlacJo00,pass_td,0,,,,,
player,201910270clt,den,FlacJo00,pass_int,0,,,,,
player,201910270clt,den,FlacJo00,pass_sacked,3,,,,,
player,201910270clt,den,FlacJo00,pass_sacked_yds,8,,,,,
player,201910270clt,den,FlacJo00,pass_long,33,,,,,
