game,2019,16,20191222,201912220clt,car,"Carolina Panthers",6,clt,"Indianapolis Colts",38
team,201912220clt,car,First Downs,19,,,,,,
team,201912220clt,clt,First Downs,25,,,,,,
team,201912220clt,car,Rush-Yds-TDs,21-87-0,,,,,,
team,201912220clt,clt,Rush-Yds-TDs,32-218-3,,,,,,
team,201912220clt,car,Cmp-Att-Yd-TD-INT,28-45-236-0-3,,,,,,
team,201912220clt,clt,Cmp-Att-Yd-TD-INT,14-27-119-0-0,,,,,,
team,201912220clt,car,Sacked-Yards,5-37,,,,,,
team,201912220clt,clt,Sacked-Yards,3-13,,,,,,
team,201912220clt,car,Net Pass Yards,199,,,,,,
team,201912220clt,clt,Net Pass Yards,106,,,,,,
team,201912220clt,car,Total Yards,286,,,,,,
team,201912220clt,clt,Total Yards,324,,,,,,
team,201912220clt,car,Fumbles-Lost,0-0,,,,,,
team,201912220clt,clt,Fumbles-Lost,0-0,,,,,,
team,201912220clt,car,Turnovers,3,,,,,,
team,201912220clt,clt,Turnovers,0,,,,,,
team,201912220clt,car,Penalties-Yards,6-46,,,,,,
team,201912220clt,clt,Penalties-Yards,0-0,,,,,,
team,201912220clt,car,Third Down Conv.,4-14,,,,,,
team,201912220clt,clt,Third Down Conv.,4-11,,,,,,
team,201912220clt,car,Fourth Down Conv.,2-4,,,,,,
team,201912220clt,clt,Fourth Down Conv.,1-2,,,,,,
team,201912220clt,car,Time of Possession,32:21,,,,,,
team,201912220clt,clt,Time of Possession,27:39,,,,,,
player,201912220clt,car,GrieWi00,pass_cmp,27,,,,,
player,201912220clt,car,GrieWi00,pass_att,44,,,,,
player,201912220clt,car,GrieWi00,pass_yds,224,,,,,
player,201912220clt,car,GrieWi00,pass_td,0,,,,,
player,201912220clt,car,GrieWi00,pass_int,3,,,,,
player,201912220clt,car,GrieWi00,pass_sacked,5,,,,,
player,201912220clt,car,GrieWi00,pass_sacked_yds,37,,,,,
player,201912220clt,car,GrieWi00,pass_long,28,,,,,
player,201912220clt,car,GrieWi00,pass_rating,46.0,,,,,
player,201912220clt,car,GrieWi00,rush_att,4,,,,,
player,201912220clt,car,GrieWi00,rush_yds,17,,,,,
player,201912220clt,car,GrieWi00,rush_td,0,,,,,
player,201912220clt,car,GrieWi00,rush_long,11,,,,,
player,201912220clt,car,GrieWi00,targets,0,,,,,
player,201912220clt,car,GrieWi00,rec,0,,,,,
player,201912220clt,car,GrieWi00,rec_yds,0,,,,,
player,201912220clt,car,GrieWi00,rec_td,0,,,,,
player,201912220clt,car,GrieWi00,rec_long,0,,,,,
player,201912220clt,car,GrieWi00,fumbles,0,,,,,
player,201912220clt,car,GrieWi00,fumbles_lost,0,,,,,
player,201912220clt,car,PalaMi00,pass_cmp,1,,,,,
player,201912220clt,car,PalaMi00,pass_att,1,,,,,
player,201912220clt,car,PalaMi00,pass_yds,12,,,,,
player,201912220clt,car,PalaMi00,pass_td,0,,,,,
player,201912220clt,car,PalaMi00,pass_int,0,,,,,
player,201912220clt,car,PalaMi00,pass_sacked,0,,,,,
player,201912220clt,car,PalaMi00,pass_sacked_yds,0,,,,,
player,201912220clt,car,PalaMi00,pass_long,12,,,,,
player,201912220clt,car,PalaMi00,pass_rating,116.7,,,,,
player,201912220clt,car,PalaMi00,rush_att,0,,,,,
player,201912220clt,car,PalaMi00,rush_yds,0,,,,,
player,201912220clt,car,PalaMi00,rush_td,0,,,,,
player,201912220clt,car,PalaMi00,rush_long,0,,,,,
player,201912220clt,car,PalaMi00,targets,0,,,,,
player,201912220clt,car,PalaMi00,rec,0,,,,,
player,201912220clt,car,PalaMi00,rec_yds,0,,,,,
player,201912220clt,car,PalaMi00,rec_td,0,,,,,
player,201912220clt,car,PalaMi00,rec_long,0,,,,,
player,201912220clt,car,PalaMi00,fumbles,0,,,,,
player,201912220clt,car,PalaMi00,fumbles_lost,0,,,,,
player,201912220clt,car,McCaCh01,pass_cmp,0,,,,,
player,201912220clt,car,McCaCh01,pass_att,0,,,,,
player,201912220clt,car,McCaCh01,pass_yds,0,,,,,
player,201912220clt,car,McCaCh01,pass_td,0,,,,,
player,201912220clt,car,McCaCh01,pass_int,0,,,,,
player,201912220clt,car,McCaCh01,pass_sacked,0,,,,,
player,201912220clt,car,McCaCh01,pass_sacked_yds,0,,,,,
player,201912220clt,car,McCaCh01,pass_long,0,,,,,
player,201912220clt,car,McCaCh01,pass_rating,,,,,,
player,201912220clt,car,McCaCh01,rush_att,13,,,,,
player,201912220clt,car,McCaCh01,rush_yds,54,,,,,
player,201912220clt,car,McCaCh01,rush_td,0,,,,,
player,201912220clt,car,McCaCh01,rush_long,14,,,,,
player,201912220clt,car,McCaCh01,targets,15,,,,,
player,201912220clt,car,McCaCh01,rec,15,,,,,
player,201912220clt,car,McCaCh01,rec_yds,119,,,,,
player,201912220clt,car,McCaCh01,rec_td,0,,,,,
player,201912220clt,car,McCaCh01,rec_long,13,,,,,
player,201912220clt,car,McCaCh01,fumbles,0,,,,,
player,201912220clt,car,McCaCh01,fumbles_lost,0,,,,,
player,201912220clt,car,BonnRe00,pass_cmp,0,,,,,
player,201912220clt,car,BonnRe00,pass_att,0,,,,,
player,201912220clt,car,BonnRe00,pass_yds,0,,,,,
player,201912220clt,car,BonnRe00,pass_td,0,,,,,
player,201912220clt,car,BonnRe00,pass_int,0,,,,,
player,201912220clt,car,BonnRe00,pass_sacked,0,,,,,
player,201912220clt,car,BonnRe00,pass_sacked_yds,0,,,,,
player,201912220clt,car,BonnRe00,pass_long,0,,,,,
player,201912220clt,car,BonnRe00,pass_rating,,,,,,
player,201912220clt,car,BonnRe00,rush_att,2,,,,,
