game,2019,7,20191020,201910200oti,sdg,"Los Angeles Chargers",20,oti,"Tennessee Titans",23
team,201910200oti,sdg,First Downs,24,,,,,,
team,201910200oti,oti,First Downs,22,,,,,,
team,201910200oti,sdg,Rush-Yds-TDs,21-39-0,,,,,,
team,201910200oti,oti,Rush-Yds-TDs,29-97-1,,,,,,
team,201910200oti,sdg,Cmp-Att-Yd-TD-INT,24-38-329-2-0,,,,,,
team,201910200oti,oti,Cmp-Att-Yd-TD-INT,24-30-323-2-1,,,,,,
team,201910200oti,sdg,Sacked-Yards,1-3,,,,,,
team,201910200oti,oti,Sacked-Yards,2-17,,,,,,
team,201910200oti,sdg,Net Pass Yards,326,,,,,,
team,201910200oti,oti,Net Pass Yards,306,,,,,,
team,201910200oti,sdg,Total Yards,365,,,,,,
team,201910200oti,oti,Total Yards,403,,,,,,
team,201910200oti,sdg,Fumbles-Lost,2-1,,,,,,
team,201910200oti,oti,Fumbles-Lost,2-0,,,,,,
team,201910200oti,sdg,Turnovers,1,,,,,,
team,201910200oti,oti,Turnovers,1,,,,,,
team,201910200oti,sdg,Penalties-Yards,4-29,,,,,,
team,201910200oti,oti,Penalties-Yards,7-54,,,,,,
team,201910200oti,sdg,Third Down Conv.,6-11,,,,,,
team,201910200oti,oti,Third Down Conv.,6-11,,,,,,
team,201910200oti,sdg,Fourth Down Conv.,0-1,,,,,,
team,201910200oti,oti,Fourth Down Conv.,1-2,,,,,,
team,201910200oti,sdg,Time of Possession,27:45,,,,,,
team,201910200oti,oti,Time of Possession,32:15,,,,,,
player,201910200oti,sdg,RivePh00,pass_cmp,24,,,,,
player,201910200oti,sdg,RivePh00,pass_att,38,,,,,
player,201910200oti,sdg,RivePh00,pass_yds,329,,,,,
player,201910200oti,sdg,RivePh00,pass_td,2,,,,,
player,201910200oti,sdg,RivePh00,pass_int,0,,,,,
player,201910200oti,sdg,RivePh00,pass_sacked,1,,,,,
player,201910200oti,sdg,RivePh00,pass_sacked_yds,3,,,,,
player,201910200oti,sdg,RivePh00,pass_long,41,,,,,
player,201910200oti,sdg,RivePh00,pass_rating,108.3,,,,,
player,201910200oti,sdg,RivePh00,rush_att,0,,,,,
player,201910200oti,sdg,RivePh00,rush_yds,0,,,,,
player,201910200oti,sdg,RivePh00,rush_td,0,,,,,
player,201910200oti,sdg,RivePh00,rush_long,0,,,,,
player,201910200oti,sdg,RivePh00,targets,0,,,,,
player,201910200oti,sdg,RivePh00,rec,0,,,,,
player,201910200oti,sdg,RivePh00,rec_yds,0,,,,,
player,201910200oti,sdg,RivePh00,rec_td,0,,,,,
player,201910200oti,sdg,RivePh00,rec_long,0,,,,,
player,201910200oti,sdg,RivePh00,fumbles,0,,,,,
player,201910200oti,sdg,RivePh00,fumbles_lost,0,,,,,
player,201910200oti,sdg,GordMe00,pass_cmp,0,,,,,
player,201910200oti,sdg,GordMe00,pass_att,0,,,,,
player,201910200oti,sdg,GordMe00,pass_yds,0,,,,,
player,201910200oti,sdg,GordMe00,pass_td,0,,,,,
player,201910200oti,sdg,GordMe00,pass_int,0,,,,,
player,201910200oti,sdg,GordMe00,pass_sacked,0,,,,,
player,201910200oti,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201910200oti,sdg,GordMe00,pass_long,0,,,,,
player,201910200oti,sdg,GordMe00,pass_rating,,,,,,
player,201910200oti,sdg,GordMe00,rush_att,16,,,,,
player,201910200oti,sdg,GordMe00,rush_yds,32,,,,,
player,201910200oti,sdg,GordMe00,rush_td,0,,,,,
player,201910200oti,sdg,GordMe00,rush_long,6,,,,,
player,201910200oti,sdg,GordMe00,targets,3,,,,,
player,201910200oti,sdg,GordMe00,rec,2,,,,,
player,201910200oti,sdg,GordMe00,rec_yds,-3,,,,,
player,201910200oti,sdg,GordMe00,rec_td,1,,,,,
player,201910200oti,sdg,GordMe00,rec_long,1,,,,,
