game,2019,1,20190908,201909080car,ram,"Los Angeles Rams",30,car,"Carolina Panthers",27
team,201909080car,ram,First Downs,22,,,,,,
team,201909080car,car,First Downs,21,,,,,,
team,201909080car,ram,Rush-Yds-TDs,32-166-2,,,,,,
team,201909080car,car,Rush-Yds-TDs,23-127-3,,,,,,
team,201909080car,ram,Cmp-Att-Yd-TD-INT,23-39-186-1-1,,,,,,
team,201909080car,car,Cmp-Att-Yd-TD-INT,25-38-239-0-1,,,,,,
team,201909080car,ram,Sacked-Yards,1-3,,,,,,
team,201909080car,car,Sacked-Yards,3-23,,,,,,
team,201909080car,ram,Net Pass Yards,183,,,,,,
team,201909080car,car,Net Pass Yards,216,,,,,,
team,201909080car,ram,Total Yards,349,,,,,,
team,201909080car,car,Total Yards,343,,,,,,
team,201909080car,ram,Fumbles-Lost,1-0,,,,,,
team,201909080car,car,Fumbles-Lost,2-2,,,,,,
team,201909080car,ram,Turnovers,1,,,,,,
team,201909080car,car,Turnovers,3,,,,,,
team,201909080car,ram,Penalties-Yards,5-43,,,,,,
team,201909080car,car,Penalties-Yards,6-46,,,,,,
team,201909080car,ram,Third Down Conv.,9-17,,,,,,
team,201909080car,car,Third Down Conv.,5-11,,,,,,
team,201909080car,ram,Fourth Down Conv.,0-0,,,,,,
team,201909080car,car,Fourth Down Conv.,0-0,,,,,,
team,201909080car,ram,Time of Possession,33:16,,,,,,
team,201909080car,car,Time of Possession,26:44,,,,,,
player,201909080car,ram,GoffJa00,pass_cmp,23,,,,,
player,201909080car,ram,GoffJa00,pass_att,39,,,,,
player,201909080car,ram,GoffJa00,pass_yds,186,,,,,
player,201909080car,ram,GoffJa00,pass_td,1,,,,,
player,201909080car,ram,GoffJa00,pass_int,1,,,,,
player,201909080car,ram,GoffJa00,pass_sacked,1,,,,,
player,201909080car,ram,GoffJa00,pass_sacked_yds,3,,,,,
player,201909080car,ram,GoffJa00,pass_long,24,,,,,
player,201909080car,ram,GoffJa00,pass_rating,69.0,,,,,
player,201909080car,ram,GoffJa00,rush_att,4,,,,,
player,201909080car,ram,GoffJa00,rush_yds,0,,,,,
player,201909080car,ram,GoffJa00,rush_td,0,,,,,
player,201909080car,ram,GoffJa00,rush_long,3,,,,,
player,201909080car,ram,GoffJa00,targets,0,,,,,
player,201909080car,ram,GoffJa00,rec,0,,,,,
player,201909080car,ram,GoffJa00,rec_yds,0,,,,,
player,201909080car,ram,GoffJa00,rec_td,0,,,,,
player,201909080car,ram,GoffJa00,rec_long,0,,,,,
player,201909080car,ram,GoffJa00,fumbles,1,,,,,
player,201909080car,ram,GoffJa00,fumbles_lost,0,,,,,
player,201909080car,ram,GurlTo01,pass_cmp,0,,,,,
player,201909080car,ram,GurlTo01,pass_att,0,,,,,
player,201909080car,ram,GurlTo01,pass_yds,0,,,,,
player,201909080car,ram,GurlTo01,pass_td,0,,,,,
player,201909080car,ram,GurlTo01,pass_int,0,,,,,
player,201909080car,ram,GurlTo01,pass_sacked,0,,,,,
player,201909080car,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201909080car,ram,GurlTo01,pass_long,0,,,,,
player,201909080car,ram,GurlTo01,pass_rating,,,,,,
player,201909080car,ram,GurlTo01,rush_att,14,,,,,
player,201909080car,ram,GurlTo01,rush_yds,97,,,,,
player,201909080car,ram,GurlTo01,rush_td,0,,,,,
player,201909080car,ram,GurlTo01,rush_long,25,,,,,
player,201909080car,ram,GurlTo01,targets,1,,,,,
player,201909080car,ram,GurlTo01,rec,1,,,,,
player,201909080car,ram,GurlTo01,rec_yds,4,,,,,
player,201909080car,ram,GurlTo01,rec_td,0,,,,,
player,201909080car,ram,GurlTo01,rec_long,4,,,,,
player,201909080car,ram,GurlTo01,fumbles,0,,,,,
player,201909080car,ram,GurlTo01,fumbles_lost,0,,,,,
player,201909080car,ram,BrowMa03,pass_cmp,0,,,,,
player,201909080car,ram,BrowMa03,pass_att,0,,,,,
player,201909080car,ram,BrowMa03,pass_yds,0,,,,,
player,201909080car,ram,BrowMa03,pass_td,0,,,,,
player,201909080car,ram,BrowMa03,pass_int,0,,,,,
player,201909080car,ram,BrowMa03,pass_sacked,0,,,,,
player,201909080car,ram,BrowMa03,pass_sacked_yds,0,,,,,
player,201909080car,ram,BrowMa03,pass_long,0,,,,,
player,201909080car,ram,BrowMa03,pass_rating,,,,,,
player,201909080car,ram,BrowMa03,rush_att,11,,,,,
player,201909080car,ram,BrowMa03,rush_yds,53,,,,,
player,201909080car,ram,BrowMa03,rush_td,2,,,,,
player,201909080car,ram,BrowMa03,rush_long,17,,,,,
player,201909080car,ram,BrowMa03,targets,0,,,,,
player,201909080car,ram,BrowMa03,rec,0,,,,,
player,201909080car,ram,BrowMa03,rec_yds,0,,,,,
player,201909080car,ram,BrowMa03,rec_td,0,,,,,
player,201909080car,ram,BrowMa03,rec_long,0,,,,,
player,201909080car,ram,BrowMa03,fumbles,0,,,,,
player,201909080car,ram,BrowMa03,fumbles_lost,0,,,,,
player,201909080car,ram,WoodRo02,pass_cmp,0,,,,,
player,201909080car,ram,WoodRo02,pass_att,0,,,,,
player,201909080car,ram,WoodRo02,pass_yds,0,,,,,
player,201909080car,ram,WoodRo02,pass_td,0,,,,,
player,201909080car,ram,WoodRo02,pass_int,0,,,,,
player,201909080car,ram,WoodRo02,pass_sacked,0,,,,,
player,201909080car,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201909080car,ram,WoodRo02,pass_long,0,,,,,
player,201909080car,ram,WoodRo02,pass_rating,,,,,,
player,201909080car,ram,WoodRo02,rush_att,2,,,,,
player,201909080car,ram,WoodRo02,rush_yds,16,,,,,
player,201909080car,ram,WoodRo02,rush_td,0,,,,,
player,201909080car,ram,WoodRo02,rush_long,20,,,,,
player,201909080car,ram,WoodRo02,targets,13,,,,,
player,201909080car,ram,WoodRo02,rec,8,,,,,
player,201909080car,ram,WoodRo02,rec_yds,70,,,,,
player,201909080car,ram,WoodRo02,rec_td,0,,,,,
player,201909080car,ram,WoodRo02,rec_long,22,,,,,
player,201909080car,ram,WoodRo02,fumbles,0,,,,,
player,201909080car,ram,WoodRo02,fumbles_lost,0,,,,,
player,201909080car,ram,KuppCo00,pass_cmp,0,,,,,
player,201909080car,ram,KuppCo00,pass_att,0,,,,,
player,201909080car,ram,KuppCo00,pass_yds,0,,,,,
player,201909080car,ram,KuppCo00,pass_td,0,,,,,
player,201909080car,ram,KuppCo00,pass_int,0,,,,,
player,201909080car,ram,KuppCo00,pass_sacked,0,,,,,
player,201909080car,ram,KuppCo00,pass_sacked_yds,0,,,,,
player,201909080car,ram,KuppCo00,pass_long,0,,,,,
player,201909080car,ram,KuppCo00,pass_rating,,,,,,
player,201909080car,ram,KuppCo00,rush_att,0,,,,,
player,201909080car,ram,KuppCo00,rush_yds,0,,,,,
player,201909080car,ram,KuppCo00,rush_td,0,,,,,
player,201909080car,ram,KuppCo00,rush_long,0,,,,,
player,201909080car,ram,KuppCo00,targets,10,,,,,
player,201909080car,ram,KuppCo00,rec,7,,,,,
player,201909080car,ram,KuppCo00,rec_yds,46,,,,,
player,201909080car,ram,KuppCo00,rec_td,0,,,,,
player,201909080car,ram,KuppCo00,rec_long,10,,,,,
player,201909080car,ram,KuppCo00,fumbles,0,,,,,
player,201909080car,ram,KuppCo00,fumbles_lost,0,,,,,
player,201909080car,ram,CookBr00,pass_cmp,0,,,,,
player,201909080car,ram,CookBr00,pass_att,0,,,,,
player,201909080car,ram,CookBr00,pass_yds,0,,,,,
player,201909080car,ram,CookBr00,pass_td,0,,,,,
player,201909080car,ram,CookBr00,pass_int,0,,,,,
player,201909080car,ram,CookBr00,pass_sacked,0,,,,,
player,201909080car,ram,CookBr00,pass_sacked_yds,0,,,,,
player,201909080car,ram,CookBr00,pass_long,0,,,,,
player,201909080car,ram,CookBr00,pass_rating,,,,,,
player,201909080car,ram,CookBr00,rush_att,0,,,,,
player,201909080car,ram,CookBr00,rush_yds,0,,,,,
player,201909080car,ram,CookBr00,rush_td,0,,,,,
player,201909080car,ram,CookBr00,rush_long,0,,,,,
player,201909080car,ram,CookBr00,targets,6,,,,,
player,201909080car,ram,CookBr00,rec,2,,,,,
player,201909080car,ram,CookBr00,rec_yds,39,,,,,
player,201909080car,ram,CookBr00,rec_td,0,,,,,
player,201909080car,ram,CookBr00,rec_long,24,,,,,
player,201909080car,ram,CookBr00,fumbles,0,,,,,
player,201909080car,ram,CookBr00,fumbles_lost,0,,,,,
player,201909080car,ram,HigbTy00,pass_cmp,0,,,,,
player,201909080car,ram,HigbTy00,pass_att,0,,,,,
player,201909080car,ram,HigbTy00,pass_yds,0,,,,,
player,201909080car,ram,HigbTy00,pass_td,0,,,,,
player,201909080car,ram,HigbTy00,pass_int,0,,,,,
player,201909080car,ram,HigbTy00,pass_sacked,0,,,,,
player,201909080car,ram,HigbTy00,pass_sacked_yds,0,,,,,
player,201909080car,ram,HigbTy00,pass_long,0,,,,,
player,201909080car,ram,HigbTy00,pass_rating,,,,,,
player,201909080car,ram,HigbTy00,rush_att,0,,,,,
player,201909080car,ram,HigbTy00,rush_yds,0,,,,,
player,201909080car,ram,HigbTy00,rush_td,0,,,,,
player,201909080car,ram,HigbTy00,rush_long,0,,,,,
player,201909080car,ram,HigbTy00,targets,5,,,,,
player,201909080car,ram,HigbTy00,rec,4,,,,,
player,201909080car,ram,HigbTy00,rec_yds,20,,,,,
player,201909080car,ram,HigbTy00,rec_td,1,,,,,
player,201909080car,ram,HigbTy00,rec_long,6,,,,,
player,201909080car,ram,HigbTy00,fumbles,0,,,,,
player,201909080car,ram,HigbTy00,fumbles_lost,0,,,,,
player,201909080car,ram,EverGe00,pass_cmp,0,,,,,
player,201909080car,ram,EverGe00,pass_att,0,,,,,
player,201909080car,ram,EverGe00,pass_yds,0,,,,,
player,201909080car,ram,EverGe00,pass_td,0,,,,,
player,201909080car,ram,EverGe00,pass_int,0,,,,,
player,201909080car,ram,EverGe00,pass_sacked,0,,,,,
player,201909080car,ram,EverGe00,pass_sacked_yds,0,,,,,
player,201909080car,ram,EverGe00,pass_long,0,,,,,
player,201909080car,ram,EverGe00,pass_rating,,,,,,
player,201909080car,ram,EverGe00,rush_att,0,,,,,
player,201909080car,ram,EverGe00,rush_yds,0,,,,,
player,201909080car,ram,EverGe00,rush_td,0,,,,,
player,201909080car,ram,EverGe00,rush_long,0,,,,,
player,201909080car,ram,EverGe00,targets,1,,,,,
player,201909080car,ram,EverGe00,rec,1,,,,,
player,201909080car,ram,EverGe00,rec_yds,7,,,,,
player,201909080car,ram,EverGe00,rec_td,0,,,,,
player,201909080car,ram,EverGe00,rec_long,7,,,,,
player,201909080car,ram,EverGe00,fumbles,0,,,,,
player,201909080car,ram,EverGe00,fumbles_lost,0,,,,,
player,201909080car,ram,ReynJo00,pass_cmp,0,,,,,
player,201909080car,ram,ReynJo00,pass_att,0,,,,,
player,201909080car,ram,ReynJo00,pass_yds,0,,,,,
player,201909080car,ram,ReynJo00,pass_td,0,,,,,
player,201909080car,ram,ReynJo00,pass_int,0,,,,,
player,201909080car,ram,ReynJo00,pass_sacked,0,,,,,
player,201909080car,ram,ReynJo00,pass_sacked_yds,0,,,,,
player,201909080car,ram,ReynJo00,pass_long,0,,,,,
player,201909080car,ram,ReynJo00,pass_rating,,,,,,
player,201909080car,ram,ReynJo00,rush_att,0,,,,,
player,201909080car,ram,ReynJo00,rush_yds,0,,,,,
player,201909080car,ram,ReynJo00,rush_td,0,,,,,
player,201909080car,ram,ReynJo00,rush_long,0,,,,,
player,201909080car,ram,ReynJo00,targets,2,,,,,
player,201909080car,ram,ReynJo00,rec,0,,,,,
player,201909080car,ram,ReynJo00,rec_yds,0,,,,,
player,201909080car,ram,ReynJo00,rec_td,0,,,,,
player,201909080car,ram,ReynJo00,rec_long,0,,,,,
player,201909080car,ram,ReynJo00,fumbles,0,,,,,
player,201909080car,ram,ReynJo00,fumbles_lost,0,,,,,
player,201909080car,ram,HendDa00,pass_cmp,0,,,,,
player,201909080car,ram,HendDa00,pass_att,0,,,,,
player,201909080car,ram,HendDa00,pass_yds,0,,,,,
player,201909080car,ram,HendDa00,pass_td,0,,,,,
player,201909080car,ram,HendDa00,pass_int,0,,,,,
player,201909080car,ram,HendDa00,pass_sacked,0,,,,,
player,201909080car,ram,HendDa00,pass_sacked_yds,0,,,,,
player,201909080car,ram,HendDa00,pass_long,0,,,,,
player,201909080car,ram,HendDa00,pass_rating,,,,,,
player,201909080car,ram,HendDa00,rush_att,1,,,,,
player,201909080car,ram,HendDa00,rush_yds,0,,,,,
player,201909080car,ram,HendDa00,rush_td,0,,,,,
player,201909080car,ram,HendDa00,rush_long,0,,,,,
player,201909080car,ram,HendDa00,targets,0,,,,,
player,201909080car,ram,HendDa00,rec,0,,,,,
player,201909080car,ram,HendDa00,rec_yds,0,,,,,
player,201909080car,ram,HendDa00,rec_td,0,,,,,
player,201909080car,ram,HendDa00,rec_long,0,,,,,
player,201909080car,ram,HendDa00,fumbles,0,,,,,
player,201909080car,ram,HendDa00,fumbles_lost,0,,,,,
player,201909080car,car,NewtCa00,pass_cmp,25,,,,,
player,201909080car,car,NewtCa00,pass_att,38,,,,,
player,201909080car,car,NewtCa00,pass_yds,239,,,,,
player,201909080car,car,NewtCa00,pass_td,0,,,,,
player,201909080car,car,NewtCa00,pass_int,1,,,,,
player,201909080car,car,NewtCa00,pass_sacked,3,,,,,
player,201909080car,car,NewtCa00,pass_sacked_yds,23,,,,,
player,201909080car,car,NewtCa00,pass_long,17,,,,,
player,201909080car,car,NewtCa00,pass_rating,72.1,,,,,
player,201909080car,car,NewtCa00,rush_att,3,,,,,
player,201909080car,car,NewtCa00,rush_yds,-2,,,,,
player,201909080car,car,NewtCa00,rush_td,0,,,,,
player,201909080car,car,NewtCa00,rush_long,3,,,,,
player,201909080car,car,NewtCa00,targets,0,,,,,
player,201909080car,car,NewtCa00,rec,0,,,,,
player,201909080car,car,NewtCa00,rec_yds,0,,,,,
player,201909080car,car,NewtCa00,rec_td,0,,,,,
player,201909080car,car,NewtCa00,rec_long,0,,,,,
player,201909080car,car,NewtCa00,fumbles,1,,,,,
player,201909080car,car,NewtCa00,fumbles_lost,1,,,,,
player,201909080car,car,McCaCh01,pass_cmp,0,,,,,
player,201909080car,car,McCaCh01,pass_att,0,,,,,
player,201909080car,car,McCaCh01,pass_yds,0,,,,,
player,201909080car,car,McCaCh01,pass_td,0,,,,,
player,201909080car,car,McCaCh01,pass_int,0,,,,,
player,201909080car,car,McCaCh01,pass_sacked,0,,,,,
player,201909080car,car,McCaCh01,pass_sacked_yds,0,,,,,
player,201909080car,car,McCaCh01,pass_long,0,,,,,
player,201909080car,car,McCaCh01,pass_rating,,,,,,
player,201909080car,car,McCaCh01,rush_att,19,,,,,
player,201909080car,car,McCaCh01,rush_yds,128,,,,,
player,201909080car,car,McCaCh01,rush_td,2,,,,,
player,201909080car,car,McCaCh01,rush_long,23,,,,,
