game,2019,14,20191208,201912080nor,sfo,"San Francisco 49ers",48,nor,"New Orleans Saints",46
team,201912080nor,sfo,First Downs,25,,,,,,
team,201912080nor,nor,First Downs,28,,,,,,
team,201912080nor,sfo,Rush-Yds-TDs,24-162-1,,,,,,
team,201912080nor,nor,Rush-Yds-TDs,27-116-1,,,,,,
team,201912080nor,sfo,Cmp-Att-Yd-TD-INT,27-36-384-5-1,,,,,,
team,201912080nor,nor,Cmp-Att-Yd-TD-INT,29-41-349-5-0,,,,,,
team,201912080nor,sfo,Sacked-Yards,3-30,,,,,,
team,201912080nor,nor,Sacked-Yards,0-0,,,,,,
team,201912080nor,sfo,Net Pass Yards,354,,,,,,
team,201912080nor,nor,Net Pass Yards,349,,,,,,
team,201912080nor,sfo,Total Yards,516,,,,,,
team,201912080nor,nor,Total Yards,465,,,,,,
team,201912080nor,sfo,Fumbles-Lost,0-0,,,,,,
team,201912080nor,nor,Fumbles-Lost,2-1,,,,,,
team,201912080nor,sfo,Turnovers,1,,,,,,
team,201912080nor,nor,Turnovers,1,,,,,,
team,201912080nor,sfo,Penalties-Yards,10-67,,,,,,
team,201912080nor,nor,Penalties-Yards,5-50,,,,,,
team,201912080nor,sfo,Third Down Conv.,6-12,,,,,,
team,201912080nor,nor,Third Down Conv.,5-11,,,,,,
team,201912080nor,sfo,Fourth Down Conv.,1-1,,,,,,
team,201912080nor,nor,Fourth Down Conv.,2-3,,,,,,
team,201912080nor,sfo,Time of Possession,28:37,,,,,,
team,201912080nor,nor,Time of Possession,31:23,,,,,,
player,201912080nor,sfo,GaroJi00,pass_cmp,26,,,,,
player,201912080nor,sfo,GaroJi00,pass_att,35,,,,,
player,201912080nor,sfo,GaroJi00,pass_yds,349,,,,,
player,201912080nor,sfo,GaroJi00,pass_td,4,,,,,
player,201912080nor,sfo,GaroJi00,pass_int,1,,,,,
player,201912080nor,sfo,GaroJi00,pass_sacked,3,,,,,
player,201912080nor,sfo,GaroJi00,pass_sacked_yds,30,,,,,
player,201912080nor,sfo,GaroJi00,pass_long,75,,,,,
player,201912080nor,sfo,GaroJi00,pass_rating,131.7,,,,,
player,201912080nor,sfo,GaroJi00,rush_att,2,,,,,
player,201912080nor,sfo,GaroJi00,rush_yds,1,,,,,
player,201912080nor,sfo,GaroJi00,rush_td,0,,,,,
player,201912080nor,sfo,GaroJi00,rush_long,2,,,,,
player,201912080nor,sfo,GaroJi00,targets,0,,,,,
player,201912080nor,sfo,GaroJi00,rec,0,,,,,
player,201912080nor,sfo,GaroJi00,rec_yds,0,,,,,
player,201912080nor,sfo,GaroJi00,rec_td,0,,,,,
player,201912080nor,sfo,GaroJi00,rec_long,0,,,,,
player,201912080nor,sfo,GaroJi00,fumbles,0,,,,,
player,201912080nor,sfo,GaroJi00,fumbles_lost,0,,,,,
player,201912080nor,sfo,SandEm00,pass_cmp,1,,,,,
player,201912080nor,sfo,SandEm00,pass_att,1,,,,,
player,201912080nor,sfo,SandEm00,pass_yds,35,,,,,
player,201912080nor,sfo,SandEm00,pass_td,1,,,,,
player,201912080nor,sfo,SandEm00,pass_int,0,,,,,
player,201912080nor,sfo,SandEm00,pass_sacked,0,,,,,
player,201912080nor,sfo,SandEm00,pass_sacked_yds,0,,,,,
player,201912080nor,sfo,SandEm00,pass_long,35,,,,,
player,201912080nor,sfo,SandEm00,pass_rating,158.3,,,,,
player,201912080nor,sfo,SandEm00,rush_att,0,,,,,
player,201912080nor,sfo,SandEm00,rush_yds,0,,,,,
player,201912080nor,sfo,SandEm00,rush_td,0,,,,,
player,201912080nor,sfo,SandEm00,rush_long,0,,,,,
player,201912080nor,sfo,SandEm00,targets,9,,,,,
player,201912080nor,sfo,SandEm00,rec,7,,,,,
player,201912080nor,sfo,SandEm00,rec_yds,157,,,,,
player,201912080nor,sfo,SandEm00,rec_td,1,,,,,
player,201912080nor,sfo,SandEm00,rec_long,75,,,,,
player,201912080nor,sfo,SandEm00,fumbles,0,,,,,
player,201912080nor,sfo,SandEm00,fumbles_lost,0,,,,,
player,201912080nor,sfo,MostRa00,pass_cmp,0,,,,,
player,201912080nor,sfo,MostRa00,pass_att,0,,,,,
player,201912080nor,sfo,MostRa00,pass_yds,0,,,,,
player,201912080nor,sfo,MostRa00,pass_td,0,,,,,
player,201912080nor,sfo,MostRa00,pass_int,0,,,,,
player,201912080nor,sfo,MostRa00,pass_sacked,0,,,,,
player,201912080nor,sfo,MostRa00,pass_sacked_yds,0,,,,,
player,201912080nor,sfo,MostRa00,pass_long,0,,,,,
player,201912080nor,sfo,MostRa00,pass_rating,,,,,,
player,201912080nor,sfo,MostRa00,rush_att,10,,,,,
player,201912080nor,sfo,MostRa00,rush_yds,69,,,,,
