game,2019,11,20191117,201911170tam,nor,"New Orleans Saints",34,tam,"Tampa Bay Buccaneers",17
team,201911170tam,nor,First Downs,21,,,,,,
team,201911170tam,tam,First Downs,21,,,,,,
team,201911170tam,nor,Rush-Yds-TDs,28-109-0,,,,,,
team,201911170tam,tam,Rush-Yds-TDs,8-36-0,,,,,,
team,201911170tam,nor,Cmp-Att-Yd-TD-INT,28-35-228-3-0,,,,,,
team,201911170tam,tam,Cmp-Att-Yd-TD-INT,30-51-313-2-4,,,,,,
team,201911170tam,nor,Sacked-Yards,1-9,,,,,,
team,201911170tam,tam,Sacked-Yards,2-15,,,,,,
team,201911170tam,nor,Net Pass Yards,219,,,,,,
team,201911170tam,tam,Net Pass Yards,298,,,,,,
team,201911170tam,nor,Total Yards,328,,,,,,
team,201911170tam,tam,Total Yards,334,,,,,,
team,201911170tam,nor,Fumbles-Lost,1-0,,,,,,
team,201911170tam,tam,Fumbles-Lost,1-0,,,,,,
team,201911170tam,nor,Turnovers,0,,,,,,
team,201911170tam,tam,Turnovers,4,,,,,,
team,201911170tam,nor,Penalties-Yards,9-76,,,,,,
team,201911170tam,tam,Penalties-Yards,7-55,,,,,,
team,201911170tam,nor,Third Down Conv.,7-13,,,,,,
team,201911170tam,tam,Third Down Conv.,5-13,,,,,,
team,201911170tam,nor,Fourth Down Conv.,1-1,,,,,,
team,201911170tam,tam,Fourth Down Conv.,0-1,,,,,,
team,201911170tam,nor,Time of Possession,37:00,,,,,,
team,201911170tam,tam,Time of Possession,23:00,,,,,,
player,201911170tam,nor,BreeDr00,pass_cmp,28,,,,,
player,201911170tam,nor,BreeDr00,pass_att,35,,,,,
player,201911170tam,nor,BreeDr00,pass_yds,228,,,,,
player,201911170tam,nor,BreeDr00,pass_td,3,,,,,
player,201911170tam,nor,BreeDr00,pass_int,0,,,,,
player,201911170tam,nor,BreeDr00,pass_sacked,0,,,,,
player,201911170tam,nor,BreeDr00,pass_sacked_yds,0,,,,,
player,201911170tam,nor,BreeDr00,pass_long,41,,,,,
player,201911170tam,nor,BreeDr00,pass_rating,122.4,,,,,
player,201911170tam,nor,BreeDr00,rush_att,3,,,,,
player,201911170tam,nor,BreeDr00,rush_yds,0,,,,,
player,201911170tam,nor,BreeDr00,rush_td,0,,,,,
player,201911170tam,nor,BreeDr00,rush_long,2,,,,,
player,201911170tam,nor,BreeDr00,targets,0,,,,,
player,201911170tam,nor,BreeDr00,rec,0,,,,,
player,201911170tam,nor,BreeDr00,rec_yds,0,,,,,
player,201911170tam,nor,BreeDr00,rec_td,0,,,,,
player,201911170tam,nor,BreeDr00,rec_long,0,,,,,
player,201911170tam,nor,BreeDr00,fumbles,0,,,,,
player,201911170tam,nor,BreeDr00,fumbles_lost,0,,,,,
player,201911170tam,nor,HillTa00,pass_cmp,0,,,,,
player,201911170tam,nor,HillTa00,pass_att,0,,,,,
player,201911170tam,nor,HillTa00,pass_yds,0,,,,,
player,201911170tam,nor,HillTa00,pass_td,0,,,,,
player,201911170tam,nor,HillTa00,pass_int,0,,,,,
player,201911170tam,nor,HillTa00,pass_sacked,1,,,,,
player,201911170tam,nor,HillTa00,pass_sacked_yds,9,,,,,
player,201911170tam,nor,HillTa00,pass_long,0,,,,,
player,201911170tam,nor,HillTa00,pass_rating,,,,,,
player,201911170tam,nor,HillTa00,rush_att,1,,,,,
player,201911170tam,nor,HillTa00,rush_yds,2,,,,,
player,201911170tam,nor,HillTa00,rush_td,0,,,,,
player,201911170tam,nor,HillTa00,rush_long,2,,,,,
player,201911170tam,nor,HillTa00,targets,1,,,,,
player,201911170tam,nor,HillTa00,rec,1,,,,,
player,201911170tam,nor,HillTa00,rec_yds,2,,,,,
player,201911170tam,nor,HillTa00,rec_td,0,,,,,
player,201911170tam,nor,HillTa00,rec_long,2,,,,,
player,201911170tam,nor,HillTa00,fumbles,0,,,,,
player,201911170tam,nor,HillTa00,fumbles_lost,0,,,,,
player,201911170tam,nor,KamaAl00,pass_cmp,0,,,,,
player,201911170tam,nor,KamaAl00,pass_att,0,,,,,
player,201911170tam,nor,KamaAl00,pass_yds,0,,,,,
player,201911170tam,nor,KamaAl00,pass_td,0,,,,,
player,201911170tam,nor,KamaAl00,pass_int,0,,,,,
player,201911170tam,nor,KamaAl00,pass_sacked,0,,,,,
player,201911170tam,nor,KamaAl00,pass_sacked_yds,0,,,,,
player,201911170tam,nor,KamaAl00,pass_long,0,,,,,
player,201911170tam,nor,KamaAl00,pass_rating,,,,,,
player,201911170tam,nor,KamaAl00,rush_att,13,,,,,
player,201911170tam,nor,KamaAl00,rush_yds,75,,,,,
player,201911170tam,nor,KamaAl00,rush_td,0,,,,,
player,201911170tam,nor,KamaAl00,rush_long,14,,,,,
player,201911170tam,nor,KamaAl00,targets,10,,,,,
