game,2019,17,20191229,201912290det,gnb,"Green Bay Packers",23,det,"Detroit Lions",20
team,201912290det,gnb,First Downs,25,,,,,,
team,201912290det,det,First Downs,17,,,,,,
team,201912290det,gnb,Rush-Yds-TDs,30-120-0,,,,,,
team,201912290det,det,Rush-Yds-TDs,25-171-1,,,,,,
team,201912290det,gnb,Cmp-Att-Yd-TD-INT,27-55-323-2-1,,,,,,
team,201912290det,det,Cmp-Att-Yd-TD-INT,13-30-141-1-1,,,,,,
team,201912290det,gnb,Sacked-Yards,1-11,,,,,,
team,201912290det,det,Sacked-Yards,1-7,,,,,,
team,201912290det,gnb,Net Pass Yards,312,,,,,,
team,201912290det,det,Net Pass Yards,134,,,,,,
team,201912290det,gnb,Total Yards,432,,,,,,
team,201912290det,det,Total Yards,305,,,,,,
team,201912290det,gnb,Fumbles-Lost,1-0,,,,,,
team,201912290det,det,Fumbles-Lost,0-0,,,,,,
team,201912290det,gnb,Turnovers,1,,,,,,
team,201912290det,det,Turnovers,1,,,,,,
team,201912290det,gnb,Penalties-Yards,9-97,,,,,,
team,201912290det,det,Penalties-Yards,4-50,,,,,,
team,201912290det,gnb,Third Down Conv.,8-20,,,,,,
team,201912290det,det,Third Down Conv.,3-12,,,,,,
team,201912290det,gnb,Fourth Down Conv.,2-2,,,,,,
team,201912290det,det,Fourth Down Conv.,1-1,,,,,,
team,201912290det,gnb,Time of Possession,34:56,,,,,,
team,201912290det,det,Time of Possession,25:04,,,,,,
player,201912290det,gnb,RodgAa00,pass_cmp,27,,,,,
player,201912290det,gnb,RodgAa00,pass_att,55,,,,,
player,201912290det,gnb,RodgAa00,pass_yds,323,,,,,
player,201912290det,gnb,RodgAa00,pass_td,2,,,,,
player,201912290det,gnb,RodgAa00,pass_int,1,,,,,
player,201912290det,gnb,RodgAa00,pass_sacked,1,,,,,
player,201912290det,gnb,RodgAa00,pass_sacked_yds,11,,,,,
player,201912290det,gnb,RodgAa00,pass_long,33,,,,,
player,201912290det,gnb,RodgAa00,pass_rating,72.0,,,,,
player,201912290det,gnb,RodgAa00,rush_att,2,,,,,
player,201912290det,gnb,RodgAa00,rush_yds,1,,,,,
player,201912290det,gnb,RodgAa00,rush_td,0,,,,,
player,201912290det,gnb,RodgAa00,rush_long,2,,,,,
player,201912290det,gnb,RodgAa00,targets,0,,,,,
player,201912290det,gnb,RodgAa00,rec,0,,,,,
player,201912290det,gnb,RodgAa00,rec_yds,0,,,,,
player,201912290det,gnb,RodgAa00,rec_td,0,,,,,
player,201912290det,gnb,RodgAa00,rec_long,0,,,,,
player,201912290det,gnb,RodgAa00,fumbles,0,,,,,
player,201912290det,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201912290det,gnb,JoneAa00,pass_cmp,0,,,,,
player,201912290det,gnb,JoneAa00,pass_att,0,,,,,
player,201912290det,gnb,JoneAa00,pass_yds,0,,,,,
player,201912290det,gnb,JoneAa00,pass_td,0,,,,,
player,201912290det,gnb,JoneAa00,pass_int,0,,,,,
player,201912290det,gnb,JoneAa00,pass_sacked,0,,,,,
player,201912290det,gnb,JoneAa00,pass_sacked_yds,0,,,,,
player,201912290det,gnb,JoneAa00,pass_long,0,,,,,
player,201912290det,gnb,JoneAa00,pass_rating,,,,,,
player,201912290det,gnb,JoneAa00,rush_att,25,,,,,
player,201912290det,gnb,JoneAa00,rush_yds,100,,,,,
player,201912290det,gnb,JoneAa00,rush_td,0,,,,,
player,201912290det,gnb,JoneAa00,rush_long,14,,,,,
player,201912290det,gnb,JoneAa00,targets,6,,,,,
player,201912290det,gnb,JoneAa00,rec,2,,,,,
player,201912290det,gnb,JoneAa00,rec_yds,43,,,,,
player,201912290det,gnb,JoneAa00,rec_td,0,,,,,
player,201912290det,gnb,JoneAa00,rec_long,31,,,,,
player,201912290det,gnb,JoneAa00,fumbles,0,,,,,
player,201912290det,gnb,JoneAa00,fumbles_lost,0,,,,,
player,201912290det,gnb,ErviTy00,pass_cmp,0,,,,,
player,201912290det,gnb,ErviTy00,pass_att,0,,,,,
