game,2019,10,20191110,201911100gnb,car,"Carolina Panthers",16,gnb,"Green Bay Packers",24
team,201911100gnb,car,First Downs,26,,,,,,
team,201911100gnb,gnb,First Downs,23,,,,,,
team,201911100gnb,car,Rush-Yds-TDs,23-120-1,,,,,,
team,201911100gnb,gnb,Rush-Yds-TDs,27-163-3,,,,,,
team,201911100gnb,car,Cmp-Att-Yd-TD-INT,28-43-307-1-1,,,,,,
team,201911100gnb,gnb,Cmp-Att-Yd-TD-INT,17-29-233-0-0,,,,,,
team,201911100gnb,car,Sacked-Yards,3-26,,,,,,
team,201911100gnb,gnb,Sacked-Yards,2-8,,,,,,
team,201911100gnb,car,Net Pass Yards,281,,,,,,
team,201911100gnb,gnb,Net Pass Yards,225,,,,,,
team,201911100gnb,car,Total Yards,401,,,,,,
team,201911100gnb,gnb,Total Yards,388,,,,,,
team,201911100gnb,car,Fumbles-Lost,2-1,,,,,,
team,201911100gnb,gnb,Fumbles-Lost,0-0,,,,,,
team,201911100gnb,car,Turnovers,2,,,,,,
team,201911100gnb,gnb,Turnovers,0,,,,,,
team,201911100gnb,car,Penalties-Yards,5-46,,,,,,
team,201911100gnb,gnb,Penalties-Yards,10-64,,,,,,
team,201911100gnb,car,Third Down Conv.,4-10,,,,,,
team,201911100gnb,gnb,Third Down Conv.,4-9,,,,,,
team,201911100gnb,car,Fourth Down Conv.,1-1,,,,,,
team,201911100gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201911100gnb,car,Time of Possession,28:38,,,,,,
team,201911100gnb,gnb,Time of Possession,31:22,,,,,,
player,201911100gnb,car,AlleKy00,pass_cmp,28,,,,,
player,201911100gnb,car,AlleKy00,pass_att,43,,,,,
player,201911100gnb,car,AlleKy00,pass_yds,307,,,,,
player,201911100gnb,car,AlleKy00,pass_td,1,,,,,
player,201911100gnb,car,AlleKy00,pass_int,1,,,,,
player,201911100gnb,car,AlleKy00,pass_sacked,3,,,,,
player,201911100gnb,car,AlleKy00,pass_sacked_yds,26,,,,,
player,201911100gnb,car,AlleKy00,pass_long,38,,,,,
player,201911100gnb,car,AlleKy00,pass_rating,84.2,,,,,
player,201911100gnb,car,AlleKy00,rush_att,3,,,,,
player,201911100gnb,car,AlleKy00,rush_yds,12,,,,,
