game,2019,11,20191117,201911170ram,chi,"Chicago Bears",7,ram,"Los Angeles Rams",17
team,201911170ram,chi,First Downs,17,,,,,,
team,201911170ram,ram,First Downs,13,,,,,,
team,201911170ram,chi,Rush-Yds-TDs,24-74-0,,,,,,
team,201911170ram,ram,Rush-Yds-TDs,34-110-2,,,,,,
team,201911170ram,chi,Cmp-Att-Yd-TD-INT,25-47-199-1-1,,,,,,
team,201911170ram,ram,Cmp-Att-Yd-TD-INT,11-18-173-0-1,,,,,,
team,201911170ram,chi,Sacked-Yards,3-6,,,,,,
team,201911170ram,ram,Sacked-Yards,0-0,,,,,,
team,201911170ram,chi,Net Pass Yards,193,,,,,,
team,201911170ram,ram,Net Pass Yards,173,,,,,,
team,201911170ram,chi,Total Yards,267,,,,,,
team,201911170ram,ram,Total Yards,283,,,,,,
team,201911170ram,chi,Fumbles-Lost,0-0,,,,,,
team,201911170ram,ram,Fumbles-Lost,3-1,,,,,,
team,201911170ram,chi,Turnovers,1,,,,,,
team,201911170ram,ram,Turnovers,2,,,,,,
team,201911170ram,chi,Penalties-Yards,2-25,,,,,,
team,201911170ram,ram,Penalties-Yards,6-34,,,,,,
team,201911170ram,chi,Third Down Conv.,6-17,,,,,,
team,201911170ram,ram,Third Down Conv.,3-10,,,,,,
team,201911170ram,chi,Fourth Down Conv.,0-2,,,,,,
team,201911170ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201911170ram,chi,Time of Possession,32:44,,,,,,
team,201911170ram,ram,Time of Possession,27:16,,,,,,
player,201911170ram,chi,TrubMi00,pass_cmp,24,,,,,
player,201911170ram,chi,TrubMi00,pass_att,43,,,,,
player,201911170ram,chi,TrubMi00,pass_yds,190,,,,,
player,201911170ram,chi,TrubMi00,pass_td,1,,,,,
player,201911170ram,chi,TrubMi00,pass_int,1,,,,,
player,201911170ram,chi,TrubMi00,pass_sacked,1,,,,,
player,201911170ram,chi,TrubMi00,pass_sacked_yds,2,,,,,
player,201911170ram,chi,TrubMi00,pass_long,19,,,,,
player,201911170ram,chi,TrubMi00,pass_rating,65.1,,,,,
player,201911170ram,chi,TrubMi00,rush_att,1,,,,,
player,201911170ram,chi,TrubMi00,rush_yds,4,,,,,
player,201911170ram,chi,TrubMi00,rush_td,0,,,,,
player,201911170ram,chi,TrubMi00,rush_long,4,,,,,
player,201911170ram,chi,TrubMi00,targets,0,,,,,
player,201911170ram,chi,TrubMi00,rec,0,,,,,
player,201911170ram,chi,TrubMi00,rec_yds,0,,,,,
player,201911170ram,chi,TrubMi00,rec_td,0,,,,,
player,201911170ram,chi,TrubMi00,rec_long,0,,,,,
