game,2019,4,20190929,201909290det,kan,"Kansas City Chiefs",34,det,"Detroit Lions",30
team,201909290det,kan,First Downs,29,,,,,,
team,201909290det,det,First Downs,29,,,,,,
team,201909290det,kan,Rush-Yds-TDs,25-123-3,,,,,,
team,201909290det,det,Rush-Yds-TDs,35-186-0,,,,,,
team,201909290det,kan,Cmp-Att-Yd-TD-INT,24-42-315-0-0,,,,,,
team,201909290det,det,Cmp-Att-Yd-TD-INT,21-34-291-3-0,,,,,,
team,201909290det,kan,Sacked-Yards,0-0,,,,,,
team,201909290det,det,Sacked-Yards,4-30,,,,,,
team,201909290det,kan,Net Pass Yards,315,,,,,,
team,201909290det,det,Net Pass Yards,261,,,,,,
team,201909290det,kan,Total Yards,438,,,,,,
team,201909290det,det,Total Yards,447,,,,,,
team,201909290det,kan,Fumbles-Lost,4-3,,,,,,
team,201909290det,det,Fumbles-Lost,2-2,,,,,,
team,201909290det,kan,Turnovers,3,,,,,,
team,201909290det,det,Turnovers,2,,,,,,
team,201909290det,kan,Penalties-Yards,7-51,,,,,,
team,201909290det,det,Penalties-Yards,8-48,,,,,,
team,201909290det,kan,Third Down Conv.,4-9,,,,,,
team,201909290det,det,Third Down Conv.,5-13,,,,,,
team,201909290det,kan,Fourth Down Conv.,1-1,,,,,,
team,201909290det,det,Fourth Down Conv.,0-0,,,,,,
team,201909290det,kan,Time of Possession,26:05,,,,,,
team,201909290det,det,Time of Possession,33:55,,,,,,
player,201909290det,kan,MahoPa00,pass_cmp,24,,,,,
player,201909290det,kan,MahoPa00,pass_att,42,,,,,
player,201909290det,kan,MahoPa00,pass_yds,315,,,,,
player,201909290det,kan,MahoPa00,pass_td,0,,,,,
player,201909290det,kan,MahoPa00,pass_int,0,,,,,
player,201909290det,kan,MahoPa00,pass_sacked,0,,,,,
player,201909290det,kan,MahoPa00,pass_sacked_yds,0,,,,,
player,201909290det,kan,MahoPa00,pass_long,33,,,,,
player,201909290det,kan,MahoPa00,pass_rating,81.0,,,,,
player,201909290det,kan,MahoPa00,rush_att,6,,,,,
player,201909290det,kan,MahoPa00,rush_yds,54,,,,,
player,201909290det,kan,MahoPa00,rush_td,0,,,,,
player,201909290det,kan,MahoPa00,rush_long,25,,,,,
player,201909290det,kan,MahoPa00,targets,0,,,,,
player,201909290det,kan,MahoPa00,rec,0,,,,,
player,201909290det,kan,MahoPa00,rec_yds,0,,,,,
player,201909290det,kan,MahoPa00,rec_td,0,,,,,
player,201909290det,kan,MahoPa00,rec_long,0,,,,,
player,201909290det,kan,MahoPa00,fumbles,0,,,,,
player,201909290det,kan,MahoPa00,fumbles_lost,0,,,,,
player,201909290det,kan,McCoLe01,pass_cmp,0,,,,,
player,201909290det,kan,McCoLe01,pass_att,0,,,,,
player,201909290det,kan,McCoLe01,pass_yds,0,,,,,
player,201909290det,kan,McCoLe01,pass_td,0,,,,,
player,201909290det,kan,McCoLe01,pass_int,0,,,,,
player,201909290det,kan,McCoLe01,pass_sacked,0,,,,,
player,201909290det,kan,McCoLe01,pass_sacked_yds,0,,,,,
player,201909290det,kan,McCoLe01,pass_long,0,,,,,
player,201909290det,kan,McCoLe01,pass_rating,,,,,,
player,201909290det,kan,McCoLe01,rush_att,11,,,,,
player,201909290det,kan,McCoLe01,rush_yds,56,,,,,
player,201909290det,kan,McCoLe01,rush_td,1,,,,,
player,201909290det,kan,McCoLe01,rush_long,39,,,,,
player,201909290det,kan,McCoLe01,targets,4,,,,,
player,201909290det,kan,McCoLe01,rec,2,,,,,
player,201909290det,kan,McCoLe01,rec_yds,33,,,,,
player,201909290det,kan,McCoLe01,rec_td,0,,,,,
player,201909290det,kan,McCoLe01,rec_long,23,,,,,
player,201909290det,kan,McCoLe01,fumbles,0,,,,,
player,201909290det,kan,McCoLe01,fumbles_lost,0,,,,,
player,201909290det,kan,WillDa10,pass_cmp,0,,,,,
player,201909290det,kan,WillDa10,pass_att,0,,,,,
