game,2019,3,20190922,201909220phi,det,"Detroit Lions",27,phi,"Philadelphia Eagles",24
team,201909220phi,det,First Downs,16,,,,,,
team,201909220phi,phi,First Downs,22,,,,,,
team,201909220phi,det,Rush-Yds-TDs,28-86-1,,,,,,
team,201909220phi,phi,Rush-Yds-TDs,30-127-1,,,,,,
team,201909220phi,det,Cmp-Att-Yd-TD-INT,18-32-201-1-0,,,,,,
team,201909220phi,phi,Cmp-Att-Yd-TD-INT,19-36-259-2-0,,,,,,
team,201909220phi,det,Sacked-Yards,0-0,,,,,,
team,201909220phi,phi,Sacked-Yards,3-13,,,,,,
team,201909220phi,det,Net Pass Yards,201,,,,,,
team,201909220phi,phi,Net Pass Yards,246,,,,,,
team,201909220phi,det,Total Yards,287,,,,,,
team,201909220phi,phi,Total Yards,373,,,,,,
team,201909220phi,det,Fumbles-Lost,0-0,,,,,,
team,201909220phi,phi,Fumbles-Lost,3-2,,,,,,
team,201909220phi,det,Turnovers,0,,,,,,
team,201909220phi,phi,Turnovers,2,,,,,,
team,201909220phi,det,Penalties-Yards,9-61,,,,,,
team,201909220phi,phi,Penalties-Yards,4-30,,,,,,
team,201909220phi,det,Third Down Conv.,6-14,,,,,,
team,201909220phi,phi,Third Down Conv.,7-13,,,,,,
team,201909220phi,det,Fourth Down Conv.,0-0,,,,,,
team,201909220phi,phi,Fourth Down Conv.,0-2,,,,,,
team,201909220phi,det,Time of Possession,27:42,,,,,,
team,201909220phi,phi,Time of Possession,32:18,,,,,,
player,201909220phi,det,StafMa00,pass_cmp,18,,,,,
player,201909220phi,det,StafMa00,pass_att,32,,,,,
player,201909220phi,det,StafMa00,pass_yds,201,,,,,
player,201909220phi,det,StafMa00,pass_td,1,,,,,
player,201909220phi,det,StafMa00,pass_int,0,,,,,
player,201909220phi,det,StafMa00,pass_sacked,0,,,,,
player,201909220phi,det,StafMa00,pass_sacked_yds,0,,,,,
player,201909220phi,det,StafMa00,pass_long,27,,,,,
player,201909220phi,det,StafMa00,pass_rating,85.5,,,,,
player,201909220phi,det,StafMa00,rush_att,3,,,,,
player,201909220phi,det,StafMa00,rush_yds,1,,,,,
player,201909220phi,det,StafMa00,rush_td,0,,,,,
player,201909220phi,det,StafMa00,rush_long,3,,,,,
player,201909220phi,det,StafMa00,targets,0,,,,,
player,201909220phi,det,StafMa00,rec,0,,,,,
player,201909220phi,det,StafMa00,rec_yds,0,,,,,
player,201909220phi,det,StafMa00,rec_td,0,,,,,
player,201909220phi,det,StafMa00,rec_long,0,,,,,
player,201909220phi,det,StafMa00,fumbles,0,,,,,
player,201909220phi,det,StafMa00,fumbles_lost,0,,,,,
player,201909220phi,det,McKiJ.00,pass_cmp,0,,,,,
player,201909220phi,det,McKiJ.00,pass_att,0,,,,,
player,201909220phi,det,McKiJ.00,pass_yds,0,,,,,
player,201909220phi,det,McKiJ.00,pass_td,0,,,,,
player,201909220phi,det,McKiJ.00,pass_int,0,,,,,
player,201909220phi,det,McKiJ.00,pass_sacked,0,,,,,
player,201909220phi,det,McKiJ.00,pass_sacked_yds,0,,,,,
player,201909220phi,det,McKiJ.00,pass_long,0,,,,,
player,201909220phi,det,McKiJ.00,pass_rating,,,,,,
player,201909220phi,det,McKiJ.00,rush_att,1,,,,,
player,201909220phi,det,McKiJ.00,rush_yds,44,,,,,
player,201909220phi,det,McKiJ.00,rush_td,0,,,,,
player,201909220phi,det,McKiJ.00,rush_long,44,,,,,
player,201909220phi,det,McKiJ.00,targets,0,,,,,
player,201909220phi,det,McKiJ.00,rec,0,,,,,
player,201909220phi,det,McKiJ.00,rec_yds,0,,,,,
player,201909220phi,det,McKiJ.00,rec_td,0,,,,,
player,201909220phi,det,McKiJ.00,rec_long,0,,,,,
player,201909220phi,det,McKiJ.00,fumbles,0,,,,,
player,201909220phi,det,McKiJ.00,fumbles_lost,0,,,,,
player,201909220phi,det,JohnKe06,pass_cmp,0,,,,,
player,201909220phi,det,JohnKe06,pass_att,0,,,,,
player,201909220phi,det,JohnKe06,pass_yds,0,,,,,
player,201909220phi,det,JohnKe06,pass_td,0,,,,,
player,201909220phi,det,JohnKe06,pass_int,0,,,,,
player,201909220phi,det,JohnKe06,pass_sacked,0,,,,,
player,201909220phi,det,JohnKe06,pass_sacked_yds,0,,,,,
player,201909220phi,det,JohnKe06,pass_long,0,,,,,
player,201909220phi,det,JohnKe06,pass_rating,,,,,,
player,201909220phi,det,JohnKe06,rush_att,20,,,,,
player,201909220phi,det,JohnKe06,rush_yds,36,,,,,
player,201909220phi,det,JohnKe06,rush_td,1,,,,,
player,201909220phi,det,JohnKe06,rush_long,11,,,,,
player,201909220phi,det,JohnKe06,targets,1,,,,,
player,201909220phi,det,JohnKe06,rec,1,,,,,
player,201909220phi,det,JohnKe06,rec_yds,7,,,,,
player,201909220phi,det,JohnKe06,rec_td,0,,,,,
player,201909220phi,det,JohnKe06,rec_long,7,,,,,
player,201909220phi,det,JohnKe06,fumbles,0,,,,,
player,201909220phi,det,JohnKe06,fumbles_lost,0,,,,,
player,201909220phi,det,JohnTy02,pass_cmp,0,,,,,
player,201909220phi,det,JohnTy02,pass_att,0,,,,,
player,201909220phi,det,JohnTy02,pass_yds,0,,,,,
player,201909220phi,det,JohnTy02,pass_td,0,,,,,
player,201909220phi,det,JohnTy02,pass_int,0,,,,,
player,201909220phi,det,JohnTy02,pass_sacked,0,,,,,
player,201909220phi,det,JohnTy02,pass_sacked_yds,0,,,,,
player,201909220phi,det,JohnTy02,pass_long,0,,,,,
player,201909220phi,det,JohnTy02,pass_rating,,,,,,
player,201909220phi,det,JohnTy02,rush_att,4,,,,,
player,201909220phi,det,JohnTy02,rush_yds,5,,,,,
player,201909220phi,det,JohnTy02,rush_td,0,,,,,
player,201909220phi,det,JohnTy02,rush_long,3,,,,,
player,201909220phi,det,JohnTy02,targets,2,,,,,
player,201909220phi,det,JohnTy02,rec,1,,,,,
player,201909220phi,det,JohnTy02,rec_yds,0,,,,,
player,201909220phi,det,JohnTy02,rec_td,0,,,,,
player,201909220phi,det,JohnTy02,rec_long,0,,,,,
player,201909220phi,det,JohnTy02,fumbles,0,,,,,
player,201909220phi,det,JohnTy02,fumbles_lost,0,,,,,
player,201909220phi,det,JoneMa02,pass_cmp,0,,,,,
player,201909220phi,det,JoneMa02,pass_att,0,,,,,
player,201909220phi,det,JoneMa02,pass_yds,0,,,,,
player,201909220phi,det,JoneMa02,pass_td,0,,,,,
player,201909220phi,det,JoneMa02,pass_int,0,,,,,
player,201909220phi,det,JoneMa02,pass_sacked,0,,,,,
player,201909220phi,det,JoneMa02,pass_sacked_yds,0,,,,,
player,201909220phi,det,JoneMa02,pass_long,0,,,,,
player,201909220phi,det,JoneMa02,pass_rating,,,,,,
player,201909220phi,det,JoneMa02,rush_att,0,,,,,
player,201909220phi,det,JoneMa02,rush_yds,0,,,,,
player,201909220phi,det,JoneMa02,rush_td,0,,,,,
player,201909220phi,det,JoneMa02,rush_long,0,,,,,
player,201909220phi,det,JoneMa02,targets,9,,,,,
player,201909220phi,det,JoneMa02,rec,6,,,,,
player,201909220phi,det,JoneMa02,rec_yds,101,,,,,
player,201909220phi,det,JoneMa02,rec_td,1,,,,,
player,201909220phi,det,JoneMa02,rec_long,27,,,,,
player,201909220phi,det,JoneMa02,fumbles,0,,,,,
player,201909220phi,det,JoneMa02,fumbles_lost,0,,,,,
player,201909220phi,det,AmenDa00,pass_cmp,0,,,,,
player,201909220phi,det,AmenDa00,pass_att,0,,,,,
player,201909220phi,det,AmenDa00,pass_yds,0,,,,,
player,201909220phi,det,AmenDa00,pass_td,0,,,,,
player,201909220phi,det,AmenDa00,pass_int,0,,,,,
player,201909220phi,det,AmenDa00,pass_sacked,0,,,,,
player,201909220phi,det,AmenDa00,pass_sacked_yds,0,,,,,
player,201909220phi,det,AmenDa00,pass_long,0,,,,,
player,201909220phi,det,AmenDa00,pass_rating,,,,,,
player,201909220phi,det,AmenDa00,rush_att,0,,,,,
player,201909220phi,det,AmenDa00,rush_yds,0,,,,,
player,201909220phi,det,AmenDa00,rush_td,0,,,,,
player,201909220phi,det,AmenDa00,rush_long,0,,,,,
player,201909220phi,det,AmenDa00,targets,5,,,,,
player,201909220phi,det,AmenDa00,rec,4,,,,,
player,201909220phi,det,AmenDa00,rec_yds,37,,,,,
player,201909220phi,det,AmenDa00,rec_td,0,,,,,
player,201909220phi,det,AmenDa00,rec_long,22,,,,,
player,201909220phi,det,AmenDa00,fumbles,0,,,,,
player,201909220phi,det,AmenDa00,fumbles_lost,0,,,,,
player,201909220phi,det,GollKe00,pass_cmp,0,,,,,
player,201909220phi,det,GollKe00,pass_att,0,,,,,
player,201909220phi,det,GollKe00,pass_yds,0,,,,,
player,201909220phi,det,GollKe00,pass_td,0,,,,,
player,201909220phi,det,GollKe00,pass_int,0,,,,,
player,201909220phi,det,GollKe00,pass_sacked,0,,,,,
player,201909220phi,det,GollKe00,pass_sacked_yds,0,,,,,
player,201909220phi,det,GollKe00,pass_long,0,,,,,
player,201909220phi,det,GollKe00,pass_rating,,,,,,
player,201909220phi,det,GollKe00,rush_att,0,,,,,
player,201909220phi,det,GollKe00,rush_yds,0,,,,,
player,201909220phi,det,GollKe00,rush_td,0,,,,,
player,201909220phi,det,GollKe00,rush_long,0,,,,,
player,201909220phi,det,GollKe00,targets,8,,,,,
player,201909220phi,det,GollKe00,rec,2,,,,,
player,201909220phi,det,GollKe00,rec_yds,17,,,,,
player,201909220phi,det,GollKe00,rec_td,0,,,,,
player,201909220phi,det,GollKe00,rec_long,10,,,,,
player,201909220phi,det,GollKe00,fumbles,0,,,,,
player,201909220phi,det,GollKe00,fumbles_lost,0,,,,,
player,201909220phi,det,ThomLo00,pass_cmp,0,,,,,
player,201909220phi,det,ThomLo00,pass_att,0,,,,,
player,201909220phi,det,ThomLo00,pass_yds,0,,,,,
player,201909220phi,det,ThomLo00,pass_td,0,,,,,
player,201909220phi,det,ThomLo00,pass_int,0,,,,,
player,201909220phi,det,ThomLo00,pass_sacked,0,,,,,
player,201909220phi,det,ThomLo00,pass_sacked_yds,0,,,,,
player,201909220phi,det,ThomLo00,pass_long,0,,,,,
player,201909220phi,det,ThomLo00,pass_rating,,,,,,
player,201909220phi,det,ThomLo00,rush_att,0,,,,,
player,201909220phi,det,ThomLo00,rush_yds,0,,,,,
player,201909220phi,det,ThomLo00,rush_td,0,,,,,
player,201909220phi,det,ThomLo00,rush_long,0,,,,,
player,201909220phi,det,ThomLo00,targets,1,,,,,
player,201909220phi,det,ThomLo00,rec,1,,,,,
player,201909220phi,det,ThomLo00,rec_yds,15,,,,,
player,201909220phi,det,ThomLo00,rec_td,0,,,,,
player,201909220phi,det,ThomLo00,rec_long,15,,,,,
player,201909220phi,det,ThomLo00,fumbles,0,,,,,
player,201909220phi,det,ThomLo00,fumbles_lost,0,,,,,
player,201909220phi,det,JameJe00,pass_cmp,0,,,,,
player,201909220phi,det,JameJe00,pass_att,0,,,,,
player,201909220phi,det,JameJe00,pass_yds,0,,,,,
player,201909220phi,det,JameJe00,pass_td,0,,,,,
player,201909220phi,det,JameJe00,pass_int,0,,,,,
player,201909220phi,det,JameJe00,pass_sacked,0,,,,,
player,201909220phi,det,JameJe00,pass_sacked_yds,0,,,,,
player,201909220phi,det,JameJe00,pass_long,0,,,,,
player,201909220phi,det,JameJe00,pass_rating,,,,,,
player,201909220phi,det,JameJe00,rush_att,0,,,,,
player,201909220phi,det,JameJe00,rush_yds,0,,,,,
player,201909220phi,det,JameJe00,rush_td,0,,,,,
player,201909220phi,det,JameJe00,rush_long,0,,,,,
player,201909220phi,det,JameJe00,targets,1,,,,,
player,201909220phi,det,JameJe00,rec,1,,,,,
player,201909220phi,det,JameJe00,rec_yds,13,,,,,
player,201909220phi,det,JameJe00,rec_td,0,,,,,
player,201909220phi,det,JameJe00,rec_long,13,,,,,
player,201909220phi,det,JameJe00,fumbles,0,,,,,
player,201909220phi,det,JameJe00,fumbles_lost,0,,,,,
player,201909220phi,det,BawdNi00,pass_cmp,0,,,,,
player,201909220phi,det,BawdNi00,pass_att,0,,,,,
player,201909220phi,det,BawdNi00,pass_yds,0,,,,,
player,201909220phi,det,BawdNi00,pass_td,0,,,,,
player,201909220phi,det,BawdNi00,pass_int,0,,,,,
player,201909220phi,det,BawdNi00,pass_sacked,0,,,,,
player,201909220phi,det,BawdNi00,pass_sacked_yds,0,,,,,
player,201909220phi,det,BawdNi00,pass_long,0,,,,,
player,201909220phi,det,BawdNi00,pass_rating,,,,,,
player,201909220phi,det,BawdNi00,rush_att,0,,,,,
player,201909220phi,det,BawdNi00,rush_yds,0,,,,,
player,201909220phi,det,BawdNi00,rush_td,0,,,,,
player,201909220phi,det,BawdNi00,rush_long,0,,,,,
player,201909220phi,det,BawdNi00,targets,1,,,,,
player,201909220phi,det,BawdNi00,rec,1,,,,,
player,201909220phi,det,BawdNi00,rec_yds,10,,,,,
player,201909220phi,det,BawdNi00,rec_td,0,,,,,
player,201909220phi,det,BawdNi00,rec_long,10,,,,,
player,201909220phi,det,BawdNi00,fumbles,0,,,,,
player,201909220phi,det,BawdNi00,fumbles_lost,0,,,,,
player,201909220phi,det,HockTJ00,pass_cmp,0,,,,,
player,201909220phi,det,HockTJ00,pass_att,0,,,,,
player,201909220phi,det,HockTJ00,pass_yds,0,,,,,
player,201909220phi,det,HockTJ00,pass_td,0,,,,,
player,201909220phi,det,HockTJ00,pass_int,0,,,,,
player,201909220phi,det,HockTJ00,pass_sacked,0,,,,,
player,201909220phi,det,HockTJ00,pass_sacked_yds,0,,,,,
player,201909220phi,det,HockTJ00,pass_long,0,,,,,
player,201909220phi,det,HockTJ00,pass_rating,,,,,,
player,201909220phi,det,HockTJ00,rush_att,0,,,,,
player,201909220phi,det,HockTJ00,rush_yds,0,,,,,
player,201909220phi,det,HockTJ00,rush_td,0,,,,,
player,201909220phi,det,HockTJ00,rush_long,0,,,,,
player,201909220phi,det,HockTJ00,targets,4,,,,,
player,201909220phi,det,HockTJ00,rec,1,,,,,
player,201909220phi,det,HockTJ00,rec_yds,1,,,,,
player,201909220phi,det,HockTJ00,rec_td,0,,,,,
player,201909220phi,det,HockTJ00,rec_long,1,,,,,
player,201909220phi,det,HockTJ00,fumbles,0,,,,,
player,201909220phi,det,HockTJ00,fumbles_lost,0,,,,,
player,201909220phi,phi,WentCa00,pass_cmp,19,,,,,
player,201909220phi,phi,WentCa00,pass_att,36,,,,,
player,201909220phi,phi,WentCa00,pass_yds,259,,,,,
player,201909220phi,phi,WentCa00,pass_td,2,,,,,
player,201909220phi,phi,WentCa00,pass_int,0,,,,,
player,201909220phi,phi,WentCa00,pass_sacked,3,,,,,
player,201909220phi,phi,WentCa00,pass_sacked_yds,13,,,,,
player,201909220phi,phi,WentCa00,pass_long,40,,,,,
player,201909220phi,phi,WentCa00,pass_rating,94.6,,,,,
player,201909220phi,phi,WentCa00,rush_att,4,,,,,
player,201909220phi,phi,WentCa00,rush_yds,33,,,,,
player,201909220phi,phi,WentCa00,rush_td,0,,,,,
player,201909220phi,phi,WentCa00,rush_long,19,,,,,
player,201909220phi,phi,WentCa00,targets,0,,,,,
player,201909220phi,phi,WentCa00,rec,0,,,,,
player,201909220phi,phi,WentCa00,rec_yds,0,,,,,
player,201909220phi,phi,WentCa00,rec_td,0,,,,,
player,201909220phi,phi,WentCa00,rec_long,0,,,,,
player,201909220phi,phi,WentCa00,fumbles,0,,,,,
player,201909220phi,phi,WentCa00,fumbles_lost,0,,,,,
player,201909220phi,phi,SandMi01,pass_cmp,0,,,,,
player,201909220phi,phi,SandMi01,pass_att,0,,,,,
player,201909220phi,phi,SandMi01,pass_yds,0,,,,,
player,201909220phi,phi,SandMi01,pass_td,0,,,,,
player,201909220phi,phi,SandMi01,pass_int,0,,,,,
player,201909220phi,phi,SandMi01,pass_sacked,0,,,,,
player,201909220phi,phi,SandMi01,pass_sacked_yds,0,,,,,
player,201909220phi,phi,SandMi01,pass_long,0,,,,,
player,201909220phi,phi,SandMi01,pass_rating,,,,,,
player,201909220phi,phi,SandMi01,rush_att,13,,,,,
player,201909220phi,phi,SandMi01,rush_yds,53,,,,,
player,201909220phi,phi,SandMi01,rush_td,0,,,,,
player,201909220phi,phi,SandMi01,rush_long,14,,,,,
player,201909220phi,phi,SandMi01,targets,4,,,,,
player,201909220phi,phi,SandMi01,rec,2,,,,,
player,201909220phi,phi,SandMi01,rec_yds,73,,,,,
player,201909220phi,phi,SandMi01,rec_td,0,,,,,
player,201909220phi,phi,SandMi01,rec_long,40,,,,,
player,201909220phi,phi,SandMi01,fumbles,2,,,,,
player,201909220phi,phi,SandMi01,fumbles_lost,1,,,,,
player,201909220phi,phi,HowaJo00,pass_cmp,0,,,,,
player,201909220phi,phi,HowaJo00,pass_att,0,,,,,
player,201909220phi,phi,HowaJo00,pass_yds,0,,,,,
player,201909220phi,phi,HowaJo00,pass_td,0,,,,,
player,201909220phi,phi,HowaJo00,pass_int,0,,,,,
player,201909220phi,phi,HowaJo00,pass_sacked,0,,,,,
player,201909220phi,phi,HowaJo00,pass_sacked_yds,0,,,,,
player,201909220phi,phi,HowaJo00,pass_long,0,,,,,
player,201909220phi,phi,HowaJo00,pass_rating,,,,,,
player,201909220phi,phi,HowaJo00,rush_att,11,,,,,
player,201909220phi,phi,HowaJo00,rush_yds,37,,,,,
player,201909220phi,phi,HowaJo00,rush_td,1,,,,,
player,201909220phi,phi,HowaJo00,rush_long,11,,,,,
player,201909220phi,phi,HowaJo00,targets,1,,,,,
player,201909220phi,phi,HowaJo00,rec,0,,,,,
player,201909220phi,phi,HowaJo00,rec_yds,0,,,,,
player,201909220phi,phi,HowaJo00,rec_td,0,,,,,
player,201909220phi,phi,HowaJo00,rec_long,0,,,,,
player,201909220phi,phi,HowaJo00,fumbles,0,,,,,
player,201909220phi,phi,HowaJo00,fumbles_lost,0,,,,,
player,201909220phi,phi,SproDa00,pass_cmp,0,,,,,
player,201909220phi,phi,SproDa00,pass_att,0,,,,,
player,201909220phi,phi,SproDa00,pass_yds,0,,,,,
player,201909220phi,phi,SproDa00,pass_td,0,,,,,
player,201909220phi,phi,SproDa00,pass_int,0,,,,,
player,201909220phi,phi,SproDa00,pass_sacked,0,,,,,
player,201909220phi,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201909220phi,phi,SproDa00,pass_long,0,,,,,
player,201909220phi,phi,SproDa00,pass_rating,,,,,,
player,201909220phi,phi,SproDa00,rush_att,2,,,,,
