game,2019,15,20191215,201912150sfo,atl,"Atlanta Falcons",29,sfo,"San Francisco 49ers",22
team,201912150sfo,atl,First Downs,20,,,,,,
team,201912150sfo,sfo,First Downs,20,,,,,,
team,201912150sfo,atl,Rush-Yds-TDs,20-89-1,,,,,,
team,201912150sfo,sfo,Rush-Yds-TDs,27-120-1,,,,,,
team,201912150sfo,atl,Cmp-Att-Yd-TD-INT,25-39-210-2-0,,,,,,
team,201912150sfo,sfo,Cmp-Att-Yd-TD-INT,22-34-200-1-0,,,,,,
team,201912150sfo,atl,Sacked-Yards,2-9,,,,,,
team,201912150sfo,sfo,Sacked-Yards,1-7,,,,,,
team,201912150sfo,atl,Net Pass Yards,201,,,,,,
team,201912150sfo,sfo,Net Pass Yards,193,,,,,,
team,201912150sfo,atl,Total Yards,290,,,,,,
team,201912150sfo,sfo,Total Yards,313,,,,,,
team,201912150sfo,atl,Fumbles-Lost,1-1,,,,,,
team,201912150sfo,sfo,Fumbles-Lost,4-2,,,,,,
team,201912150sfo,atl,Turnovers,1,,,,,,
team,201912150sfo,sfo,Turnovers,2,,,,,,
team,201912150sfo,atl,Penalties-Yards,11-98,,,,,,
team,201912150sfo,sfo,Penalties-Yards,7-67,,,,,,
team,201912150sfo,atl,Third Down Conv.,7-13,,,,,,
team,201912150sfo,sfo,Third Down Conv.,4-12,,,,,,
team,201912150sfo,atl,Fourth Down Conv.,0-0,,,,,,
team,201912150sfo,sfo,Fourth Down Conv.,1-1,,,,,,
team,201912150sfo,atl,Time of Possession,29:12,,,,,,
team,201912150sfo,sfo,Time of Possession,30:48,,,,,,
player,201912150sfo,atl,RyanMa00,pass_cmp,25,,,,,
player,201912150sfo,atl,RyanMa00,pass_att,39,,,,,
player,201912150sfo,atl,RyanMa00,pass_yds,210,,,,,
player,201912150sfo,atl,RyanMa00,pass_td,2,,,,,
player,201912150sfo,atl,RyanMa00,pass_int,0,,,,,
player,201912150sfo,atl,RyanMa00,pass_sacked,2,,,,,
player,201912150sfo,atl,RyanMa00,pass_sacked_yds,9,,,,,
player,201912150sfo,atl,RyanMa00,pass_long,28,,,,,
player,201912150sfo,atl,RyanMa00,pass_rating,95.0,,,,,
player,201912150sfo,atl,RyanMa00,rush_att,5,,,,,
player,201912150sfo,atl,RyanMa00,rush_yds,27,,,,,
player,201912150sfo,atl,RyanMa00,rush_td,0,,,,,
player,201912150sfo,atl,RyanMa00,rush_long,9,,,,,
player,201912150sfo,atl,RyanMa00,targets,0,,,,,
player,201912150sfo,atl,RyanMa00,rec,0,,,,,
player,201912150sfo,atl,RyanMa00,rec_yds,0,,,,,
player,201912150sfo,atl,RyanMa00,rec_td,0,,,,,
player,201912150sfo,atl,RyanMa00,rec_long,0,,,,,
player,201912150sfo,atl,RyanMa00,fumbles,0,,,,,
player,201912150sfo,atl,RyanMa00,fumbles_lost,0,,,,,
player,201912150sfo,atl,FreeDe00,pass_cmp,0,,,,,
player,201912150sfo,atl,FreeDe00,pass_att,0,,,,,
player,201912150sfo,atl,FreeDe00,pass_yds,0,,,,,
player,201912150sfo,atl,FreeDe00,pass_td,0,,,,,
player,201912150sfo,atl,FreeDe00,pass_int,0,,,,,
player,201912150sfo,atl,FreeDe00,pass_sacked,0,,,,,
player,201912150sfo,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201912150sfo,atl,FreeDe00,pass_long,0,,,,,
player,201912150sfo,atl,FreeDe00,pass_rating,,,,,,
player,201912150sfo,atl,FreeDe00,rush_att,12,,,,,
player,201912150sfo,atl,FreeDe00,rush_yds,39,,,,,
player,201912150sfo,atl,FreeDe00,rush_td,0,,,,,
player,201912150sfo,atl,FreeDe00,rush_long,11,,,,,
player,201912150sfo,atl,FreeDe00,targets,3,,,,,
player,201912150sfo,atl,FreeDe00,rec,2,,,,,
player,201912150sfo,atl,FreeDe00,rec_yds,16,,,,,
player,201912150sfo,atl,FreeDe00,rec_td,0,,,,,
player,201912150sfo,atl,FreeDe00,rec_long,13,,,,,
player,201912150sfo,atl,FreeDe00,fumbles,0,,,,,
player,201912150sfo,atl,FreeDe00,fumbles_lost,0,,,,,
player,201912150sfo,atl,HillBr02,pass_cmp,0,,,,,
player,201912150sfo,atl,HillBr02,pass_att,0,,,,,
player,201912150sfo,atl,HillBr02,pass_yds,0,,,,,
player,201912150sfo,atl,HillBr02,pass_td,0,,,,,
player,201912150sfo,atl,HillBr02,pass_int,0,,,,,
player,201912150sfo,atl,HillBr02,pass_sacked,0,,,,,
player,201912150sfo,atl,HillBr02,pass_sacked_yds,0,,,,,
player,201912150sfo,atl,HillBr02,pass_long,0,,,,,
player,201912150sfo,atl,HillBr02,pass_rating,,,,,,
player,201912150sfo,atl,HillBr02,rush_att,1,,,,,
player,201912150sfo,atl,HillBr02,rush_yds,16,,,,,
player,201912150sfo,atl,HillBr02,rush_td,0,,,,,
player,201912150sfo,atl,HillBr02,rush_long,16,,,,,
player,201912150sfo,atl,HillBr02,targets,0,,,,,
player,201912150sfo,atl,HillBr02,rec,0,,,,,
player,201912150sfo,atl,HillBr02,rec_yds,0,,,,,
player,201912150sfo,atl,HillBr02,rec_td,0,,,,,
player,201912150sfo,atl,HillBr02,rec_long,0,,,,,
player,201912150sfo,atl,HillBr02,fumbles,0,,,,,
player,201912150sfo,atl,HillBr02,fumbles_lost,0,,,,,
player,201912150sfo,atl,GageRu00,pass_cmp,0,,,,,
player,201912150sfo,atl,GageRu00,pass_att,0,,,,,
player,201912150sfo,atl,GageRu00,pass_yds,0,,,,,
player,201912150sfo,atl,GageRu00,pass_td,0,,,,,
player,201912150sfo,atl,GageRu00,pass_int,0,,,,,
player,201912150sfo,atl,GageRu00,pass_sacked,0,,,,,
