game,2019,1,20190908,201909080cle,oti,"Tennessee Titans",43,cle,"Cleveland Browns",13
team,201909080cle,oti,First Downs,21,,,,,,
team,201909080cle,cle,First Downs,19,,,,,,
team,201909080cle,oti,Rush-Yds-TDs,28-123-1,,,,,,
team,201909080cle,cle,Rush-Yds-TDs,20-102-1,,,,,,
team,201909080cle,oti,Cmp-Att-Yd-TD-INT,14-24-248-3-0,,,,,,
team,201909080cle,cle,Cmp-Att-Yd-TD-INT,25-38-285-1-3,,,,,,
team,201909080cle,oti,Sacked-Yards,4-32,,,,,,
team,201909080cle,cle,Sacked-Yards,5-41,,,,,,
team,201909080cle,oti,Net Pass Yards,216,,,,,,
team,201909080cle,cle,Net Pass Yards,244,,,,,,
team,201909080cle,oti,Total Yards,339,,,,,,
team,201909080cle,cle,Total Yards,346,,,,,,
team,201909080cle,oti,Fumbles-Lost,0-0,,,,,,
team,201909080cle,cle,Fumbles-Lost,0-0,,,,,,
team,201909080cle,oti,Turnovers,0,,,,,,
team,201909080cle,cle,Turnovers,3,,,,,,
team,201909080cle,oti,Penalties-Yards,6-54,,,,,,
team,201909080cle,cle,Penalties-Yards,18-182,,,,,,
team,201909080cle,oti,Third Down Conv.,2-10,,,,,,
team,201909080cle,cle,Third Down Conv.,1-10,,,,,,
team,201909080cle,oti,Fourth Down Conv.,0-0,,,,,,
team,201909080cle,cle,Fourth Down Conv.,0-2,,,,,,
team,201909080cle,oti,Time of Possession,29:18,,,,,,
team,201909080cle,cle,Time of Possession,30:42,,,,,,
player,201909080cle,oti,MariMa01,pass_cmp,14,,,,,
player,201909080cle,oti,MariMa01,pass_att,24,,,,,
player,201909080cle,oti,MariMa01,pass_yds,248,,,,,
player,201909080cle,oti,MariMa01,pass_td,3,,,,,
player,201909080cle,oti,MariMa01,pass_int,0,,,,,
player,201909080cle,oti,MariMa01,pass_sacked,4,,,,,
player,201909080cle,oti,MariMa01,pass_sacked_yds,32,,,,,
player,201909080cle,oti,MariMa01,pass_long,75,,,,,
player,201909080cle,oti,MariMa01,pass_rating,133.3,,,,,
