game,2019,9,20191103,201911030den,cle,"Cleveland Browns",19,den,"Denver Broncos",24
team,201911030den,cle,First Downs,21,,,,,,
team,201911030den,den,First Downs,13,,,,,,
team,201911030den,cle,Rush-Yds-TDs,29-90-0,,,,,,
team,201911030den,den,Rush-Yds-TDs,20-127-1,,,,,,
team,201911030den,cle,Cmp-Att-Yd-TD-INT,27-42-273-1-0,,,,,,
team,201911030den,den,Cmp-Att-Yd-TD-INT,12-20-193-2-0,,,,,,
team,201911030den,cle,Sacked-Yards,2-12,,,,,,
team,201911030den,den,Sacked-Yards,3-18,,,,,,
team,201911030den,cle,Net Pass Yards,261,,,,,,
team,201911030den,den,Net Pass Yards,175,,,,,,
team,201911030den,cle,Total Yards,351,,,,,,
team,201911030den,den,Total Yards,302,,,,,,
team,201911030den,cle,Fumbles-Lost,0-0,,,,,,
team,201911030den,den,Fumbles-Lost,1-1,,,,,,
team,201911030den,cle,Turnovers,0,,,,,,
team,201911030den,den,Turnovers,1,,,,,,
team,201911030den,cle,Penalties-Yards,5-40,,,,,,
team,201911030den,den,Penalties-Yards,7-55,,,,,,
team,201911030den,cle,Third Down Conv.,6-15,,,,,,
team,201911030den,den,Third Down Conv.,3-9,,,,,,
team,201911030den,cle,Fourth Down Conv.,0-2,,,,,,
team,201911030den,den,Fourth Down Conv.,0-0,,,,,,
team,201911030den,cle,Time of Possession,35:30,,,,,,
team,201911030den,den,Time of Possession,24:30,,,,,,
player,201911030den,cle,MayfBa00,pass_cmp,27,,,,,
player,201911030den,cle,MayfBa00,pass_att,42,,,,,
player,201911030den,cle,MayfBa00,pass_yds,273,,,,,
player,201911030den,cle,MayfBa00,pass_td,1,,,,,
player,201911030den,cle,MayfBa00,pass_int,0,,,,,
player,201911030den,cle,MayfBa00,pass_sacked,2,,,,,
player,201911030den,cle,MayfBa00,pass_sacked_yds,12,,,,,
player,201911030den,cle,MayfBa00,pass_long,41,,,,,
player,201911030den,cle,MayfBa00,pass_rating,90.7,,,,,
player,201911030den,cle,MayfBa00,rush_att,3,,,,,
player,201911030den,cle,MayfBa00,rush_yds,22,,,,,
player,201911030den,cle,MayfBa00,rush_td,0,,,,,
player,201911030den,cle,MayfBa00,rush_long,16,,,,,
player,201911030den,cle,MayfBa00,targets,0,,,,,
player,201911030den,cle,MayfBa00,rec,0,,,,,
player,201911030den,cle,MayfBa00,rec_yds,0,,,,,
player,201911030den,cle,MayfBa00,rec_td,0,,,,,
