game,2019,13,20191201,201912010nyg,gnb,"Green Bay Packers",31,nyg,"New York Giants",13
team,201912010nyg,gnb,First Downs,19,,,,,,
team,201912010nyg,nyg,First Downs,20,,,,,,
team,201912010nyg,gnb,Rush-Yds-TDs,26-79-0,,,,,,
team,201912010nyg,nyg,Rush-Yds-TDs,27-95-0,,,,,,
team,201912010nyg,gnb,Cmp-Att-Yd-TD-INT,21-33-243-4-0,,,,,,
team,201912010nyg,nyg,Cmp-Att-Yd-TD-INT,20-37-240-1-3,,,,,,
team,201912010nyg,gnb,Sacked-Yards,0-0,,,,,,
team,201912010nyg,nyg,Sacked-Yards,0-0,,,,,,
team,201912010nyg,gnb,Net Pass Yards,243,,,,,,
team,201912010nyg,nyg,Net Pass Yards,240,,,,,,
team,201912010nyg,gnb,Total Yards,322,,,,,,
team,201912010nyg,nyg,Total Yards,335,,,,,,
team,201912010nyg,gnb,Fumbles-Lost,2-0,,,,,,
team,201912010nyg,nyg,Fumbles-Lost,1-0,,,,,,
team,201912010nyg,gnb,Turnovers,0,,,,,,
team,201912010nyg,nyg,Turnovers,3,,,,,,
team,201912010nyg,gnb,Penalties-Yards,7-54,,,,,,
team,201912010nyg,nyg,Penalties-Yards,4-31,,,,,,
team,201912010nyg,gnb,Third Down Conv.,7-13,,,,,,
team,201912010nyg,nyg,Third Down Conv.,5-14,,,,,,
team,201912010nyg,gnb,Fourth Down Conv.,1-1,,,,,,
team,201912010nyg,nyg,Fourth Down Conv.,3-4,,,,,,
team,201912010nyg,gnb,Time of Possession,28:43,,,,,,
team,201912010nyg,nyg,Time of Possession,31:17,,,,,,
player,201912010nyg,gnb,RodgAa00,pass_cmp,21,,,,,
player,201912010nyg,gnb,RodgAa00,pass_att,33,,,,,
player,201912010nyg,gnb,RodgAa00,pass_yds,243,,,,,
player,201912010nyg,gnb,RodgAa00,pass_td,4,,,,,
player,201912010nyg,gnb,RodgAa00,pass_int,0,,,,,
player,201912010nyg,gnb,RodgAa00,pass_sacked,0,,,,,
player,201912010nyg,gnb,RodgAa00,pass_sacked_yds,0,,,,,
player,201912010nyg,gnb,RodgAa00,pass_long,43,,,,,
player,201912010nyg,gnb,RodgAa00,pass_rating,125.4,,,,,
player,201912010nyg,gnb,RodgAa00,rush_att,3,,,,,
player,201912010nyg,gnb,RodgAa00,rush_yds,24,,,,,
player,201912010nyg,gnb,RodgAa00,rush_td,0,,,,,
player,201912010nyg,gnb,RodgAa00,rush_long,15,,,,,
player,201912010nyg,gnb,RodgAa00,targets,0,,,,,
player,201912010nyg,gnb,RodgAa00,rec,0,,,,,
player,201912010nyg,gnb,RodgAa00,rec_yds,0,,,,,
player,201912010nyg,gnb,RodgAa00,rec_td,0,,,,,
player,201912010nyg,gnb,RodgAa00,rec_long,0,,,,,
