game,2019,3,20190922,201909220sfo,pit,"Pittsburgh Steelers",20,sfo,"San Francisco 49ers",24
team,201909220sfo,pit,First Downs,11,,,,,,
team,201909220sfo,sfo,First Downs,26,,,,,,
team,201909220sfo,pit,Rush-Yds-TDs,22-79-0,,,,,,
team,201909220sfo,sfo,Rush-Yds-TDs,40-168-2,,,,,,
team,201909220sfo,pit,Cmp-Att-Yd-TD-INT,14-27-174-2-1,,,,,,
team,201909220sfo,sfo,Cmp-Att-Yd-TD-INT,23-32-277-1-2,,,,,,
team,201909220sfo,pit,Sacked-Yards,2-14,,,,,,
team,201909220sfo,sfo,Sacked-Yards,1-9,,,,,,
team,201909220sfo,pit,Net Pass Yards,160,,,,,,
team,201909220sfo,sfo,Net Pass Yards,268,,,,,,
team,201909220sfo,pit,Total Yards,239,,,,,,
team,201909220sfo,sfo,Total Yards,436,,,,,,
team,201909220sfo,pit,Fumbles-Lost,2-1,,,,,,
team,201909220sfo,sfo,Fumbles-Lost,4-3,,,,,,
team,201909220sfo,pit,Turnovers,2,,,,,,
team,201909220sfo,sfo,Turnovers,5,,,,,,
team,201909220sfo,pit,Penalties-Yards,6-42,,,,,,
team,201909220sfo,sfo,Penalties-Yards,5-71,,,,,,
team,201909220sfo,pit,Third Down Conv.,3-12,,,,,,
team,201909220sfo,sfo,Third Down Conv.,6-11,,,,,,
team,201909220sfo,pit,Fourth Down Conv.,0-1,,,,,,
team,201909220sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201909220sfo,pit,Time of Possession,23:43,,,,,,
team,201909220sfo,sfo,Time of Possession,36:17,,,,,,
player,201909220sfo,pit,RudoMa00,pass_cmp,14,,,,,
player,201909220sfo,pit,RudoMa00,pass_att,27,,,,,
player,201909220sfo,pit,RudoMa00,pass_yds,174,,,,,
player,201909220sfo,pit,RudoMa00,pass_td,2,,,,,
player,201909220sfo,pit,RudoMa00,pass_int,1,,,,,
player,201909220sfo,pit,RudoMa00,pass_sacked,2,,,,,
player,201909220sfo,pit,RudoMa00,pass_sacked_yds,14,,,,,
player,201909220sfo,pit,RudoMa00,pass_long,76,,,,,
player,201909220sfo,pit,RudoMa00,pass_rating,81.4,,,,,
player,201909220sfo,pit,RudoMa00,rush_att,4,,,,,
player,201909220sfo,pit,RudoMa00,rush_yds,15,,,,,
player,201909220sfo,pit,RudoMa00,rush_td,0,,,,,
player,201909220sfo,pit,RudoMa00,rush_long,7,,,,,
player,201909220sfo,pit,RudoMa00,targets,0,,,,,
player,201909220sfo,pit,RudoMa00,rec,0,,,,,
player,201909220sfo,pit,RudoMa00,rec_yds,0,,,,,
player,201909220sfo,pit,RudoMa00,rec_td,0,,,,,
player,201909220sfo,pit,RudoMa00,rec_long,0,,,,,
player,201909220sfo,pit,RudoMa00,fumbles,1,,,,,
player,201909220sfo,pit,RudoMa00,fumbles_lost,0,,,,,
player,201909220sfo,pit,ConnJa00,pass_cmp,0,,,,,
player,201909220sfo,pit,ConnJa00,pass_att,0,,,,,
player,201909220sfo,pit,ConnJa00,pass_yds,0,,,,,
player,201909220sfo,pit,ConnJa00,pass_td,0,,,,,
player,201909220sfo,pit,ConnJa00,pass_int,0,,,,,
player,201909220sfo,pit,ConnJa00,pass_sacked,0,,,,,
player,201909220sfo,pit,ConnJa00,pass_sacked_yds,0,,,,,
player,201909220sfo,pit,ConnJa00,pass_long,0,,,,,
player,201909220sfo,pit,ConnJa00,pass_rating,,,,,,
player,201909220sfo,pit,ConnJa00,rush_att,13,,,,,
player,201909220sfo,pit,ConnJa00,rush_yds,43,,,,,
player,201909220sfo,pit,ConnJa00,rush_td,0,,,,,
player,201909220sfo,pit,ConnJa00,rush_long,10,,,,,
player,201909220sfo,pit,ConnJa00,targets,4,,,,,
player,201909220sfo,pit,ConnJa00,rec,4,,,,,
player,201909220sfo,pit,ConnJa00,rec_yds,14,,,,,
player,201909220sfo,pit,ConnJa00,rec_td,0,,,,,
player,201909220sfo,pit,ConnJa00,rec_long,5,,,,,
player,201909220sfo,pit,ConnJa00,fumbles,1,,,,,
player,201909220sfo,pit,ConnJa00,fumbles_lost,1,,,,,
player,201909220sfo,pit,HoltJo00,pass_cmp,0,,,,,
player,201909220sfo,pit,HoltJo00,pass_att,0,,,,,
player,201909220sfo,pit,HoltJo00,pass_yds,0,,,,,
player,201909220sfo,pit,HoltJo00,pass_td,0,,,,,
player,201909220sfo,pit,HoltJo00,pass_int,0,,,,,
player,201909220sfo,pit,HoltJo00,pass_sacked,0,,,,,
player,201909220sfo,pit,HoltJo00,pass_sacked_yds,0,,,,,
player,201909220sfo,pit,HoltJo00,pass_long,0,,,,,
player,201909220sfo,pit,HoltJo00,pass_rating,,,,,,
player,201909220sfo,pit,HoltJo00,rush_att,1,,,,,
player,201909220sfo,pit,HoltJo00,rush_yds,9,,,,,
player,201909220sfo,pit,HoltJo00,rush_td,0,,,,,
player,201909220sfo,pit,HoltJo00,rush_long,9,,,,,
player,201909220sfo,pit,HoltJo00,targets,0,,,,,
player,201909220sfo,pit,HoltJo00,rec,0,,,,,
player,201909220sfo,pit,HoltJo00,rec_yds,0,,,,,
player,201909220sfo,pit,HoltJo00,rec_td,0,,,,,
player,201909220sfo,pit,HoltJo00,rec_long,0,,,,,
player,201909220sfo,pit,HoltJo00,fumbles,0,,,,,
player,201909220sfo,pit,HoltJo00,fumbles_lost,0,,,,,
player,201909220sfo,pit,JohnDi01,pass_cmp,0,,,,,
player,201909220sfo,pit,JohnDi01,pass_att,0,,,,,
player,201909220sfo,pit,JohnDi01,pass_yds,0,,,,,
player,201909220sfo,pit,JohnDi01,pass_td,0,,,,,
player,201909220sfo,pit,JohnDi01,pass_int,0,,,,,
player,201909220sfo,pit,JohnDi01,pass_sacked,0,,,,,
player,201909220sfo,pit,JohnDi01,pass_sacked_yds,0,,,,,
player,201909220sfo,pit,JohnDi01,pass_long,0,,,,,
player,201909220sfo,pit,JohnDi01,pass_rating,,,,,,
player,201909220sfo,pit,JohnDi01,rush_att,1,,,,,
player,201909220sfo,pit,JohnDi01,rush_yds,6,,,,,
player,201909220sfo,pit,JohnDi01,rush_td,0,,,,,
