game,2019,1,20190908,201909080tam,sfo,"San Francisco 49ers",31,tam,"Tampa Bay Buccaneers",17
team,201909080tam,sfo,First Downs,17,,,,,,
team,201909080tam,tam,First Downs,21,,,,,,
team,201909080tam,sfo,Rush-Yds-TDs,32-98-0,,,,,,
team,201909080tam,tam,Rush-Yds-TDs,26-121-0,,,,,,
team,201909080tam,sfo,Cmp-Att-Yd-TD-INT,18-27-166-1-1,,,,,,
team,201909080tam,tam,Cmp-Att-Yd-TD-INT,20-36-194-1-3,,,,,,
team,201909080tam,sfo,Sacked-Yards,1-8,,,,,,
team,201909080tam,tam,Sacked-Yards,3-20,,,,,,
team,201909080tam,sfo,Net Pass Yards,158,,,,,,
team,201909080tam,tam,Net Pass Yards,174,,,,,,
team,201909080tam,sfo,Total Yards,256,,,,,,
team,201909080tam,tam,Total Yards,295,,,,,,
team,201909080tam,sfo,Fumbles-Lost,1-1,,,,,,
team,201909080tam,tam,Fumbles-Lost,3-1,,,,,,
team,201909080tam,sfo,Turnovers,2,,,,,,
team,201909080tam,tam,Turnovers,4,,,,,,
team,201909080tam,sfo,Penalties-Yards,11-87,,,,,,
team,201909080tam,tam,Penalties-Yards,8-87,,,,,,
team,201909080tam,sfo,Third Down Conv.,5-13,,,,,,
team,201909080tam,tam,Third Down Conv.,5-11,,,,,,
team,201909080tam,sfo,Fourth Down Conv.,0-0,,,,,,
team,201909080tam,tam,Fourth Down Conv.,0-2,,,,,,
team,201909080tam,sfo,Time of Possession,30:04,,,,,,
team,201909080tam,tam,Time of Possession,29:56,,,,,,
player,201909080tam,sfo,GaroJi00,pass_cmp,18,,,,,
player,201909080tam,sfo,GaroJi00,pass_att,27,,,,,
player,201909080tam,sfo,GaroJi00,pass_yds,166,,,,,
player,201909080tam,sfo,GaroJi00,pass_td,1,,,,,
player,201909080tam,sfo,GaroJi00,pass_int,1,,,,,
player,201909080tam,sfo,GaroJi00,pass_sacked,1,,,,,
player,201909080tam,sfo,GaroJi00,pass_sacked_yds,8,,,,,
player,201909080tam,sfo,GaroJi00,pass_long,39,,,,,
player,201909080tam,sfo,GaroJi00,pass_rating,80.2,,,,,
player,201909080tam,sfo,GaroJi00,rush_att,2,,,,,
player,201909080tam,sfo,GaroJi00,rush_yds,-2,,,,,
player,201909080tam,sfo,GaroJi00,rush_td,0,,,,,
player,201909080tam,sfo,GaroJi00,rush_long,-1,,,,,
player,201909080tam,sfo,GaroJi00,targets,0,,,,,
player,201909080tam,sfo,GaroJi00,rec,0,,,,,
player,201909080tam,sfo,GaroJi00,rec_yds,0,,,,,
player,201909080tam,sfo,GaroJi00,rec_td,0,,,,,
player,201909080tam,sfo,GaroJi00,rec_long,0,,,,,
player,201909080tam,sfo,GaroJi00,fumbles,0,,,,,
player,201909080tam,sfo,GaroJi00,fumbles_lost,0,,,,,
player,201909080tam,sfo,MostRa00,pass_cmp,0,,,,,
player,201909080tam,sfo,MostRa00,pass_att,0,,,,,
player,201909080tam,sfo,MostRa00,pass_yds,0,,,,,
player,201909080tam,sfo,MostRa00,pass_td,0,,,,,
player,201909080tam,sfo,MostRa00,pass_int,0,,,,,
