game,2019,15,20191216,201912160nor,clt,"Indianapolis Colts",7,nor,"New Orleans Saints",34
team,201912160nor,clt,First Downs,16,,,,,,
team,201912160nor,nor,First Downs,27,,,,,,
team,201912160nor,clt,Rush-Yds-TDs,17-46-1,,,,,,
team,201912160nor,nor,Rush-Yds-TDs,33-117-0,,,,,,
team,201912160nor,clt,Cmp-Att-Yd-TD-INT,18-34-165-0-0,,,,,,
team,201912160nor,nor,Cmp-Att-Yd-TD-INT,29-30-307-4-0,,,,,,
team,201912160nor,clt,Sacked-Yards,1-6,,,,,,
team,201912160nor,nor,Sacked-Yards,0-0,,,,,,
team,201912160nor,clt,Net Pass Yards,159,,,,,,
team,201912160nor,nor,Net Pass Yards,307,,,,,,
team,201912160nor,clt,Total Yards,205,,,,,,
team,201912160nor,nor,Total Yards,424,,,,,,
team,201912160nor,clt,Fumbles-Lost,0-0,,,,,,
team,201912160nor,nor,Fumbles-Lost,0-0,,,,,,
team,201912160nor,clt,Turnovers,0,,,,,,
team,201912160nor,nor,Turnovers,0,,,,,,
team,201912160nor,clt,Penalties-Yards,7-49,,,,,,
team,201912160nor,nor,Penalties-Yards,6-52,,,,,,
team,201912160nor,clt,Third Down Conv.,3-12,,,,,,
team,201912160nor,nor,Third Down Conv.,5-9,,,,,,
team,201912160nor,clt,Fourth Down Conv.,1-2,,,,,,
team,201912160nor,nor,Fourth Down Conv.,0-0,,,,,,
team,201912160nor,clt,Time of Possession,23:38,,,,,,
team,201912160nor,nor,Time of Possession,36:22,,,,,,
player,201912160nor,clt,BrisJa00,pass_cmp,18,,,,,
player,201912160nor,clt,BrisJa00,pass_att,34,,,,,
player,201912160nor,clt,BrisJa00,pass_yds,165,,,,,
player,201912160nor,clt,BrisJa00,pass_td,0,,,,,
player,201912160nor,clt,BrisJa00,pass_int,0,,,,,
player,201912160nor,clt,BrisJa00,pass_sacked,1,,,,,
player,201912160nor,clt,BrisJa00,pass_sacked_yds,6,,,,,
player,201912160nor,clt,BrisJa00,pass_long,24,,,,,
player,201912160nor,clt,BrisJa00,pass_rating,66.4,,,,,
player,201912160nor,clt,BrisJa00,rush_att,1,,,,,
player,201912160nor,clt,BrisJa00,rush_yds,7,,,,,
player,201912160nor,clt,BrisJa00,rush_td,0,,,,,
player,201912160nor,clt,BrisJa00,rush_long,7,,,,,
player,201912160nor,clt,BrisJa00,targets,0,,,,,
player,201912160nor,clt,BrisJa00,rec,0,,,,,
player,201912160nor,clt,BrisJa00,rec_yds,0,,,,,
player,201912160nor,clt,BrisJa00,rec_td,0,,,,,
player,201912160nor,clt,BrisJa00,rec_long,0,,,,,
player,201912160nor,clt,BrisJa00,fumbles,0,,,,,
player,201912160nor,clt,BrisJa00,fumbles_lost,0,,,,,
player,201912160nor,clt,MackMa00,pass_cmp,0,,,,,
player,201912160nor,clt,MackMa00,pass_att,0,,,,,
player,201912160nor,clt,MackMa00,pass_yds,0,,,,,
player,201912160nor,clt,MackMa00,pass_td,0,,,,,
player,201912160nor,clt,MackMa00,pass_int,0,,,,,
player,201912160nor,clt,MackMa00,pass_sacked,0,,,,,
player,201912160nor,clt,MackMa00,pass_sacked_yds,0,,,,,
player,201912160nor,clt,MackMa00,pass_long,0,,,,,
player,201912160nor,clt,MackMa00,pass_rating,,,,,,
player,201912160nor,clt,MackMa00,rush_att,11,,,,,
player,201912160nor,clt,MackMa00,rush_yds,19,,,,,
player,201912160nor,clt,MackMa00,rush_td,0,,,,,
player,201912160nor,clt,MackMa00,rush_long,7,,,,,
player,201912160nor,clt,MackMa00,targets,0,,,,,
player,201912160nor,clt,MackMa00,rec,0,,,,,
player,201912160nor,clt,MackMa00,rec_yds,0,,,,,
player,201912160nor,clt,MackMa00,rec_td,0,,,,,
player,201912160nor,clt,MackMa00,rec_long,0,,,,,
player,201912160nor,clt,MackMa00,fumbles,0,,,,,
player,201912160nor,clt,MackMa00,fumbles_lost,0,,,,,
player,201912160nor,clt,WilkJo01,pass_cmp,0,,,,,
player,201912160nor,clt,WilkJo01,pass_att,0,,,,,
player,201912160nor,clt,WilkJo01,pass_yds,0,,,,,
player,201912160nor,clt,WilkJo01,pass_td,0,,,,,
player,201912160nor,clt,WilkJo01,pass_int,0,,,,,
player,201912160nor,clt,WilkJo01,pass_sacked,0,,,,,
player,201912160nor,clt,WilkJo01,pass_sacked_yds,0,,,,,
player,201912160nor,clt,WilkJo01,pass_long,0,,,,,
player,201912160nor,clt,WilkJo01,pass_rating,,,,,,
player,201912160nor,clt,WilkJo01,rush_att,3,,,,,
player,201912160nor,clt,WilkJo01,rush_yds,10,,,,,
player,201912160nor,clt,WilkJo01,rush_td,1,,,,,
player,201912160nor,clt,WilkJo01,rush_long,5,,,,,
player,201912160nor,clt,WilkJo01,targets,3,,,,,
player,201912160nor,clt,WilkJo01,rec,1,,,,,
player,201912160nor,clt,WilkJo01,rec_yds,7,,,,,
player,201912160nor,clt,WilkJo01,rec_td,0,,,,,
player,201912160nor,clt,WilkJo01,rec_long,7,,,,,
player,201912160nor,clt,WilkJo01,fumbles,0,,,,,
player,201912160nor,clt,WilkJo01,fumbles_lost,0,,,,,
player,201912160nor,clt,HineNy00,pass_cmp,0,,,,,
player,201912160nor,clt,HineNy00,pass_att,0,,,,,
player,201912160nor,clt,HineNy00,pass_yds,0,,,,,
player,201912160nor,clt,HineNy00,pass_td,0,,,,,
player,201912160nor,clt,HineNy00,pass_int,0,,,,,
player,201912160nor,clt,HineNy00,pass_sacked,0,,,,,
player,201912160nor,clt,HineNy00,pass_sacked_yds,0,,,,,
player,201912160nor,clt,HineNy00,pass_long,0,,,,,
player,201912160nor,clt,HineNy00,pass_rating,,,,,,
player,201912160nor,clt,HineNy00,rush_att,2,,,,,
player,201912160nor,clt,HineNy00,rush_yds,10,,,,,
player,201912160nor,clt,HineNy00,rush_td,0,,,,,
player,201912160nor,clt,HineNy00,rush_long,5,,,,,
player,201912160nor,clt,HineNy00,targets,2,,,,,
player,201912160nor,clt,HineNy00,rec,2,,,,,
player,201912160nor,clt,HineNy00,rec_yds,2,,,,,
player,201912160nor,clt,HineNy00,rec_td,0,,,,,
player,201912160nor,clt,HineNy00,rec_long,1,,,,,
player,201912160nor,clt,HineNy00,fumbles,0,,,,,
player,201912160nor,clt,HineNy00,fumbles_lost,0,,,,,
player,201912160nor,clt,PascZa00,pass_cmp,0,,,,,
player,201912160nor,clt,PascZa00,pass_att,0,,,,,
player,201912160nor,clt,PascZa00,pass_yds,0,,,,,
player,201912160nor,clt,PascZa00,pass_td,0,,,,,
player,201912160nor,clt,PascZa00,pass_int,0,,,,,
player,201912160nor,clt,PascZa00,pass_sacked,0,,,,,
player,201912160nor,clt,PascZa00,pass_sacked_yds,0,,,,,
player,201912160nor,clt,PascZa00,pass_long,0,,,,,
player,201912160nor,clt,PascZa00,pass_rating,,,,,,
player,201912160nor,clt,PascZa00,rush_att,0,,,,,
player,201912160nor,clt,PascZa00,rush_yds,0,,,,,
player,201912160nor,clt,PascZa00,rush_td,0,,,,,
player,201912160nor,clt,PascZa00,rush_long,0,,,,,
player,201912160nor,clt,PascZa00,targets,6,,,,,
player,201912160nor,clt,PascZa00,rec,4,,,,,
player,201912160nor,clt,PascZa00,rec_yds,44,,,,,
player,201912160nor,clt,PascZa00,rec_td,0,,,,,
player,201912160nor,clt,PascZa00,rec_long,24,,,,,
player,201912160nor,clt,PascZa00,fumbles,0,,,,,
player,201912160nor,clt,PascZa00,fumbles_lost,0,,,,,
player,201912160nor,clt,JohnMa07,pass_cmp,0,,,,,
player,201912160nor,clt,JohnMa07,pass_att,0,,,,,
player,201912160nor,clt,JohnMa07,pass_yds,0,,,,,
player,201912160nor,clt,JohnMa07,pass_td,0,,,,,
player,201912160nor,clt,JohnMa07,pass_int,0,,,,,
player,201912160nor,clt,JohnMa07,pass_sacked,0,,,,,
player,201912160nor,clt,JohnMa07,pass_sacked_yds,0,,,,,
player,201912160nor,clt,JohnMa07,pass_long,0,,,,,
player,201912160nor,clt,JohnMa07,pass_rating,,,,,,
player,201912160nor,clt,JohnMa07,rush_att,0,,,,,
player,201912160nor,clt,JohnMa07,rush_yds,0,,,,,
player,201912160nor,clt,JohnMa07,rush_td,0,,,,,
player,201912160nor,clt,JohnMa07,rush_long,0,,,,,
player,201912160nor,clt,JohnMa07,targets,4,,,,,
player,201912160nor,clt,JohnMa07,rec,2,,,,,
player,201912160nor,clt,JohnMa07,rec_yds,37,,,,,
player,201912160nor,clt,JohnMa07,rec_td,0,,,,,
player,201912160nor,clt,JohnMa07,rec_long,20,,,,,
player,201912160nor,clt,JohnMa07,fumbles,0,,,,,
player,201912160nor,clt,JohnMa07,fumbles_lost,0,,,,,
player,201912160nor,clt,InmaDo00,pass_cmp,0,,,,,
player,201912160nor,clt,InmaDo00,pass_att,0,,,,,
player,201912160nor,clt,InmaDo00,pass_yds,0,,,,,
player,201912160nor,clt,InmaDo00,pass_td,0,,,,,
player,201912160nor,clt,InmaDo00,pass_int,0,,,,,
player,201912160nor,clt,InmaDo00,pass_sacked,0,,,,,
player,201912160nor,clt,InmaDo00,pass_sacked_yds,0,,,,,
player,201912160nor,clt,InmaDo00,pass_long,0,,,,,
player,201912160nor,clt,InmaDo00,pass_rating,,,,,,
player,201912160nor,clt,InmaDo00,rush_att,0,,,,,
player,201912160nor,clt,InmaDo00,rush_yds,0,,,,,
player,201912160nor,clt,InmaDo00,rush_td,0,,,,,
player,201912160nor,clt,InmaDo00,rush_long,0,,,,,
player,201912160nor,clt,InmaDo00,targets,3,,,,,
player,201912160nor,clt,InmaDo00,rec,2,,,,,
player,201912160nor,clt,InmaDo00,rec_yds,25,,,,,
player,201912160nor,clt,InmaDo00,rec_td,0,,,,,
player,201912160nor,clt,InmaDo00,rec_long,22,,,,,
player,201912160nor,clt,InmaDo00,fumbles,0,,,,,
player,201912160nor,clt,InmaDo00,fumbles_lost,0,,,,,
player,201912160nor,clt,HiltT.00,pass_cmp,0,,,,,
player,201912160nor,clt,HiltT.00,pass_att,0,,,,,
player,201912160nor,clt,HiltT.00,pass_yds,0,,,,,
player,201912160nor,clt,HiltT.00,pass_td,0,,,,,
player,201912160nor,clt,HiltT.00,pass_int,0,,,,,
player,201912160nor,clt,HiltT.00,pass_sacked,0,,,,,
player,201912160nor,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201912160nor,clt,HiltT.00,pass_long,0,,,,,
player,201912160nor,clt,HiltT.00,pass_rating,,,,,,
player,201912160nor,clt,HiltT.00,rush_att,0,,,,,
player,201912160nor,clt,HiltT.00,rush_yds,0,,,,,
player,201912160nor,clt,HiltT.00,rush_td,0,,,,,
player,201912160nor,clt,HiltT.00,rush_long,0,,,,,
player,201912160nor,clt,HiltT.00,targets,9,,,,,
player,201912160nor,clt,HiltT.00,rec,4,,,,,
player,201912160nor,clt,HiltT.00,rec_yds,25,,,,,
player,201912160nor,clt,HiltT.00,rec_td,0,,,,,
player,201912160nor,clt,HiltT.00,rec_long,11,,,,,
player,201912160nor,clt,HiltT.00,fumbles,0,,,,,
player,201912160nor,clt,HiltT.00,fumbles_lost,0,,,,,
player,201912160nor,clt,DoylJa00,pass_cmp,0,,,,,
player,201912160nor,clt,DoylJa00,pass_att,0,,,,,
player,201912160nor,clt,DoylJa00,pass_yds,0,,,,,
player,201912160nor,clt,DoylJa00,pass_td,0,,,,,
player,201912160nor,clt,DoylJa00,pass_int,0,,,,,
player,201912160nor,clt,DoylJa00,pass_sacked,0,,,,,
player,201912160nor,clt,DoylJa00,pass_sacked_yds,0,,,,,
player,201912160nor,clt,DoylJa00,pass_long,0,,,,,
player,201912160nor,clt,DoylJa00,pass_rating,,,,,,
player,201912160nor,clt,DoylJa00,rush_att,0,,,,,
player,201912160nor,clt,DoylJa00,rush_yds,0,,,,,
player,201912160nor,clt,DoylJa00,rush_td,0,,,,,
player,201912160nor,clt,DoylJa00,rush_long,0,,,,,
player,201912160nor,clt,DoylJa00,targets,5,,,,,
player,201912160nor,clt,DoylJa00,rec,2,,,,,
player,201912160nor,clt,DoylJa00,rec_yds,21,,,,,
player,201912160nor,clt,DoylJa00,rec_td,0,,,,,
player,201912160nor,clt,DoylJa00,rec_long,11,,,,,
player,201912160nor,clt,DoylJa00,fumbles,0,,,,,
player,201912160nor,clt,DoylJa00,fumbles_lost,0,,,,,
player,201912160nor,clt,DuliAs00,pass_cmp,0,,,,,
player,201912160nor,clt,DuliAs00,pass_att,0,,,,,
player,201912160nor,clt,DuliAs00,pass_yds,0,,,,,
player,201912160nor,clt,DuliAs00,pass_td,0,,,,,
player,201912160nor,clt,DuliAs00,pass_int,0,,,,,
player,201912160nor,clt,DuliAs00,pass_sacked,0,,,,,
player,201912160nor,clt,DuliAs00,pass_sacked_yds,0,,,,,
player,201912160nor,clt,DuliAs00,pass_long,0,,,,,
player,201912160nor,clt,DuliAs00,pass_rating,,,,,,
player,201912160nor,clt,DuliAs00,rush_att,0,,,,,
player,201912160nor,clt,DuliAs00,rush_yds,0,,,,,
player,201912160nor,clt,DuliAs00,rush_td,0,,,,,
player,201912160nor,clt,DuliAs00,rush_long,0,,,,,
player,201912160nor,clt,DuliAs00,targets,1,,,,,
player,201912160nor,clt,DuliAs00,rec,1,,,,,
player,201912160nor,clt,DuliAs00,rec_yds,4,,,,,
player,201912160nor,clt,DuliAs00,rec_td,0,,,,,
player,201912160nor,clt,DuliAs00,rec_long,4,,,,,
player,201912160nor,clt,DuliAs00,fumbles,0,,,,,
player,201912160nor,clt,DuliAs00,fumbles_lost,0,,,,,
player,201912160nor,nor,BreeDr00,pass_cmp,29,,,,,
player,201912160nor,nor,BreeDr00,pass_att,30,,,,,
player,201912160nor,nor,BreeDr00,pass_yds,307,,,,,
player,201912160nor,nor,BreeDr00,pass_td,4,,,,,
player,201912160nor,nor,BreeDr00,pass_int,0,,,,,
player,201912160nor,nor,BreeDr00,pass_sacked,0,,,,,
player,201912160nor,nor,BreeDr00,pass_sacked_yds,0,,,,,
player,201912160nor,nor,BreeDr00,pass_long,28,,,,,
player,201912160nor,nor,BreeDr00,pass_rating,148.9,,,,,
player,201912160nor,nor,BreeDr00,rush_att,0,,,,,
player,201912160nor,nor,BreeDr00,rush_yds,0,,,,,
player,201912160nor,nor,BreeDr00,rush_td,0,,,,,
player,201912160nor,nor,BreeDr00,rush_long,0,,,,,
player,201912160nor,nor,BreeDr00,targets,0,,,,,
player,201912160nor,nor,BreeDr00,rec,0,,,,,
player,201912160nor,nor,BreeDr00,rec_yds,0,,,,,
player,201912160nor,nor,BreeDr00,rec_td,0,,,,,
player,201912160nor,nor,BreeDr00,rec_long,0,,,,,
player,201912160nor,nor,BreeDr00,fumbles,0,,,,,
player,201912160nor,nor,BreeDr00,fumbles_lost,0,,,,,
player,201912160nor,nor,KamaAl00,pass_cmp,0,,,,,
player,201912160nor,nor,KamaAl00,pass_att,0,,,,,
player,201912160nor,nor,KamaAl00,pass_yds,0,,,,,
player,201912160nor,nor,KamaAl00,pass_td,0,,,,,
player,201912160nor,nor,KamaAl00,pass_int,0,,,,,
player,201912160nor,nor,KamaAl00,pass_sacked,0,,,,,
player,201912160nor,nor,KamaAl00,pass_sacked_yds,0,,,,,
player,201912160nor,nor,KamaAl00,pass_long,0,,,,,
player,201912160nor,nor,KamaAl00,pass_rating,,,,,,
player,201912160nor,nor,KamaAl00,rush_att,14,,,,,
player,201912160nor,nor,KamaAl00,rush_yds,66,,,,,
player,201912160nor,nor,KamaAl00,rush_td,0,,,,,
player,201912160nor,nor,KamaAl00,rush_long,15,,,,,
player,201912160nor,nor,KamaAl00,targets,5,,,,,
player,201912160nor,nor,KamaAl00,rec,5,,,,,
player,201912160nor,nor,KamaAl00,rec_yds,23,,,,,
player,201912160nor,nor,KamaAl00,rec_td,0,,,,,
player,201912160nor,nor,KamaAl00,rec_long,7,,,,,
player,201912160nor,nor,KamaAl00,fumbles,0,,,,,
player,201912160nor,nor,KamaAl00,fumbles_lost,0,,,,,
player,201912160nor,nor,MurrLa00,pass_cmp,0,,,,,
player,201912160nor,nor,MurrLa00,pass_att,0,,,,,
player,201912160nor,nor,MurrLa00,pass_yds,0,,,,,
player,201912160nor,nor,MurrLa00,pass_td,0,,,,,
player,201912160nor,nor,MurrLa00,pass_int,0,,,,,
player,201912160nor,nor,MurrLa00,pass_sacked,0,,,,,
player,201912160nor,nor,MurrLa00,pass_sacked_yds,0,,,,,
player,201912160nor,nor,MurrLa00,pass_long,0,,,,,
player,201912160nor,nor,MurrLa00,pass_rating,,,,,,
player,201912160nor,nor,MurrLa00,rush_att,9,,,,,
player,201912160nor,nor,MurrLa00,rush_yds,29,,,,,
player,201912160nor,nor,MurrLa00,rush_td,0,,,,,
player,201912160nor,nor,MurrLa00,rush_long,8,,,,,
player,201912160nor,nor,MurrLa00,targets,3,,,,,
player,201912160nor,nor,MurrLa00,rec,2,,,,,
player,201912160nor,nor,MurrLa00,rec_yds,20,,,,,
