game,2019,13,20191201,201912010mia,phi,"Philadelphia Eagles",31,mia,"Miami Dolphins",37
player,201912010mia,phi,GoedDa00,pass_cmp,0,,,,,
player,201912010mia,phi,GoedDa00,pass_att,0,,,,,
player,201912010mia,phi,GoedDa00,pass_yds,0,,,,,
player,201912010mia,phi,GoedDa00,pass_td,0,,,,,
player,201912010mia,phi,GoedDa00,pass_int,0,,,,,
player,201912010mia,phi,GoedDa00,pass_sacked,0,,,,,
player,201912010mia,phi,GoedDa00,pass_sacked_yds,0,,,,,
player,201912010mia,phi,GoedDa00,pass_long,0,,,,,
player,201912010mia,phi,GoedDa00,pass_rating,,,,,,
player,201912010mia,phi,GoedDa00,rush_att,0,,,,,
player,201912010mia,phi,GoedDa00,rush_yds,0,,,,,
player,201912010mia,phi,GoedDa00,rush_td,0,,,,,
player,201912010mia,phi,GoedDa00,rush_long,0,,,,,
player,201912010mia,phi,GoedDa00,targets,7,,,,,
player,201912010mia,phi,GoedDa00,rec,6,,,,,
player,201912010mia,phi,GoedDa00,rec_yds,66,,,,,
player,201912010mia,phi,GoedDa00,rec_td,0,,,,,
player,201912010mia,phi,GoedDa00,rec_long,24,,,,,
player,201912010mia,phi,GoedDa00,fumbles,0,,,,,
player,201912010mia,phi,GoedDa00,fumbles_lost,0,,,,,
player,201912010mia,phi,AghoNe00,pass_cmp,0,,,,,
player,201912010mia,phi,AghoNe00,pass_att,0,,,,,
player,201912010mia,phi,AghoNe00,pass_yds,0,,,,,
player,201912010mia,phi,AghoNe00,pass_td,0,,,,,
player,201912010mia,phi,AghoNe00,pass_int,0,,,,,
player,201912010mia,phi,AghoNe00,pass_sacked,0,,,,,
player,201912010mia,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201912010mia,phi,AghoNe00,pass_long,0,,,,,
player,201912010mia,phi,AghoNe00,pass_rating,,,,,,
player,201912010mia,phi,AghoNe00,rush_att,0,,,,,
player,201912010mia,phi,AghoNe00,rush_yds,0,,,,,
player,201912010mia,phi,AghoNe00,rush_td,0,,,,,
player,201912010mia,phi,AghoNe00,rush_long,0,,,,,
player,201912010mia,phi,AghoNe00,targets,6,,,,,
player,201912010mia,phi,AghoNe00,rec,3,,,,,
player,201912010mia,phi,AghoNe00,rec_yds,41,,,,,
player,201912010mia,phi,AghoNe00,rec_td,0,,,,,
player,201912010mia,phi,AghoNe00,rec_long,24,,,,,
player,201912010mia,phi,AghoNe00,fumbles,0,,,,,
player,201912010mia,phi,AghoNe00,fumbles_lost,0,,,,,
player,201912010mia,phi,ErtzZa00,pass_cmp,0,,,,,
player,201912010mia,phi,ErtzZa00,pass_att,0,,,,,
player,201912010mia,phi,ErtzZa00,pass_yds,0,,,,,
player,201912010mia,phi,ErtzZa00,pass_td,0,,,,,
player,201912010mia,phi,ErtzZa00,pass_int,0,,,,,
player,201912010mia,phi,ErtzZa00,pass_sacked,0,,,,,
player,201912010mia,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201912010mia,phi,ErtzZa00,pass_long,0,,,,,
player,201912010mia,phi,ErtzZa00,pass_rating,,,,,,
player,201912010mia,phi,ErtzZa00,rush_att,0,,,,,
player,201912010mia,phi,ErtzZa00,rush_yds,0,,,,,
player,201912010mia,phi,ErtzZa00,rush_td,0,,,,,
player,201912010mia,phi,ErtzZa00,rush_long,0,,,,,
player,201912010mia,phi,ErtzZa00,targets,6,,,,,
player,201912010mia,phi,ErtzZa00,rec,3,,,,,
player,201912010mia,phi,ErtzZa00,rec_yds,24,,,,,
player,201912010mia,phi,ErtzZa00,rec_td,0,,,,,
player,201912010mia,phi,ErtzZa00,rec_long,12,,,,,
player,201912010mia,phi,ErtzZa00,fumbles,0,,,,,
player,201912010mia,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201912010mia,phi,ArceJJ00,pass_cmp,0,,,,,
player,201912010mia,phi,ArceJJ00,pass_att,0,,,,,
player,201912010mia,phi,ArceJJ00,pass_yds,0,,,,,
player,201912010mia,phi,ArceJJ00,pass_td,0,,,,,
player,201912010mia,phi,ArceJJ00,pass_int,0,,,,,
player,201912010mia,phi,ArceJJ00,pass_sacked,0,,,,,
player,201912010mia,phi,ArceJJ00,pass_sacked_yds,0,,,,,
player,201912010mia,phi,ArceJJ00,pass_long,0,,,,,
player,201912010mia,phi,ArceJJ00,pass_rating,,,,,,
player,201912010mia,phi,ArceJJ00,rush_att,0,,,,,
player,201912010mia,phi,ArceJJ00,rush_yds,0,,,,,
player,201912010mia,phi,ArceJJ00,rush_td,0,,,,,
player,201912010mia,phi,ArceJJ00,rush_long,0,,,,,
player,201912010mia,phi,ArceJJ00,targets,2,,,,,
player,201912010mia,phi,ArceJJ00,rec,1,,,,,
player,201912010mia,phi,ArceJJ00,rec_yds,15,,,,,
player,201912010mia,phi,ArceJJ00,rec_td,1,,,,,
player,201912010mia,phi,ArceJJ00,rec_long,15,,,,,
player,201912010mia,phi,ArceJJ00,fumbles,0,,,,,
player,201912010mia,phi,ArceJJ00,fumbles_lost,0,,,,,
player,201912010mia,phi,WardGr02,pass_cmp,0,,,,,
player,201912010mia,phi,WardGr02,pass_att,0,,,,,
player,201912010mia,phi,WardGr02,pass_yds,0,,,,,
player,201912010mia,phi,WardGr02,pass_td,0,,,,,
player,201912010mia,phi,WardGr02,pass_int,0,,,,,
player,201912010mia,phi,WardGr02,pass_sacked,0,,,,,
player,201912010mia,phi,WardGr02,pass_sacked_yds,0,,,,,
player,201912010mia,phi,WardGr02,pass_long,0,,,,,
player,201912010mia,phi,WardGr02,pass_rating,,,,,,
