game,2019,8,20191027,201910270nor,crd,"Arizona Cardinals",9,nor,"New Orleans Saints",31
team,201910270nor,crd,First Downs,10,,,,,,
team,201910270nor,nor,First Downs,28,,,,,,
team,201910270nor,crd,Rush-Yds-TDs,11-40-0,,,,,,
team,201910270nor,nor,Rush-Yds-TDs,29-137-1,,,,,,
team,201910270nor,crd,Cmp-Att-Yd-TD-INT,19-34-220-0-0,,,,,,
team,201910270nor,nor,Cmp-Att-Yd-TD-INT,34-43-373-3-1,,,,,,
team,201910270nor,crd,Sacked-Yards,4-23,,,,,,
team,201910270nor,nor,Sacked-Yards,0-0,,,,,,
team,201910270nor,crd,Net Pass Yards,197,,,,,,
team,201910270nor,nor,Net Pass Yards,373,,,,,,
team,201910270nor,crd,Total Yards,237,,,,,,
team,201910270nor,nor,Total Yards,510,,,,,,
team,201910270nor,crd,Fumbles-Lost,1-0,,,,,,
team,201910270nor,nor,Fumbles-Lost,0-0,,,,,,
team,201910270nor,crd,Turnovers,0,,,,,,
team,201910270nor,nor,Turnovers,1,,,,,,
team,201910270nor,crd,Penalties-Yards,5-35,,,,,,
team,201910270nor,nor,Penalties-Yards,2-15,,,,,,
team,201910270nor,crd,Third Down Conv.,2-12,,,,,,
team,201910270nor,nor,Third Down Conv.,7-12,,,,,,
team,201910270nor,crd,Fourth Down Conv.,0-2,,,,,,
team,201910270nor,nor,Fourth Down Conv.,0-0,,,,,,
team,201910270nor,crd,Time of Possession,22:01,,,,,,
team,201910270nor,nor,Time of Possession,37:59,,,,,,
player,201910270nor,crd,MurrKy00,pass_cmp,19,,,,,
player,201910270nor,crd,MurrKy00,pass_att,33,,,,,
player,201910270nor,crd,MurrKy00,pass_yds,220,,,,,
player,201910270nor,crd,MurrKy00,pass_td,0,,,,,
player,201910270nor,crd,MurrKy00,pass_int,0,,,,,
player,201910270nor,crd,MurrKy00,pass_sacked,3,,,,,
player,201910270nor,crd,MurrKy00,pass_sacked_yds,19,,,,,
player,201910270nor,crd,MurrKy00,pass_long,47,,,,,
player,201910270nor,crd,MurrKy00,pass_rating,77.8,,,,,
player,201910270nor,crd,MurrKy00,rush_att,2,,,,,
player,201910270nor,crd,MurrKy00,rush_yds,13,,,,,
player,201910270nor,crd,MurrKy00,rush_td,0,,,,,
player,201910270nor,crd,MurrKy00,rush_long,8,,,,,
