game,2019,8,20191027,201910270sfo,car,"Carolina Panthers",13,sfo,"San Francisco 49ers",51
team,201910270sfo,car,First Downs,12,,,,,,
team,201910270sfo,sfo,First Downs,24,,,,,,
team,201910270sfo,car,Rush-Yds-TDs,19-130-1,,,,,,
team,201910270sfo,sfo,Rush-Yds-TDs,38-232-5,,,,,,
team,201910270sfo,car,Cmp-Att-Yd-TD-INT,19-37-158-0-3,,,,,,
team,201910270sfo,sfo,Cmp-Att-Yd-TD-INT,18-22-175-2-1,,,,,,
team,201910270sfo,car,Sacked-Yards,7-58,,,,,,
team,201910270sfo,sfo,Sacked-Yards,3-19,,,,,,
team,201910270sfo,car,Net Pass Yards,100,,,,,,
team,201910270sfo,sfo,Net Pass Yards,156,,,,,,
team,201910270sfo,car,Total Yards,230,,,,,,
team,201910270sfo,sfo,Total Yards,388,,,,,,
team,201910270sfo,car,Fumbles-Lost,1-0,,,,,,
team,201910270sfo,sfo,Fumbles-Lost,0-0,,,,,,
team,201910270sfo,car,Turnovers,3,,,,,,
team,201910270sfo,sfo,Turnovers,1,,,,,,
team,201910270sfo,car,Penalties-Yards,9-70,,,,,,
team,201910270sfo,sfo,Penalties-Yards,4-31,,,,,,
team,201910270sfo,car,Third Down Conv.,2-13,,,,,,
team,201910270sfo,sfo,Third Down Conv.,5-10,,,,,,
team,201910270sfo,car,Fourth Down Conv.,0-2,,,,,,
team,201910270sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201910270sfo,car,Time of Possession,26:59,,,,,,
team,201910270sfo,sfo,Time of Possession,33:01,,,,,,
player,201910270sfo,car,AlleKy00,pass_cmp,19,,,,,
player,201910270sfo,car,AlleKy00,pass_att,37,,,,,
player,201910270sfo,car,AlleKy00,pass_yds,158,,,,,
player,201910270sfo,car,AlleKy00,pass_td,0,,,,,
player,201910270sfo,car,AlleKy00,pass_int,3,,,,,
player,201910270sfo,car,AlleKy00,pass_sacked,7,,,,,
player,201910270sfo,car,AlleKy00,pass_sacked_yds,58,,,,,
player,201910270sfo,car,AlleKy00,pass_long,24,,,,,
player,201910270sfo,car,AlleKy00,pass_rating,28.9,,,,,
player,201910270sfo,car,AlleKy00,rush_att,0,,,,,
player,201910270sfo,car,AlleKy00,rush_yds,0,,,,,
player,201910270sfo,car,AlleKy00,rush_td,0,,,,,
player,201910270sfo,car,AlleKy00,rush_long,0,,,,,
player,201910270sfo,car,AlleKy00,targets,0,,,,,
player,201910270sfo,car,AlleKy00,rec,0,,,,,
player,201910270sfo,car,AlleKy00,rec_yds,0,,,,,
player,201910270sfo,car,AlleKy00,rec_td,0,,,,,
player,201910270sfo,car,AlleKy00,rec_long,0,,,,,
player,201910270sfo,car,AlleKy00,fumbles,0,,,,,
player,201910270sfo,car,AlleKy00,fumbles_lost,0,,,,,
player,201910270sfo,car,McCaCh01,pass_cmp,0,,,,,
player,201910270sfo,car,McCaCh01,pass_att,0,,,,,
player,201910270sfo,car,McCaCh01,pass_yds,0,,,,,
player,201910270sfo,car,McCaCh01,pass_td,0,,,,,
player,201910270sfo,car,McCaCh01,pass_int,0,,,,,
player,201910270sfo,car,McCaCh01,pass_sacked,0,,,,,
player,201910270sfo,car,McCaCh01,pass_sacked_yds,0,,,,,
player,201910270sfo,car,McCaCh01,pass_long,0,,,,,
player,201910270sfo,car,McCaCh01,pass_rating,,,,,,
player,201910270sfo,car,McCaCh01,rush_att,14,,,,,
player,201910270sfo,car,McCaCh01,rush_yds,117,,,,,
player,201910270sfo,car,McCaCh01,rush_td,1,,,,,
