game,2019,11,20191117,201911170det,dal,"Dallas Cowboys",35,det,"Detroit Lions",27
team,201911170det,dal,First Downs,26,,,,,,
team,201911170det,det,First Downs,19,,,,,,
team,201911170det,dal,Rush-Yds-TDs,24-75-1,,,,,,
team,201911170det,det,Rush-Yds-TDs,28-121-2,,,,,,
team,201911170det,dal,Cmp-Att-Yd-TD-INT,29-46-444-3-0,,,,,,
team,201911170det,det,Cmp-Att-Yd-TD-INT,15-26-209-2-0,,,,,,
team,201911170det,dal,Sacked-Yards,1-10,,,,,,
team,201911170det,det,Sacked-Yards,3-18,,,,,,
team,201911170det,dal,Net Pass Yards,434,,,,,,
team,201911170det,det,Net Pass Yards,191,,,,,,
team,201911170det,dal,Total Yards,509,,,,,,
team,201911170det,det,Total Yards,312,,,,,,
team,201911170det,dal,Fumbles-Lost,1-1,,,,,,
team,201911170det,det,Fumbles-Lost,0-0,,,,,,
team,201911170det,dal,Turnovers,1,,,,,,
team,201911170det,det,Turnovers,0,,,,,,
team,201911170det,dal,Penalties-Yards,6-45,,,,,,
team,201911170det,det,Penalties-Yards,11-89,,,,,,
team,201911170det,dal,Third Down Conv.,8-14,,,,,,
team,201911170det,det,Third Down Conv.,6-13,,,,,,
team,201911170det,dal,Fourth Down Conv.,0-0,,,,,,
team,201911170det,det,Fourth Down Conv.,0-0,,,,,,
team,201911170det,dal,Time of Possession,30:54,,,,,,
team,201911170det,det,Time of Possession,29:06,,,,,,
player,201911170det,dal,PresDa01,pass_cmp,29,,,,,
player,201911170det,dal,PresDa01,pass_att,46,,,,,
player,201911170det,dal,PresDa01,pass_yds,444,,,,,
player,201911170det,dal,PresDa01,pass_td,3,,,,,
player,201911170det,dal,PresDa01,pass_int,0,,,,,
player,201911170det,dal,PresDa01,pass_sacked,1,,,,,
player,201911170det,dal,PresDa01,pass_sacked_yds,10,,,,,
player,201911170det,dal,PresDa01,pass_long,49,,,,,
player,201911170det,dal,PresDa01,pass_rating,116.6,,,,,
player,201911170det,dal,PresDa01,rush_att,6,,,,,
player,201911170det,dal,PresDa01,rush_yds,18,,,,,
player,201911170det,dal,PresDa01,rush_td,0,,,,,
player,201911170det,dal,PresDa01,rush_long,9,,,,,
player,201911170det,dal,PresDa01,targets,0,,,,,
player,201911170det,dal,PresDa01,rec,0,,,,,
player,201911170det,dal,PresDa01,rec_yds,0,,,,,
player,201911170det,dal,PresDa01,rec_td,0,,,,,
player,201911170det,dal,PresDa01,rec_long,0,,,,,
player,201911170det,dal,PresDa01,fumbles,0,,,,,
player,201911170det,dal,PresDa01,fumbles_lost,0,,,,,
player,201911170det,dal,ElliEz00,pass_cmp,0,,,,,
player,201911170det,dal,ElliEz00,pass_att,0,,,,,
player,201911170det,dal,ElliEz00,pass_yds,0,,,,,
player,201911170det,dal,ElliEz00,pass_td,0,,,,,
player,201911170det,dal,ElliEz00,pass_int,0,,,,,
player,201911170det,dal,ElliEz00,pass_sacked,0,,,,,
player,201911170det,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201911170det,dal,ElliEz00,pass_long,0,,,,,
player,201911170det,dal,ElliEz00,pass_rating,,,,,,
player,201911170det,dal,ElliEz00,rush_att,16,,,,,
player,201911170det,dal,ElliEz00,rush_yds,45,,,,,
player,201911170det,dal,ElliEz00,rush_td,1,,,,,
player,201911170det,dal,ElliEz00,rush_long,8,,,,,
player,201911170det,dal,ElliEz00,targets,3,,,,,
player,201911170det,dal,ElliEz00,rec,2,,,,,
player,201911170det,dal,ElliEz00,rec_yds,28,,,,,
player,201911170det,dal,ElliEz00,rec_td,1,,,,,
player,201911170det,dal,ElliEz00,rec_long,17,,,,,
player,201911170det,dal,ElliEz00,fumbles,1,,,,,
player,201911170det,dal,ElliEz00,fumbles_lost,1,,,,,
player,201911170det,dal,PollTo00,pass_cmp,0,,,,,
player,201911170det,dal,PollTo00,pass_att,0,,,,,
player,201911170det,dal,PollTo00,pass_yds,0,,,,,
player,201911170det,dal,PollTo00,pass_td,0,,,,,
player,201911170det,dal,PollTo00,pass_int,0,,,,,
player,201911170det,dal,PollTo00,pass_sacked,0,,,,,
player,201911170det,dal,PollTo00,pass_sacked_yds,0,,,,,
player,201911170det,dal,PollTo00,pass_long,0,,,,,
player,201911170det,dal,PollTo00,pass_rating,,,,,,
player,201911170det,dal,PollTo00,rush_att,2,,,,,
player,201911170det,dal,PollTo00,rush_yds,12,,,,,
player,201911170det,dal,PollTo00,rush_td,0,,,,,
player,201911170det,dal,PollTo00,rush_long,7,,,,,
player,201911170det,dal,PollTo00,targets,4,,,,,
player,201911170det,dal,PollTo00,rec,4,,,,,
player,201911170det,dal,PollTo00,rec_yds,44,,,,,
player,201911170det,dal,PollTo00,rec_td,1,,,,,
player,201911170det,dal,PollTo00,rec_long,21,,,,,
player,201911170det,dal,PollTo00,fumbles,0,,,,,
player,201911170det,dal,PollTo00,fumbles_lost,0,,,,,
player,201911170det,dal,GallMi00,pass_cmp,0,,,,,
player,201911170det,dal,GallMi00,pass_att,0,,,,,
player,201911170det,dal,GallMi00,pass_yds,0,,,,,
player,201911170det,dal,GallMi00,pass_td,0,,,,,
player,201911170det,dal,GallMi00,pass_int,0,,,,,
player,201911170det,dal,GallMi00,pass_sacked,0,,,,,
player,201911170det,dal,GallMi00,pass_sacked_yds,0,,,,,
player,201911170det,dal,GallMi00,pass_long,0,,,,,
player,201911170det,dal,GallMi00,pass_rating,,,,,,
player,201911170det,dal,GallMi00,rush_att,0,,,,,
player,201911170det,dal,GallMi00,rush_yds,0,,,,,
player,201911170det,dal,GallMi00,rush_td,0,,,,,
player,201911170det,dal,GallMi00,rush_long,0,,,,,
player,201911170det,dal,GallMi00,targets,13,,,,,
player,201911170det,dal,GallMi00,rec,9,,,,,
player,201911170det,dal,GallMi00,rec_yds,148,,,,,
player,201911170det,dal,GallMi00,rec_td,0,,,,,
player,201911170det,dal,GallMi00,rec_long,41,,,,,
player,201911170det,dal,GallMi00,fumbles,0,,,,,
player,201911170det,dal,GallMi00,fumbles_lost,0,,,,,
player,201911170det,dal,CobbRa00,pass_cmp,0,,,,,
player,201911170det,dal,CobbRa00,pass_att,0,,,,,
player,201911170det,dal,CobbRa00,pass_yds,0,,,,,
player,201911170det,dal,CobbRa00,pass_td,0,,,,,
player,201911170det,dal,CobbRa00,pass_int,0,,,,,
player,201911170det,dal,CobbRa00,pass_sacked,0,,,,,
player,201911170det,dal,CobbRa00,pass_sacked_yds,0,,,,,
player,201911170det,dal,CobbRa00,pass_long,0,,,,,
player,201911170det,dal,CobbRa00,pass_rating,,,,,,
player,201911170det,dal,CobbRa00,rush_att,0,,,,,
player,201911170det,dal,CobbRa00,rush_yds,0,,,,,
player,201911170det,dal,CobbRa00,rush_td,0,,,,,
player,201911170det,dal,CobbRa00,rush_long,0,,,,,
player,201911170det,dal,CobbRa00,targets,7,,,,,
player,201911170det,dal,CobbRa00,rec,4,,,,,
player,201911170det,dal,CobbRa00,rec_yds,115,,,,,
player,201911170det,dal,CobbRa00,rec_td,1,,,,,
player,201911170det,dal,CobbRa00,rec_long,49,,,,,
player,201911170det,dal,CobbRa00,fumbles,0,,,,,
player,201911170det,dal,CobbRa00,fumbles_lost,0,,,,,
player,201911170det,dal,CoopAm00,pass_cmp,0,,,,,
player,201911170det,dal,CoopAm00,pass_att,0,,,,,
player,201911170det,dal,CoopAm00,pass_yds,0,,,,,
player,201911170det,dal,CoopAm00,pass_td,0,,,,,
player,201911170det,dal,CoopAm00,pass_int,0,,,,,
player,201911170det,dal,CoopAm00,pass_sacked,0,,,,,
player,201911170det,dal,CoopAm00,pass_sacked_yds,0,,,,,
