game,2019,5,20191003,201910030sea,ram,"Los Angeles Rams",29,sea,"Seattle Seahawks",30
team,201910030sea,ram,First Downs,24,,,,,,
team,201910030sea,sea,First Downs,25,,,,,,
team,201910030sea,ram,Rush-Yds-TDs,18-82-2,,,,,,
team,201910030sea,sea,Rush-Yds-TDs,43-167-0,,,,,,
team,201910030sea,ram,Cmp-Att-Yd-TD-INT,29-49-395-1-1,,,,,,
team,201910030sea,sea,Cmp-Att-Yd-TD-INT,17-23-268-4-0,,,,,,
team,201910030sea,ram,Sacked-Yards,0-0,,,,,,
team,201910030sea,sea,Sacked-Yards,1-6,,,,,,
team,201910030sea,ram,Net Pass Yards,395,,,,,,
team,201910030sea,sea,Net Pass Yards,262,,,,,,
team,201910030sea,ram,Total Yards,477,,,,,,
team,201910030sea,sea,Total Yards,429,,,,,,
team,201910030sea,ram,Fumbles-Lost,1-1,,,,,,
team,201910030sea,sea,Fumbles-Lost,1-1,,,,,,
team,201910030sea,ram,Turnovers,2,,,,,,
team,201910030sea,sea,Turnovers,1,,,,,,
team,201910030sea,ram,Penalties-Yards,6-45,,,,,,
team,201910030sea,sea,Penalties-Yards,5-45,,,,,,
team,201910030sea,ram,Third Down Conv.,3-11,,,,,,
team,201910030sea,sea,Third Down Conv.,3-10,,,,,,
team,201910030sea,ram,Fourth Down Conv.,0-0,,,,,,
team,201910030sea,sea,Fourth Down Conv.,1-1,,,,,,
team,201910030sea,ram,Time of Possession,24:42,,,,,,
team,201910030sea,sea,Time of Possession,35:18,,,,,,
player,201910030sea,ram,GoffJa00,pass_cmp,29,,,,,
player,201910030sea,ram,GoffJa00,pass_att,49,,,,,
player,201910030sea,ram,GoffJa00,pass_yds,395,,,,,
player,201910030sea,ram,GoffJa00,pass_td,1,,,,,
player,201910030sea,ram,GoffJa00,pass_int,1,,,,,
player,201910030sea,ram,GoffJa00,pass_sacked,0,,,,,
player,201910030sea,ram,GoffJa00,pass_sacked_yds,0,,,,,
player,201910030sea,ram,GoffJa00,pass_long,32,,,,,
player,201910030sea,ram,GoffJa00,pass_rating,83.3,,,,,
player,201910030sea,ram,GoffJa00,rush_att,1,,,,,
player,201910030sea,ram,GoffJa00,rush_yds,1,,,,,
player,201910030sea,ram,GoffJa00,rush_td,0,,,,,
player,201910030sea,ram,GoffJa00,rush_long,1,,,,,
player,201910030sea,ram,GoffJa00,targets,0,,,,,
player,201910030sea,ram,GoffJa00,rec,0,,,,,
player,201910030sea,ram,GoffJa00,rec_yds,0,,,,,
player,201910030sea,ram,GoffJa00,rec_td,0,,,,,
player,201910030sea,ram,GoffJa00,rec_long,0,,,,,
player,201910030sea,ram,GoffJa00,fumbles,0,,,,,
player,201910030sea,ram,GoffJa00,fumbles_lost,0,,,,,
player,201910030sea,ram,GurlTo01,pass_cmp,0,,,,,
player,201910030sea,ram,GurlTo01,pass_att,0,,,,,
player,201910030sea,ram,GurlTo01,pass_yds,0,,,,,
player,201910030sea,ram,GurlTo01,pass_td,0,,,,,
player,201910030sea,ram,GurlTo01,pass_int,0,,,,,
player,201910030sea,ram,GurlTo01,pass_sacked,0,,,,,
player,201910030sea,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201910030sea,ram,GurlTo01,pass_long,0,,,,,
player,201910030sea,ram,GurlTo01,pass_rating,,,,,,
player,201910030sea,ram,GurlTo01,rush_att,15,,,,,
player,201910030sea,ram,GurlTo01,rush_yds,51,,,,,
player,201910030sea,ram,GurlTo01,rush_td,2,,,,,
player,201910030sea,ram,GurlTo01,rush_long,12,,,,,
player,201910030sea,ram,GurlTo01,targets,5,,,,,
player,201910030sea,ram,GurlTo01,rec,3,,,,,
player,201910030sea,ram,GurlTo01,rec_yds,6,,,,,
player,201910030sea,ram,GurlTo01,rec_td,0,,,,,
player,201910030sea,ram,GurlTo01,rec_long,3,,,,,
player,201910030sea,ram,GurlTo01,fumbles,1,,,,,
player,201910030sea,ram,GurlTo01,fumbles_lost,1,,,,,
player,201910030sea,ram,CookBr00,pass_cmp,0,,,,,
player,201910030sea,ram,CookBr00,pass_att,0,,,,,
player,201910030sea,ram,CookBr00,pass_yds,0,,,,,
player,201910030sea,ram,CookBr00,pass_td,0,,,,,
player,201910030sea,ram,CookBr00,pass_int,0,,,,,
player,201910030sea,ram,CookBr00,pass_sacked,0,,,,,
player,201910030sea,ram,CookBr00,pass_sacked_yds,0,,,,,
player,201910030sea,ram,CookBr00,pass_long,0,,,,,
player,201910030sea,ram,CookBr00,pass_rating,,,,,,
