game,2019,16,20191221,201912210tam,htx,"Houston Texans",23,tam,"Tampa Bay Buccaneers",20
team,201912210tam,htx,First Downs,15,,,,,,
team,201912210tam,tam,First Downs,19,,,,,,
team,201912210tam,htx,Rush-Yds-TDs,26-68-1,,,,,,
team,201912210tam,tam,Rush-Yds-TDs,21-106-1,,,,,,
team,201912210tam,htx,Cmp-Att-Yd-TD-INT,19-32-184-0-1,,,,,,
team,201912210tam,tam,Cmp-Att-Yd-TD-INT,25-48-335-1-4,,,,,,
team,201912210tam,htx,Sacked-Yards,5-23,,,,,,
team,201912210tam,tam,Sacked-Yards,3-6,,,,,,
team,201912210tam,htx,Net Pass Yards,161,,,,,,
team,201912210tam,tam,Net Pass Yards,329,,,,,,
team,201912210tam,htx,Total Yards,229,,,,,,
team,201912210tam,tam,Total Yards,435,,,,,,
team,201912210tam,htx,Fumbles-Lost,2-1,,,,,,
team,201912210tam,tam,Fumbles-Lost,1-1,,,,,,
team,201912210tam,htx,Turnovers,2,,,,,,
team,201912210tam,tam,Turnovers,5,,,,,,
team,201912210tam,htx,Penalties-Yards,4-35,,,,,,
team,201912210tam,tam,Penalties-Yards,6-45,,,,,,
team,201912210tam,htx,Third Down Conv.,4-14,,,,,,
team,201912210tam,tam,Third Down Conv.,9-17,,,,,,
team,201912210tam,htx,Fourth Down Conv.,1-1,,,,,,
team,201912210tam,tam,Fourth Down Conv.,0-1,,,,,,
team,201912210tam,htx,Time of Possession,29:32,,,,,,
team,201912210tam,tam,Time of Possession,30:28,,,,,,
player,201912210tam,htx,WatsDe00,pass_cmp,19,,,,,
player,201912210tam,htx,WatsDe00,pass_att,32,,,,,
player,201912210tam,htx,WatsDe00,pass_yds,184,,,,,
player,201912210tam,htx,WatsDe00,pass_td,0,,,,,
player,201912210tam,htx,WatsDe00,pass_int,1,,,,,
player,201912210tam,htx,WatsDe00,pass_sacked,5,,,,,
player,201912210tam,htx,WatsDe00,pass_sacked_yds,23,,,,,
player,201912210tam,htx,WatsDe00,pass_long,39,,,,,
player,201912210tam,htx,WatsDe00,pass_rating,62.5,,,,,
player,201912210tam,htx,WatsDe00,rush_att,7,,,,,
player,201912210tam,htx,WatsDe00,rush_yds,37,,,,,
player,201912210tam,htx,WatsDe00,rush_td,0,,,,,
player,201912210tam,htx,WatsDe00,rush_long,19,,,,,
player,201912210tam,htx,WatsDe00,targets,0,,,,,
player,201912210tam,htx,WatsDe00,rec,0,,,,,
player,201912210tam,htx,WatsDe00,rec_yds,0,,,,,
