game,2019,9,20191103,201911030car,oti,"Tennessee Titans",20,car,"Carolina Panthers",30
player,201911030car,oti,HumpAd00,pass_td,0,,,,,
player,201911030car,oti,HumpAd00,pass_int,0,,,,,
player,201911030car,oti,HumpAd00,pass_sacked,0,,,,,
player,201911030car,oti,HumpAd00,pass_sacked_yds,0,,,,,
player,201911030car,oti,HumpAd00,pass_long,0,,,,,
player,201911030car,oti,HumpAd00,pass_rating,,,,,,
player,201911030car,oti,HumpAd00,rush_att,0,,,,,
player,201911030car,oti,HumpAd00,rush_yds,0,,,,,
player,201911030car,oti,HumpAd00,rush_td,0,,,,,
player,201911030car,oti,HumpAd00,rush_long,0,,,,,
player,201911030car,oti,HumpAd00,targets,4,,,,,
player,201911030car,oti,HumpAd00,rec,4,,,,,
player,201911030car,oti,HumpAd00,rec_yds,65,,,,,
player,201911030car,oti,HumpAd00,rec_td,0,,,,,
player,201911030car,oti,HumpAd00,rec_long,25,,,,,
player,201911030car,oti,HumpAd00,fumbles,0,,,,,
player,201911030car,oti,HumpAd00,fumbles_lost,0,,,,,
player,201911030car,oti,DaviCo03,pass_cmp,0,,,,,
player,201911030car,oti,DaviCo03,pass_att,0,,,,,
player,201911030car,oti,DaviCo03,pass_yds,0,,,,,
player,201911030car,oti,DaviCo03,pass_td,0,,,,,
player,201911030car,oti,DaviCo03,pass_int,0,,,,,
player,201911030car,oti,DaviCo03,pass_sacked,0,,,,,
player,201911030car,oti,DaviCo03,pass_sacked_yds,0,,,,,
player,201911030car,oti,DaviCo03,pass_long,0,,,,,
player,201911030car,oti,DaviCo03,pass_rating,,,,,,
player,201911030car,oti,DaviCo03,rush_att,0,,,,,
player,201911030car,oti,DaviCo03,rush_yds,0,,,,,
player,201911030car,oti,DaviCo03,rush_td,0,,,,,
player,201911030car,oti,DaviCo03,rush_long,0,,,,,
player,201911030car,oti,DaviCo03,targets,5,,,,,
player,201911030car,oti,DaviCo03,rec,4,,,,,
player,201911030car,oti,DaviCo03,rec_yds,48,,,,,
player,201911030car,oti,DaviCo03,rec_td,0,,,,,
player,201911030car,oti,DaviCo03,rec_long,18,,,,,
player,201911030car,oti,DaviCo03,fumbles,0,,,,,
player,201911030car,oti,DaviCo03,fumbles_lost,0,,,,,
player,201911030car,oti,SharTa00,pass_cmp,0,,,,,
player,201911030car,oti,SharTa00,pass_att,0,,,,,
player,201911030car,oti,SharTa00,pass_yds,0,,,,,
player,201911030car,oti,SharTa00,pass_td,0,,,,,
player,201911030car,oti,SharTa00,pass_int,0,,,,,
player,201911030car,oti,SharTa00,pass_sacked,0,,,,,
player,201911030car,oti,SharTa00,pass_sacked_yds,0,,,,,
player,201911030car,oti,SharTa00,pass_long,0,,,,,
player,201911030car,oti,SharTa00,pass_rating,,,,,,
player,201911030car,oti,SharTa00,rush_att,0,,,,,
player,201911030car,oti,SharTa00,rush_yds,0,,,,,
player,201911030car,oti,SharTa00,rush_td,0,,,,,
player,201911030car,oti,SharTa00,rush_long,0,,,,,
player,201911030car,oti,SharTa00,targets,4,,,,,
player,201911030car,oti,SharTa00,rec,2,,,,,
player,201911030car,oti,SharTa00,rec_yds,31,,,,,
player,201911030car,oti,SharTa00,rec_td,0,,,,,
player,201911030car,oti,SharTa00,rec_long,16,,,,,
player,201911030car,oti,SharTa00,fumbles,0,,,,,
player,201911030car,oti,SharTa00,fumbles_lost,0,,,,,
player,201911030car,oti,RaymKa00,pass_cmp,0,,,,,
player,201911030car,oti,RaymKa00,pass_att,0,,,,,
player,201911030car,oti,RaymKa00,pass_yds,0,,,,,
player,201911030car,oti,RaymKa00,pass_td,0,,,,,
player,201911030car,oti,RaymKa00,pass_int,0,,,,,
player,201911030car,oti,RaymKa00,pass_sacked,0,,,,,
player,201911030car,oti,RaymKa00,pass_sacked_yds,0,,,,,
player,201911030car,oti,RaymKa00,pass_long,0,,,,,
player,201911030car,oti,RaymKa00,pass_rating,,,,,,
player,201911030car,oti,RaymKa00,rush_att,0,,,,,
