game,2019,4,20190926,201909260gnb,phi,"Philadelphia Eagles",34,gnb,"Green Bay Packers",27
team,201909260gnb,phi,First Downs,24,,,,,,
team,201909260gnb,gnb,First Downs,31,,,,,,
team,201909260gnb,phi,Rush-Yds-TDs,33-176-2,,,,,,
team,201909260gnb,gnb,Rush-Yds-TDs,20-77-1,,,,,,
team,201909260gnb,phi,Cmp-Att-Yd-TD-INT,16-27-160-3-0,,,,,,
team,201909260gnb,gnb,Cmp-Att-Yd-TD-INT,34-53-422-2-1,,,,,,
team,201909260gnb,phi,Sacked-Yards,0-0,,,,,,
team,201909260gnb,gnb,Sacked-Yards,1-8,,,,,,
team,201909260gnb,phi,Net Pass Yards,160,,,,,,
team,201909260gnb,gnb,Net Pass Yards,414,,,,,,
team,201909260gnb,phi,Total Yards,336,,,,,,
team,201909260gnb,gnb,Total Yards,491,,,,,,
team,201909260gnb,phi,Fumbles-Lost,0-0,,,,,,
team,201909260gnb,gnb,Fumbles-Lost,1-1,,,,,,
team,201909260gnb,phi,Turnovers,0,,,,,,
team,201909260gnb,gnb,Turnovers,2,,,,,,
team,201909260gnb,phi,Penalties-Yards,9-93,,,,,,
team,201909260gnb,gnb,Penalties-Yards,5-50,,,,,,
team,201909260gnb,phi,Third Down Conv.,5-9,,,,,,
team,201909260gnb,gnb,Third Down Conv.,6-11,,,,,,
team,201909260gnb,phi,Fourth Down Conv.,0-0,,,,,,
team,201909260gnb,gnb,Fourth Down Conv.,0-1,,,,,,
team,201909260gnb,phi,Time of Possession,27:39,,,,,,
team,201909260gnb,gnb,Time of Possession,32:21,,,,,,
player,201909260gnb,phi,WentCa00,pass_cmp,16,,,,,
player,201909260gnb,phi,WentCa00,pass_att,27,,,,,
player,201909260gnb,phi,WentCa00,pass_yds,160,,,,,
player,201909260gnb,phi,WentCa00,pass_td,3,,,,,
player,201909260gnb,phi,WentCa00,pass_int,0,,,,,
player,201909260gnb,phi,WentCa00,pass_sacked,0,,,,,
player,201909260gnb,phi,WentCa00,pass_sacked_yds,0,,,,,
player,201909260gnb,phi,WentCa00,pass_long,20,,,,,
player,201909260gnb,phi,WentCa00,pass_rating,113.2,,,,,
player,201909260gnb,phi,WentCa00,rush_att,6,,,,,
player,201909260gnb,phi,WentCa00,rush_yds,13,,,,,
player,201909260gnb,phi,WentCa00,rush_td,0,,,,,
player,201909260gnb,phi,WentCa00,rush_long,6,,,,,
player,201909260gnb,phi,WentCa00,targets,0,,,,,
player,201909260gnb,phi,WentCa00,rec,0,,,,,
player,201909260gnb,phi,WentCa00,rec_yds,0,,,,,
player,201909260gnb,phi,WentCa00,rec_td,0,,,,,
player,201909260gnb,phi,WentCa00,rec_long,0,,,,,
player,201909260gnb,phi,WentCa00,fumbles,0,,,,,
player,201909260gnb,phi,WentCa00,fumbles_lost,0,,,,,
player,201909260gnb,phi,HowaJo00,pass_cmp,0,,,,,
player,201909260gnb,phi,HowaJo00,pass_att,0,,,,,
player,201909260gnb,phi,HowaJo00,pass_yds,0,,,,,
player,201909260gnb,phi,HowaJo00,pass_td,0,,,,,
player,201909260gnb,phi,HowaJo00,pass_int,0,,,,,
player,201909260gnb,phi,HowaJo00,pass_sacked,0,,,,,
player,201909260gnb,phi,HowaJo00,pass_sacked_yds,0,,,,,
player,201909260gnb,phi,HowaJo00,pass_long,0,,,,,
player,201909260gnb,phi,HowaJo00,pass_rating,,,,,,
player,201909260gnb,phi,HowaJo00,rush_att,15,,,,,
player,201909260gnb,phi,HowaJo00,rush_yds,87,,,,,
player,201909260gnb,phi,HowaJo00,rush_td,2,,,,,
player,201909260gnb,phi,HowaJo00,rush_long,19,,,,,
player,201909260gnb,phi,HowaJo00,targets,4,,,,,
player,201909260gnb,phi,HowaJo00,rec,3,,,,,
player,201909260gnb,phi,HowaJo00,rec_yds,28,,,,,
player,201909260gnb,phi,HowaJo00,rec_td,1,,,,,
player,201909260gnb,phi,HowaJo00,rec_long,20,,,,,
player,201909260gnb,phi,HowaJo00,fumbles,0,,,,,
player,201909260gnb,phi,HowaJo00,fumbles_lost,0,,,,,
player,201909260gnb,phi,SandMi01,pass_cmp,0,,,,,
player,201909260gnb,phi,SandMi01,pass_att,0,,,,,
player,201909260gnb,phi,SandMi01,pass_yds,0,,,,,
player,201909260gnb,phi,SandMi01,pass_td,0,,,,,
player,201909260gnb,phi,SandMi01,pass_int,0,,,,,
player,201909260gnb,phi,SandMi01,pass_sacked,0,,,,,
player,201909260gnb,phi,SandMi01,pass_sacked_yds,0,,,,,
player,201909260gnb,phi,SandMi01,pass_long,0,,,,,
player,201909260gnb,phi,SandMi01,pass_rating,,,,,,
player,201909260gnb,phi,SandMi01,rush_att,11,,,,,
player,201909260gnb,phi,SandMi01,rush_yds,72,,,,,
player,201909260gnb,phi,SandMi01,rush_td,0,,,,,
player,201909260gnb,phi,SandMi01,rush_long,30,,,,,
player,201909260gnb,phi,SandMi01,targets,0,,,,,
player,201909260gnb,phi,SandMi01,rec,0,,,,,
player,201909260gnb,phi,SandMi01,rec_yds,0,,,,,
player,201909260gnb,phi,SandMi01,rec_td,0,,,,,
player,201909260gnb,phi,SandMi01,rec_long,0,,,,,
player,201909260gnb,phi,SandMi01,fumbles,0,,,,,
player,201909260gnb,phi,SandMi01,fumbles_lost,0,,,,,
player,201909260gnb,phi,SproDa00,pass_cmp,0,,,,,
player,201909260gnb,phi,SproDa00,pass_att,0,,,,,
player,201909260gnb,phi,SproDa00,pass_yds,0,,,,,
player,201909260gnb,phi,SproDa00,pass_td,0,,,,,
player,201909260gnb,phi,SproDa00,pass_int,0,,,,,
player,201909260gnb,phi,SproDa00,pass_sacked,0,,,,,
player,201909260gnb,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201909260gnb,phi,SproDa00,pass_long,0,,,,,
player,201909260gnb,phi,SproDa00,pass_rating,,,,,,
player,201909260gnb,phi,SproDa00,rush_att,1,,,,,
player,201909260gnb,phi,SproDa00,rush_yds,4,,,,,
player,201909260gnb,phi,SproDa00,rush_td,0,,,,,
player,201909260gnb,phi,SproDa00,rush_long,4,,,,,
player,201909260gnb,phi,SproDa00,targets,0,,,,,
player,201909260gnb,phi,SproDa00,rec,0,,,,,
player,201909260gnb,phi,SproDa00,rec_yds,0,,,,,
player,201909260gnb,phi,SproDa00,rec_td,0,,,,,
player,201909260gnb,phi,SproDa00,rec_long,0,,,,,
player,201909260gnb,phi,SproDa00,fumbles,0,,,,,
player,201909260gnb,phi,SproDa00,fumbles_lost,0,,,,,
player,201909260gnb,phi,ErtzZa00,pass_cmp,0,,,,,
player,201909260gnb,phi,ErtzZa00,pass_att,0,,,,,
player,201909260gnb,phi,ErtzZa00,pass_yds,0,,,,,
player,201909260gnb,phi,ErtzZa00,pass_td,0,,,,,
player,201909260gnb,phi,ErtzZa00,pass_int,0,,,,,
player,201909260gnb,phi,ErtzZa00,pass_sacked,0,,,,,
player,201909260gnb,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201909260gnb,phi,ErtzZa00,pass_long,0,,,,,
player,201909260gnb,phi,ErtzZa00,pass_rating,,,,,,
player,201909260gnb,phi,ErtzZa00,rush_att,0,,,,,
player,201909260gnb,phi,ErtzZa00,rush_yds,0,,,,,
player,201909260gnb,phi,ErtzZa00,rush_td,0,,,,,
player,201909260gnb,phi,ErtzZa00,rush_long,0,,,,,
player,201909260gnb,phi,ErtzZa00,targets,8,,,,,
player,201909260gnb,phi,ErtzZa00,rec,7,,,,,
player,201909260gnb,phi,ErtzZa00,rec_yds,65,,,,,
player,201909260gnb,phi,ErtzZa00,rec_td,0,,,,,
player,201909260gnb,phi,ErtzZa00,rec_long,14,,,,,
player,201909260gnb,phi,ErtzZa00,fumbles,0,,,,,
player,201909260gnb,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201909260gnb,phi,JeffAl00,pass_cmp,0,,,,,
player,201909260gnb,phi,JeffAl00,pass_att,0,,,,,
player,201909260gnb,phi,JeffAl00,pass_yds,0,,,,,
player,201909260gnb,phi,JeffAl00,pass_td,0,,,,,
player,201909260gnb,phi,JeffAl00,pass_int,0,,,,,
player,201909260gnb,phi,JeffAl00,pass_sacked,0,,,,,
player,201909260gnb,phi,JeffAl00,pass_sacked_yds,0,,,,,
player,201909260gnb,phi,JeffAl00,pass_long,0,,,,,
player,201909260gnb,phi,JeffAl00,pass_rating,,,,,,
player,201909260gnb,phi,JeffAl00,rush_att,0,,,,,
player,201909260gnb,phi,JeffAl00,rush_yds,0,,,,,
player,201909260gnb,phi,JeffAl00,rush_td,0,,,,,
