game,2019,5,20191006,201910060kan,clt,"Indianapolis Colts",19,kan,"Kansas City Chiefs",13
team,201910060kan,clt,First Downs,25,,,,,,
team,201910060kan,kan,First Downs,18,,,,,,
team,201910060kan,clt,Rush-Yds-TDs,45-180-1,,,,,,
team,201910060kan,kan,Rush-Yds-TDs,14-36-0,,,,,,
team,201910060kan,clt,Cmp-Att-Yd-TD-INT,18-29-151-0-1,,,,,,
team,201910060kan,kan,Cmp-Att-Yd-TD-INT,22-39-321-1-0,,,,,,
team,201910060kan,clt,Sacked-Yards,0-0,,,,,,
team,201910060kan,kan,Sacked-Yards,4-33,,,,,,
team,201910060kan,clt,Net Pass Yards,151,,,,,,
team,201910060kan,kan,Net Pass Yards,288,,,,,,
team,201910060kan,clt,Total Yards,331,,,,,,
team,201910060kan,kan,Total Yards,324,,,,,,
team,201910060kan,clt,Fumbles-Lost,0-0,,,,,,
team,201910060kan,kan,Fumbles-Lost,1-1,,,,,,
team,201910060kan,clt,Turnovers,1,,,,,,
team,201910060kan,kan,Turnovers,1,,,,,,
team,201910060kan,clt,Penalties-Yards,7-50,,,,,,
team,201910060kan,kan,Penalties-Yards,11-125,,,,,,
team,201910060kan,clt,Third Down Conv.,5-14,,,,,,
team,201910060kan,kan,Third Down Conv.,4-12,,,,,,
team,201910060kan,clt,Fourth Down Conv.,2-2,,,,,,
team,201910060kan,kan,Fourth Down Conv.,1-2,,,,,,
team,201910060kan,clt,Time of Possession,37:15,,,,,,
team,201910060kan,kan,Time of Possession,22:45,,,,,,
player,201910060kan,clt,BrisJa00,pass_cmp,18,,,,,
player,201910060kan,clt,BrisJa00,pass_att,29,,,,,
player,201910060kan,clt,BrisJa00,pass_yds,151,,,,,
player,201910060kan,clt,BrisJa00,pass_td,0,,,,,
player,201910060kan,clt,BrisJa00,pass_int,1,,,,,
player,201910060kan,clt,BrisJa00,pass_sacked,0,,,,,
player,201910060kan,clt,BrisJa00,pass_sacked_yds,0,,,,,
player,201910060kan,clt,BrisJa00,pass_long,18,,,,,
player,201910060kan,clt,BrisJa00,pass_rating,61.1,,,,,
player,201910060kan,clt,BrisJa00,rush_att,6,,,,,
player,201910060kan,clt,BrisJa00,rush_yds,9,,,,,
player,201910060kan,clt,BrisJa00,rush_td,1,,,,,
player,201910060kan,clt,BrisJa00,rush_long,7,,,,,
player,201910060kan,clt,BrisJa00,targets,0,,,,,
player,201910060kan,clt,BrisJa00,rec,0,,,,,
player,201910060kan,clt,BrisJa00,rec_yds,0,,,,,
player,201910060kan,clt,BrisJa00,rec_td,0,,,,,
player,201910060kan,clt,BrisJa00,rec_long,0,,,,,
player,201910060kan,clt,BrisJa00,fumbles,0,,,,,
player,201910060kan,clt,BrisJa00,fumbles_lost,0,,,,,
player,201910060kan,clt,MackMa00,pass_cmp,0,,,,,
player,201910060kan,clt,MackMa00,pass_att,0,,,,,
player,201910060kan,clt,MackMa00,pass_yds,0,,,,,
player,201910060kan,clt,MackMa00,pass_td,0,,,,,
player,201910060kan,clt,MackMa00,pass_int,0,,,,,
player,201910060kan,clt,MackMa00,pass_sacked,0,,,,,
player,201910060kan,clt,MackMa00,pass_sacked_yds,0,,,,,
player,201910060kan,clt,MackMa00,pass_long,0,,,,,
player,201910060kan,clt,MackMa00,pass_rating,,,,,,
player,201910060kan,clt,MackMa00,rush_att,29,,,,,
player,201910060kan,clt,MackMa00,rush_yds,132,,,,,
player,201910060kan,clt,MackMa00,rush_td,0,,,,,
player,201910060kan,clt,MackMa00,rush_long,30,,,,,
player,201910060kan,clt,MackMa00,targets,3,,,,,
player,201910060kan,clt,MackMa00,rec,3,,,,,
player,201910060kan,clt,MackMa00,rec_yds,16,,,,,
player,201910060kan,clt,MackMa00,rec_td,0,,,,,
player,201910060kan,clt,MackMa00,rec_long,11,,,,,
player,201910060kan,clt,MackMa00,fumbles,0,,,,,
player,201910060kan,clt,MackMa00,fumbles_lost,0,,,,,
player,201910060kan,clt,WilkJo01,pass_cmp,0,,,,,
player,201910060kan,clt,WilkJo01,pass_att,0,,,,,
player,201910060kan,clt,WilkJo01,pass_yds,0,,,,,
player,201910060kan,clt,WilkJo01,pass_td,0,,,,,
player,201910060kan,clt,WilkJo01,pass_int,0,,,,,
player,201910060kan,clt,WilkJo01,pass_sacked,0,,,,,
player,201910060kan,clt,WilkJo01,pass_sacked_yds,0,,,,,
player,201910060kan,clt,WilkJo01,pass_long,0,,,,,
player,201910060kan,clt,WilkJo01,pass_rating,,,,,,
player,201910060kan,clt,WilkJo01,rush_att,7,,,,,
player,201910060kan,clt,WilkJo01,rush_yds,28,,,,,
player,201910060kan,clt,WilkJo01,rush_td,0,,,,,
player,201910060kan,clt,WilkJo01,rush_long,10,,,,,
player,201910060kan,clt,WilkJo01,targets,0,,,,,
player,201910060kan,clt,WilkJo01,rec,0,,,,,
player,201910060kan,clt,WilkJo01,rec_yds,0,,,,,
player,201910060kan,clt,WilkJo01,rec_td,0,,,,,
player,201910060kan,clt,WilkJo01,rec_long,0,,,,,
player,201910060kan,clt,WilkJo01,fumbles,0,,,,,
player,201910060kan,clt,WilkJo01,fumbles_lost,0,,,,,
player,201910060kan,clt,PascZa00,pass_cmp,0,,,,,
player,201910060kan,clt,PascZa00,pass_att,0,,,,,
player,201910060kan,clt,PascZa00,pass_yds,0,,,,,
player,201910060kan,clt,PascZa00,pass_td,0,,,,,
player,201910060kan,clt,PascZa00,pass_int,0,,,,,
player,201910060kan,clt,PascZa00,pass_sacked,0,,,,,
player,201910060kan,clt,PascZa00,pass_sacked_yds,0,,,,,
player,201910060kan,clt,PascZa00,pass_long,0,,,,,
player,201910060kan,clt,PascZa00,pass_rating,,,,,,
player,201910060kan,clt,PascZa00,rush_att,1,,,,,
player,201910060kan,clt,PascZa00,rush_yds,12,,,,,
player,201910060kan,clt,PascZa00,rush_td,0,,,,,
player,201910060kan,clt,PascZa00,rush_long,12,,,,,
player,201910060kan,clt,PascZa00,targets,2,,,,,
player,201910060kan,clt,PascZa00,rec,1,,,,,
player,201910060kan,clt,PascZa00,rec_yds,8,,,,,
player,201910060kan,clt,PascZa00,rec_td,0,,,,,
player,201910060kan,clt,PascZa00,rec_long,8,,,,,
player,201910060kan,clt,PascZa00,fumbles,0,,,,,
player,201910060kan,clt,PascZa00,fumbles_lost,0,,,,,
player,201910060kan,clt,HiltT.00,pass_cmp,0,,,,,
player,201910060kan,clt,HiltT.00,pass_att,0,,,,,
player,201910060kan,clt,HiltT.00,pass_yds,0,,,,,
player,201910060kan,clt,HiltT.00,pass_td,0,,,,,
player,201910060kan,clt,HiltT.00,pass_int,0,,,,,
player,201910060kan,clt,HiltT.00,pass_sacked,0,,,,,
player,201910060kan,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201910060kan,clt,HiltT.00,pass_long,0,,,,,
player,201910060kan,clt,HiltT.00,pass_rating,,,,,,
player,201910060kan,clt,HiltT.00,rush_att,0,,,,,
player,201910060kan,clt,HiltT.00,rush_yds,0,,,,,
player,201910060kan,clt,HiltT.00,rush_td,0,,,,,
player,201910060kan,clt,HiltT.00,rush_long,0,,,,,
player,201910060kan,clt,HiltT.00,targets,5,,,,,
player,201910060kan,clt,HiltT.00,rec,4,,,,,
player,201910060kan,clt,HiltT.00,rec_yds,37,,,,,
player,201910060kan,clt,HiltT.00,rec_td,0,,,,,
player,201910060kan,clt,HiltT.00,rec_long,14,,,,,
player,201910060kan,clt,HiltT.00,fumbles,0,,,,,
player,201910060kan,clt,HiltT.00,fumbles_lost,0,,,,,
player,201910060kan,clt,DoylJa00,pass_cmp,0,,,,,
player,201910060kan,clt,DoylJa00,pass_att,0,,,,,
player,201910060kan,clt,DoylJa00,pass_yds,0,,,,,
player,201910060kan,clt,DoylJa00,pass_td,0,,,,,
player,201910060kan,clt,DoylJa00,pass_int,0,,,,,
player,201910060kan,clt,DoylJa00,pass_sacked,0,,,,,
player,201910060kan,clt,DoylJa00,pass_sacked_yds,0,,,,,
player,201910060kan,clt,DoylJa00,pass_long,0,,,,,
player,201910060kan,clt,DoylJa00,pass_rating,,,,,,
player,201910060kan,clt,DoylJa00,rush_att,0,,,,,
player,201910060kan,clt,DoylJa00,rush_yds,0,,,,,
player,201910060kan,clt,DoylJa00,rush_td,0,,,,,
player,201910060kan,clt,DoylJa00,rush_long,0,,,,,
player,201910060kan,clt,DoylJa00,targets,3,,,,,
player,201910060kan,clt,DoylJa00,rec,3,,,,,
player,201910060kan,clt,DoylJa00,rec_yds,19,,,,,
player,201910060kan,clt,DoylJa00,rec_td,0,,,,,
player,201910060kan,clt,DoylJa00,rec_long,9,,,,,
player,201910060kan,clt,DoylJa00,fumbles,0,,,,,
player,201910060kan,clt,DoylJa00,fumbles_lost,0,,,,,
player,201910060kan,clt,AlieMo00,pass_cmp,0,,,,,
player,201910060kan,clt,AlieMo00,pass_att,0,,,,,
player,201910060kan,clt,AlieMo00,pass_yds,0,,,,,
player,201910060kan,clt,AlieMo00,pass_td,0,,,,,
player,201910060kan,clt,AlieMo00,pass_int,0,,,,,
player,201910060kan,clt,AlieMo00,pass_sacked,0,,,,,
player,201910060kan,clt,AlieMo00,pass_sacked_yds,0,,,,,
player,201910060kan,clt,AlieMo00,pass_long,0,,,,,
player,201910060kan,clt,AlieMo00,pass_rating,,,,,,
player,201910060kan,clt,AlieMo00,rush_att,0,,,,,
player,201910060kan,clt,AlieMo00,rush_yds,0,,,,,
player,201910060kan,clt,AlieMo00,rush_td,0,,,,,
player,201910060kan,clt,AlieMo00,rush_long,0,,,,,
player,201910060kan,clt,AlieMo00,targets,2,,,,,
player,201910060kan,clt,AlieMo00,rec,1,,,,,
player,201910060kan,clt,AlieMo00,rec_yds,10,,,,,
player,201910060kan,clt,AlieMo00,rec_td,0,,,,,
player,201910060kan,clt,AlieMo00,rec_long,10,,,,,
player,201910060kan,clt,AlieMo00,fumbles,0,,,,,
player,201910060kan,clt,AlieMo00,fumbles_lost,0,,,,,
player,201910060kan,clt,EbroEr00,pass_cmp,0,,,,,
player,201910060kan,clt,EbroEr00,pass_att,0,,,,,
player,201910060kan,clt,EbroEr00,pass_yds,0,,,,,
player,201910060kan,clt,EbroEr00,pass_td,0,,,,,
player,201910060kan,clt,EbroEr00,pass_int,0,,,,,
player,201910060kan,clt,EbroEr00,pass_sacked,0,,,,,
player,201910060kan,clt,EbroEr00,pass_sacked_yds,0,,,,,
player,201910060kan,clt,EbroEr00,pass_long,0,,,,,
player,201910060kan,clt,EbroEr00,pass_rating,,,,,,
player,201910060kan,clt,EbroEr00,rush_att,0,,,,,
player,201910060kan,clt,EbroEr00,rush_yds,0,,,,,
player,201910060kan,clt,EbroEr00,rush_td,0,,,,,
player,201910060kan,clt,EbroEr00,rush_long,0,,,,,
player,201910060kan,clt,EbroEr00,targets,4,,,,,
player,201910060kan,clt,EbroEr00,rec,1,,,,,
player,201910060kan,clt,EbroEr00,rec_yds,8,,,,,
player,201910060kan,clt,EbroEr00,rec_td,0,,,,,
player,201910060kan,clt,EbroEr00,rec_long,8,,,,,
player,201910060kan,clt,EbroEr00,fumbles,0,,,,,
player,201910060kan,clt,EbroEr00,fumbles_lost,0,,,,,
player,201910060kan,clt,CainDe00,pass_cmp,0,,,,,
player,201910060kan,clt,CainDe00,pass_att,0,,,,,
player,201910060kan,clt,CainDe00,pass_yds,0,,,,,
player,201910060kan,clt,CainDe00,pass_td,0,,,,,
player,201910060kan,clt,CainDe00,pass_int,0,,,,,
player,201910060kan,clt,CainDe00,pass_sacked,0,,,,,
player,201910060kan,clt,CainDe00,pass_sacked_yds,0,,,,,
player,201910060kan,clt,CainDe00,pass_long,0,,,,,
player,201910060kan,clt,CainDe00,pass_rating,,,,,,
player,201910060kan,clt,CainDe00,rush_att,0,,,,,
player,201910060kan,clt,CainDe00,rush_yds,0,,,,,
player,201910060kan,clt,CainDe00,rush_td,0,,,,,
player,201910060kan,clt,CainDe00,rush_long,0,,,,,
