game,2019,13,20191201,201912010clt,oti,"Tennessee Titans",31,clt,"Indianapolis Colts",17
team,201912010clt,oti,First Downs,15,,,,,,
team,201912010clt,clt,First Downs,22,,,,,,
team,201912010clt,oti,Rush-Yds-TDs,30-154-1,,,,,,
team,201912010clt,clt,Rush-Yds-TDs,24-82-1,,,,,,
team,201912010clt,oti,Cmp-Att-Yd-TD-INT,17-22-182-2-0,,,,,,
team,201912010clt,clt,Cmp-Att-Yd-TD-INT,25-40-319-1-2,,,,,,
team,201912010clt,oti,Sacked-Yards,6-44,,,,,,
team,201912010clt,clt,Sacked-Yards,3-10,,,,,,
team,201912010clt,oti,Net Pass Yards,138,,,,,,
team,201912010clt,clt,Net Pass Yards,309,,,,,,
team,201912010clt,oti,Total Yards,292,,,,,,
team,201912010clt,clt,Total Yards,391,,,,,,
team,201912010clt,oti,Fumbles-Lost,2-2,,,,,,
team,201912010clt,clt,Fumbles-Lost,1-1,,,,,,
team,201912010clt,oti,Turnovers,2,,,,,,
team,201912010clt,clt,Turnovers,3,,,,,,
team,201912010clt,oti,Penalties-Yards,3-33,,,,,,
team,201912010clt,clt,Penalties-Yards,6-40,,,,,,
team,201912010clt,oti,Third Down Conv.,5-13,,,,,,
team,201912010clt,clt,Third Down Conv.,5-12,,,,,,
team,201912010clt,oti,Fourth Down Conv.,1-1,,,,,,
team,201912010clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201912010clt,oti,Time of Possession,27:29,,,,,,
team,201912010clt,clt,Time of Possession,32:31,,,,,,
player,201912010clt,oti,TannRy00,pass_cmp,17,,,,,
player,201912010clt,oti,TannRy00,pass_att,22,,,,,
player,201912010clt,oti,TannRy00,pass_yds,182,,,,,
player,201912010clt,oti,TannRy00,pass_td,2,,,,,
player,201912010clt,oti,TannRy00,pass_int,0,,,,,
player,201912010clt,oti,TannRy00,pass_sacked,6,,,,,
player,201912010clt,oti,TannRy00,pass_sacked_yds,44,,,,,
player,201912010clt,oti,TannRy00,pass_long,40,,,,,
player,201912010clt,oti,TannRy00,pass_rating,131.2,,,,,
player,201912010clt,oti,TannRy00,rush_att,4,,,,,
player,201912010clt,oti,TannRy00,rush_yds,5,,,,,
player,201912010clt,oti,TannRy00,rush_td,0,,,,,
player,201912010clt,oti,TannRy00,rush_long,8,,,,,
player,201912010clt,oti,TannRy00,targets,0,,,,,
player,201912010clt,oti,TannRy00,rec,0,,,,,
player,201912010clt,oti,TannRy00,rec_yds,0,,,,,
player,201912010clt,oti,TannRy00,rec_td,0,,,,,
player,201912010clt,oti,TannRy00,rec_long,0,,,,,
player,201912010clt,oti,TannRy00,fumbles,1,,,,,
player,201912010clt,oti,TannRy00,fumbles_lost,1,,,,,
player,201912010clt,oti,HenrDe00,pass_cmp,0,,,,,
player,201912010clt,oti,HenrDe00,pass_att,0,,,,,
player,201912010clt,oti,HenrDe00,pass_yds,0,,,,,
player,201912010clt,oti,HenrDe00,pass_td,0,,,,,
player,201912010clt,oti,HenrDe00,pass_int,0,,,,,
player,201912010clt,oti,HenrDe00,pass_sacked,0,,,,,
player,201912010clt,oti,HenrDe00,pass_sacked_yds,0,,,,,
player,201912010clt,oti,HenrDe00,pass_long,0,,,,,
player,201912010clt,oti,HenrDe00,pass_rating,,,,,,
player,201912010clt,oti,HenrDe00,rush_att,26,,,,,
