game,2019,10,20191110,201911100oti,kan,"Kansas City Chiefs",32,oti,"Tennessee Titans",35
team,201911100oti,kan,First Downs,28,,,,,,
team,201911100oti,oti,First Downs,19,,,,,,
team,201911100oti,kan,Rush-Yds-TDs,25-97-0,,,,,,
team,201911100oti,oti,Rush-Yds-TDs,26-225-2,,,,,,
team,201911100oti,kan,Cmp-Att-Yd-TD-INT,36-51-446-3-0,,,,,,
team,201911100oti,oti,Cmp-Att-Yd-TD-INT,13-19-181-2-0,,,,,,
team,201911100oti,kan,Sacked-Yards,2-13,,,,,,
team,201911100oti,oti,Sacked-Yards,4-35,,,,,,
team,201911100oti,kan,Net Pass Yards,433,,,,,,
team,201911100oti,oti,Net Pass Yards,146,,,,,,
team,201911100oti,kan,Total Yards,530,,,,,,
team,201911100oti,oti,Total Yards,371,,,,,,
team,201911100oti,kan,Fumbles-Lost,2-1,,,,,,
team,201911100oti,oti,Fumbles-Lost,1-1,,,,,,
team,201911100oti,kan,Turnovers,1,,,,,,
team,201911100oti,oti,Turnovers,1,,,,,,
team,201911100oti,kan,Penalties-Yards,9-80,,,,,,
team,201911100oti,oti,Penalties-Yards,8-64,,,,,,
team,201911100oti,kan,Third Down Conv.,7-14,,,,,,
team,201911100oti,oti,Third Down Conv.,2-8,,,,,,
team,201911100oti,kan,Fourth Down Conv.,1-2,,,,,,
team,201911100oti,oti,Fourth Down Conv.,0-1,,,,,,
team,201911100oti,kan,Time of Possession,37:51,,,,,,
team,201911100oti,oti,Time of Possession,22:09,,,,,,
player,201911100oti,kan,MahoPa00,pass_cmp,36,,,,,
player,201911100oti,kan,MahoPa00,pass_att,50,,,,,
player,201911100oti,kan,MahoPa00,pass_yds,446,,,,,
player,201911100oti,kan,MahoPa00,pass_td,3,,,,,
player,201911100oti,kan,MahoPa00,pass_int,0,,,,,
player,201911100oti,kan,MahoPa00,pass_sacked,2,,,,,
player,201911100oti,kan,MahoPa00,pass_sacked_yds,13,,,,,
player,201911100oti,kan,MahoPa00,pass_long,63,,,,,
player,201911100oti,kan,MahoPa00,pass_rating,119.2,,,,,
player,201911100oti,kan,MahoPa00,rush_att,0,,,,,
player,201911100oti,kan,MahoPa00,rush_yds,0,,,,,
player,201911100oti,kan,MahoPa00,rush_td,0,,,,,
player,201911100oti,kan,MahoPa00,rush_long,0,,,,,
player,201911100oti,kan,MahoPa00,targets,0,,,,,
player,201911100oti,kan,MahoPa00,rec,0,,,,,
player,201911100oti,kan,MahoPa00,rec_yds,0,,,,,
player,201911100oti,kan,MahoPa00,rec_td,0,,,,,
player,201911100oti,kan,MahoPa00,rec_long,0,,,,,
player,201911100oti,kan,MahoPa00,fumbles,0,,,,,
player,201911100oti,kan,MahoPa00,fumbles_lost,0,,,,,
