game,2019,6,20191010,201910100nwe,nyg,"New York Giants",14,nwe,"New England Patriots",35
team,201910100nwe,nyg,First Downs,10,,,,,,
team,201910100nwe,nwe,First Downs,27,,,,,,
team,201910100nwe,nyg,Rush-Yds-TDs,16-52-0,,,,,,
team,201910100nwe,nwe,Rush-Yds-TDs,34-114-3,,,,,,
team,201910100nwe,nyg,Cmp-Att-Yd-TD-INT,15-31-161-1-3,,,,,,
team,201910100nwe,nwe,Cmp-Att-Yd-TD-INT,31-41-334-0-1,,,,,,
team,201910100nwe,nyg,Sacked-Yards,1-0,,,,,,
team,201910100nwe,nwe,Sacked-Yards,3-21,,,,,,
team,201910100nwe,nyg,Net Pass Yards,161,,,,,,
team,201910100nwe,nwe,Net Pass Yards,313,,,,,,
team,201910100nwe,nyg,Total Yards,213,,,,,,
team,201910100nwe,nwe,Total Yards,427,,,,,,
team,201910100nwe,nyg,Fumbles-Lost,1-1,,,,,,
team,201910100nwe,nwe,Fumbles-Lost,2-1,,,,,,
team,201910100nwe,nyg,Turnovers,4,,,,,,
team,201910100nwe,nwe,Turnovers,2,,,,,,
team,201910100nwe,nyg,Penalties-Yards,5-40,,,,,,
team,201910100nwe,nwe,Penalties-Yards,3-20,,,,,,
team,201910100nwe,nyg,Third Down Conv.,2-10,,,,,,
team,201910100nwe,nwe,Third Down Conv.,6-13,,,,,,
team,201910100nwe,nyg,Fourth Down Conv.,0-1,,,,,,
team,201910100nwe,nwe,Fourth Down Conv.,0-2,,,,,,
team,201910100nwe,nyg,Time of Possession,20:24,,,,,,
team,201910100nwe,nwe,Time of Possession,39:36,,,,,,
player,201910100nwe,nyg,JoneDa05,pass_cmp,15,,,,,
player,201910100nwe,nyg,JoneDa05,pass_att,31,,,,,
player,201910100nwe,nyg,JoneDa05,pass_yds,161,,,,,
player,201910100nwe,nyg,JoneDa05,pass_td,1,,,,,
player,201910100nwe,nyg,JoneDa05,pass_int,3,,,,,
player,201910100nwe,nyg,JoneDa05,pass_sacked,1,,,,,
player,201910100nwe,nyg,JoneDa05,pass_sacked_yds,0,,,,,
player,201910100nwe,nyg,JoneDa05,pass_long,64,,,,,
player,201910100nwe,nyg,JoneDa05,pass_rating,35.2,,,,,
player,201910100nwe,nyg,JoneDa05,rush_att,2,,,,,
player,201910100nwe,nyg,JoneDa05,rush_yds,8,,,,,
player,201910100nwe,nyg,JoneDa05,rush_td,0,,,,,
player,201910100nwe,nyg,JoneDa05,rush_long,9,,,,,
player,201910100nwe,nyg,JoneDa05,targets,0,,,,,
player,201910100nwe,nyg,JoneDa05,rec,0,,,,,
player,201910100nwe,nyg,JoneDa05,rec_yds,0,,,,,
player,201910100nwe,nyg,JoneDa05,rec_td,0,,,,,
player,201910100nwe,nyg,JoneDa05,rec_long,0,,,,,
player,201910100nwe,nyg,JoneDa05,fumbles,0,,,,,
player,201910100nwe,nyg,JoneDa05,fumbles_lost,0,,,,,
player,201910100nwe,nyg,HillJo03,pass_cmp,0,,,,,
player,201910100nwe,nyg,HillJo03,pass_att,0,,,,,
player,201910100nwe,nyg,HillJo03,pass_yds,0,,,,,
player,201910100nwe,nyg,HillJo03,pass_td,0,,,,,
player,201910100nwe,nyg,HillJo03,pass_int,0,,,,,
player,201910100nwe,nyg,HillJo03,pass_sacked,0,,,,,
player,201910100nwe,nyg,HillJo03,pass_sacked_yds,0,,,,,
player,201910100nwe,nyg,HillJo03,pass_long,0,,,,,
player,201910100nwe,nyg,HillJo03,pass_rating,,,,,,
player,201910100nwe,nyg,HillJo03,rush_att,11,,,,,
player,201910100nwe,nyg,HillJo03,rush_yds,38,,,,,
player,201910100nwe,nyg,HillJo03,rush_td,0,,,,,
player,201910100nwe,nyg,HillJo03,rush_long,10,,,,,
player,201910100nwe,nyg,HillJo03,targets,2,,,,,
player,201910100nwe,nyg,HillJo03,rec,2,,,,,
player,201910100nwe,nyg,HillJo03,rec_yds,-3,,,,,
player,201910100nwe,nyg,HillJo03,rec_td,0,,,,,
player,201910100nwe,nyg,HillJo03,rec_long,5,,,,,
player,201910100nwe,nyg,HillJo03,fumbles,1,,,,,
player,201910100nwe,nyg,HillJo03,fumbles_lost,1,,,,,
player,201910100nwe,nyg,PennEl00,pass_cmp,0,,,,,
player,201910100nwe,nyg,PennEl00,pass_att,0,,,,,
player,201910100nwe,nyg,PennEl00,pass_yds,0,,,,,
player,201910100nwe,nyg,PennEl00,pass_td,0,,,,,
player,201910100nwe,nyg,PennEl00,pass_int,0,,,,,
player,201910100nwe,nyg,PennEl00,pass_sacked,0,,,,,
player,201910100nwe,nyg,PennEl00,pass_sacked_yds,0,,,,,
player,201910100nwe,nyg,PennEl00,pass_long,0,,,,,
player,201910100nwe,nyg,PennEl00,pass_rating,,,,,,
player,201910100nwe,nyg,PennEl00,rush_att,3,,,,,
player,201910100nwe,nyg,PennEl00,rush_yds,6,,,,,
player,201910100nwe,nyg,PennEl00,rush_td,0,,,,,
player,201910100nwe,nyg,PennEl00,rush_long,3,,,,,
player,201910100nwe,nyg,PennEl00,targets,2,,,,,
player,201910100nwe,nyg,PennEl00,rec,1,,,,,
player,201910100nwe,nyg,PennEl00,rec_yds,0,,,,,
player,201910100nwe,nyg,PennEl00,rec_td,0,,,,,
player,201910100nwe,nyg,PennEl00,rec_long,0,,,,,
player,201910100nwe,nyg,PennEl00,fumbles,0,,,,,
player,201910100nwe,nyg,PennEl00,fumbles_lost,0,,,,,
player,201910100nwe,nyg,TateGo00,pass_cmp,0,,,,,
player,201910100nwe,nyg,TateGo00,pass_att,0,,,,,
player,201910100nwe,nyg,TateGo00,pass_yds,0,,,,,
player,201910100nwe,nyg,TateGo00,pass_td,0,,,,,
player,201910100nwe,nyg,TateGo00,pass_int,0,,,,,
player,201910100nwe,nyg,TateGo00,pass_sacked,0,,,,,
player,201910100nwe,nyg,TateGo00,pass_sacked_yds,0,,,,,
player,201910100nwe,nyg,TateGo00,pass_long,0,,,,,
player,201910100nwe,nyg,TateGo00,pass_rating,,,,,,
player,201910100nwe,nyg,TateGo00,rush_att,0,,,,,
player,201910100nwe,nyg,TateGo00,rush_yds,0,,,,,
player,201910100nwe,nyg,TateGo00,rush_td,0,,,,,
player,201910100nwe,nyg,TateGo00,rush_long,0,,,,,
player,201910100nwe,nyg,TateGo00,targets,9,,,,,
player,201910100nwe,nyg,TateGo00,rec,6,,,,,
player,201910100nwe,nyg,TateGo00,rec_yds,102,,,,,
player,201910100nwe,nyg,TateGo00,rec_td,1,,,,,
