game,2019,8,20191024,201910240min,was,"Washington Redskins",9,min,"Minnesota Vikings",19
team,201910240min,was,First Downs,14,,,,,,
team,201910240min,min,First Downs,22,,,,,,
team,201910240min,was,Rush-Yds-TDs,16-85-0,,,,,,
team,201910240min,min,Rush-Yds-TDs,38-161-1,,,,,,
team,201910240min,was,Cmp-Att-Yd-TD-INT,15-21-163-0-1,,,,,,
team,201910240min,min,Cmp-Att-Yd-TD-INT,23-26-285-0-0,,,,,,
team,201910240min,was,Sacked-Yards,4-32,,,,,,
team,201910240min,min,Sacked-Yards,3-12,,,,,,
team,201910240min,was,Net Pass Yards,131,,,,,,
team,201910240min,min,Net Pass Yards,273,,,,,,
team,201910240min,was,Total Yards,216,,,,,,
team,201910240min,min,Total Yards,434,,,,,,
team,201910240min,was,Fumbles-Lost,2-1,,,,,,
team,201910240min,min,Fumbles-Lost,1-1,,,,,,
team,201910240min,was,Turnovers,2,,,,,,
team,201910240min,min,Turnovers,1,,,,,,
team,201910240min,was,Penalties-Yards,4-46,,,,,,
team,201910240min,min,Penalties-Yards,7-74,,,,,,
team,201910240min,was,Third Down Conv.,2-7,,,,,,
team,201910240min,min,Third Down Conv.,8-15,,,,,,
team,201910240min,was,Fourth Down Conv.,0-0,,,,,,
team,201910240min,min,Fourth Down Conv.,1-3,,,,,,
team,201910240min,was,Time of Possession,23:24,,,,,,
team,201910240min,min,Time of Possession,36:36,,,,,,
player,201910240min,was,KeenCa00,pass_cmp,12,,,,,
player,201910240min,was,KeenCa00,pass_att,16,,,,,
player,201910240min,was,KeenCa00,pass_yds,130,,,,,
player,201910240min,was,KeenCa00,pass_td,0,,,,,
player,201910240min,was,KeenCa00,pass_int,0,,,,,
player,201910240min,was,KeenCa00,pass_sacked,2,,,,,
player,201910240min,was,KeenCa00,pass_sacked_yds,14,,,,,
player,201910240min,was,KeenCa00,pass_long,18,,,,,
player,201910240min,was,KeenCa00,pass_rating,98.4,,,,,
player,201910240min,was,KeenCa00,rush_att,0,,,,,
player,201910240min,was,KeenCa00,rush_yds,0,,,,,
player,201910240min,was,KeenCa00,rush_td,0,,,,,
player,201910240min,was,KeenCa00,rush_long,0,,,,,
player,201910240min,was,KeenCa00,targets,0,,,,,
player,201910240min,was,KeenCa00,rec,0,,,,,
player,201910240min,was,KeenCa00,rec_yds,0,,,,,
player,201910240min,was,KeenCa00,rec_td,0,,,,,
player,201910240min,was,KeenCa00,rec_long,0,,,,,
player,201910240min,was,KeenCa00,fumbles,2,,,,,
player,201910240min,was,KeenCa00,fumbles_lost,1,,,,,
player,201910240min,was,HaskDw00,pass_cmp,3,,,,,
player,201910240min,was,HaskDw00,pass_att,5,,,,,
player,201910240min,was,HaskDw00,pass_yds,33,,,,,
player,201910240min,was,HaskDw00,pass_td,0,,,,,
player,201910240min,was,HaskDw00,pass_int,1,,,,,
player,201910240min,was,HaskDw00,pass_sacked,2,,,,,
player,201910240min,was,HaskDw00,pass_sacked_yds,18,,,,,
player,201910240min,was,HaskDw00,pass_long,21,,,,,
player,201910240min,was,HaskDw00,pass_rating,40.0,,,,,
player,201910240min,was,HaskDw00,rush_att,0,,,,,
player,201910240min,was,HaskDw00,rush_yds,0,,,,,
player,201910240min,was,HaskDw00,rush_td,0,,,,,
player,201910240min,was,HaskDw00,rush_long,0,,,,,
