game,2019,7,20191020,201910200gnb,rai,"Oakland Raiders",24,gnb,"Green Bay Packers",42
team,201910200gnb,rai,First Downs,21,,,,,,
team,201910200gnb,gnb,First Downs,22,,,,,,
team,201910200gnb,rai,Rush-Yds-TDs,31-155-0,,,,,,
team,201910200gnb,gnb,Rush-Yds-TDs,23-60-1,,,,,,
team,201910200gnb,rai,Cmp-Att-Yd-TD-INT,24-31-329-3-1,,,,,,
team,201910200gnb,gnb,Cmp-Att-Yd-TD-INT,25-31-429-5-0,,,,,,
team,201910200gnb,rai,Sacked-Yards,0-0,,,,,,
team,201910200gnb,gnb,Sacked-Yards,1-8,,,,,,
team,201910200gnb,rai,Net Pass Yards,329,,,,,,
team,201910200gnb,gnb,Net Pass Yards,421,,,,,,
team,201910200gnb,rai,Total Yards,484,,,,,,
team,201910200gnb,gnb,Total Yards,481,,,,,,
team,201910200gnb,rai,Fumbles-Lost,1-1,,,,,,
team,201910200gnb,gnb,Fumbles-Lost,0-0,,,,,,
team,201910200gnb,rai,Turnovers,2,,,,,,
team,201910200gnb,gnb,Turnovers,0,,,,,,
team,201910200gnb,rai,Penalties-Yards,8-97,,,,,,
team,201910200gnb,gnb,Penalties-Yards,3-20,,,,,,
team,201910200gnb,rai,Third Down Conv.,7-11,,,,,,
team,201910200gnb,gnb,Third Down Conv.,6-10,,,,,,
team,201910200gnb,rai,Fourth Down Conv.,0-1,,,,,,
team,201910200gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201910200gnb,rai,Time of Possession,29:36,,,,,,
team,201910200gnb,gnb,Time of Possession,30:24,,,,,,
player,201910200gnb,rai,CarrDe02,pass_cmp,22,,,,,
player,201910200gnb,rai,CarrDe02,pass_att,28,,,,,
player,201910200gnb,rai,CarrDe02,pass_yds,293,,,,,
player,201910200gnb,rai,CarrDe02,pass_td,2,,,,,
player,201910200gnb,rai,CarrDe02,pass_int,1,,,,,
player,201910200gnb,rai,CarrDe02,pass_sacked,0,,,,,
player,201910200gnb,rai,CarrDe02,pass_sacked_yds,0,,,,,
player,201910200gnb,rai,CarrDe02,pass_long,48,,,,,
player,201910200gnb,rai,CarrDe02,pass_rating,119.2,,,,,
player,201910200gnb,rai,CarrDe02,rush_att,2,,,,,
player,201910200gnb,rai,CarrDe02,rush_yds,0,,,,,
player,201910200gnb,rai,CarrDe02,rush_td,0,,,,,
player,201910200gnb,rai,CarrDe02,rush_long,1,,,,,
player,201910200gnb,rai,CarrDe02,targets,0,,,,,
player,201910200gnb,rai,CarrDe02,rec,0,,,,,
player,201910200gnb,rai,CarrDe02,rec_yds,0,,,,,
player,201910200gnb,rai,CarrDe02,rec_td,0,,,,,
player,201910200gnb,rai,CarrDe02,rec_long,0,,,,,
player,201910200gnb,rai,CarrDe02,fumbles,1,,,,,
player,201910200gnb,rai,CarrDe02,fumbles_lost,1,,,,,
player,201910200gnb,rai,GlenMi00,pass_cmp,2,,,,,
player,201910200gnb,rai,GlenMi00,pass_att,3,,,,,
player,201910200gnb,rai,GlenMi00,pass_yds,36,,,,,
player,201910200gnb,rai,GlenMi00,pass_td,1,,,,,
player,201910200gnb,rai,GlenMi00,pass_int,0,,,,,
player,201910200gnb,rai,GlenMi00,pass_sacked,0,,,,,
player,201910200gnb,rai,GlenMi00,pass_sacked_yds,0,,,,,
player,201910200gnb,rai,GlenMi00,pass_long,19,,,,,
player,201910200gnb,rai,GlenMi00,pass_rating,147.2,,,,,
player,201910200gnb,rai,GlenMi00,rush_att,0,,,,,
player,201910200gnb,rai,GlenMi00,rush_yds,0,,,,,
player,201910200gnb,rai,GlenMi00,rush_td,0,,,,,
player,201910200gnb,rai,GlenMi00,rush_long,0,,,,,
