game,2019,9,20191103,201911030rai,det,"Detroit Lions",24,rai,"Oakland Raiders",31
team,201911030rai,det,First Downs,26,,,,,,
team,201911030rai,rai,First Downs,25,,,,,,
team,201911030rai,det,Rush-Yds-TDs,20-90-0,,,,,,
team,201911030rai,rai,Rush-Yds-TDs,36-171-2,,,,,,
team,201911030rai,det,Cmp-Att-Yd-TD-INT,26-41-406-3-1,,,,,,
team,201911030rai,rai,Cmp-Att-Yd-TD-INT,20-31-289-2-0,,,,,,
team,201911030rai,det,Sacked-Yards,2-23,,,,,,
team,201911030rai,rai,Sacked-Yards,1-10,,,,,,
team,201911030rai,det,Net Pass Yards,383,,,,,,
team,201911030rai,rai,Net Pass Yards,279,,,,,,
team,201911030rai,det,Total Yards,473,,,,,,
team,201911030rai,rai,Total Yards,450,,,,,,
team,201911030rai,det,Fumbles-Lost,1-1,,,,,,
team,201911030rai,rai,Fumbles-Lost,3-0,,,,,,
team,201911030rai,det,Turnovers,2,,,,,,
team,201911030rai,rai,Turnovers,0,,,,,,
team,201911030rai,det,Penalties-Yards,5-35,,,,,,
team,201911030rai,rai,Penalties-Yards,10-96,,,,,,
team,201911030rai,det,Third Down Conv.,5-11,,,,,,
team,201911030rai,rai,Third Down Conv.,7-13,,,,,,
team,201911030rai,det,Fourth Down Conv.,1-2,,,,,,
team,201911030rai,rai,Fourth Down Conv.,1-2,,,,,,
team,201911030rai,det,Time of Possession,27:10,,,,,,
team,201911030rai,rai,Time of Possession,32:50,,,,,,
player,201911030rai,det,StafMa00,pass_cmp,26,,,,,
player,201911030rai,det,StafMa00,pass_att,41,,,,,
player,201911030rai,det,StafMa00,pass_yds,406,,,,,
player,201911030rai,det,StafMa00,pass_td,3,,,,,
player,201911030rai,det,StafMa00,pass_int,1,,,,,
player,201911030rai,det,StafMa00,pass_sacked,2,,,,,
player,201911030rai,det,StafMa00,pass_sacked_yds,23,,,,,
player,201911030rai,det,StafMa00,pass_long,59,,,,,
player,201911030rai,det,StafMa00,pass_rating,110.4,,,,,
player,201911030rai,det,StafMa00,rush_att,3,,,,,
player,201911030rai,det,StafMa00,rush_yds,6,,,,,
player,201911030rai,det,StafMa00,rush_td,0,,,,,
player,201911030rai,det,StafMa00,rush_long,4,,,,,
player,201911030rai,det,StafMa00,targets,0,,,,,
player,201911030rai,det,StafMa00,rec,0,,,,,
player,201911030rai,det,StafMa00,rec_yds,0,,,,,
player,201911030rai,det,StafMa00,rec_td,0,,,,,
player,201911030rai,det,StafMa00,rec_long,0,,,,,
player,201911030rai,det,StafMa00,fumbles,1,,,,,
player,201911030rai,det,StafMa00,fumbles_lost,1,,,,,
player,201911030rai,det,McKiJ.00,pass_cmp,0,,,,,
player,201911030rai,det,McKiJ.00,pass_att,0,,,,,
player,201911030rai,det,McKiJ.00,pass_yds,0,,,,,
player,201911030rai,det,McKiJ.00,pass_td,0,,,,,
player,201911030rai,det,McKiJ.00,pass_int,0,,,,,
player,201911030rai,det,McKiJ.00,pass_sacked,0,,,,,
player,201911030rai,det,McKiJ.00,pass_sacked_yds,0,,,,,
player,201911030rai,det,McKiJ.00,pass_long,0,,,,,
player,201911030rai,det,McKiJ.00,pass_rating,,,,,,
player,201911030rai,det,McKiJ.00,rush_att,4,,,,,
player,201911030rai,det,McKiJ.00,rush_yds,32,,,,,
player,201911030rai,det,McKiJ.00,rush_td,0,,,,,
player,201911030rai,det,McKiJ.00,rush_long,13,,,,,
player,201911030rai,det,McKiJ.00,targets,4,,,,,
player,201911030rai,det,McKiJ.00,rec,3,,,,,
player,201911030rai,det,McKiJ.00,rec_yds,40,,,,,
player,201911030rai,det,McKiJ.00,rec_td,1,,,,,
player,201911030rai,det,McKiJ.00,rec_long,26,,,,,
player,201911030rai,det,McKiJ.00,fumbles,0,,,,,
player,201911030rai,det,McKiJ.00,fumbles_lost,0,,,,,
player,201911030rai,det,JohnTy02,pass_cmp,0,,,,,
player,201911030rai,det,JohnTy02,pass_att,0,,,,,
player,201911030rai,det,JohnTy02,pass_yds,0,,,,,
player,201911030rai,det,JohnTy02,pass_td,0,,,,,
player,201911030rai,det,JohnTy02,pass_int,0,,,,,
player,201911030rai,det,JohnTy02,pass_sacked,0,,,,,
player,201911030rai,det,JohnTy02,pass_sacked_yds,0,,,,,
player,201911030rai,det,JohnTy02,pass_long,0,,,,,
player,201911030rai,det,JohnTy02,pass_rating,,,,,,
player,201911030rai,det,JohnTy02,rush_att,9,,,,,
player,201911030rai,det,JohnTy02,rush_yds,29,,,,,
player,201911030rai,det,JohnTy02,rush_td,0,,,,,
player,201911030rai,det,JohnTy02,rush_long,10,,,,,
player,201911030rai,det,JohnTy02,targets,3,,,,,
player,201911030rai,det,JohnTy02,rec,3,,,,,
player,201911030rai,det,JohnTy02,rec_yds,7,,,,,
player,201911030rai,det,JohnTy02,rec_td,0,,,,,
player,201911030rai,det,JohnTy02,rec_long,6,,,,,
player,201911030rai,det,JohnTy02,fumbles,0,,,,,
player,201911030rai,det,JohnTy02,fumbles_lost,0,,,,,
player,201911030rai,det,PerkPa00,pass_cmp,0,,,,,
player,201911030rai,det,PerkPa00,pass_att,0,,,,,
player,201911030rai,det,PerkPa00,pass_yds,0,,,,,
player,201911030rai,det,PerkPa00,pass_td,0,,,,,
