game,2019,16,20191223,201912230min,gnb,"Green Bay Packers",23,min,"Minnesota Vikings",10
team,201912230min,gnb,First Downs,22,,,,,,
team,201912230min,min,First Downs,7,,,,,,
team,201912230min,gnb,Rush-Yds-TDs,32-184-2,,,,,,
team,201912230min,min,Rush-Yds-TDs,16-57-0,,,,,,
team,201912230min,gnb,Cmp-Att-Yd-TD-INT,26-40-216-0-1,,,,,,
team,201912230min,min,Cmp-Att-Yd-TD-INT,16-32-122-1-1,,,,,,
team,201912230min,gnb,Sacked-Yards,3-17,,,,,,
team,201912230min,min,Sacked-Yards,5-40,,,,,,
team,201912230min,gnb,Net Pass Yards,199,,,,,,
team,201912230min,min,Net Pass Yards,82,,,,,,
team,201912230min,gnb,Total Yards,383,,,,,,
team,201912230min,min,Total Yards,139,,,,,,
team,201912230min,gnb,Fumbles-Lost,4-2,,,,,,
team,201912230min,min,Fumbles-Lost,0-0,,,,,,
team,201912230min,gnb,Turnovers,3,,,,,,
team,201912230min,min,Turnovers,1,,,,,,
team,201912230min,gnb,Penalties-Yards,2-20,,,,,,
team,201912230min,min,Penalties-Yards,3-30,,,,,,
team,201912230min,gnb,Third Down Conv.,5-14,,,,,,
team,201912230min,min,Third Down Conv.,4-15,,,,,,
team,201912230min,gnb,Fourth Down Conv.,0-0,,,,,,
team,201912230min,min,Fourth Down Conv.,0-2,,,,,,
team,201912230min,gnb,Time of Possession,37:32,,,,,,
team,201912230min,min,Time of Possession,22:28,,,,,,
player,201912230min,gnb,RodgAa00,pass_cmp,26,,,,,
player,201912230min,gnb,RodgAa00,pass_att,40,,,,,
player,201912230min,gnb,RodgAa00,pass_yds,216,,,,,
player,201912230min,gnb,RodgAa00,pass_td,0,,,,,
player,201912230min,gnb,RodgAa00,pass_int,1,,,,,
player,201912230min,gnb,RodgAa00,pass_sacked,3,,,,,
player,201912230min,gnb,RodgAa00,pass_sacked_yds,17,,,,,
player,201912230min,gnb,RodgAa00,pass_long,18,,,,,
player,201912230min,gnb,RodgAa00,pass_rating,68.3,,,,,
player,201912230min,gnb,RodgAa00,rush_att,3,,,,,
player,201912230min,gnb,RodgAa00,rush_yds,-3,,,,,
player,201912230min,gnb,RodgAa00,rush_td,0,,,,,
player,201912230min,gnb,RodgAa00,rush_long,-1,,,,,
player,201912230min,gnb,RodgAa00,targets,0,,,,,
player,201912230min,gnb,RodgAa00,rec,0,,,,,
player,201912230min,gnb,RodgAa00,rec_yds,0,,,,,
player,201912230min,gnb,RodgAa00,rec_td,0,,,,,
player,201912230min,gnb,RodgAa00,rec_long,0,,,,,
player,201912230min,gnb,RodgAa00,fumbles,0,,,,,
player,201912230min,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201912230min,gnb,JoneAa00,pass_cmp,0,,,,,
player,201912230min,gnb,JoneAa00,pass_att,0,,,,,
player,201912230min,gnb,JoneAa00,pass_yds,0,,,,,
player,201912230min,gnb,JoneAa00,pass_td,0,,,,,
player,201912230min,gnb,JoneAa00,pass_int,0,,,,,
player,201912230min,gnb,JoneAa00,pass_sacked,0,,,,,
player,201912230min,gnb,JoneAa00,pass_sacked_yds,0,,,,,
player,201912230min,gnb,JoneAa00,pass_long,0,,,,,
player,201912230min,gnb,JoneAa00,pass_rating,,,,,,
player,201912230min,gnb,JoneAa00,rush_att,23,,,,,
player,201912230min,gnb,JoneAa00,rush_yds,154,,,,,
player,201912230min,gnb,JoneAa00,rush_td,2,,,,,
player,201912230min,gnb,JoneAa00,rush_long,56,,,,,
