game,2019,10,20191110,201911100tam,crd,"Arizona Cardinals",27,tam,"Tampa Bay Buccaneers",30
team,201911100tam,crd,First Downs,20,,,,,,
team,201911100tam,tam,First Downs,26,,,,,,
team,201911100tam,crd,Rush-Yds-TDs,18-75-0,,,,,,
team,201911100tam,tam,Rush-Yds-TDs,26-118-2,,,,,,
team,201911100tam,crd,Cmp-Att-Yd-TD-INT,28-45-350-3-1,,,,,,
team,201911100tam,tam,Cmp-Att-Yd-TD-INT,30-48-358-1-2,,,,,,
team,201911100tam,crd,Sacked-Yards,2-8,,,,,,
team,201911100tam,tam,Sacked-Yards,4-19,,,,,,
team,201911100tam,crd,Net Pass Yards,342,,,,,,
team,201911100tam,tam,Net Pass Yards,339,,,,,,
team,201911100tam,crd,Total Yards,417,,,,,,
team,201911100tam,tam,Total Yards,457,,,,,,
team,201911100tam,crd,Fumbles-Lost,1-1,,,,,,
team,201911100tam,tam,Fumbles-Lost,2-1,,,,,,
team,201911100tam,crd,Turnovers,2,,,,,,
team,201911100tam,tam,Turnovers,3,,,,,,
team,201911100tam,crd,Penalties-Yards,11-87,,,,,,
team,201911100tam,tam,Penalties-Yards,9-94,,,,,,
team,201911100tam,crd,Third Down Conv.,1-10,,,,,,
team,201911100tam,tam,Third Down Conv.,7-15,,,,,,
team,201911100tam,crd,Fourth Down Conv.,2-3,,,,,,
team,201911100tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201911100tam,crd,Time of Possession,23:57,,,,,,
team,201911100tam,tam,Time of Possession,36:03,,,,,,
player,201911100tam,crd,MurrKy00,pass_cmp,27,,,,,
player,201911100tam,crd,MurrKy00,pass_att,44,,,,,
player,201911100tam,crd,MurrKy00,pass_yds,324,,,,,
player,201911100tam,crd,MurrKy00,pass_td,3,,,,,
player,201911100tam,crd,MurrKy00,pass_int,1,,,,,
player,201911100tam,crd,MurrKy00,pass_sacked,2,,,,,
player,201911100tam,crd,MurrKy00,pass_sacked_yds,8,,,,,
player,201911100tam,crd,MurrKy00,pass_long,69,,,,,
player,201911100tam,crd,MurrKy00,pass_rating,97.2,,,,,
player,201911100tam,crd,MurrKy00,rush_att,3,,,,,
