game,2019,14,20191208,201912080tam,clt,"Indianapolis Colts",35,tam,"Tampa Bay Buccaneers",38
team,201912080tam,clt,First Downs,16,,,,,,
team,201912080tam,tam,First Downs,29,,,,,,
team,201912080tam,clt,Rush-Yds-TDs,22-66-1,,,,,,
team,201912080tam,tam,Rush-Yds-TDs,28-75-1,,,,,,
team,201912080tam,clt,Cmp-Att-Yd-TD-INT,19-36-251-2-0,,,,,,
team,201912080tam,tam,Cmp-Att-Yd-TD-INT,35-49-474-4-3,,,,,,
team,201912080tam,clt,Sacked-Yards,1-8,,,,,,
team,201912080tam,tam,Sacked-Yards,1-7,,,,,,
team,201912080tam,clt,Net Pass Yards,243,,,,,,
team,201912080tam,tam,Net Pass Yards,467,,,,,,
team,201912080tam,clt,Total Yards,309,,,,,,
team,201912080tam,tam,Total Yards,542,,,,,,
team,201912080tam,clt,Fumbles-Lost,1-1,,,,,,
team,201912080tam,tam,Fumbles-Lost,1-1,,,,,,
team,201912080tam,clt,Turnovers,1,,,,,,
team,201912080tam,tam,Turnovers,4,,,,,,
team,201912080tam,clt,Penalties-Yards,3-35,,,,,,
team,201912080tam,tam,Penalties-Yards,6-104,,,,,,
team,201912080tam,clt,Third Down Conv.,6-16,,,,,,
team,201912080tam,tam,Third Down Conv.,8-15,,,,,,
team,201912080tam,clt,Fourth Down Conv.,2-3,,,,,,
team,201912080tam,tam,Fourth Down Conv.,1-1,,,,,,
team,201912080tam,clt,Time of Possession,25:45,,,,,,
team,201912080tam,tam,Time of Possession,34:15,,,,,,
player,201912080tam,clt,BrisJa00,pass_cmp,19,,,,,
player,201912080tam,clt,BrisJa00,pass_att,36,,,,,
player,201912080tam,clt,BrisJa00,pass_yds,251,,,,,
player,201912080tam,clt,BrisJa00,pass_td,2,,,,,
player,201912080tam,clt,BrisJa00,pass_int,0,,,,,
player,201912080tam,clt,BrisJa00,pass_sacked,1,,,,,
player,201912080tam,clt,BrisJa00,pass_sacked_yds,8,,,,,
player,201912080tam,clt,BrisJa00,pass_long,50,,,,,
player,201912080tam,clt,BrisJa00,pass_rating,93.6,,,,,
player,201912080tam,clt,BrisJa00,rush_att,4,,,,,
player,201912080tam,clt,BrisJa00,rush_yds,26,,,,,
player,201912080tam,clt,BrisJa00,rush_td,0,,,,,
player,201912080tam,clt,BrisJa00,rush_long,9,,,,,
player,201912080tam,clt,BrisJa00,targets,0,,,,,
player,201912080tam,clt,BrisJa00,rec,0,,,,,
player,201912080tam,clt,BrisJa00,rec_yds,0,,,,,
player,201912080tam,clt,BrisJa00,rec_td,0,,,,,
player,201912080tam,clt,BrisJa00,rec_long,0,,,,,
player,201912080tam,clt,BrisJa00,fumbles,0,,,,,
player,201912080tam,clt,BrisJa00,fumbles_lost,0,,,,,
player,201912080tam,clt,MackMa00,pass_cmp,0,,,,,
player,201912080tam,clt,MackMa00,pass_att,0,,,,,
player,201912080tam,clt,MackMa00,pass_yds,0,,,,,
player,201912080tam,clt,MackMa00,pass_td,0,,,,,
player,201912080tam,clt,MackMa00,pass_int,0,,,,,
player,201912080tam,clt,MackMa00,pass_sacked,0,,,,,
player,201912080tam,clt,MackMa00,pass_sacked_yds,0,,,,,
player,201912080tam,clt,MackMa00,pass_long,0,,,,,
player,201912080tam,clt,MackMa00,pass_rating,,,,,,
player,201912080tam,clt,MackMa00,rush_att,13,,,,,
player,201912080tam,clt,MackMa00,rush_yds,38,,,,,
player,201912080tam,clt,MackMa00,rush_td,1,,,,,
