game,2019,6,20191013,201910130mia,was,"Washington Redskins",17,mia,"Miami Dolphins",16
team,201910130mia,was,First Downs,13,,,,,,
team,201910130mia,mia,First Downs,21,,,,,,
team,201910130mia,was,Rush-Yds-TDs,33-145-0,,,,,,
team,201910130mia,mia,Rush-Yds-TDs,21-84-1,,,,,,
team,201910130mia,was,Cmp-Att-Yd-TD-INT,13-25-166-2-0,,,,,,
team,201910130mia,mia,Cmp-Att-Yd-TD-INT,27-43-217-1-2,,,,,,
team,201910130mia,was,Sacked-Yards,0-0,,,,,,
team,201910130mia,mia,Sacked-Yards,5-30,,,,,,
team,201910130mia,was,Net Pass Yards,166,,,,,,
team,201910130mia,mia,Net Pass Yards,187,,,,,,
team,201910130mia,was,Total Yards,311,,,,,,
team,201910130mia,mia,Total Yards,271,,,,,,
team,201910130mia,was,Fumbles-Lost,1-0,,,,,,
team,201910130mia,mia,Fumbles-Lost,2-0,,,,,,
team,201910130mia,was,Turnovers,0,,,,,,
team,201910130mia,mia,Turnovers,2,,,,,,
team,201910130mia,was,Penalties-Yards,6-56,,,,,,
team,201910130mia,mia,Penalties-Yards,5-45,,,,,,
team,201910130mia,was,Third Down Conv.,2-11,,,,,,
team,201910130mia,mia,Third Down Conv.,3-14,,,,,,
team,201910130mia,was,Fourth Down Conv.,0-0,,,,,,
team,201910130mia,mia,Fourth Down Conv.,2-2,,,,,,
team,201910130mia,was,Time of Possession,27:21,,,,,,
team,201910130mia,mia,Time of Possession,32:39,,,,,,
player,201910130mia,was,KeenCa00,pass_cmp,13,,,,,
player,201910130mia,was,KeenCa00,pass_att,25,,,,,
player,201910130mia,was,KeenCa00,pass_yds,166,,,,,
player,201910130mia,was,KeenCa00,pass_td,2,,,,,
player,201910130mia,was,KeenCa00,pass_int,0,,,,,
player,201910130mia,was,KeenCa00,pass_sacked,0,,,,,
player,201910130mia,was,KeenCa00,pass_sacked_yds,0,,,,,
player,201910130mia,was,KeenCa00,pass_long,33,,,,,
player,201910130mia,was,KeenCa00,pass_rating,99.7,,,,,
player,201910130mia,was,KeenCa00,rush_att,4,,,,,
player,201910130mia,was,KeenCa00,rush_yds,10,,,,,
player,201910130mia,was,KeenCa00,rush_td,0,,,,,
player,201910130mia,was,KeenCa00,rush_long,9,,,,,
player,201910130mia,was,KeenCa00,targets,0,,,,,
player,201910130mia,was,KeenCa00,rec,0,,,,,
player,201910130mia,was,KeenCa00,rec_yds,0,,,,,
player,201910130mia,was,KeenCa00,rec_td,0,,,,,
player,201910130mia,was,KeenCa00,rec_long,0,,,,,
player,201910130mia,was,KeenCa00,fumbles,1,,,,,
player,201910130mia,was,KeenCa00,fumbles_lost,0,,,,,
player,201910130mia,was,PeteAd01,pass_cmp,0,,,,,
player,201910130mia,was,PeteAd01,pass_att,0,,,,,
player,201910130mia,was,PeteAd01,pass_yds,0,,,,,
player,201910130mia,was,PeteAd01,pass_td,0,,,,,
player,201910130mia,was,PeteAd01,pass_int,0,,,,,
player,201910130mia,was,PeteAd01,pass_sacked,0,,,,,
player,201910130mia,was,PeteAd01,pass_sacked_yds,0,,,,,
player,201910130mia,was,PeteAd01,pass_long,0,,,,,
player,201910130mia,was,PeteAd01,pass_rating,,,,,,
player,201910130mia,was,PeteAd01,rush_att,23,,,,,
player,201910130mia,was,PeteAd01,rush_yds,118,,,,,
player,201910130mia,was,PeteAd01,rush_td,0,,,,,
player,201910130mia,was,PeteAd01,rush_long,25,,,,,
player,201910130mia,was,PeteAd01,targets,2,,,,,
player,201910130mia,was,PeteAd01,rec,2,,,,,
player,201910130mia,was,PeteAd01,rec_yds,18,,,,,
player,201910130mia,was,PeteAd01,rec_td,0,,,,,
player,201910130mia,was,PeteAd01,rec_long,13,,,,,
player,201910130mia,was,PeteAd01,fumbles,0,,,,,
player,201910130mia,was,PeteAd01,fumbles_lost,0,,,,,
player,201910130mia,was,ThomCh03,pass_cmp,0,,,,,
player,201910130mia,was,ThomCh03,pass_att,0,,,,,
player,201910130mia,was,ThomCh03,pass_yds,0,,,,,
player,201910130mia,was,ThomCh03,pass_td,0,,,,,
player,201910130mia,was,ThomCh03,pass_int,0,,,,,
player,201910130mia,was,ThomCh03,pass_sacked,0,,,,,
player,201910130mia,was,ThomCh03,pass_sacked_yds,0,,,,,
player,201910130mia,was,ThomCh03,pass_long,0,,,,,
