game,2019,3,20190922,201909220kan,rav,"Baltimore Ravens",28,kan,"Kansas City Chiefs",33
player,201909220kan,rav,HillJu00,fumbles_lost,0,,,,,
player,201909220kan,rav,BoylNi00,pass_cmp,0,,,,,
player,201909220kan,rav,BoylNi00,pass_att,0,,,,,
player,201909220kan,rav,BoylNi00,pass_yds,0,,,,,
player,201909220kan,rav,BoylNi00,pass_td,0,,,,,
player,201909220kan,rav,BoylNi00,pass_int,0,,,,,
player,201909220kan,rav,BoylNi00,pass_sacked,0,,,,,
player,201909220kan,rav,BoylNi00,pass_sacked_yds,0,,,,,
player,201909220kan,rav,BoylNi00,pass_long,0,,,,,
player,201909220kan,rav,BoylNi00,pass_rating,,,,,,
player,201909220kan,rav,BoylNi00,rush_att,0,,,,,
player,201909220kan,rav,BoylNi00,rush_yds,0,,,,,
player,201909220kan,rav,BoylNi00,rush_td,0,,,,,
player,201909220kan,rav,BoylNi00,rush_long,0,,,,,
player,201909220kan,rav,BoylNi00,targets,5,,,,,
player,201909220kan,rav,BoylNi00,rec,4,,,,,
player,201909220kan,rav,BoylNi00,rec_yds,58,,,,,
player,201909220kan,rav,BoylNi00,rec_td,0,,,,,
player,201909220kan,rav,BoylNi00,rec_long,23,,,,,
player,201909220kan,rav,BoylNi00,fumbles,0,,,,,
player,201909220kan,rav,BoylNi00,fumbles_lost,0,,,,,
player,201909220kan,rav,BrowMa04,pass_cmp,0,,,,,
player,201909220kan,rav,BrowMa04,pass_att,0,,,,,
player,201909220kan,rav,BrowMa04,pass_yds,0,,,,,
player,201909220kan,rav,BrowMa04,pass_td,0,,,,,
player,201909220kan,rav,BrowMa04,pass_int,0,,,,,
player,201909220kan,rav,BrowMa04,pass_sacked,0,,,,,
player,201909220kan,rav,BrowMa04,pass_sacked_yds,0,,,,,
player,201909220kan,rav,BrowMa04,pass_long,0,,,,,
player,201909220kan,rav,BrowMa04,pass_rating,,,,,,
player,201909220kan,rav,BrowMa04,rush_att,0,,,,,
player,201909220kan,rav,BrowMa04,rush_yds,0,,,,,
player,201909220kan,rav,BrowMa04,rush_td,0,,,,,
player,201909220kan,rav,BrowMa04,rush_long,0,,,,,
player,201909220kan,rav,BrowMa04,targets,9,,,,,
player,201909220kan,rav,BrowMa04,rec,2,,,,,
player,201909220kan,rav,BrowMa04,rec_yds,49,,,,,
player,201909220kan,rav,BrowMa04,rec_td,0,,,,,
player,201909220kan,rav,BrowMa04,rec_long,31,,,,,
player,201909220kan,rav,BrowMa04,fumbles,0,,,,,
player,201909220kan,rav,BrowMa04,fumbles_lost,0,,,,,
player,201909220kan,rav,SneaWi00,pass_cmp,0,,,,,
player,201909220kan,rav,SneaWi00,pass_att,0,,,,,
player,201909220kan,rav,SneaWi00,pass_yds,0,,,,,
player,201909220kan,rav,SneaWi00,pass_td,0,,,,,
player,201909220kan,rav,SneaWi00,pass_int,0,,,,,
player,201909220kan,rav,SneaWi00,pass_sacked,0,,,,,
player,201909220kan,rav,SneaWi00,pass_sacked_yds,0,,,,,
player,201909220kan,rav,SneaWi00,pass_long,0,,,,,
player,201909220kan,rav,SneaWi00,pass_rating,,,,,,
player,201909220kan,rav,SneaWi00,rush_att,0,,,,,
player,201909220kan,rav,SneaWi00,rush_yds,0,,,,,
player,201909220kan,rav,SneaWi00,rush_td,0,,,,,
player,201909220kan,rav,SneaWi00,rush_long,0,,,,,
player,201909220kan,rav,SneaWi00,targets,5,,,,,
player,201909220kan,rav,SneaWi00,rec,3,,,,,
player,201909220kan,rav,SneaWi00,rec_yds,47,,,,,
player,201909220kan,rav,SneaWi00,rec_td,0,,,,,
player,201909220kan,rav,SneaWi00,rec_long,23,,,,,
player,201909220kan,rav,SneaWi00,fumbles,0,,,,,
player,201909220kan,rav,SneaWi00,fumbles_lost,0,,,,,
player,201909220kan,rav,RobeSe00,pass_cmp,0,,,,,
player,201909220kan,rav,RobeSe00,pass_att,0,,,,,
player,201909220kan,rav,RobeSe00,pass_yds,0,,,,,
player,201909220kan,rav,RobeSe00,pass_td,0,,,,,
player,201909220kan,rav,RobeSe00,pass_int,0,,,,,
player,201909220kan,rav,RobeSe00,pass_sacked,0,,,,,
player,201909220kan,rav,RobeSe00,pass_sacked_yds,0,,,,,
player,201909220kan,rav,RobeSe00,pass_long,0,,,,,
player,201909220kan,rav,RobeSe00,pass_rating,,,,,,
player,201909220kan,rav,RobeSe00,rush_att,0,,,,,
player,201909220kan,rav,RobeSe00,rush_yds,0,,,,,
player,201909220kan,rav,RobeSe00,rush_td,0,,,,,
player,201909220kan,rav,RobeSe00,rush_long,0,,,,,
player,201909220kan,rav,RobeSe00,targets,2,,,,,
player,201909220kan,rav,RobeSe00,rec,2,,,,,
player,201909220kan,rav,RobeSe00,rec_yds,37,,,,,
player,201909220kan,rav,RobeSe00,rec_td,0,,,,,
player,201909220kan,rav,RobeSe00,rec_long,25,,,,,
player,201909220kan,rav,RobeSe00,fumbles,0,,,,,
player,201909220kan,rav,RobeSe00,fumbles_lost,0,,,,,
