game,2019,3,20190922,201909220dal,mia,"Miami Dolphins",6,dal,"Dallas Cowboys",31
team,201909220dal,mia,First Downs,17,,,,,,
team,201909220dal,dal,First Downs,28,,,,,,
team,201909220dal,mia,Rush-Yds-TDs,24-72-0,,,,,,
team,201909220dal,dal,Rush-Yds-TDs,34-235-2,,,,,,
team,201909220dal,mia,Cmp-Att-Yd-TD-INT,20-41-229-0-0,,,,,,
team,201909220dal,dal,Cmp-Att-Yd-TD-INT,19-32-246-2-1,,,,,,
team,201909220dal,mia,Sacked-Yards,3-18,,,,,,
team,201909220dal,dal,Sacked-Yards,1-5,,,,,,
team,201909220dal,mia,Net Pass Yards,211,,,,,,
team,201909220dal,dal,Net Pass Yards,241,,,,,,
team,201909220dal,mia,Total Yards,283,,,,,,
team,201909220dal,dal,Total Yards,476,,,,,,
team,201909220dal,mia,Fumbles-Lost,3-1,,,,,,
team,201909220dal,dal,Fumbles-Lost,0-0,,,,,,
team,201909220dal,mia,Turnovers,1,,,,,,
team,201909220dal,dal,Turnovers,1,,,,,,
team,201909220dal,mia,Penalties-Yards,5-35,,,,,,
team,201909220dal,dal,Penalties-Yards,8-100,,,,,,
team,201909220dal,mia,Third Down Conv.,3-15,,,,,,
team,201909220dal,dal,Third Down Conv.,5-10,,,,,,
team,201909220dal,mia,Fourth Down Conv.,1-3,,,,,,
team,201909220dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201909220dal,mia,Time of Possession,29:04,,,,,,
team,201909220dal,dal,Time of Possession,30:56,,,,,,
player,201909220dal,mia,RoseJo01,pass_cmp,18,,,,,
player,201909220dal,mia,RoseJo01,pass_att,39,,,,,
player,201909220dal,mia,RoseJo01,pass_yds,200,,,,,
player,201909220dal,mia,RoseJo01,pass_td,0,,,,,
player,201909220dal,mia,RoseJo01,pass_int,0,,,,,
player,201909220dal,mia,RoseJo01,pass_sacked,3,,,,,
player,201909220dal,mia,RoseJo01,pass_sacked_yds,18,,,,,
player,201909220dal,mia,RoseJo01,pass_long,40,,,,,
player,201909220dal,mia,RoseJo01,pass_rating,61.9,,,,,
player,201909220dal,mia,RoseJo01,rush_att,3,,,,,
player,201909220dal,mia,RoseJo01,rush_yds,13,,,,,
player,201909220dal,mia,RoseJo01,rush_td,0,,,,,
player,201909220dal,mia,RoseJo01,rush_long,6,,,,,
player,201909220dal,mia,RoseJo01,targets,0,,,,,
player,201909220dal,mia,RoseJo01,rec,0,,,,,
player,201909220dal,mia,RoseJo01,rec_yds,0,,,,,
player,201909220dal,mia,RoseJo01,rec_td,0,,,,,
player,201909220dal,mia,RoseJo01,rec_long,0,,,,,
player,201909220dal,mia,RoseJo01,fumbles,0,,,,,
player,201909220dal,mia,RoseJo01,fumbles_lost,0,,,,,
player,201909220dal,mia,FitzRy00,pass_cmp,2,,,,,
