game,2019,4,20190929,201909290clt,rai,"Oakland Raiders",31,clt,"Indianapolis Colts",24
team,201909290clt,rai,First Downs,21,,,,,,
team,201909290clt,clt,First Downs,22,,,,,,
team,201909290clt,rai,Rush-Yds-TDs,32-188-1,,,,,,
team,201909290clt,clt,Rush-Yds-TDs,23-81-0,,,,,,
team,201909290clt,rai,Cmp-Att-Yd-TD-INT,21-31-189-2-0,,,,,,
team,201909290clt,clt,Cmp-Att-Yd-TD-INT,24-46-265-3-1,,,,,,
team,201909290clt,rai,Sacked-Yards,1-0,,,,,,
team,201909290clt,clt,Sacked-Yards,0-0,,,,,,
team,201909290clt,rai,Net Pass Yards,189,,,,,,
team,201909290clt,clt,Net Pass Yards,265,,,,,,
team,201909290clt,rai,Total Yards,377,,,,,,
team,201909290clt,clt,Total Yards,346,,,,,,
team,201909290clt,rai,Fumbles-Lost,1-1,,,,,,
team,201909290clt,clt,Fumbles-Lost,2-1,,,,,,
team,201909290clt,rai,Turnovers,1,,,,,,
team,201909290clt,clt,Turnovers,2,,,,,,
team,201909290clt,rai,Penalties-Yards,11-80,,,,,,
team,201909290clt,clt,Penalties-Yards,5-35,,,,,,
team,201909290clt,rai,Third Down Conv.,5-12,,,,,,
team,201909290clt,clt,Third Down Conv.,6-16,,,,,,
team,201909290clt,rai,Fourth Down Conv.,1-1,,,,,,
team,201909290clt,clt,Fourth Down Conv.,3-3,,,,,,
team,201909290clt,rai,Time of Possession,33:41,,,,,,
team,201909290clt,clt,Time of Possession,26:19,,,,,,
player,201909290clt,rai,CarrDe02,pass_cmp,21,,,,,
player,201909290clt,rai,CarrDe02,pass_att,31,,,,,
player,201909290clt,rai,CarrDe02,pass_yds,189,,,,,
player,201909290clt,rai,CarrDe02,pass_td,2,,,,,
player,201909290clt,rai,CarrDe02,pass_int,0,,,,,
player,201909290clt,rai,CarrDe02,pass_sacked,1,,,,,
player,201909290clt,rai,CarrDe02,pass_sacked_yds,0,,,,,
player,201909290clt,rai,CarrDe02,pass_long,20,,,,,
player,201909290clt,rai,CarrDe02,pass_rating,105.4,,,,,
player,201909290clt,rai,CarrDe02,rush_att,2,,,,,
player,201909290clt,rai,CarrDe02,rush_yds,-1,,,,,
player,201909290clt,rai,CarrDe02,rush_td,0,,,,,
player,201909290clt,rai,CarrDe02,rush_long,0,,,,,
player,201909290clt,rai,CarrDe02,targets,0,,,,,
player,201909290clt,rai,CarrDe02,rec,0,,,,,
player,201909290clt,rai,CarrDe02,rec_yds,0,,,,,
player,201909290clt,rai,CarrDe02,rec_td,0,,,,,
player,201909290clt,rai,CarrDe02,rec_long,0,,,,,
player,201909290clt,rai,CarrDe02,fumbles,1,,,,,
player,201909290clt,rai,CarrDe02,fumbles_lost,1,,,,,
player,201909290clt,rai,JacoJo01,pass_cmp,0,,,,,
player,201909290clt,rai,JacoJo01,pass_att,0,,,,,
player,201909290clt,rai,JacoJo01,pass_yds,0,,,,,
player,201909290clt,rai,JacoJo01,pass_td,0,,,,,
player,201909290clt,rai,JacoJo01,pass_int,0,,,,,
player,201909290clt,rai,JacoJo01,pass_sacked,0,,,,,
player,201909290clt,rai,JacoJo01,pass_sacked_yds,0,,,,,
player,201909290clt,rai,JacoJo01,pass_long,0,,,,,
player,201909290clt,rai,JacoJo01,pass_rating,,,,,,
player,201909290clt,rai,JacoJo01,rush_att,17,,,,,
player,201909290clt,rai,JacoJo01,rush_yds,79,,,,,
player,201909290clt,rai,JacoJo01,rush_td,0,,,,,
player,201909290clt,rai,JacoJo01,rush_long,16,,,,,
player,201909290clt,rai,JacoJo01,targets,2,,,,,
player,201909290clt,rai,JacoJo01,rec,2,,,,,
player,201909290clt,rai,JacoJo01,rec_yds,29,,,,,
player,201909290clt,rai,JacoJo01,rec_td,0,,,,,
player,201909290clt,rai,JacoJo01,rec_long,20,,,,,
player,201909290clt,rai,JacoJo01,fumbles,0,,,,,
player,201909290clt,rai,JacoJo01,fumbles_lost,0,,,,,
player,201909290clt,rai,DaviTr03,pass_cmp,0,,,,,
player,201909290clt,rai,DaviTr03,pass_att,0,,,,,
player,201909290clt,rai,DaviTr03,pass_yds,0,,,,,
player,201909290clt,rai,DaviTr03,pass_td,0,,,,,
player,201909290clt,rai,DaviTr03,pass_int,0,,,,,
player,201909290clt,rai,DaviTr03,pass_sacked,0,,,,,
player,201909290clt,rai,DaviTr03,pass_sacked_yds,0,,,,,
player,201909290clt,rai,DaviTr03,pass_long,0,,,,,
player,201909290clt,rai,DaviTr03,pass_rating,,,,,,
player,201909290clt,rai,DaviTr03,rush_att,2,,,,,
player,201909290clt,rai,DaviTr03,rush_yds,74,,,,,
player,201909290clt,rai,DaviTr03,rush_td,1,,,,,
player,201909290clt,rai,DaviTr03,rush_long,60,,,,,
player,201909290clt,rai,DaviTr03,targets,0,,,,,
player,201909290clt,rai,DaviTr03,rec,0,,,,,
player,201909290clt,rai,DaviTr03,rec_yds,0,,,,,
player,201909290clt,rai,DaviTr03,rec_td,0,,,,,
player,201909290clt,rai,DaviTr03,rec_long,0,,,,,
player,201909290clt,rai,DaviTr03,fumbles,0,,,,,
player,201909290clt,rai,DaviTr03,fumbles_lost,0,,,,,
player,201909290clt,rai,WashDe00,pass_cmp,0,,,,,
player,201909290clt,rai,WashDe00,pass_att,0,,,,,
player,201909290clt,rai,WashDe00,pass_yds,0,,,,,
player,201909290clt,rai,WashDe00,pass_td,0,,,,,
player,201909290clt,rai,WashDe00,pass_int,0,,,,,
player,201909290clt,rai,WashDe00,pass_sacked,0,,,,,
player,201909290clt,rai,WashDe00,pass_sacked_yds,0,,,,,
player,201909290clt,rai,WashDe00,pass_long,0,,,,,
player,201909290clt,rai,WashDe00,pass_rating,,,,,,
player,201909290clt,rai,WashDe00,rush_att,6,,,,,
player,201909290clt,rai,WashDe00,rush_yds,18,,,,,
player,201909290clt,rai,WashDe00,rush_td,0,,,,,
player,201909290clt,rai,WashDe00,rush_long,7,,,,,
player,201909290clt,rai,WashDe00,targets,3,,,,,
player,201909290clt,rai,WashDe00,rec,2,,,,,
player,201909290clt,rai,WashDe00,rec_yds,8,,,,,
player,201909290clt,rai,WashDe00,rec_td,0,,,,,
player,201909290clt,rai,WashDe00,rec_long,7,,,,,
player,201909290clt,rai,WashDe00,fumbles,0,,,,,
player,201909290clt,rai,WashDe00,fumbles_lost,0,,,,,
player,201909290clt,rai,RichJa01,pass_cmp,0,,,,,
player,201909290clt,rai,RichJa01,pass_att,0,,,,,
player,201909290clt,rai,RichJa01,pass_yds,0,,,,,
player,201909290clt,rai,RichJa01,pass_td,0,,,,,
player,201909290clt,rai,RichJa01,pass_int,0,,,,,
player,201909290clt,rai,RichJa01,pass_sacked,0,,,,,
player,201909290clt,rai,RichJa01,pass_sacked_yds,0,,,,,
player,201909290clt,rai,RichJa01,pass_long,0,,,,,
player,201909290clt,rai,RichJa01,pass_rating,,,,,,
player,201909290clt,rai,RichJa01,rush_att,4,,,,,
player,201909290clt,rai,RichJa01,rush_yds,17,,,,,
player,201909290clt,rai,RichJa01,rush_td,0,,,,,
player,201909290clt,rai,RichJa01,rush_long,13,,,,,
player,201909290clt,rai,RichJa01,targets,1,,,,,
player,201909290clt,rai,RichJa01,rec,1,,,,,
player,201909290clt,rai,RichJa01,rec_yds,1,,,,,
player,201909290clt,rai,RichJa01,rec_td,0,,,,,
player,201909290clt,rai,RichJa01,rec_long,1,,,,,
player,201909290clt,rai,RichJa01,fumbles,0,,,,,
player,201909290clt,rai,RichJa01,fumbles_lost,0,,,,,
player,201909290clt,rai,IngoAl01,pass_cmp,0,,,,,
player,201909290clt,rai,IngoAl01,pass_att,0,,,,,
player,201909290clt,rai,IngoAl01,pass_yds,0,,,,,
player,201909290clt,rai,IngoAl01,pass_td,0,,,,,
player,201909290clt,rai,IngoAl01,pass_int,0,,,,,
player,201909290clt,rai,IngoAl01,pass_sacked,0,,,,,
player,201909290clt,rai,IngoAl01,pass_sacked_yds,0,,,,,
player,201909290clt,rai,IngoAl01,pass_long,0,,,,,
player,201909290clt,rai,IngoAl01,pass_rating,,,,,,
player,201909290clt,rai,IngoAl01,rush_att,1,,,,,
player,201909290clt,rai,IngoAl01,rush_yds,1,,,,,
player,201909290clt,rai,IngoAl01,rush_td,0,,,,,
player,201909290clt,rai,IngoAl01,rush_long,1,,,,,
player,201909290clt,rai,IngoAl01,targets,0,,,,,
player,201909290clt,rai,IngoAl01,rec,0,,,,,
player,201909290clt,rai,IngoAl01,rec_yds,0,,,,,
player,201909290clt,rai,IngoAl01,rec_td,0,,,,,
player,201909290clt,rai,IngoAl01,rec_long,0,,,,,
player,201909290clt,rai,IngoAl01,fumbles,0,,,,,
player,201909290clt,rai,IngoAl01,fumbles_lost,0,,,,,
player,201909290clt,rai,WallDa01,pass_cmp,0,,,,,
player,201909290clt,rai,WallDa01,pass_att,0,,,,,
player,201909290clt,rai,WallDa01,pass_yds,0,,,,,
player,201909290clt,rai,WallDa01,pass_td,0,,,,,
player,201909290clt,rai,WallDa01,pass_int,0,,,,,
player,201909290clt,rai,WallDa01,pass_sacked,0,,,,,
player,201909290clt,rai,WallDa01,pass_sacked_yds,0,,,,,
player,201909290clt,rai,WallDa01,pass_long,0,,,,,
player,201909290clt,rai,WallDa01,pass_rating,,,,,,
player,201909290clt,rai,WallDa01,rush_att,0,,,,,
player,201909290clt,rai,WallDa01,rush_yds,0,,,,,
player,201909290clt,rai,WallDa01,rush_td,0,,,,,
player,201909290clt,rai,WallDa01,rush_long,0,,,,,
player,201909290clt,rai,WallDa01,targets,8,,,,,
player,201909290clt,rai,WallDa01,rec,7,,,,,
player,201909290clt,rai,WallDa01,rec_yds,53,,,,,
player,201909290clt,rai,WallDa01,rec_td,0,,,,,
player,201909290clt,rai,WallDa01,rec_long,17,,,,,
player,201909290clt,rai,WallDa01,fumbles,0,,,,,
player,201909290clt,rai,WallDa01,fumbles_lost,0,,,,,
player,201909290clt,rai,WillTy00,pass_cmp,0,,,,,
player,201909290clt,rai,WillTy00,pass_att,0,,,,,
player,201909290clt,rai,WillTy00,pass_yds,0,,,,,
player,201909290clt,rai,WillTy00,pass_td,0,,,,,
player,201909290clt,rai,WillTy00,pass_int,0,,,,,
player,201909290clt,rai,WillTy00,pass_sacked,0,,,,,
player,201909290clt,rai,WillTy00,pass_sacked_yds,0,,,,,
player,201909290clt,rai,WillTy00,pass_long,0,,,,,
player,201909290clt,rai,WillTy00,pass_rating,,,,,,
player,201909290clt,rai,WillTy00,rush_att,0,,,,,
player,201909290clt,rai,WillTy00,rush_yds,0,,,,,
player,201909290clt,rai,WillTy00,rush_td,0,,,,,
player,201909290clt,rai,WillTy00,rush_long,0,,,,,
player,201909290clt,rai,WillTy00,targets,7,,,,,
player,201909290clt,rai,WillTy00,rec,3,,,,,
player,201909290clt,rai,WillTy00,rec_yds,36,,,,,
player,201909290clt,rai,WillTy00,rec_td,1,,,,,
player,201909290clt,rai,WillTy00,rec_long,19,,,,,
player,201909290clt,rai,WillTy00,fumbles,0,,,,,
player,201909290clt,rai,WillTy00,fumbles_lost,0,,,,,
player,201909290clt,rai,MoreFo00,pass_cmp,0,,,,,
player,201909290clt,rai,MoreFo00,pass_att,0,,,,,
player,201909290clt,rai,MoreFo00,pass_yds,0,,,,,
player,201909290clt,rai,MoreFo00,pass_td,0,,,,,
player,201909290clt,rai,MoreFo00,pass_int,0,,,,,
player,201909290clt,rai,MoreFo00,pass_sacked,0,,,,,
player,201909290clt,rai,MoreFo00,pass_sacked_yds,0,,,,,
player,201909290clt,rai,MoreFo00,pass_long,0,,,,,
player,201909290clt,rai,MoreFo00,pass_rating,,,,,,
player,201909290clt,rai,MoreFo00,rush_att,0,,,,,
player,201909290clt,rai,MoreFo00,rush_yds,0,,,,,
player,201909290clt,rai,MoreFo00,rush_td,0,,,,,
player,201909290clt,rai,MoreFo00,rush_long,0,,,,,
player,201909290clt,rai,MoreFo00,targets,3,,,,,
player,201909290clt,rai,MoreFo00,rec,3,,,,,
player,201909290clt,rai,MoreFo00,rec_yds,30,,,,,
player,201909290clt,rai,MoreFo00,rec_td,1,,,,,
player,201909290clt,rai,MoreFo00,rec_long,18,,,,,
player,201909290clt,rai,MoreFo00,fumbles,0,,,,,
player,201909290clt,rai,MoreFo00,fumbles_lost,0,,,,,
player,201909290clt,rai,RenfHu00,pass_cmp,0,,,,,
player,201909290clt,rai,RenfHu00,pass_att,0,,,,,
player,201909290clt,rai,RenfHu00,pass_yds,0,,,,,
player,201909290clt,rai,RenfHu00,pass_td,0,,,,,
player,201909290clt,rai,RenfHu00,pass_int,0,,,,,
player,201909290clt,rai,RenfHu00,pass_sacked,0,,,,,
player,201909290clt,rai,RenfHu00,pass_sacked_yds,0,,,,,
player,201909290clt,rai,RenfHu00,pass_long,0,,,,,
player,201909290clt,rai,RenfHu00,pass_rating,,,,,,
player,201909290clt,rai,RenfHu00,rush_att,0,,,,,
player,201909290clt,rai,RenfHu00,rush_yds,0,,,,,
player,201909290clt,rai,RenfHu00,rush_td,0,,,,,
player,201909290clt,rai,RenfHu00,rush_long,0,,,,,
player,201909290clt,rai,RenfHu00,targets,3,,,,,
player,201909290clt,rai,RenfHu00,rec,2,,,,,
player,201909290clt,rai,RenfHu00,rec_yds,18,,,,,
player,201909290clt,rai,RenfHu00,rec_td,0,,,,,
player,201909290clt,rai,RenfHu00,rec_long,10,,,,,
player,201909290clt,rai,RenfHu00,fumbles,0,,,,,
player,201909290clt,rai,RenfHu00,fumbles_lost,0,,,,,
player,201909290clt,rai,DossKe00,pass_cmp,0,,,,,
player,201909290clt,rai,DossKe00,pass_att,0,,,,,
player,201909290clt,rai,DossKe00,pass_yds,0,,,,,
player,201909290clt,rai,DossKe00,pass_td,0,,,,,
player,201909290clt,rai,DossKe00,pass_int,0,,,,,
player,201909290clt,rai,DossKe00,pass_sacked,0,,,,,
player,201909290clt,rai,DossKe00,pass_sacked_yds,0,,,,,
player,201909290clt,rai,DossKe00,pass_long,0,,,,,
player,201909290clt,rai,DossKe00,pass_rating,,,,,,
player,201909290clt,rai,DossKe00,rush_att,0,,,,,
player,201909290clt,rai,DossKe00,rush_yds,0,,,,,
player,201909290clt,rai,DossKe00,rush_td,0,,,,,
player,201909290clt,rai,DossKe00,rush_long,0,,,,,
player,201909290clt,rai,DossKe00,targets,1,,,,,
player,201909290clt,rai,DossKe00,rec,1,,,,,
player,201909290clt,rai,DossKe00,rec_yds,14,,,,,
player,201909290clt,rai,DossKe00,rec_td,0,,,,,
player,201909290clt,rai,DossKe00,rec_long,14,,,,,
player,201909290clt,rai,DossKe00,fumbles,0,,,,,
player,201909290clt,rai,DossKe00,fumbles_lost,0,,,,,
player,201909290clt,clt,BrisJa00,pass_cmp,24,,,,,
player,201909290clt,clt,BrisJa00,pass_att,46,,,,,
player,201909290clt,clt,BrisJa00,pass_yds,265,,,,,
player,201909290clt,clt,BrisJa00,pass_td,3,,,,,
player,201909290clt,clt,BrisJa00,pass_int,1,,,,,
player,201909290clt,clt,BrisJa00,pass_sacked,0,,,,,
player,201909290clt,clt,BrisJa00,pass_sacked_yds,0,,,,,
player,201909290clt,clt,BrisJa00,pass_long,48,,,,,
player,201909290clt,clt,BrisJa00,pass_rating,82.2,,,,,
player,201909290clt,clt,BrisJa00,rush_att,5,,,,,
player,201909290clt,clt,BrisJa00,rush_yds,19,,,,,
player,201909290clt,clt,BrisJa00,rush_td,0,,,,,
player,201909290clt,clt,BrisJa00,rush_long,9,,,,,
player,201909290clt,clt,BrisJa00,targets,0,,,,,
player,201909290clt,clt,BrisJa00,rec,0,,,,,
player,201909290clt,clt,BrisJa00,rec_yds,0,,,,,
player,201909290clt,clt,BrisJa00,rec_td,0,,,,,
player,201909290clt,clt,BrisJa00,rec_long,0,,,,,
player,201909290clt,clt,BrisJa00,fumbles,0,,,,,
player,201909290clt,clt,BrisJa00,fumbles_lost,0,,,,,
player,201909290clt,clt,MackMa00,pass_cmp,0,,,,,
player,201909290clt,clt,MackMa00,pass_att,0,,,,,
player,201909290clt,clt,MackMa00,pass_yds,0,,,,,
player,201909290clt,clt,MackMa00,pass_td,0,,,,,
player,201909290clt,clt,MackMa00,pass_int,0,,,,,
player,201909290clt,clt,MackMa00,pass_sacked,0,,,,,
player,201909290clt,clt,MackMa00,pass_sacked_yds,0,,,,,
player,201909290clt,clt,MackMa00,pass_long,0,,,,,
player,201909290clt,clt,MackMa00,pass_rating,,,,,,
player,201909290clt,clt,MackMa00,rush_att,11,,,,,
player,201909290clt,clt,MackMa00,rush_yds,39,,,,,
player,201909290clt,clt,MackMa00,rush_td,0,,,,,
player,201909290clt,clt,MackMa00,rush_long,18,,,,,
player,201909290clt,clt,MackMa00,targets,0,,,,,
player,201909290clt,clt,MackMa00,rec,0,,,,,
player,201909290clt,clt,MackMa00,rec_yds,0,,,,,
player,201909290clt,clt,MackMa00,rec_td,0,,,,,
player,201909290clt,clt,MackMa00,rec_long,0,,,,,
player,201909290clt,clt,MackMa00,fumbles,0,,,,,
player,201909290clt,clt,MackMa00,fumbles_lost,0,,,,,
player,201909290clt,clt,WilkJo01,pass_cmp,0,,,,,
player,201909290clt,clt,WilkJo01,pass_att,0,,,,,
player,201909290clt,clt,WilkJo01,pass_yds,0,,,,,
player,201909290clt,clt,WilkJo01,pass_td,0,,,,,
player,201909290clt,clt,WilkJo01,pass_int,0,,,,,
player,201909290clt,clt,WilkJo01,pass_sacked,0,,,,,
player,201909290clt,clt,WilkJo01,pass_sacked_yds,0,,,,,
player,201909290clt,clt,WilkJo01,pass_long,0,,,,,
player,201909290clt,clt,WilkJo01,pass_rating,,,,,,
player,201909290clt,clt,WilkJo01,rush_att,4,,,,,
player,201909290clt,clt,WilkJo01,rush_yds,17,,,,,
player,201909290clt,clt,WilkJo01,rush_td,0,,,,,
player,201909290clt,clt,WilkJo01,rush_long,6,,,,,
player,201909290clt,clt,WilkJo01,targets,1,,,,,
player,201909290clt,clt,WilkJo01,rec,1,,,,,
player,201909290clt,clt,WilkJo01,rec_yds,11,,,,,
player,201909290clt,clt,WilkJo01,rec_td,0,,,,,
player,201909290clt,clt,WilkJo01,rec_long,11,,,,,
player,201909290clt,clt,WilkJo01,fumbles,0,,,,,
player,201909290clt,clt,WilkJo01,fumbles_lost,0,,,,,
player,201909290clt,clt,HineNy00,pass_cmp,0,,,,,
player,201909290clt,clt,HineNy00,pass_att,0,,,,,
player,201909290clt,clt,HineNy00,pass_yds,0,,,,,
player,201909290clt,clt,HineNy00,pass_td,0,,,,,
player,201909290clt,clt,HineNy00,pass_int,0,,,,,
