game,2019,3,20190922,201909220gnb,den,"Denver Broncos",16,gnb,"Green Bay Packers",27
team,201909220gnb,den,First Downs,20,,,,,,
team,201909220gnb,gnb,First Downs,16,,,,,,
team,201909220gnb,den,Rush-Yds-TDs,38-149-2,,,,,,
team,201909220gnb,gnb,Rush-Yds-TDs,23-77-2,,,,,,
team,201909220gnb,den,Cmp-Att-Yd-TD-INT,20-29-213-0-1,,,,,,
team,201909220gnb,gnb,Cmp-Att-Yd-TD-INT,17-29-235-1-0,,,,,,
team,201909220gnb,den,Sacked-Yards,6-52,,,,,,
team,201909220gnb,gnb,Sacked-Yards,0-0,,,,,,
team,201909220gnb,den,Net Pass Yards,161,,,,,,
team,201909220gnb,gnb,Net Pass Yards,235,,,,,,
team,201909220gnb,den,Total Yards,310,,,,,,
team,201909220gnb,gnb,Total Yards,312,,,,,,
team,201909220gnb,den,Fumbles-Lost,2-2,,,,,,
team,201909220gnb,gnb,Fumbles-Lost,0-0,,,,,,
team,201909220gnb,den,Turnovers,3,,,,,,
team,201909220gnb,gnb,Turnovers,0,,,,,,
team,201909220gnb,den,Penalties-Yards,3-27,,,,,,
team,201909220gnb,gnb,Penalties-Yards,7-53,,,,,,
team,201909220gnb,den,Third Down Conv.,8-15,,,,,,
team,201909220gnb,gnb,Third Down Conv.,2-9,,,,,,
team,201909220gnb,den,Fourth Down Conv.,1-2,,,,,,
team,201909220gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201909220gnb,den,Time of Possession,35:34,,,,,,
team,201909220gnb,gnb,Time of Possession,24:26,,,,,,
player,201909220gnb,den,FlacJo00,pass_cmp,20,,,,,
player,201909220gnb,den,FlacJo00,pass_att,29,,,,,
player,201909220gnb,den,FlacJo00,pass_yds,213,,,,,
player,201909220gnb,den,FlacJo00,pass_td,0,,,,,
player,201909220gnb,den,FlacJo00,pass_int,1,,,,,
player,201909220gnb,den,FlacJo00,pass_sacked,6,,,,,
player,201909220gnb,den,FlacJo00,pass_sacked_yds,52,,,,,
player,201909220gnb,den,FlacJo00,pass_long,52,,,,,
player,201909220gnb,den,FlacJo00,pass_rating,75.8,,,,,
player,201909220gnb,den,FlacJo00,rush_att,2,,,,,
