game,2019,10,20191107,201911070rai,sdg,"Los Angeles Chargers",24,rai,"Oakland Raiders",26
team,201911070rai,sdg,First Downs,26,,,,,,
team,201911070rai,rai,First Downs,18,,,,,,
team,201911070rai,sdg,Rush-Yds-TDs,30-146-1,,,,,,
team,201911070rai,rai,Rush-Yds-TDs,21-78-1,,,,,,
team,201911070rai,sdg,Cmp-Att-Yd-TD-INT,17-31-207-2-3,,,,,,
team,201911070rai,rai,Cmp-Att-Yd-TD-INT,21-31-218-1-0,,,,,,
team,201911070rai,sdg,Sacked-Yards,5-38,,,,,,
team,201911070rai,rai,Sacked-Yards,3-18,,,,,,
team,201911070rai,sdg,Net Pass Yards,169,,,,,,
team,201911070rai,rai,Net Pass Yards,200,,,,,,
team,201911070rai,sdg,Total Yards,315,,,,,,
team,201911070rai,rai,Total Yards,278,,,,,,
team,201911070rai,sdg,Fumbles-Lost,1-0,,,,,,
team,201911070rai,rai,Fumbles-Lost,0-0,,,,,,
team,201911070rai,sdg,Turnovers,3,,,,,,
team,201911070rai,rai,Turnovers,0,,,,,,
team,201911070rai,sdg,Penalties-Yards,8-70,,,,,,
team,201911070rai,rai,Penalties-Yards,12-97,,,,,,
team,201911070rai,sdg,Third Down Conv.,3-10,,,,,,
team,201911070rai,rai,Third Down Conv.,4-12,,,,,,
team,201911070rai,sdg,Fourth Down Conv.,1-2,,,,,,
team,201911070rai,rai,Fourth Down Conv.,1-1,,,,,,
team,201911070rai,sdg,Time of Possession,34:10,,,,,,
team,201911070rai,rai,Time of Possession,25:50,,,,,,
player,201911070rai,sdg,RivePh00,pass_cmp,17,,,,,
player,201911070rai,sdg,RivePh00,pass_att,31,,,,,
player,201911070rai,sdg,RivePh00,pass_yds,207,,,,,
player,201911070rai,sdg,RivePh00,pass_td,2,,,,,
player,201911070rai,sdg,RivePh00,pass_int,3,,,,,
player,201911070rai,sdg,RivePh00,pass_sacked,5,,,,,
