game,2019,13,20191201,201912010kan,rai,"Oakland Raiders",9,kan,"Kansas City Chiefs",40
player,201912010kan,rai,IngoAl01,pass_sacked_yds,0,,,,,
player,201912010kan,rai,IngoAl01,pass_long,0,,,,,
player,201912010kan,rai,IngoAl01,pass_rating,,,,,,
player,201912010kan,rai,IngoAl01,rush_att,1,,,,,
player,201912010kan,rai,IngoAl01,rush_yds,4,,,,,
player,201912010kan,rai,IngoAl01,rush_td,0,,,,,
player,201912010kan,rai,IngoAl01,rush_long,4,,,,,
player,201912010kan,rai,IngoAl01,targets,2,,,,,
player,201912010kan,rai,IngoAl01,rec,2,,,,,
player,201912010kan,rai,IngoAl01,rec_yds,13,,,,,
player,201912010kan,rai,IngoAl01,rec_td,0,,,,,
player,201912010kan,rai,IngoAl01,rec_long,14,,,,,
player,201912010kan,rai,IngoAl01,fumbles,0,,,,,
player,201912010kan,rai,IngoAl01,fumbles_lost,0,,,,,
player,201912010kan,rai,RichJa01,pass_cmp,0,,,,,
player,201912010kan,rai,RichJa01,pass_att,0,,,,,
player,201912010kan,rai,RichJa01,pass_yds,0,,,,,
player,201912010kan,rai,RichJa01,pass_td,0,,,,,
player,201912010kan,rai,RichJa01,pass_int,0,,,,,
player,201912010kan,rai,RichJa01,pass_sacked,0,,,,,
player,201912010kan,rai,RichJa01,pass_sacked_yds,0,,,,,
player,201912010kan,rai,RichJa01,pass_long,0,,,,,
player,201912010kan,rai,RichJa01,pass_rating,,,,,,
player,201912010kan,rai,RichJa01,rush_att,1,,,,,
player,201912010kan,rai,RichJa01,rush_yds,2,,,,,
player,201912010kan,rai,RichJa01,rush_td,0,,,,,
player,201912010kan,rai,RichJa01,rush_long,2,,,,,
player,201912010kan,rai,RichJa01,targets,2,,,,,
player,201912010kan,rai,RichJa01,rec,1,,,,,
player,201912010kan,rai,RichJa01,rec_yds,6,,,,,
player,201912010kan,rai,RichJa01,rec_td,0,,,,,
player,201912010kan,rai,RichJa01,rec_long,6,,,,,
player,201912010kan,rai,RichJa01,fumbles,0,,,,,
player,201912010kan,rai,RichJa01,fumbles_lost,0,,,,,
player,201912010kan,rai,WallDa01,pass_cmp,0,,,,,
