game,2019,7,20191020,201910200atl,ram,"Los Angeles Rams",37,atl,"Atlanta Falcons",10
team,201910200atl,ram,First Downs,23,,,,,,
team,201910200atl,atl,First Downs,14,,,,,,
team,201910200atl,ram,Rush-Yds-TDs,36-90-1,,,,,,
team,201910200atl,atl,Rush-Yds-TDs,15-38-0,,,,,,
team,201910200atl,ram,Cmp-Att-Yd-TD-INT,23-38-291-2-0,,,,,,
team,201910200atl,atl,Cmp-Att-Yd-TD-INT,22-33-224-1-1,,,,,,
team,201910200atl,ram,Sacked-Yards,0-0,,,,,,
team,201910200atl,atl,Sacked-Yards,5-38,,,,,,
team,201910200atl,ram,Net Pass Yards,291,,,,,,
team,201910200atl,atl,Net Pass Yards,186,,,,,,
team,201910200atl,ram,Total Yards,381,,,,,,
team,201910200atl,atl,Total Yards,224,,,,,,
team,201910200atl,ram,Fumbles-Lost,0-0,,,,,,
team,201910200atl,atl,Fumbles-Lost,4-2,,,,,,
team,201910200atl,ram,Turnovers,0,,,,,,
team,201910200atl,atl,Turnovers,3,,,,,,
team,201910200atl,ram,Penalties-Yards,5-24,,,,,,
team,201910200atl,atl,Penalties-Yards,5-48,,,,,,
team,201910200atl,ram,Third Down Conv.,8-16,,,,,,
team,201910200atl,atl,Third Down Conv.,3-12,,,,,,
team,201910200atl,ram,Fourth Down Conv.,1-1,,,,,,
team,201910200atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201910200atl,ram,Time of Possession,37:09,,,,,,
team,201910200atl,atl,Time of Possession,22:51,,,,,,
player,201910200atl,ram,GoffJa00,pass_cmp,22,,,,,
player,201910200atl,ram,GoffJa00,pass_att,37,,,,,
player,201910200atl,ram,GoffJa00,pass_yds,268,,,,,
player,201910200atl,ram,GoffJa00,pass_td,2,,,,,
player,201910200atl,ram,GoffJa00,pass_int,0,,,,,
player,201910200atl,ram,GoffJa00,pass_sacked,0,,,,,
player,201910200atl,ram,GoffJa00,pass_sacked_yds,0,,,,,
player,201910200atl,ram,GoffJa00,pass_long,33,,,,,
player,201910200atl,ram,GoffJa00,pass_rating,99.8,,,,,
player,201910200atl,ram,GoffJa00,rush_att,3,,,,,
player,201910200atl,ram,GoffJa00,rush_yds,3,,,,,
player,201910200atl,ram,GoffJa00,rush_td,1,,,,,
player,201910200atl,ram,GoffJa00,rush_long,2,,,,,
player,201910200atl,ram,GoffJa00,targets,0,,,,,
player,201910200atl,ram,GoffJa00,rec,0,,,,,
player,201910200atl,ram,GoffJa00,rec_yds,0,,,,,
player,201910200atl,ram,GoffJa00,rec_td,0,,,,,
player,201910200atl,ram,GoffJa00,rec_long,0,,,,,
player,201910200atl,ram,GoffJa00,fumbles,0,,,,,
player,201910200atl,ram,GoffJa00,fumbles_lost,0,,,,,
player,201910200atl,ram,HekkJo00,pass_cmp,1,,,,,
player,201910200atl,ram,HekkJo00,pass_att,1,,,,,
player,201910200atl,ram,HekkJo00,pass_yds,23,,,,,
player,201910200atl,ram,HekkJo00,pass_td,0,,,,,
player,201910200atl,ram,HekkJo00,pass_int,0,,,,,
player,201910200atl,ram,HekkJo00,pass_sacked,0,,,,,
player,201910200atl,ram,HekkJo00,pass_sacked_yds,0,,,,,
player,201910200atl,ram,HekkJo00,pass_long,23,,,,,
player,201910200atl,ram,HekkJo00,pass_rating,118.7,,,,,
player,201910200atl,ram,HekkJo00,rush_att,0,,,,,
player,201910200atl,ram,HekkJo00,rush_yds,0,,,,,
player,201910200atl,ram,HekkJo00,rush_td,0,,,,,
player,201910200atl,ram,HekkJo00,rush_long,0,,,,,
player,201910200atl,ram,HekkJo00,targets,0,,,,,
player,201910200atl,ram,HekkJo00,rec,0,,,,,
player,201910200atl,ram,HekkJo00,rec_yds,0,,,,,
player,201910200atl,ram,HekkJo00,rec_td,0,,,,,
player,201910200atl,ram,HekkJo00,rec_long,0,,,,,
player,201910200atl,ram,HekkJo00,fumbles,0,,,,,
player,201910200atl,ram,HekkJo00,fumbles_lost,0,,,,,
player,201910200atl,ram,GurlTo01,pass_cmp,0,,,,,
player,201910200atl,ram,GurlTo01,pass_att,0,,,,,
player,201910200atl,ram,GurlTo01,pass_yds,0,,,,,
player,201910200atl,ram,GurlTo01,pass_td,0,,,,,
player,201910200atl,ram,GurlTo01,pass_int,0,,,,,
player,201910200atl,ram,GurlTo01,pass_sacked,0,,,,,
player,201910200atl,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201910200atl,ram,GurlTo01,pass_long,0,,,,,
player,201910200atl,ram,GurlTo01,pass_rating,,,,,,
player,201910200atl,ram,GurlTo01,rush_att,18,,,,,
player,201910200atl,ram,GurlTo01,rush_yds,41,,,,,
player,201910200atl,ram,GurlTo01,rush_td,0,,,,,
player,201910200atl,ram,GurlTo01,rush_long,10,,,,,
player,201910200atl,ram,GurlTo01,targets,1,,,,,
player,201910200atl,ram,GurlTo01,rec,1,,,,,
player,201910200atl,ram,GurlTo01,rec_yds,13,,,,,
player,201910200atl,ram,GurlTo01,rec_td,1,,,,,
player,201910200atl,ram,GurlTo01,rec_long,13,,,,,
player,201910200atl,ram,GurlTo01,fumbles,0,,,,,
player,201910200atl,ram,GurlTo01,fumbles_lost,0,,,,,
player,201910200atl,ram,HendDa00,pass_cmp,0,,,,,
player,201910200atl,ram,HendDa00,pass_att,0,,,,,
player,201910200atl,ram,HendDa00,pass_yds,0,,,,,
player,201910200atl,ram,HendDa00,pass_td,0,,,,,
player,201910200atl,ram,HendDa00,pass_int,0,,,,,
player,201910200atl,ram,HendDa00,pass_sacked,0,,,,,
player,201910200atl,ram,HendDa00,pass_sacked_yds,0,,,,,
player,201910200atl,ram,HendDa00,pass_long,0,,,,,
player,201910200atl,ram,HendDa00,pass_rating,,,,,,
player,201910200atl,ram,HendDa00,rush_att,11,,,,,
player,201910200atl,ram,HendDa00,rush_yds,31,,,,,
player,201910200atl,ram,HendDa00,rush_td,0,,,,,
player,201910200atl,ram,HendDa00,rush_long,9,,,,,
player,201910200atl,ram,HendDa00,targets,1,,,,,
player,201910200atl,ram,HendDa00,rec,1,,,,,
player,201910200atl,ram,HendDa00,rec_yds,8,,,,,
player,201910200atl,ram,HendDa00,rec_td,0,,,,,
player,201910200atl,ram,HendDa00,rec_long,8,,,,,
player,201910200atl,ram,HendDa00,fumbles,0,,,,,
player,201910200atl,ram,HendDa00,fumbles_lost,0,,,,,
player,201910200atl,ram,KellJo00,pass_cmp,0,,,,,
player,201910200atl,ram,KellJo00,pass_att,0,,,,,
player,201910200atl,ram,KellJo00,pass_yds,0,,,,,
player,201910200atl,ram,KellJo00,pass_td,0,,,,,
player,201910200atl,ram,KellJo00,pass_int,0,,,,,
player,201910200atl,ram,KellJo00,pass_sacked,0,,,,,
player,201910200atl,ram,KellJo00,pass_sacked_yds,0,,,,,
player,201910200atl,ram,KellJo00,pass_long,0,,,,,
player,201910200atl,ram,KellJo00,pass_rating,,,,,,
player,201910200atl,ram,KellJo00,rush_att,3,,,,,
player,201910200atl,ram,KellJo00,rush_yds,9,,,,,
player,201910200atl,ram,KellJo00,rush_td,0,,,,,
player,201910200atl,ram,KellJo00,rush_long,6,,,,,
player,201910200atl,ram,KellJo00,targets,0,,,,,
player,201910200atl,ram,KellJo00,rec,0,,,,,
player,201910200atl,ram,KellJo00,rec_yds,0,,,,,
player,201910200atl,ram,KellJo00,rec_td,0,,,,,
player,201910200atl,ram,KellJo00,rec_long,0,,,,,
player,201910200atl,ram,KellJo00,fumbles,0,,,,,
player,201910200atl,ram,KellJo00,fumbles_lost,0,,,,,
player,201910200atl,ram,WoodRo02,pass_cmp,0,,,,,
player,201910200atl,ram,WoodRo02,pass_att,0,,,,,
player,201910200atl,ram,WoodRo02,pass_yds,0,,,,,
player,201910200atl,ram,WoodRo02,pass_td,0,,,,,
player,201910200atl,ram,WoodRo02,pass_int,0,,,,,
player,201910200atl,ram,WoodRo02,pass_sacked,0,,,,,
player,201910200atl,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201910200atl,ram,WoodRo02,pass_long,0,,,,,
player,201910200atl,ram,WoodRo02,pass_rating,,,,,,
player,201910200atl,ram,WoodRo02,rush_att,1,,,,,
player,201910200atl,ram,WoodRo02,rush_yds,6,,,,,
player,201910200atl,ram,WoodRo02,rush_td,0,,,,,
player,201910200atl,ram,WoodRo02,rush_long,6,,,,,
player,201910200atl,ram,WoodRo02,targets,7,,,,,
player,201910200atl,ram,WoodRo02,rec,5,,,,,
player,201910200atl,ram,WoodRo02,rec_yds,80,,,,,
player,201910200atl,ram,WoodRo02,rec_td,0,,,,,
player,201910200atl,ram,WoodRo02,rec_long,25,,,,,
player,201910200atl,ram,WoodRo02,fumbles,0,,,,,
player,201910200atl,ram,WoodRo02,fumbles_lost,0,,,,,
player,201910200atl,ram,CookBr00,pass_cmp,0,,,,,
player,201910200atl,ram,CookBr00,pass_att,0,,,,,
player,201910200atl,ram,CookBr00,pass_yds,0,,,,,
player,201910200atl,ram,CookBr00,pass_td,0,,,,,
player,201910200atl,ram,CookBr00,pass_int,0,,,,,
player,201910200atl,ram,CookBr00,pass_sacked,0,,,,,
