game,2019,1,20190908,201909080nwe,pit,"Pittsburgh Steelers",3,nwe,"New England Patriots",33
team,201909080nwe,pit,First Downs,15,,,,,,
team,201909080nwe,nwe,First Downs,24,,,,,,
team,201909080nwe,pit,Rush-Yds-TDs,13-32-0,,,,,,
team,201909080nwe,nwe,Rush-Yds-TDs,29-99-0,,,,,,
team,201909080nwe,pit,Cmp-Att-Yd-TD-INT,27-47-276-0-1,,,,,,
team,201909080nwe,nwe,Cmp-Att-Yd-TD-INT,25-37-373-3-0,,,,,,
team,201909080nwe,pit,Sacked-Yards,1-0,,,,,,
team,201909080nwe,nwe,Sacked-Yards,1-7,,,,,,
team,201909080nwe,pit,Net Pass Yards,276,,,,,,
team,201909080nwe,nwe,Net Pass Yards,366,,,,,,
team,201909080nwe,pit,Total Yards,308,,,,,,
team,201909080nwe,nwe,Total Yards,465,,,,,,
team,201909080nwe,pit,Fumbles-Lost,2-0,,,,,,
team,201909080nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201909080nwe,pit,Turnovers,1,,,,,,
team,201909080nwe,nwe,Turnovers,0,,,,,,
team,201909080nwe,pit,Penalties-Yards,6-54,,,,,,
team,201909080nwe,nwe,Penalties-Yards,7-55,,,,,,
team,201909080nwe,pit,Third Down Conv.,3-12,,,,,,
team,201909080nwe,nwe,Third Down Conv.,7-14,,,,,,
team,201909080nwe,pit,Fourth Down Conv.,1-3,,,,,,
team,201909080nwe,nwe,Fourth Down Conv.,0-0,,,,,,
team,201909080nwe,pit,Time of Possession,27:27,,,,,,
team,201909080nwe,nwe,Time of Possession,32:33,,,,,,
player,201909080nwe,pit,RoetBe00,pass_cmp,27,,,,,
player,201909080nwe,pit,RoetBe00,pass_att,47,,,,,
player,201909080nwe,pit,RoetBe00,pass_yds,276,,,,,
player,201909080nwe,pit,RoetBe00,pass_td,0,,,,,
player,201909080nwe,pit,RoetBe00,pass_int,1,,,,,
player,201909080nwe,pit,RoetBe00,pass_sacked,1,,,,,
player,201909080nwe,pit,RoetBe00,pass_sacked_yds,0,,,,,
player,201909080nwe,pit,RoetBe00,pass_long,45,,,,,
player,201909080nwe,pit,RoetBe00,pass_rating,65.6,,,,,
player,201909080nwe,pit,RoetBe00,rush_att,1,,,,,
player,201909080nwe,pit,RoetBe00,rush_yds,7,,,,,
player,201909080nwe,pit,RoetBe00,rush_td,0,,,,,
player,201909080nwe,pit,RoetBe00,rush_long,7,,,,,
player,201909080nwe,pit,RoetBe00,targets,0,,,,,
player,201909080nwe,pit,RoetBe00,rec,0,,,,,
player,201909080nwe,pit,RoetBe00,rec_yds,0,,,,,
player,201909080nwe,pit,RoetBe00,rec_td,0,,,,,
player,201909080nwe,pit,RoetBe00,rec_long,0,,,,,
player,201909080nwe,pit,RoetBe00,fumbles,1,,,,,
player,201909080nwe,pit,RoetBe00,fumbles_lost,0,,,,,
player,201909080nwe,pit,ConnJa00,pass_cmp,0,,,,,
player,201909080nwe,pit,ConnJa00,pass_att,0,,,,,
player,201909080nwe,pit,ConnJa00,pass_yds,0,,,,,
player,201909080nwe,pit,ConnJa00,pass_td,0,,,,,
player,201909080nwe,pit,ConnJa00,pass_int,0,,,,,
player,201909080nwe,pit,ConnJa00,pass_sacked,0,,,,,
player,201909080nwe,pit,ConnJa00,pass_sacked_yds,0,,,,,
player,201909080nwe,pit,ConnJa00,pass_long,0,,,,,
player,201909080nwe,pit,ConnJa00,pass_rating,,,,,,
player,201909080nwe,pit,ConnJa00,rush_att,10,,,,,
player,201909080nwe,pit,ConnJa00,rush_yds,21,,,,,
player,201909080nwe,pit,ConnJa00,rush_td,0,,,,,
player,201909080nwe,pit,ConnJa00,rush_long,5,,,,,
player,201909080nwe,pit,ConnJa00,targets,4,,,,,
player,201909080nwe,pit,ConnJa00,rec,4,,,,,
player,201909080nwe,pit,ConnJa00,rec_yds,44,,,,,
player,201909080nwe,pit,ConnJa00,rec_td,0,,,,,
player,201909080nwe,pit,ConnJa00,rec_long,23,,,,,
player,201909080nwe,pit,ConnJa00,fumbles,0,,,,,
player,201909080nwe,pit,ConnJa00,fumbles_lost,0,,,,,
player,201909080nwe,pit,SamuJa00,pass_cmp,0,,,,,
player,201909080nwe,pit,SamuJa00,pass_att,0,,,,,
player,201909080nwe,pit,SamuJa00,pass_yds,0,,,,,
player,201909080nwe,pit,SamuJa00,pass_td,0,,,,,
player,201909080nwe,pit,SamuJa00,pass_int,0,,,,,
player,201909080nwe,pit,SamuJa00,pass_sacked,0,,,,,
player,201909080nwe,pit,SamuJa00,pass_sacked_yds,0,,,,,
