game,2019,8,20191027,201910270det,nyg,"New York Giants",26,det,"Detroit Lions",31
team,201910270det,nyg,First Downs,24,,,,,,
team,201910270det,det,First Downs,17,,,,,,
team,201910270det,nyg,Rush-Yds-TDs,24-80-0,,,,,,
team,201910270det,det,Rush-Yds-TDs,25-59-0,,,,,,
team,201910270det,nyg,Cmp-Att-Yd-TD-INT,28-41-322-4-0,,,,,,
team,201910270det,det,Cmp-Att-Yd-TD-INT,25-32-342-3-1,,,,,,
team,201910270det,nyg,Sacked-Yards,3-32,,,,,,
team,201910270det,det,Sacked-Yards,4-26,,,,,,
team,201910270det,nyg,Net Pass Yards,290,,,,,,
team,201910270det,det,Net Pass Yards,316,,,,,,
team,201910270det,nyg,Total Yards,370,,,,,,
team,201910270det,det,Total Yards,375,,,,,,
team,201910270det,nyg,Fumbles-Lost,2-1,,,,,,
team,201910270det,det,Fumbles-Lost,1-1,,,,,,
team,201910270det,nyg,Turnovers,1,,,,,,
team,201910270det,det,Turnovers,2,,,,,,
team,201910270det,nyg,Penalties-Yards,5-44,,,,,,
team,201910270det,det,Penalties-Yards,7-75,,,,,,
team,201910270det,nyg,Third Down Conv.,7-12,,,,,,
team,201910270det,det,Third Down Conv.,8-14,,,,,,
team,201910270det,nyg,Fourth Down Conv.,0-2,,,,,,
team,201910270det,det,Fourth Down Conv.,0-0,,,,,,
team,201910270det,nyg,Time of Possession,30:47,,,,,,
team,201910270det,det,Time of Possession,29:13,,,,,,
player,201910270det,nyg,JoneDa05,pass_cmp,28,,,,,
player,201910270det,nyg,JoneDa05,pass_att,41,,,,,
player,201910270det,nyg,JoneDa05,pass_yds,322,,,,,
player,201910270det,nyg,JoneDa05,pass_td,4,,,,,
player,201910270det,nyg,JoneDa05,pass_int,0,,,,,
player,201910270det,nyg,JoneDa05,pass_sacked,3,,,,,
player,201910270det,nyg,JoneDa05,pass_sacked_yds,32,,,,,
player,201910270det,nyg,JoneDa05,pass_long,38,,,,,
player,201910270det,nyg,JoneDa05,pass_rating,124.2,,,,,
player,201910270det,nyg,JoneDa05,rush_att,4,,,,,
player,201910270det,nyg,JoneDa05,rush_yds,13,,,,,
player,201910270det,nyg,JoneDa05,rush_td,0,,,,,
player,201910270det,nyg,JoneDa05,rush_long,9,,,,,
player,201910270det,nyg,JoneDa05,targets,0,,,,,
player,201910270det,nyg,JoneDa05,rec,0,,,,,
player,201910270det,nyg,JoneDa05,rec_yds,0,,,,,
player,201910270det,nyg,JoneDa05,rec_td,0,,,,,
player,201910270det,nyg,JoneDa05,rec_long,0,,,,,
player,201910270det,nyg,JoneDa05,fumbles,2,,,,,
player,201910270det,nyg,JoneDa05,fumbles_lost,1,,,,,
player,201910270det,nyg,BarkSa00,pass_cmp,0,,,,,
player,201910270det,nyg,BarkSa00,pass_att,0,,,,,
player,201910270det,nyg,BarkSa00,pass_yds,0,,,,,
player,201910270det,nyg,BarkSa00,pass_td,0,,,,,
player,201910270det,nyg,BarkSa00,pass_int,0,,,,,
player,201910270det,nyg,BarkSa00,pass_sacked,0,,,,,
player,201910270det,nyg,BarkSa00,pass_sacked_yds,0,,,,,
player,201910270det,nyg,BarkSa00,pass_long,0,,,,,
player,201910270det,nyg,BarkSa00,pass_rating,,,,,,
player,201910270det,nyg,BarkSa00,rush_att,19,,,,,
player,201910270det,nyg,BarkSa00,rush_yds,64,,,,,
player,201910270det,nyg,BarkSa00,rush_td,0,,,,,
player,201910270det,nyg,BarkSa00,rush_long,13,,,,,
player,201910270det,nyg,BarkSa00,targets,10,,,,,
player,201910270det,nyg,BarkSa00,rec,8,,,,,
player,201910270det,nyg,BarkSa00,rec_yds,79,,,,,
player,201910270det,nyg,BarkSa00,rec_td,1,,,,,
player,201910270det,nyg,BarkSa00,rec_long,38,,,,,
player,201910270det,nyg,BarkSa00,fumbles,0,,,,,
player,201910270det,nyg,BarkSa00,fumbles_lost,0,,,,,
player,201910270det,nyg,PennEl00,pass_cmp,0,,,,,
player,201910270det,nyg,PennEl00,pass_att,0,,,,,
player,201910270det,nyg,PennEl00,pass_yds,0,,,,,
player,201910270det,nyg,PennEl00,pass_td,0,,,,,
player,201910270det,nyg,PennEl00,pass_int,0,,,,,
player,201910270det,nyg,PennEl00,pass_sacked,0,,,,,
player,201910270det,nyg,PennEl00,pass_sacked_yds,0,,,,,
player,201910270det,nyg,PennEl00,pass_long,0,,,,,
player,201910270det,nyg,PennEl00,pass_rating,,,,,,
player,201910270det,nyg,PennEl00,rush_att,1,,,,,
player,201910270det,nyg,PennEl00,rush_yds,3,,,,,
player,201910270det,nyg,PennEl00,rush_td,0,,,,,
player,201910270det,nyg,PennEl00,rush_long,3,,,,,
player,201910270det,nyg,PennEl00,targets,0,,,,,
player,201910270det,nyg,PennEl00,rec,0,,,,,
player,201910270det,nyg,PennEl00,rec_yds,0,,,,,
player,201910270det,nyg,PennEl00,rec_td,0,,,,,
player,201910270det,nyg,PennEl00,rec_long,0,,,,,
player,201910270det,nyg,PennEl00,fumbles,0,,,,,
