game,2019,9,20191103,201911030sea,tam,"Tampa Bay Buccaneers",34,sea,"Seattle Seahawks",40
player,201911030sea,sea,FlukDJ00,def_pct,0%,,,,,
player,201911030sea,sea,FlukDJ00,special_teams,7,,,,,
player,201911030sea,sea,FlukDJ00,st_pct,19%,,,,,
player,201911030sea,sea,WilsRu00,pos,QB,,,,,
player,201911030sea,sea,WilsRu00,offense,75,,,,,
player,201911030sea,sea,WilsRu00,off_pct,100%,,,,,
player,201911030sea,sea,WilsRu00,defense,0,,,,,
player,201911030sea,sea,WilsRu00,def_pct,0%,,,,,
player,201911030sea,sea,WilsRu00,special_teams,0,,,,,
player,201911030sea,sea,WilsRu00,st_pct,0%,,,,,
player,201911030sea,sea,HuntJo00,pos,C,,,,,
player,201911030sea,sea,HuntJo00,offense,75,,,,,
player,201911030sea,sea,HuntJo00,off_pct,100%,,,,,
player,201911030sea,sea,HuntJo00,defense,0,,,,,
player,201911030sea,sea,HuntJo00,def_pct,0%,,,,,
player,201911030sea,sea,HuntJo00,special_teams,0,,,,,
player,201911030sea,sea,HuntJo00,st_pct,0%,,,,,
player,201911030sea,sea,BrowDu20,pos,T,,,,,
player,201911030sea,sea,BrowDu20,offense,75,,,,,
player,201911030sea,sea,BrowDu20,off_pct,100%,,,,,
player,201911030sea,sea,BrowDu20,defense,0,,,,,
player,201911030sea,sea,BrowDu20,def_pct,0%,,,,,
player,201911030sea,sea,BrowDu20,special_teams,0,,,,,
player,201911030sea,sea,BrowDu20,st_pct,0%,,,,,
player,201911030sea,sea,MetcDK00,pos,WR,,,,,
player,201911030sea,sea,MetcDK00,offense,71,,,,,
player,201911030sea,sea,MetcDK00,off_pct,95%,,,,,
player,201911030sea,sea,MetcDK00,defense,0,,,,,
player,201911030sea,sea,MetcDK00,def_pct,0%,,,,,
player,201911030sea,sea,MetcDK00,special_teams,0,,,,,
player,201911030sea,sea,MetcDK00,st_pct,0%,,,,,
player,201911030sea,sea,LockTy00,pos,WR,,,,,
player,201911030sea,sea,LockTy00,offense,69,,,,,
player,201911030sea,sea,LockTy00,off_pct,92%,,,,,
player,201911030sea,sea,LockTy00,defense,0,,,,,
player,201911030sea,sea,LockTy00,def_pct,0%,,,,,
player,201911030sea,sea,LockTy00,special_teams,12,,,,,
player,201911030sea,sea,LockTy00,st_pct,33%,,,,,
player,201911030sea,sea,CarsCh00,pos,RB,,,,,
player,201911030sea,sea,CarsCh00,offense,64,,,,,
player,201911030sea,sea,CarsCh00,off_pct,85%,,,,,
player,201911030sea,sea,CarsCh00,defense,0,,,,,
player,201911030sea,sea,CarsCh00,def_pct,0%,,,,,
player,201911030sea,sea,CarsCh00,special_teams,0,,,,,
player,201911030sea,sea,CarsCh00,st_pct,0%,,,,,
player,201911030sea,sea,HollJa03,pos,TE,,,,,
player,201911030sea,sea,HollJa03,offense,60,,,,,
player,201911030sea,sea,HollJa03,off_pct,80%,,,,,
player,201911030sea,sea,HollJa03,defense,0,,,,,
player,201911030sea,sea,HollJa03,def_pct,0%,,,,,
player,201911030sea,sea,HollJa03,special_teams,21,,,,,
player,201911030sea,sea,HollJa03,st_pct,58%,,,,,
player,201911030sea,sea,MoorDa03,pos,WR,,,,,
player,201911030sea,sea,MoorDa03,offense,41,,,,,
player,201911030sea,sea,MoorDa03,off_pct,55%,,,,,
player,201911030sea,sea,MoorDa03,defense,0,,,,,
player,201911030sea,sea,MoorDa03,def_pct,0%,,,,,
player,201911030sea,sea,MoorDa03,special_teams,11,,,,,
player,201911030sea,sea,MoorDa03,st_pct,31%,,,,,
player,201911030sea,sea,WillLu00,pos,TE,,,,,
player,201911030sea,sea,WillLu00,offense,17,,,,,
player,201911030sea,sea,WillLu00,off_pct,23%,,,,,
player,201911030sea,sea,WillLu00,defense,0,,,,,
player,201911030sea,sea,WillLu00,def_pct,0%,,,,,
player,201911030sea,sea,WillLu00,special_teams,14,,,,,
player,201911030sea,sea,WillLu00,st_pct,39%,,,,,
player,201911030sea,sea,FantGe00,pos,T,,,,,
player,201911030sea,sea,FantGe00,offense,17,,,,,
player,201911030sea,sea,FantGe00,off_pct,23%,,,,,
player,201911030sea,sea,FantGe00,defense,0,,,,,
player,201911030sea,sea,FantGe00,def_pct,0%,,,,,
player,201911030sea,sea,FantGe00,special_teams,7,,,,,
player,201911030sea,sea,FantGe00,st_pct,19%,,,,,
player,201911030sea,sea,BrowJa03,pos,WR,,,,,
player,201911030sea,sea,BrowJa03,offense,17,,,,,
player,201911030sea,sea,BrowJa03,off_pct,23%,,,,,
player,201911030sea,sea,BrowJa03,defense,0,,,,,
player,201911030sea,sea,BrowJa03,def_pct,0%,,,,,
player,201911030sea,sea,BrowJa03,special_teams,3,,,,,
player,201911030sea,sea,BrowJa03,st_pct,8%,,,,,
player,201911030sea,sea,PennRa00,pos,RB,,,,,
player,201911030sea,sea,PennRa00,offense,11,,,,,
player,201911030sea,sea,PennRa00,off_pct,15%,,,,,
player,201911030sea,sea,PennRa00,defense,0,,,,,
player,201911030sea,sea,PennRa00,def_pct,0%,,,,,
player,201911030sea,sea,PennRa00,special_teams,0,,,,,
player,201911030sea,sea,PennRa00,st_pct,0%,,,,,
player,201911030sea,sea,TurnMa00,pos,WR,,,,,
player,201911030sea,sea,TurnMa00,offense,7,,,,,
player,201911030sea,sea,TurnMa00,off_pct,9%,,,,,
player,201911030sea,sea,TurnMa00,defense,0,,,,,
player,201911030sea,sea,TurnMa00,def_pct,0%,,,,,
player,201911030sea,sea,TurnMa00,special_teams,11,,,,,
player,201911030sea,sea,TurnMa00,st_pct,31%,,,,,
player,201911030sea,sea,BellNi01,pos,FB,,,,,
player,201911030sea,sea,BellNi01,offense,1,,,,,
player,201911030sea,sea,BellNi01,off_pct,1%,,,,,
player,201911030sea,sea,BellNi01,defense,0,,,,,
player,201911030sea,sea,BellNi01,def_pct,0%,,,,,
player,201911030sea,sea,BellNi01,special_teams,22,,,,,
player,201911030sea,sea,BellNi01,st_pct,61%,,,,,
player,201911030sea,sea,BlaiMa01,pos,FS,,,,,
player,201911030sea,sea,BlaiMa01,offense,0,,,,,
player,201911030sea,sea,BlaiMa01,off_pct,0%,,,,,
player,201911030sea,sea,BlaiMa01,defense,79,,,,,
player,201911030sea,sea,BlaiMa01,def_pct,100%,,,,,
player,201911030sea,sea,BlaiMa01,special_teams,15,,,,,
player,201911030sea,sea,BlaiMa01,st_pct,42%,,,,,
player,201911030sea,sea,GrifSh00,pos,CB,,,,,
player,201911030sea,sea,GrifSh00,offense,0,,,,,
player,201911030sea,sea,GrifSh00,off_pct,0%,,,,,
player,201911030sea,sea,GrifSh00,defense,79,,,,,
player,201911030sea,sea,GrifSh00,def_pct,100%,,,,,
player,201911030sea,sea,GrifSh00,special_teams,8,,,,,
player,201911030sea,sea,GrifSh00,st_pct,22%,,,,,
player,201911030sea,sea,FlowTr01,pos,CB,,,,,
player,201911030sea,sea,FlowTr01,offense,0,,,,,
player,201911030sea,sea,FlowTr01,off_pct,0%,,,,,
player,201911030sea,sea,FlowTr01,defense,79,,,,,
player,201911030sea,sea,FlowTr01,def_pct,100%,,,,,
player,201911030sea,sea,FlowTr01,special_teams,8,,,,,
player,201911030sea,sea,FlowTr01,st_pct,22%,,,,,
player,201911030sea,sea,WagnBo00,pos,LB,,,,,
player,201911030sea,sea,WagnBo00,offense,0,,,,,
player,201911030sea,sea,WagnBo00,off_pct,0%,,,,,
player,201911030sea,sea,WagnBo00,defense,79,,,,,
player,201911030sea,sea,WagnBo00,def_pct,100%,,,,,
player,201911030sea,sea,WagnBo00,special_teams,8,,,,,
player,201911030sea,sea,WagnBo00,st_pct,22%,,,,,
player,201911030sea,sea,McDoBr01,pos,SS,,,,,
player,201911030sea,sea,McDoBr01,offense,0,,,,,
player,201911030sea,sea,McDoBr01,off_pct,0%,,,,,
player,201911030sea,sea,McDoBr01,defense,79,,,,,
player,201911030sea,sea,McDoBr01,def_pct,100%,,,,,
player,201911030sea,sea,McDoBr01,special_teams,7,,,,,
player,201911030sea,sea,McDoBr01,st_pct,19%,,,,,
player,201911030sea,sea,WrigK.00,pos,LB,,,,,
player,201911030sea,sea,WrigK.00,offense,0,,,,,
player,201911030sea,sea,WrigK.00,off_pct,0%,,,,,
player,201911030sea,sea,WrigK.00,defense,75,,,,,
player,201911030sea,sea,WrigK.00,def_pct,95%,,,,,
player,201911030sea,sea,WrigK.00,special_teams,8,,,,,
player,201911030sea,sea,WrigK.00,st_pct,22%,,,,,
player,201911030sea,sea,ReedJa02,pos,DT,,,,,
player,201911030sea,sea,ReedJa02,offense,0,,,,,
player,201911030sea,sea,ReedJa02,off_pct,0%,,,,,
player,201911030sea,sea,ReedJa02,defense,65,,,,,
player,201911030sea,sea,ReedJa02,def_pct,82%,,,,,
player,201911030sea,sea,ReedJa02,special_teams,8,,,,,
