game,2019,15,20191215,201912150sdg,min,"Minnesota Vikings",39,sdg,"Los Angeles Chargers",10
team,201912150sdg,min,First Downs,18,,,,,,
team,201912150sdg,sdg,First Downs,17,,,,,,
team,201912150sdg,min,Rush-Yds-TDs,37-137-2,,,,,,
team,201912150sdg,sdg,Rush-Yds-TDs,19-62-0,,,,,,
team,201912150sdg,min,Cmp-Att-Yd-TD-INT,19-25-207-1-1,,,,,,
team,201912150sdg,sdg,Cmp-Att-Yd-TD-INT,28-39-307-1-3,,,,,,
team,201912150sdg,min,Sacked-Yards,0-0,,,,,,
team,201912150sdg,sdg,Sacked-Yards,3-24,,,,,,
team,201912150sdg,min,Net Pass Yards,207,,,,,,
team,201912150sdg,sdg,Net Pass Yards,283,,,,,,
team,201912150sdg,min,Total Yards,344,,,,,,
team,201912150sdg,sdg,Total Yards,345,,,,,,
team,201912150sdg,min,Fumbles-Lost,2-0,,,,,,
team,201912150sdg,sdg,Fumbles-Lost,5-4,,,,,,
team,201912150sdg,min,Turnovers,1,,,,,,
team,201912150sdg,sdg,Turnovers,7,,,,,,
team,201912150sdg,min,Penalties-Yards,5-41,,,,,,
team,201912150sdg,sdg,Penalties-Yards,5-48,,,,,,
team,201912150sdg,min,Third Down Conv.,7-14,,,,,,
team,201912150sdg,sdg,Third Down Conv.,6-11,,,,,,
team,201912150sdg,min,Fourth Down Conv.,0-0,,,,,,
team,201912150sdg,sdg,Fourth Down Conv.,1-2,,,,,,
team,201912150sdg,min,Time of Possession,32:19,,,,,,
team,201912150sdg,sdg,Time of Possession,27:41,,,,,,
player,201912150sdg,min,CousKi00,pass_cmp,19,,,,,
player,201912150sdg,min,CousKi00,pass_att,25,,,,,
player,201912150sdg,min,CousKi00,pass_yds,207,,,,,
player,201912150sdg,min,CousKi00,pass_td,1,,,,,
player,201912150sdg,min,CousKi00,pass_int,1,,,,,
player,201912150sdg,min,CousKi00,pass_sacked,0,,,,,
player,201912150sdg,min,CousKi00,pass_sacked_yds,0,,,,,
player,201912150sdg,min,CousKi00,pass_long,46,,,,,
player,201912150sdg,min,CousKi00,pass_rating,96.6,,,,,
player,201912150sdg,min,CousKi00,rush_att,3,,,,,
player,201912150sdg,min,CousKi00,rush_yds,14,,,,,
player,201912150sdg,min,CousKi00,rush_td,0,,,,,
player,201912150sdg,min,CousKi00,rush_long,14,,,,,
player,201912150sdg,min,CousKi00,targets,0,,,,,
player,201912150sdg,min,CousKi00,rec,0,,,,,
player,201912150sdg,min,CousKi00,rec_yds,0,,,,,
player,201912150sdg,min,CousKi00,rec_td,0,,,,,
player,201912150sdg,min,CousKi00,rec_long,0,,,,,
player,201912150sdg,min,CousKi00,fumbles,2,,,,,
player,201912150sdg,min,CousKi00,fumbles_lost,0,,,,,
player,201912150sdg,min,BoonMi00,pass_cmp,0,,,,,
player,201912150sdg,min,BoonMi00,pass_att,0,,,,,
player,201912150sdg,min,BoonMi00,pass_yds,0,,,,,
player,201912150sdg,min,BoonMi00,pass_td,0,,,,,
player,201912150sdg,min,BoonMi00,pass_int,0,,,,,
player,201912150sdg,min,BoonMi00,pass_sacked,0,,,,,
player,201912150sdg,min,BoonMi00,pass_sacked_yds,0,,,,,
player,201912150sdg,min,BoonMi00,pass_long,0,,,,,
player,201912150sdg,min,BoonMi00,pass_rating,,,,,,
player,201912150sdg,min,BoonMi00,rush_att,13,,,,,
player,201912150sdg,min,BoonMi00,rush_yds,56,,,,,
player,201912150sdg,min,BoonMi00,rush_td,2,,,,,
player,201912150sdg,min,BoonMi00,rush_long,10,,,,,
player,201912150sdg,min,BoonMi00,targets,0,,,,,
player,201912150sdg,min,BoonMi00,rec,0,,,,,
player,201912150sdg,min,BoonMi00,rec_yds,0,,,,,
player,201912150sdg,min,BoonMi00,rec_td,0,,,,,
player,201912150sdg,min,BoonMi00,rec_long,0,,,,,
player,201912150sdg,min,BoonMi00,fumbles,0,,,,,
player,201912150sdg,min,BoonMi00,fumbles_lost,0,,,,,
player,201912150sdg,min,CookDa01,pass_cmp,0,,,,,
player,201912150sdg,min,CookDa01,pass_att,0,,,,,
player,201912150sdg,min,CookDa01,pass_yds,0,,,,,
player,201912150sdg,min,CookDa01,pass_td,0,,,,,
player,201912150sdg,min,CookDa01,pass_int,0,,,,,
player,201912150sdg,min,CookDa01,pass_sacked,0,,,,,
player,201912150sdg,min,CookDa01,pass_sacked_yds,0,,,,,
player,201912150sdg,min,CookDa01,pass_long,0,,,,,
player,201912150sdg,min,CookDa01,pass_rating,,,,,,
player,201912150sdg,min,CookDa01,rush_att,9,,,,,
player,201912150sdg,min,CookDa01,rush_yds,27,,,,,
player,201912150sdg,min,CookDa01,rush_td,0,,,,,
player,201912150sdg,min,CookDa01,rush_long,8,,,,,
player,201912150sdg,min,CookDa01,targets,3,,,,,
player,201912150sdg,min,CookDa01,rec,3,,,,,
player,201912150sdg,min,CookDa01,rec_yds,16,,,,,
player,201912150sdg,min,CookDa01,rec_td,0,,,,,
