game,2019,7,20191020,201910200nyg,crd,"Arizona Cardinals",27,nyg,"New York Giants",21
team,201910200nyg,crd,First Downs,18,,,,,,
team,201910200nyg,nyg,First Downs,21,,,,,,
team,201910200nyg,crd,Rush-Yds-TDs,38-156-3,,,,,,
team,201910200nyg,nyg,Rush-Yds-TDs,22-107-1,,,,,,
team,201910200nyg,crd,Cmp-Att-Yd-TD-INT,14-21-104-0-0,,,,,,
team,201910200nyg,nyg,Cmp-Att-Yd-TD-INT,22-35-223-1-1,,,,,,
team,201910200nyg,crd,Sacked-Yards,2-15,,,,,,
team,201910200nyg,nyg,Sacked-Yards,8-67,,,,,,
team,201910200nyg,crd,Net Pass Yards,89,,,,,,
team,201910200nyg,nyg,Net Pass Yards,156,,,,,,
team,201910200nyg,crd,Total Yards,245,,,,,,
team,201910200nyg,nyg,Total Yards,263,,,,,,
team,201910200nyg,crd,Fumbles-Lost,0-0,,,,,,
team,201910200nyg,nyg,Fumbles-Lost,3-2,,,,,,
team,201910200nyg,crd,Turnovers,0,,,,,,
team,201910200nyg,nyg,Turnovers,3,,,,,,
team,201910200nyg,crd,Penalties-Yards,10-85,,,,,,
team,201910200nyg,nyg,Penalties-Yards,6-75,,,,,,
team,201910200nyg,crd,Third Down Conv.,7-15,,,,,,
team,201910200nyg,nyg,Third Down Conv.,4-12,,,,,,
team,201910200nyg,crd,Fourth Down Conv.,1-1,,,,,,
team,201910200nyg,nyg,Fourth Down Conv.,1-3,,,,,,
team,201910200nyg,crd,Time of Possession,29:59,,,,,,
team,201910200nyg,nyg,Time of Possession,30:01,,,,,,
player,201910200nyg,crd,MurrKy00,pass_cmp,14,,,,,
player,201910200nyg,crd,MurrKy00,pass_att,21,,,,,
player,201910200nyg,crd,MurrKy00,pass_yds,104,,,,,
player,201910200nyg,crd,MurrKy00,pass_td,0,,,,,
player,201910200nyg,crd,MurrKy00,pass_int,0,,,,,
player,201910200nyg,crd,MurrKy00,pass_sacked,2,,,,,
player,201910200nyg,crd,MurrKy00,pass_sacked_yds,15,,,,,
player,201910200nyg,crd,MurrKy00,pass_long,12,,,,,
player,201910200nyg,crd,MurrKy00,pass_rating,78.3,,,,,
player,201910200nyg,crd,MurrKy00,rush_att,10,,,,,
player,201910200nyg,crd,MurrKy00,rush_yds,28,,,,,
player,201910200nyg,crd,MurrKy00,rush_td,0,,,,,
player,201910200nyg,crd,MurrKy00,rush_long,11,,,,,
player,201910200nyg,crd,MurrKy00,targets,0,,,,,
player,201910200nyg,crd,MurrKy00,rec,0,,,,,
player,201910200nyg,crd,MurrKy00,rec_yds,0,,,,,
player,201910200nyg,crd,MurrKy00,rec_td,0,,,,,
player,201910200nyg,crd,MurrKy00,rec_long,0,,,,,
player,201910200nyg,crd,MurrKy00,fumbles,0,,,,,
player,201910200nyg,crd,MurrKy00,fumbles_lost,0,,,,,
player,201910200nyg,crd,EdmoCh00,pass_cmp,0,,,,,
player,201910200nyg,crd,EdmoCh00,pass_att,0,,,,,
player,201910200nyg,crd,EdmoCh00,pass_yds,0,,,,,
player,201910200nyg,crd,EdmoCh00,pass_td,0,,,,,
player,201910200nyg,crd,EdmoCh00,pass_int,0,,,,,
player,201910200nyg,crd,EdmoCh00,pass_sacked,0,,,,,
player,201910200nyg,crd,EdmoCh00,pass_sacked_yds,0,,,,,
player,201910200nyg,crd,EdmoCh00,pass_long,0,,,,,
player,201910200nyg,crd,EdmoCh00,pass_rating,,,,,,
player,201910200nyg,crd,EdmoCh00,rush_att,27,,,,,
player,201910200nyg,crd,EdmoCh00,rush_yds,126,,,,,
player,201910200nyg,crd,EdmoCh00,rush_td,3,,,,,
player,201910200nyg,crd,EdmoCh00,rush_long,22,,,,,
player,201910200nyg,crd,EdmoCh00,targets,4,,,,,
player,201910200nyg,crd,EdmoCh00,rec,2,,,,,
player,201910200nyg,crd,EdmoCh00,rec_yds,24,,,,,
player,201910200nyg,crd,EdmoCh00,rec_td,0,,,,,
player,201910200nyg,crd,EdmoCh00,rec_long,12,,,,,
player,201910200nyg,crd,EdmoCh00,fumbles,0,,,,,
player,201910200nyg,crd,EdmoCh00,fumbles_lost,0,,,,,
player,201910200nyg,crd,JohnDa08,pass_cmp,0,,,,,
player,201910200nyg,crd,JohnDa08,pass_att,0,,,,,
player,201910200nyg,crd,JohnDa08,pass_yds,0,,,,,
player,201910200nyg,crd,JohnDa08,pass_td,0,,,,,
player,201910200nyg,crd,JohnDa08,pass_int,0,,,,,
player,201910200nyg,crd,JohnDa08,pass_sacked,0,,,,,
player,201910200nyg,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201910200nyg,crd,JohnDa08,pass_long,0,,,,,
