game,2019,12,20191124,201911240phi,sea,"Seattle Seahawks",17,phi,"Philadelphia Eagles",9
team,201911240phi,sea,First Downs,14,,,,,,
team,201911240phi,phi,First Downs,23,,,,,,
team,201911240phi,sea,Rush-Yds-TDs,26-174-1,,,,,,
team,201911240phi,phi,Rush-Yds-TDs,23-106-0,,,,,,
team,201911240phi,sea,Cmp-Att-Yd-TD-INT,13-25-200-1-1,,,,,,
team,201911240phi,phi,Cmp-Att-Yd-TD-INT,33-45-256-1-2,,,,,,
team,201911240phi,sea,Sacked-Yards,6-26,,,,,,
team,201911240phi,phi,Sacked-Yards,3-18,,,,,,
team,201911240phi,sea,Net Pass Yards,174,,,,,,
team,201911240phi,phi,Net Pass Yards,238,,,,,,
team,201911240phi,sea,Total Yards,348,,,,,,
team,201911240phi,phi,Total Yards,344,,,,,,
team,201911240phi,sea,Fumbles-Lost,2-1,,,,,,
team,201911240phi,phi,Fumbles-Lost,4-3,,,,,,
team,201911240phi,sea,Turnovers,2,,,,,,
team,201911240phi,phi,Turnovers,5,,,,,,
team,201911240phi,sea,Penalties-Yards,12-90,,,,,,
team,201911240phi,phi,Penalties-Yards,2-15,,,,,,
team,201911240phi,sea,Third Down Conv.,5-14,,,,,,
team,201911240phi,phi,Third Down Conv.,4-12,,,,,,
team,201911240phi,sea,Fourth Down Conv.,0-0,,,,,,
team,201911240phi,phi,Fourth Down Conv.,0-1,,,,,,
team,201911240phi,sea,Time of Possession,28:07,,,,,,
team,201911240phi,phi,Time of Possession,31:53,,,,,,
player,201911240phi,sea,WilsRu00,pass_cmp,13,,,,,
player,201911240phi,sea,WilsRu00,pass_att,25,,,,,
player,201911240phi,sea,WilsRu00,pass_yds,200,,,,,
player,201911240phi,sea,WilsRu00,pass_td,1,,,,,
player,201911240phi,sea,WilsRu00,pass_int,1,,,,,
player,201911240phi,sea,WilsRu00,pass_sacked,6,,,,,
player,201911240phi,sea,WilsRu00,pass_sacked_yds,26,,,,,
player,201911240phi,sea,WilsRu00,pass_long,38,,,,,
