game,2019,1,20190908,201909080sdg,clt,"Indianapolis Colts",24,sdg,"Los Angeles Chargers",30
team,201909080sdg,clt,First Downs,22,,,,,,
team,201909080sdg,sdg,First Downs,25,,,,,,
team,201909080sdg,clt,Rush-Yds-TDs,33-203-1,,,,,,
team,201909080sdg,sdg,Rush-Yds-TDs,21-125-1,,,,,,
team,201909080sdg,clt,Cmp-Att-Yd-TD-INT,21-27-190-2-0,,,,,,
team,201909080sdg,sdg,Cmp-Att-Yd-TD-INT,25-34-333-3-1,,,,,,
team,201909080sdg,clt,Sacked-Yards,2-17,,,,,,
team,201909080sdg,sdg,Sacked-Yards,4-23,,,,,,
team,201909080sdg,clt,Net Pass Yards,173,,,,,,
team,201909080sdg,sdg,Net Pass Yards,310,,,,,,
team,201909080sdg,clt,Total Yards,376,,,,,,
team,201909080sdg,sdg,Total Yards,435,,,,,,
team,201909080sdg,clt,Fumbles-Lost,1-0,,,,,,
team,201909080sdg,sdg,Fumbles-Lost,2-1,,,,,,
team,201909080sdg,clt,Turnovers,0,,,,,,
team,201909080sdg,sdg,Turnovers,2,,,,,,
team,201909080sdg,clt,Penalties-Yards,3-10,,,,,,
team,201909080sdg,sdg,Penalties-Yards,3-20,,,,,,
team,201909080sdg,clt,Third Down Conv.,7-13,,,,,,
team,201909080sdg,sdg,Third Down Conv.,7-11,,,,,,
team,201909080sdg,clt,Fourth Down Conv.,1-1,,,,,,
team,201909080sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201909080sdg,clt,Time of Possession,32:09,,,,,,
team,201909080sdg,sdg,Time of Possession,32:50,,,,,,
player,201909080sdg,clt,BrisJa00,pass_cmp,21,,,,,
player,201909080sdg,clt,BrisJa00,pass_att,27,,,,,
player,201909080sdg,clt,BrisJa00,pass_yds,190,,,,,
player,201909080sdg,clt,BrisJa00,pass_td,2,,,,,
player,201909080sdg,clt,BrisJa00,pass_int,0,,,,,
player,201909080sdg,clt,BrisJa00,pass_sacked,2,,,,,
