game,2019,15,20191215,201912150det,tam,"Tampa Bay Buccaneers",38,det,"Detroit Lions",17
team,201912150det,tam,First Downs,23,,,,,,
team,201912150det,det,First Downs,16,,,,,,
team,201912150det,tam,Rush-Yds-TDs,29-49-0,,,,,,
team,201912150det,det,Rush-Yds-TDs,18-45-2,,,,,,
team,201912150det,tam,Cmp-Att-Yd-TD-INT,28-42-458-4-1,,,,,,
team,201912150det,det,Cmp-Att-Yd-TD-INT,24-43-260-0-2,,,,,,
team,201912150det,tam,Sacked-Yards,2-12,,,,,,
team,201912150det,det,Sacked-Yards,2-10,,,,,,
team,201912150det,tam,Net Pass Yards,446,,,,,,
team,201912150det,det,Net Pass Yards,250,,,,,,
team,201912150det,tam,Total Yards,495,,,,,,
team,201912150det,det,Total Yards,295,,,,,,
team,201912150det,tam,Fumbles-Lost,1-0,,,,,,
team,201912150det,det,Fumbles-Lost,2-1,,,,,,
team,201912150det,tam,Turnovers,1,,,,,,
team,201912150det,det,Turnovers,3,,,,,,
team,201912150det,tam,Penalties-Yards,9-70,,,,,,
team,201912150det,det,Penalties-Yards,2-10,,,,,,
team,201912150det,tam,Third Down Conv.,7-14,,,,,,
team,201912150det,det,Third Down Conv.,6-15,,,,,,
team,201912150det,tam,Fourth Down Conv.,1-2,,,,,,
team,201912150det,det,Fourth Down Conv.,0-1,,,,,,
team,201912150det,tam,Time of Possession,33:19,,,,,,
team,201912150det,det,Time of Possession,26:41,,,,,,
player,201912150det,tam,WinsJa00,pass_cmp,28,,,,,
player,201912150det,tam,WinsJa00,pass_att,42,,,,,
player,201912150det,tam,WinsJa00,pass_yds,458,,,,,
player,201912150det,tam,WinsJa00,pass_td,4,,,,,
player,201912150det,tam,WinsJa00,pass_int,1,,,,,
player,201912150det,tam,WinsJa00,pass_sacked,2,,,,,
player,201912150det,tam,WinsJa00,pass_sacked_yds,12,,,,,
player,201912150det,tam,WinsJa00,pass_long,51,,,,,
player,201912150det,tam,WinsJa00,pass_rating,124.9,,,,,
player,201912150det,tam,WinsJa00,rush_att,2,,,,,
player,201912150det,tam,WinsJa00,rush_yds,4,,,,,
player,201912150det,tam,WinsJa00,rush_td,0,,,,,
player,201912150det,tam,WinsJa00,rush_long,2,,,,,
player,201912150det,tam,WinsJa00,targets,0,,,,,
player,201912150det,tam,WinsJa00,rec,0,,,,,
player,201912150det,tam,WinsJa00,rec_yds,0,,,,,
player,201912150det,tam,WinsJa00,rec_td,0,,,,,
player,201912150det,tam,WinsJa00,rec_long,0,,,,,
player,201912150det,tam,WinsJa00,fumbles,0,,,,,
player,201912150det,tam,WinsJa00,fumbles_lost,0,,,,,
player,201912150det,tam,JoneRo01,pass_cmp,0,,,,,
player,201912150det,tam,JoneRo01,pass_att,0,,,,,
player,201912150det,tam,JoneRo01,pass_yds,0,,,,,
player,201912150det,tam,JoneRo01,pass_td,0,,,,,
player,201912150det,tam,JoneRo01,pass_int,0,,,,,
player,201912150det,tam,JoneRo01,pass_sacked,0,,,,,
player,201912150det,tam,JoneRo01,pass_sacked_yds,0,,,,,
player,201912150det,tam,JoneRo01,pass_long,0,,,,,
player,201912150det,tam,JoneRo01,pass_rating,,,,,,
player,201912150det,tam,JoneRo01,rush_att,11,,,,,
player,201912150det,tam,JoneRo01,rush_yds,23,,,,,
player,201912150det,tam,JoneRo01,rush_td,0,,,,,
player,201912150det,tam,JoneRo01,rush_long,6,,,,,
player,201912150det,tam,JoneRo01,targets,3,,,,,
player,201912150det,tam,JoneRo01,rec,1,,,,,
player,201912150det,tam,JoneRo01,rec_yds,26,,,,,
player,201912150det,tam,JoneRo01,rec_td,0,,,,,
player,201912150det,tam,JoneRo01,rec_long,26,,,,,
player,201912150det,tam,JoneRo01,fumbles,0,,,,,
player,201912150det,tam,JoneRo01,fumbles_lost,0,,,,,
player,201912150det,tam,BarbPe01,pass_cmp,0,,,,,
player,201912150det,tam,BarbPe01,pass_att,0,,,,,
player,201912150det,tam,BarbPe01,pass_yds,0,,,,,
player,201912150det,tam,BarbPe01,pass_td,0,,,,,
