game,2019,4,20190929,201909290ram,tam,"Tampa Bay Buccaneers",55,ram,"Los Angeles Rams",40
team,201909290ram,tam,First Downs,27,,,,,,
team,201909290ram,ram,First Downs,36,,,,,,
team,201909290ram,tam,Rush-Yds-TDs,30-88-2,,,,,,
team,201909290ram,ram,Rush-Yds-TDs,11-28-2,,,,,,
team,201909290ram,tam,Cmp-Att-Yd-TD-INT,28-41-385-4-1,,,,,,
team,201909290ram,ram,Cmp-Att-Yd-TD-INT,45-68-517-2-3,,,,,,
team,201909290ram,tam,Sacked-Yards,2-9,,,,,,
team,201909290ram,ram,Sacked-Yards,2-27,,,,,,
team,201909290ram,tam,Net Pass Yards,376,,,,,,
team,201909290ram,ram,Net Pass Yards,490,,,,,,
team,201909290ram,tam,Total Yards,464,,,,,,
team,201909290ram,ram,Total Yards,518,,,,,,
team,201909290ram,tam,Fumbles-Lost,0-0,,,,,,
team,201909290ram,ram,Fumbles-Lost,1-1,,,,,,
team,201909290ram,tam,Turnovers,1,,,,,,
team,201909290ram,ram,Turnovers,4,,,,,,
team,201909290ram,tam,Penalties-Yards,12-99,,,,,,
team,201909290ram,ram,Penalties-Yards,13-106,,,,,,
team,201909290ram,tam,Third Down Conv.,8-13,,,,,,
team,201909290ram,ram,Third Down Conv.,4-11,,,,,,
team,201909290ram,tam,Fourth Down Conv.,0-0,,,,,,
team,201909290ram,ram,Fourth Down Conv.,0-1,,,,,,
team,201909290ram,tam,Time of Possession,32:36,,,,,,
team,201909290ram,ram,Time of Possession,27:24,,,,,,
player,201909290ram,tam,WinsJa00,pass_cmp,28,,,,,
player,201909290ram,tam,WinsJa00,pass_att,41,,,,,
player,201909290ram,tam,WinsJa00,pass_yds,385,,,,,
player,201909290ram,tam,WinsJa00,pass_td,4,,,,,
player,201909290ram,tam,WinsJa00,pass_int,1,,,,,
player,201909290ram,tam,WinsJa00,pass_sacked,2,,,,,
player,201909290ram,tam,WinsJa00,pass_sacked_yds,9,,,,,
player,201909290ram,tam,WinsJa00,pass_long,67,,,,,
player,201909290ram,tam,WinsJa00,pass_rating,120.5,,,,,
player,201909290ram,tam,WinsJa00,rush_att,1,,,,,
player,201909290ram,tam,WinsJa00,rush_yds,-1,,,,,
player,201909290ram,tam,WinsJa00,rush_td,0,,,,,
player,201909290ram,tam,WinsJa00,rush_long,-1,,,,,
player,201909290ram,tam,WinsJa00,targets,0,,,,,
player,201909290ram,tam,WinsJa00,rec,0,,,,,
player,201909290ram,tam,WinsJa00,rec_yds,0,,,,,
player,201909290ram,tam,WinsJa00,rec_td,0,,,,,
player,201909290ram,tam,WinsJa00,rec_long,0,,,,,
player,201909290ram,tam,WinsJa00,fumbles,0,,,,,
player,201909290ram,tam,WinsJa00,fumbles_lost,0,,,,,
player,201909290ram,tam,JoneRo01,pass_cmp,0,,,,,
player,201909290ram,tam,JoneRo01,pass_att,0,,,,,
player,201909290ram,tam,JoneRo01,pass_yds,0,,,,,
player,201909290ram,tam,JoneRo01,pass_td,0,,,,,
player,201909290ram,tam,JoneRo01,pass_int,0,,,,,
player,201909290ram,tam,JoneRo01,pass_sacked,0,,,,,
player,201909290ram,tam,JoneRo01,pass_sacked_yds,0,,,,,
player,201909290ram,tam,JoneRo01,pass_long,0,,,,,
player,201909290ram,tam,JoneRo01,pass_rating,,,,,,
player,201909290ram,tam,JoneRo01,rush_att,19,,,,,
player,201909290ram,tam,JoneRo01,rush_yds,70,,,,,
player,201909290ram,tam,JoneRo01,rush_td,1,,,,,
player,201909290ram,tam,JoneRo01,rush_long,24,,,,,
player,201909290ram,tam,JoneRo01,targets,1,,,,,
player,201909290ram,tam,JoneRo01,rec,1,,,,,
player,201909290ram,tam,JoneRo01,rec_yds,12,,,,,
player,201909290ram,tam,JoneRo01,rec_td,0,,,,,
player,201909290ram,tam,JoneRo01,rec_long,12,,,,,
player,201909290ram,tam,JoneRo01,fumbles,0,,,,,
player,201909290ram,tam,JoneRo01,fumbles_lost,0,,,,,
player,201909290ram,tam,BarbPe01,pass_cmp,0,,,,,
player,201909290ram,tam,BarbPe01,pass_att,0,,,,,
player,201909290ram,tam,BarbPe01,pass_yds,0,,,,,
player,201909290ram,tam,BarbPe01,pass_td,0,,,,,
player,201909290ram,tam,BarbPe01,pass_int,0,,,,,
player,201909290ram,tam,BarbPe01,pass_sacked,0,,,,,
player,201909290ram,tam,BarbPe01,pass_sacked_yds,0,,,,,
player,201909290ram,tam,BarbPe01,pass_long,0,,,,,
player,201909290ram,tam,BarbPe01,pass_rating,,,,,,
player,201909290ram,tam,BarbPe01,rush_att,9,,,,,
player,201909290ram,tam,BarbPe01,rush_yds,19,,,,,
player,201909290ram,tam,BarbPe01,rush_td,1,,,,,
player,201909290ram,tam,BarbPe01,rush_long,7,,,,,
player,201909290ram,tam,BarbPe01,targets,1,,,,,
player,201909290ram,tam,BarbPe01,rec,0,,,,,
player,201909290ram,tam,BarbPe01,rec_yds,0,,,,,
player,201909290ram,tam,BarbPe01,rec_td,0,,,,,
player,201909290ram,tam,BarbPe01,rec_long,0,,,,,
player,201909290ram,tam,BarbPe01,fumbles,0,,,,,
