game,2019,8,20191027,201910270chi,sdg,"Los Angeles Chargers",17,chi,"Chicago Bears",16
team,201910270chi,sdg,First Downs,11,,,,,,
team,201910270chi,chi,First Downs,26,,,,,,
team,201910270chi,sdg,Rush-Yds-TDs,12-36-1,,,,,,
team,201910270chi,chi,Rush-Yds-TDs,38-162-1,,,,,,
team,201910270chi,sdg,Cmp-Att-Yd-TD-INT,19-29-201-1-1,,,,,,
team,201910270chi,chi,Cmp-Att-Yd-TD-INT,23-35-253-0-1,,,,,,
team,201910270chi,sdg,Sacked-Yards,1-6,,,,,,
team,201910270chi,chi,Sacked-Yards,4-27,,,,,,
team,201910270chi,sdg,Net Pass Yards,195,,,,,,
team,201910270chi,chi,Net Pass Yards,226,,,,,,
team,201910270chi,sdg,Total Yards,231,,,,,,
team,201910270chi,chi,Total Yards,388,,,,,,
team,201910270chi,sdg,Fumbles-Lost,0-0,,,,,,
team,201910270chi,chi,Fumbles-Lost,1-1,,,,,,
team,201910270chi,sdg,Turnovers,1,,,,,,
team,201910270chi,chi,Turnovers,2,,,,,,
team,201910270chi,sdg,Penalties-Yards,8-53,,,,,,
team,201910270chi,chi,Penalties-Yards,5-42,,,,,,
team,201910270chi,sdg,Third Down Conv.,2-10,,,,,,
team,201910270chi,chi,Third Down Conv.,5-14,,,,,,
team,201910270chi,sdg,Fourth Down Conv.,0-0,,,,,,
team,201910270chi,chi,Fourth Down Conv.,1-1,,,,,,
team,201910270chi,sdg,Time of Possession,22:00,,,,,,
team,201910270chi,chi,Time of Possession,38:00,,,,,,
player,201910270chi,sdg,RivePh00,pass_cmp,19,,,,,
player,201910270chi,sdg,RivePh00,pass_att,29,,,,,
player,201910270chi,sdg,RivePh00,pass_yds,201,,,,,
player,201910270chi,sdg,RivePh00,pass_td,1,,,,,
player,201910270chi,sdg,RivePh00,pass_int,1,,,,,
player,201910270chi,sdg,RivePh00,pass_sacked,1,,,,,
player,201910270chi,sdg,RivePh00,pass_sacked_yds,6,,,,,
player,201910270chi,sdg,RivePh00,pass_long,43,,,,,
player,201910270chi,sdg,RivePh00,pass_rating,82.7,,,,,
player,201910270chi,sdg,RivePh00,rush_att,0,,,,,
player,201910270chi,sdg,RivePh00,rush_yds,0,,,,,
player,201910270chi,sdg,RivePh00,rush_td,0,,,,,
player,201910270chi,sdg,RivePh00,rush_long,0,,,,,
player,201910270chi,sdg,RivePh00,targets,0,,,,,
player,201910270chi,sdg,RivePh00,rec,0,,,,,
player,201910270chi,sdg,RivePh00,rec_yds,0,,,,,
player,201910270chi,sdg,RivePh00,rec_td,0,,,,,
player,201910270chi,sdg,RivePh00,rec_long,0,,,,,
player,201910270chi,sdg,RivePh00,fumbles,0,,,,,
player,201910270chi,sdg,RivePh00,fumbles_lost,0,,,,,
player,201910270chi,sdg,GordMe00,pass_cmp,0,,,,,
player,201910270chi,sdg,GordMe00,pass_att,0,,,,,
player,201910270chi,sdg,GordMe00,pass_yds,0,,,,,
player,201910270chi,sdg,GordMe00,pass_td,0,,,,,
player,201910270chi,sdg,GordMe00,pass_int,0,,,,,
player,201910270chi,sdg,GordMe00,pass_sacked,0,,,,,
