game,2019,12,20191125,201911250ram,rav,"Baltimore Ravens",45,ram,"Los Angeles Rams",6
team,201911250ram,rav,First Downs,31,,,,,,
team,201911250ram,ram,First Downs,14,,,,,,
team,201911250ram,rav,Rush-Yds-TDs,48-285-1,,,,,,
team,201911250ram,ram,Rush-Yds-TDs,9-22-0,,,,,,
team,201911250ram,rav,Cmp-Att-Yd-TD-INT,16-23-208-5-0,,,,,,
team,201911250ram,ram,Cmp-Att-Yd-TD-INT,26-37-212-0-2,,,,,,
team,201911250ram,rav,Sacked-Yards,3-13,,,,,,
team,201911250ram,ram,Sacked-Yards,2-13,,,,,,
team,201911250ram,rav,Net Pass Yards,195,,,,,,
team,201911250ram,ram,Net Pass Yards,199,,,,,,
team,201911250ram,rav,Total Yards,480,,,,,,
team,201911250ram,ram,Total Yards,221,,,,,,
team,201911250ram,rav,Fumbles-Lost,1-0,,,,,,
team,201911250ram,ram,Fumbles-Lost,1-0,,,,,,
team,201911250ram,rav,Turnovers,0,,,,,,
team,201911250ram,ram,Turnovers,2,,,,,,
team,201911250ram,rav,Penalties-Yards,8-66,,,,,,
team,201911250ram,ram,Penalties-Yards,8-56,,,,,,
team,201911250ram,rav,Third Down Conv.,9-15,,,,,,
team,201911250ram,ram,Third Down Conv.,2-9,,,,,,
team,201911250ram,rav,Fourth Down Conv.,3-3,,,,,,
team,201911250ram,ram,Fourth Down Conv.,1-1,,,,,,
team,201911250ram,rav,Time of Possession,39:56,,,,,,
team,201911250ram,ram,Time of Possession,20:04,,,,,,
player,201911250ram,rav,JackLa00,pass_cmp,15,,,,,
player,201911250ram,rav,JackLa00,pass_att,20,,,,,
player,201911250ram,rav,JackLa00,pass_yds,169,,,,,
player,201911250ram,rav,JackLa00,pass_td,5,,,,,
player,201911250ram,rav,JackLa00,pass_int,0,,,,,
player,201911250ram,rav,JackLa00,pass_sacked,2,,,,,
player,201911250ram,rav,JackLa00,pass_sacked_yds,9,,,,,
player,201911250ram,rav,JackLa00,pass_long,38,,,,,
player,201911250ram,rav,JackLa00,pass_rating,139.4,,,,,
player,201911250ram,rav,JackLa00,rush_att,8,,,,,
player,201911250ram,rav,JackLa00,rush_yds,95,,,,,
player,201911250ram,rav,JackLa00,rush_td,0,,,,,
player,201911250ram,rav,JackLa00,rush_long,29,,,,,
player,201911250ram,rav,JackLa00,targets,0,,,,,
player,201911250ram,rav,JackLa00,rec,0,,,,,
player,201911250ram,rav,JackLa00,rec_yds,0,,,,,
player,201911250ram,rav,JackLa00,rec_td,0,,,,,
player,201911250ram,rav,JackLa00,rec_long,0,,,,,
player,201911250ram,rav,JackLa00,fumbles,1,,,,,
player,201911250ram,rav,JackLa00,fumbles_lost,0,,,,,
