game,2019,8,20191027,201910270atl,sea,"Seattle Seahawks",27,atl,"Atlanta Falcons",20
team,201910270atl,sea,First Downs,18,,,,,,
team,201910270atl,atl,First Downs,30,,,,,,
team,201910270atl,sea,Rush-Yds-TDs,33-151-1,,,,,,
team,201910270atl,atl,Rush-Yds-TDs,17-69-1,,,,,,
team,201910270atl,sea,Cmp-Att-Yd-TD-INT,14-20-182-2-0,,,,,,
team,201910270atl,atl,Cmp-Att-Yd-TD-INT,39-52-460-1-1,,,,,,
team,201910270atl,sea,Sacked-Yards,2-11,,,,,,
team,201910270atl,atl,Sacked-Yards,2-17,,,,,,
team,201910270atl,sea,Net Pass Yards,171,,,,,,
team,201910270atl,atl,Net Pass Yards,443,,,,,,
team,201910270atl,sea,Total Yards,322,,,,,,
team,201910270atl,atl,Total Yards,512,,,,,,
team,201910270atl,sea,Fumbles-Lost,0-0,,,,,,
team,201910270atl,atl,Fumbles-Lost,2-2,,,,,,
team,201910270atl,sea,Turnovers,0,,,,,,
team,201910270atl,atl,Turnovers,3,,,,,,
team,201910270atl,sea,Penalties-Yards,9-60,,,,,,
team,201910270atl,atl,Penalties-Yards,5-40,,,,,,
team,201910270atl,sea,Third Down Conv.,3-9,,,,,,
team,201910270atl,atl,Third Down Conv.,3-9,,,,,,
team,201910270atl,sea,Fourth Down Conv.,0-0,,,,,,
team,201910270atl,atl,Fourth Down Conv.,1-1,,,,,,
team,201910270atl,sea,Time of Possession,29:13,,,,,,
team,201910270atl,atl,Time of Possession,30:47,,,,,,
player,201910270atl,sea,WilsRu00,pass_cmp,14,,,,,
player,201910270atl,sea,WilsRu00,pass_att,20,,,,,
player,201910270atl,sea,WilsRu00,pass_yds,182,,,,,
player,201910270atl,sea,WilsRu00,pass_td,2,,,,,
player,201910270atl,sea,WilsRu00,pass_int,0,,,,,
player,201910270atl,sea,WilsRu00,pass_sacked,2,,,,,
player,201910270atl,sea,WilsRu00,pass_sacked_yds,11,,,,,
player,201910270atl,sea,WilsRu00,pass_long,23,,,,,
player,201910270atl,sea,WilsRu00,pass_rating,131.7,,,,,
player,201910270atl,sea,WilsRu00,rush_att,4,,,,,
player,201910270atl,sea,WilsRu00,rush_yds,4,,,,,
player,201910270atl,sea,WilsRu00,rush_td,0,,,,,
player,201910270atl,sea,WilsRu00,rush_long,5,,,,,
player,201910270atl,sea,WilsRu00,targets,0,,,,,
player,201910270atl,sea,WilsRu00,rec,0,,,,,
player,201910270atl,sea,WilsRu00,rec_yds,0,,,,,
player,201910270atl,sea,WilsRu00,rec_td,0,,,,,
player,201910270atl,sea,WilsRu00,rec_long,0,,,,,
player,201910270atl,sea,WilsRu00,fumbles,0,,,,,
player,201910270atl,sea,WilsRu00,fumbles_lost,0,,,,,
player,201910270atl,sea,CarsCh00,pass_cmp,0,,,,,
player,201910270atl,sea,CarsCh00,pass_att,0,,,,,
player,201910270atl,sea,CarsCh00,pass_yds,0,,,,,
player,201910270atl,sea,CarsCh00,pass_td,0,,,,,
player,201910270atl,sea,CarsCh00,pass_int,0,,,,,
player,201910270atl,sea,CarsCh00,pass_sacked,0,,,,,
player,201910270atl,sea,CarsCh00,pass_sacked_yds,0,,,,,
player,201910270atl,sea,CarsCh00,pass_long,0,,,,,
player,201910270atl,sea,CarsCh00,pass_rating,,,,,,
player,201910270atl,sea,CarsCh00,rush_att,20,,,,,
player,201910270atl,sea,CarsCh00,rush_yds,90,,,,,
player,201910270atl,sea,CarsCh00,rush_td,1,,,,,
player,201910270atl,sea,CarsCh00,rush_long,19,,,,,
player,201910270atl,sea,CarsCh00,targets,1,,,,,
player,201910270atl,sea,CarsCh00,rec,0,,,,,
player,201910270atl,sea,CarsCh00,rec_yds,0,,,,,
player,201910270atl,sea,CarsCh00,rec_td,0,,,,,
player,201910270atl,sea,CarsCh00,rec_long,0,,,,,
player,201910270atl,sea,CarsCh00,fumbles,0,,,,,
player,201910270atl,sea,CarsCh00,fumbles_lost,0,,,,,
player,201910270atl,sea,PennRa00,pass_cmp,0,,,,,
player,201910270atl,sea,PennRa00,pass_att,0,,,,,
player,201910270atl,sea,PennRa00,pass_yds,0,,,,,
player,201910270atl,sea,PennRa00,pass_td,0,,,,,
player,201910270atl,sea,PennRa00,pass_int,0,,,,,
player,201910270atl,sea,PennRa00,pass_sacked,0,,,,,
player,201910270atl,sea,PennRa00,pass_sacked_yds,0,,,,,
player,201910270atl,sea,PennRa00,pass_long,0,,,,,
player,201910270atl,sea,PennRa00,pass_rating,,,,,,
player,201910270atl,sea,PennRa00,rush_att,8,,,,,
player,201910270atl,sea,PennRa00,rush_yds,55,,,,,
player,201910270atl,sea,PennRa00,rush_td,0,,,,,
player,201910270atl,sea,PennRa00,rush_long,17,,,,,
player,201910270atl,sea,PennRa00,targets,0,,,,,
player,201910270atl,sea,PennRa00,rec,0,,,,,
player,201910270atl,sea,PennRa00,rec_yds,0,,,,,
player,201910270atl,sea,PennRa00,rec_td,0,,,,,
player,201910270atl,sea,PennRa00,rec_long,0,,,,,
player,201910270atl,sea,PennRa00,fumbles,0,,,,,
player,201910270atl,sea,PennRa00,fumbles_lost,0,,,,,
player,201910270atl,sea,MoorDa03,pass_cmp,0,,,,,
player,201910270atl,sea,MoorDa03,pass_att,0,,,,,
player,201910270atl,sea,MoorDa03,pass_yds,0,,,,,
player,201910270atl,sea,MoorDa03,pass_td,0,,,,,
player,201910270atl,sea,MoorDa03,pass_int,0,,,,,
player,201910270atl,sea,MoorDa03,pass_sacked,0,,,,,
player,201910270atl,sea,MoorDa03,pass_sacked_yds,0,,,,,
player,201910270atl,sea,MoorDa03,pass_long,0,,,,,
player,201910270atl,sea,MoorDa03,pass_rating,,,,,,
player,201910270atl,sea,MoorDa03,rush_att,1,,,,,
player,201910270atl,sea,MoorDa03,rush_yds,2,,,,,
player,201910270atl,sea,MoorDa03,rush_td,0,,,,,
player,201910270atl,sea,MoorDa03,rush_long,2,,,,,
player,201910270atl,sea,MoorDa03,targets,4,,,,,
player,201910270atl,sea,MoorDa03,rec,1,,,,,
player,201910270atl,sea,MoorDa03,rec_yds,23,,,,,
player,201910270atl,sea,MoorDa03,rec_td,0,,,,,
player,201910270atl,sea,MoorDa03,rec_long,23,,,,,
player,201910270atl,sea,MoorDa03,fumbles,0,,,,,
player,201910270atl,sea,MoorDa03,fumbles_lost,0,,,,,
player,201910270atl,sea,LockTy00,pass_cmp,0,,,,,
player,201910270atl,sea,LockTy00,pass_att,0,,,,,
player,201910270atl,sea,LockTy00,pass_yds,0,,,,,
player,201910270atl,sea,LockTy00,pass_td,0,,,,,
player,201910270atl,sea,LockTy00,pass_int,0,,,,,
player,201910270atl,sea,LockTy00,pass_sacked,0,,,,,
player,201910270atl,sea,LockTy00,pass_sacked_yds,0,,,,,
player,201910270atl,sea,LockTy00,pass_long,0,,,,,
player,201910270atl,sea,LockTy00,pass_rating,,,,,,
player,201910270atl,sea,LockTy00,rush_att,0,,,,,
player,201910270atl,sea,LockTy00,rush_yds,0,,,,,
player,201910270atl,sea,LockTy00,rush_td,0,,,,,
player,201910270atl,sea,LockTy00,rush_long,0,,,,,
player,201910270atl,sea,LockTy00,targets,6,,,,,
player,201910270atl,sea,LockTy00,rec,6,,,,,
player,201910270atl,sea,LockTy00,rec_yds,100,,,,,
player,201910270atl,sea,LockTy00,rec_td,0,,,,,
player,201910270atl,sea,LockTy00,rec_long,20,,,,,
player,201910270atl,sea,LockTy00,fumbles,0,,,,,
player,201910270atl,sea,LockTy00,fumbles_lost,0,,,,,
player,201910270atl,sea,TurnMa00,pass_cmp,0,,,,,
player,201910270atl,sea,TurnMa00,pass_att,0,,,,,
player,201910270atl,sea,TurnMa00,pass_yds,0,,,,,
player,201910270atl,sea,TurnMa00,pass_td,0,,,,,
player,201910270atl,sea,TurnMa00,pass_int,0,,,,,
player,201910270atl,sea,TurnMa00,pass_sacked,0,,,,,
player,201910270atl,sea,TurnMa00,pass_sacked_yds,0,,,,,
player,201910270atl,sea,TurnMa00,pass_long,0,,,,,
player,201910270atl,sea,TurnMa00,pass_rating,,,,,,
player,201910270atl,sea,TurnMa00,rush_att,0,,,,,
player,201910270atl,sea,TurnMa00,rush_yds,0,,,,,
player,201910270atl,sea,TurnMa00,rush_td,0,,,,,
player,201910270atl,sea,TurnMa00,rush_long,0,,,,,
player,201910270atl,sea,TurnMa00,targets,1,,,,,
