game,2019,2,20190915,201909150det,sdg,"Los Angeles Chargers",10,det,"Detroit Lions",13
player,201909150det,sdg,WillMi07,pass_att,0,,,,,
player,201909150det,sdg,WillMi07,pass_yds,0,,,,,
player,201909150det,sdg,WillMi07,pass_td,0,,,,,
player,201909150det,sdg,WillMi07,pass_int,0,,,,,
player,201909150det,sdg,WillMi07,pass_sacked,0,,,,,
player,201909150det,sdg,WillMi07,pass_sacked_yds,0,,,,,
player,201909150det,sdg,WillMi07,pass_long,0,,,,,
player,201909150det,sdg,WillMi07,pass_rating,,,,,,
player,201909150det,sdg,WillMi07,rush_att,0,,,,,
player,201909150det,sdg,WillMi07,rush_yds,0,,,,,
player,201909150det,sdg,WillMi07,rush_td,0,,,,,
player,201909150det,sdg,WillMi07,rush_long,0,,,,,
player,201909150det,sdg,WillMi07,targets,5,,,,,
player,201909150det,sdg,WillMi07,rec,3,,,,,
player,201909150det,sdg,WillMi07,rec_yds,83,,,,,
player,201909150det,sdg,WillMi07,rec_td,0,,,,,
player,201909150det,sdg,WillMi07,rec_long,47,,,,,
player,201909150det,sdg,WillMi07,fumbles,0,,,,,
player,201909150det,sdg,WillMi07,fumbles_lost,0,,,,,
player,201909150det,sdg,InmaDo00,pass_cmp,0,,,,,
player,201909150det,sdg,InmaDo00,pass_att,0,,,,,
player,201909150det,sdg,InmaDo00,pass_yds,0,,,,,
player,201909150det,sdg,InmaDo00,pass_td,0,,,,,
player,201909150det,sdg,InmaDo00,pass_int,0,,,,,
player,201909150det,sdg,InmaDo00,pass_sacked,0,,,,,
player,201909150det,sdg,InmaDo00,pass_sacked_yds,0,,,,,
player,201909150det,sdg,InmaDo00,pass_long,0,,,,,
player,201909150det,sdg,InmaDo00,pass_rating,,,,,,
player,201909150det,sdg,InmaDo00,rush_att,0,,,,,
player,201909150det,sdg,InmaDo00,rush_yds,0,,,,,
player,201909150det,sdg,InmaDo00,rush_td,0,,,,,
player,201909150det,sdg,InmaDo00,rush_long,0,,,,,
player,201909150det,sdg,InmaDo00,targets,2,,,,,
player,201909150det,sdg,InmaDo00,rec,1,,,,,
player,201909150det,sdg,InmaDo00,rec_yds,28,,,,,
player,201909150det,sdg,InmaDo00,rec_td,0,,,,,
player,201909150det,sdg,InmaDo00,rec_long,28,,,,,
player,201909150det,sdg,InmaDo00,fumbles,0,,,,,
player,201909150det,sdg,InmaDo00,fumbles_lost,0,,,,,
player,201909150det,sdg,GreeVi00,pass_cmp,0,,,,,
player,201909150det,sdg,GreeVi00,pass_att,0,,,,,
player,201909150det,sdg,GreeVi00,pass_yds,0,,,,,
player,201909150det,sdg,GreeVi00,pass_td,0,,,,,
player,201909150det,sdg,GreeVi00,pass_int,0,,,,,
player,201909150det,sdg,GreeVi00,pass_sacked,0,,,,,
player,201909150det,sdg,GreeVi00,pass_sacked_yds,0,,,,,
player,201909150det,sdg,GreeVi00,pass_long,0,,,,,
player,201909150det,sdg,GreeVi00,pass_rating,,,,,,
player,201909150det,sdg,GreeVi00,rush_att,0,,,,,
player,201909150det,sdg,GreeVi00,rush_yds,0,,,,,
player,201909150det,sdg,GreeVi00,rush_td,0,,,,,
player,201909150det,sdg,GreeVi00,rush_long,0,,,,,
player,201909150det,sdg,GreeVi00,targets,2,,,,,
player,201909150det,sdg,GreeVi00,rec,1,,,,,
player,201909150det,sdg,GreeVi00,rec_yds,9,,,,,
player,201909150det,sdg,GreeVi00,rec_td,0,,,,,
player,201909150det,sdg,GreeVi00,rec_long,9,,,,,
player,201909150det,sdg,GreeVi00,fumbles,0,,,,,
player,201909150det,sdg,GreeVi00,fumbles_lost,0,,,,,
player,201909150det,sdg,WattDe00,pass_cmp,0,,,,,
player,201909150det,sdg,WattDe00,pass_att,0,,,,,
player,201909150det,sdg,WattDe00,pass_yds,0,,,,,
player,201909150det,sdg,WattDe00,pass_td,0,,,,,
player,201909150det,sdg,WattDe00,pass_int,0,,,,,
player,201909150det,sdg,WattDe00,pass_sacked,0,,,,,
player,201909150det,sdg,WattDe00,pass_sacked_yds,0,,,,,
player,201909150det,sdg,WattDe00,pass_long,0,,,,,
player,201909150det,sdg,WattDe00,pass_rating,,,,,,
player,201909150det,sdg,WattDe00,rush_att,0,,,,,
player,201909150det,sdg,WattDe00,rush_yds,0,,,,,
player,201909150det,sdg,WattDe00,rush_td,0,,,,,
player,201909150det,sdg,WattDe00,rush_long,0,,,,,
player,201909150det,sdg,WattDe00,targets,2,,,,,
player,201909150det,sdg,WattDe00,rec,1,,,,,
player,201909150det,sdg,WattDe00,rec_yds,3,,,,,
player,201909150det,sdg,WattDe00,rec_td,0,,,,,
player,201909150det,sdg,WattDe00,rec_long,3,,,,,
player,201909150det,sdg,WattDe00,fumbles,0,,,,,
player,201909150det,sdg,WattDe00,fumbles_lost,0,,,,,
player,201909150det,sdg,BenjTr00,pass_cmp,0,,,,,
player,201909150det,sdg,BenjTr00,pass_att,0,,,,,
player,201909150det,sdg,BenjTr00,pass_yds,0,,,,,
player,201909150det,sdg,BenjTr00,pass_td,0,,,,,
player,201909150det,sdg,BenjTr00,pass_int,0,,,,,
player,201909150det,sdg,BenjTr00,pass_sacked,0,,,,,
player,201909150det,sdg,BenjTr00,pass_sacked_yds,0,,,,,
player,201909150det,sdg,BenjTr00,pass_long,0,,,,,
player,201909150det,sdg,BenjTr00,pass_rating,,,,,,
player,201909150det,sdg,BenjTr00,rush_att,0,,,,,
player,201909150det,sdg,BenjTr00,rush_yds,0,,,,,
player,201909150det,sdg,BenjTr00,rush_td,0,,,,,
player,201909150det,sdg,BenjTr00,rush_long,0,,,,,
player,201909150det,sdg,BenjTr00,targets,2,,,,,
player,201909150det,sdg,BenjTr00,rec,0,,,,,
player,201909150det,sdg,BenjTr00,rec_yds,0,,,,,
player,201909150det,sdg,BenjTr00,rec_td,0,,,,,
player,201909150det,sdg,BenjTr00,rec_long,0,,,,,
player,201909150det,sdg,BenjTr00,fumbles,0,,,,,
player,201909150det,sdg,BenjTr00,fumbles_lost,0,,,,,
player,201909150det,det,StafMa00,pass_cmp,22,,,,,
player,201909150det,det,StafMa00,pass_att,30,,,,,
player,201909150det,det,StafMa00,pass_yds,245,,,,,
player,201909150det,det,StafMa00,pass_td,2,,,,,
player,201909150det,det,StafMa00,pass_int,2,,,,,
player,201909150det,det,StafMa00,pass_sacked,0,,,,,
player,201909150det,det,StafMa00,pass_sacked_yds,0,,,,,
player,201909150det,det,StafMa00,pass_long,36,,,,,
player,201909150det,det,StafMa00,pass_rating,91.7,,,,,
player,201909150det,det,StafMa00,rush_att,4,,,,,
player,201909150det,det,StafMa00,rush_yds,13,,,,,
player,201909150det,det,StafMa00,rush_td,0,,,,,
player,201909150det,det,StafMa00,rush_long,8,,,,,
player,201909150det,det,StafMa00,targets,0,,,,,
player,201909150det,det,StafMa00,rec,0,,,,,
player,201909150det,det,StafMa00,rec_yds,0,,,,,
player,201909150det,det,StafMa00,rec_td,0,,,,,
player,201909150det,det,StafMa00,rec_long,0,,,,,
player,201909150det,det,StafMa00,fumbles,0,,,,,
player,201909150det,det,StafMa00,fumbles_lost,0,,,,,
player,201909150det,det,JohnKe06,pass_cmp,0,,,,,
player,201909150det,det,JohnKe06,pass_att,0,,,,,
player,201909150det,det,JohnKe06,pass_yds,0,,,,,
player,201909150det,det,JohnKe06,pass_td,0,,,,,
player,201909150det,det,JohnKe06,pass_int,0,,,,,
player,201909150det,det,JohnKe06,pass_sacked,0,,,,,
player,201909150det,det,JohnKe06,pass_sacked_yds,0,,,,,
player,201909150det,det,JohnKe06,pass_long,0,,,,,
player,201909150det,det,JohnKe06,pass_rating,,,,,,
player,201909150det,det,JohnKe06,rush_att,12,,,,,
player,201909150det,det,JohnKe06,rush_yds,41,,,,,
player,201909150det,det,JohnKe06,rush_td,0,,,,,
player,201909150det,det,JohnKe06,rush_long,9,,,,,
player,201909150det,det,JohnKe06,targets,3,,,,,
player,201909150det,det,JohnKe06,rec,2,,,,,
player,201909150det,det,JohnKe06,rec_yds,47,,,,,
player,201909150det,det,JohnKe06,rec_td,1,,,,,
player,201909150det,det,JohnKe06,rec_long,36,,,,,
player,201909150det,det,JohnKe06,fumbles,0,,,,,
player,201909150det,det,JohnKe06,fumbles_lost,0,,,,,
player,201909150det,det,JohnTy02,pass_cmp,0,,,,,
player,201909150det,det,JohnTy02,pass_att,0,,,,,
player,201909150det,det,JohnTy02,pass_yds,0,,,,,
player,201909150det,det,JohnTy02,pass_td,0,,,,,
player,201909150det,det,JohnTy02,pass_int,0,,,,,
player,201909150det,det,JohnTy02,pass_sacked,0,,,,,
player,201909150det,det,JohnTy02,pass_sacked_yds,0,,,,,
player,201909150det,det,JohnTy02,pass_long,0,,,,,
player,201909150det,det,JohnTy02,pass_rating,,,,,,
player,201909150det,det,JohnTy02,rush_att,5,,,,,
player,201909150det,det,JohnTy02,rush_yds,30,,,,,
player,201909150det,det,JohnTy02,rush_td,0,,,,,
player,201909150det,det,JohnTy02,rush_long,17,,,,,
player,201909150det,det,JohnTy02,targets,2,,,,,
player,201909150det,det,JohnTy02,rec,2,,,,,
player,201909150det,det,JohnTy02,rec_yds,6,,,,,
player,201909150det,det,JohnTy02,rec_td,0,,,,,
player,201909150det,det,JohnTy02,rec_long,6,,,,,
player,201909150det,det,JohnTy02,fumbles,0,,,,,
player,201909150det,det,JohnTy02,fumbles_lost,0,,,,,
player,201909150det,det,AndeC.00,pass_cmp,0,,,,,
player,201909150det,det,AndeC.00,pass_att,0,,,,,
player,201909150det,det,AndeC.00,pass_yds,0,,,,,
player,201909150det,det,AndeC.00,pass_td,0,,,,,
player,201909150det,det,AndeC.00,pass_int,0,,,,,
player,201909150det,det,AndeC.00,pass_sacked,0,,,,,
player,201909150det,det,AndeC.00,pass_sacked_yds,0,,,,,
player,201909150det,det,AndeC.00,pass_long,0,,,,,
player,201909150det,det,AndeC.00,pass_rating,,,,,,
player,201909150det,det,AndeC.00,rush_att,5,,,,,
player,201909150det,det,AndeC.00,rush_yds,8,,,,,
player,201909150det,det,AndeC.00,rush_td,0,,,,,
player,201909150det,det,AndeC.00,rush_long,7,,,,,
player,201909150det,det,AndeC.00,targets,0,,,,,
player,201909150det,det,AndeC.00,rec,0,,,,,
player,201909150det,det,AndeC.00,rec_yds,0,,,,,
player,201909150det,det,AndeC.00,rec_td,0,,,,,
player,201909150det,det,AndeC.00,rec_long,0,,,,,
player,201909150det,det,AndeC.00,fumbles,0,,,,,
player,201909150det,det,AndeC.00,fumbles_lost,0,,,,,
player,201909150det,det,McKiJ.00,pass_cmp,0,,,,,
player,201909150det,det,McKiJ.00,pass_att,0,,,,,
player,201909150det,det,McKiJ.00,pass_yds,0,,,,,
player,201909150det,det,McKiJ.00,pass_td,0,,,,,
player,201909150det,det,McKiJ.00,pass_int,0,,,,,
player,201909150det,det,McKiJ.00,pass_sacked,0,,,,,
