game,2019,1,20190908,201909080crd,det,"Detroit Lions",27,crd,"Arizona Cardinals",27
team,201909080crd,det,First Downs,23,,,,,,
team,201909080crd,crd,First Downs,21,,,,,,
team,201909080crd,det,Rush-Yds-TDs,32-116-0,,,,,,
team,201909080crd,crd,Rush-Yds-TDs,23-112-0,,,,,,
team,201909080crd,det,Cmp-Att-Yd-TD-INT,27-45-385-3-0,,,,,,
team,201909080crd,crd,Cmp-Att-Yd-TD-INT,29-54-308-2-1,,,,,,
team,201909080crd,det,Sacked-Yards,3-24,,,,,,
team,201909080crd,crd,Sacked-Yards,5-33,,,,,,
team,201909080crd,det,Net Pass Yards,361,,,,,,
team,201909080crd,crd,Net Pass Yards,275,,,,,,
team,201909080crd,det,Total Yards,477,,,,,,
team,201909080crd,crd,Total Yards,387,,,,,,
team,201909080crd,det,Fumbles-Lost,3-2,,,,,,
team,201909080crd,crd,Fumbles-Lost,0-0,,,,,,
team,201909080crd,det,Turnovers,2,,,,,,
team,201909080crd,crd,Turnovers,1,,,,,,
team,201909080crd,det,Penalties-Yards,9-59,,,,,,
team,201909080crd,crd,Penalties-Yards,7-35,,,,,,
team,201909080crd,det,Third Down Conv.,6-18,,,,,,
team,201909080crd,crd,Third Down Conv.,9-22,,,,,,
team,201909080crd,det,Fourth Down Conv.,0-1,,,,,,
team,201909080crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201909080crd,det,Time of Possession,39:23,,,,,,
team,201909080crd,crd,Time of Possession,30:37,,,,,,
player,201909080crd,det,StafMa00,pass_cmp,27,,,,,
player,201909080crd,det,StafMa00,pass_att,45,,,,,
player,201909080crd,det,StafMa00,pass_yds,385,,,,,
player,201909080crd,det,StafMa00,pass_td,3,,,,,
player,201909080crd,det,StafMa00,pass_int,0,,,,,
player,201909080crd,det,StafMa00,pass_sacked,3,,,,,
player,201909080crd,det,StafMa00,pass_sacked_yds,24,,,,,
player,201909080crd,det,StafMa00,pass_long,47,,,,,
player,201909080crd,det,StafMa00,pass_rating,110.0,,,,,
