game,2019,3,20190922,201909220sea,nor,"New Orleans Saints",33,sea,"Seattle Seahawks",27
team,201909220sea,nor,First Downs,15,,,,,,
team,201909220sea,sea,First Downs,26,,,,,,
team,201909220sea,nor,Rush-Yds-TDs,23-88-1,,,,,,
team,201909220sea,sea,Rush-Yds-TDs,26-108-2,,,,,,
team,201909220sea,nor,Cmp-Att-Yd-TD-INT,19-27-177-2-0,,,,,,
team,201909220sea,sea,Cmp-Att-Yd-TD-INT,32-50-406-2-0,,,,,,
team,201909220sea,nor,Sacked-Yards,0-0,,,,,,
team,201909220sea,sea,Sacked-Yards,0-0,,,,,,
team,201909220sea,nor,Net Pass Yards,177,,,,,,
team,201909220sea,sea,Net Pass Yards,406,,,,,,
team,201909220sea,nor,Total Yards,265,,,,,,
team,201909220sea,sea,Total Yards,514,,,,,,
team,201909220sea,nor,Fumbles-Lost,1-1,,,,,,
team,201909220sea,sea,Fumbles-Lost,1-1,,,,,,
team,201909220sea,nor,Turnovers,1,,,,,,
team,201909220sea,sea,Turnovers,1,,,,,,
team,201909220sea,nor,Penalties-Yards,11-70,,,,,,
team,201909220sea,sea,Penalties-Yards,7-53,,,,,,
team,201909220sea,nor,Third Down Conv.,3-11,,,,,,
team,201909220sea,sea,Third Down Conv.,5-14,,,,,,
team,201909220sea,nor,Fourth Down Conv.,1-1,,,,,,
team,201909220sea,sea,Fourth Down Conv.,1-4,,,,,,
team,201909220sea,nor,Time of Possession,28:27,,,,,,
team,201909220sea,sea,Time of Possession,31:33,,,,,,
player,201909220sea,nor,BridTe00,pass_cmp,19,,,,,
player,201909220sea,nor,BridTe00,pass_att,27,,,,,
player,201909220sea,nor,BridTe00,pass_yds,177,,,,,
player,201909220sea,nor,BridTe00,pass_td,2,,,,,
player,201909220sea,nor,BridTe00,pass_int,0,,,,,
player,201909220sea,nor,BridTe00,pass_sacked,0,,,,,
player,201909220sea,nor,BridTe00,pass_sacked_yds,0,,,,,
player,201909220sea,nor,BridTe00,pass_long,29,,,,,
player,201909220sea,nor,BridTe00,pass_rating,112.7,,,,,
player,201909220sea,nor,BridTe00,rush_att,3,,,,,
player,201909220sea,nor,BridTe00,rush_yds,12,,,,,
player,201909220sea,nor,BridTe00,rush_td,0,,,,,
player,201909220sea,nor,BridTe00,rush_long,11,,,,,
player,201909220sea,nor,BridTe00,targets,0,,,,,
player,201909220sea,nor,BridTe00,rec,0,,,,,
player,201909220sea,nor,BridTe00,rec_yds,0,,,,,
player,201909220sea,nor,BridTe00,rec_td,0,,,,,
player,201909220sea,nor,BridTe00,rec_long,0,,,,,
player,201909220sea,nor,BridTe00,fumbles,0,,,,,
player,201909220sea,nor,BridTe00,fumbles_lost,0,,,,,
player,201909220sea,nor,KamaAl00,pass_cmp,0,,,,,
player,201909220sea,nor,KamaAl00,pass_att,0,,,,,
player,201909220sea,nor,KamaAl00,pass_yds,0,,,,,
player,201909220sea,nor,KamaAl00,pass_td,0,,,,,
player,201909220sea,nor,KamaAl00,pass_int,0,,,,,
player,201909220sea,nor,KamaAl00,pass_sacked,0,,,,,
player,201909220sea,nor,KamaAl00,pass_sacked_yds,0,,,,,
player,201909220sea,nor,KamaAl00,pass_long,0,,,,,
player,201909220sea,nor,KamaAl00,pass_rating,,,,,,
player,201909220sea,nor,KamaAl00,rush_att,16,,,,,
player,201909220sea,nor,KamaAl00,rush_yds,69,,,,,
player,201909220sea,nor,KamaAl00,rush_td,1,,,,,
player,201909220sea,nor,KamaAl00,rush_long,16,,,,,
player,201909220sea,nor,KamaAl00,targets,10,,,,,
player,201909220sea,nor,KamaAl00,rec,9,,,,,
player,201909220sea,nor,KamaAl00,rec_yds,92,,,,,
player,201909220sea,nor,KamaAl00,rec_td,1,,,,,
player,201909220sea,nor,KamaAl00,rec_long,29,,,,,
player,201909220sea,nor,KamaAl00,fumbles,0,,,,,
player,201909220sea,nor,KamaAl00,fumbles_lost,0,,,,,
player,201909220sea,nor,HillTa00,pass_cmp,0,,,,,
player,201909220sea,nor,HillTa00,pass_att,0,,,,,
player,201909220sea,nor,HillTa00,pass_yds,0,,,,,
player,201909220sea,nor,HillTa00,pass_td,0,,,,,
player,201909220sea,nor,HillTa00,pass_int,0,,,,,
player,201909220sea,nor,HillTa00,pass_sacked,0,,,,,
player,201909220sea,nor,HillTa00,pass_sacked_yds,0,,,,,
player,201909220sea,nor,HillTa00,pass_long,0,,,,,
player,201909220sea,nor,HillTa00,pass_rating,,,,,,
player,201909220sea,nor,HillTa00,rush_att,1,,,,,
player,201909220sea,nor,HillTa00,rush_yds,5,,,,,
player,201909220sea,nor,HillTa00,rush_td,0,,,,,
player,201909220sea,nor,HillTa00,rush_long,5,,,,,
player,201909220sea,nor,HillTa00,targets,1,,,,,
player,201909220sea,nor,HillTa00,rec,1,,,,,
player,201909220sea,nor,HillTa00,rec_yds,5,,,,,
player,201909220sea,nor,HillTa00,rec_td,0,,,,,
