game,2019,10,20191110,201911100dal,min,"Minnesota Vikings",28,dal,"Dallas Cowboys",24
player,201911100dal,min,CousKi00,rush_att,1,,,,,
player,201911100dal,min,CousKi00,rush_yds,5,,,,,
player,201911100dal,min,CousKi00,rush_td,0,,,,,
player,201911100dal,min,CousKi00,rush_long,5,,,,,
player,201911100dal,min,CousKi00,targets,0,,,,,
player,201911100dal,min,CousKi00,rec,0,,,,,
player,201911100dal,min,CousKi00,rec_yds,0,,,,,
player,201911100dal,min,CousKi00,rec_td,0,,,,,
player,201911100dal,min,CousKi00,rec_long,0,,,,,
player,201911100dal,min,CousKi00,fumbles,0,,,,,
player,201911100dal,min,CousKi00,fumbles_lost,0,,,,,
player,201911100dal,min,CookDa01,pass_cmp,0,,,,,
player,201911100dal,min,CookDa01,pass_att,0,,,,,
player,201911100dal,min,CookDa01,pass_yds,0,,,,,
player,201911100dal,min,CookDa01,pass_td,0,,,,,
player,201911100dal,min,CookDa01,pass_int,0,,,,,
player,201911100dal,min,CookDa01,pass_sacked,0,,,,,
player,201911100dal,min,CookDa01,pass_sacked_yds,0,,,,,
player,201911100dal,min,CookDa01,pass_long,0,,,,,
player,201911100dal,min,CookDa01,pass_rating,,,,,,
player,201911100dal,min,CookDa01,rush_att,26,,,,,
player,201911100dal,min,CookDa01,rush_yds,97,,,,,
player,201911100dal,min,CookDa01,rush_td,1,,,,,
player,201911100dal,min,CookDa01,rush_long,23,,,,,
player,201911100dal,min,CookDa01,targets,7,,,,,
player,201911100dal,min,CookDa01,rec,7,,,,,
player,201911100dal,min,CookDa01,rec_yds,86,,,,,
player,201911100dal,min,CookDa01,rec_td,0,,,,,
player,201911100dal,min,CookDa01,rec_long,30,,,,,
player,201911100dal,min,CookDa01,fumbles,0,,,,,
player,201911100dal,min,CookDa01,fumbles_lost,0,,,,,
player,201911100dal,min,MattAl01,pass_cmp,0,,,,,
player,201911100dal,min,MattAl01,pass_att,0,,,,,
player,201911100dal,min,MattAl01,pass_yds,0,,,,,
player,201911100dal,min,MattAl01,pass_td,0,,,,,
player,201911100dal,min,MattAl01,pass_int,0,,,,,
player,201911100dal,min,MattAl01,pass_sacked,0,,,,,
player,201911100dal,min,MattAl01,pass_sacked_yds,0,,,,,
player,201911100dal,min,MattAl01,pass_long,0,,,,,
player,201911100dal,min,MattAl01,pass_rating,,,,,,
player,201911100dal,min,MattAl01,rush_att,8,,,,,
player,201911100dal,min,MattAl01,rush_yds,52,,,,,
player,201911100dal,min,MattAl01,rush_td,0,,,,,
player,201911100dal,min,MattAl01,rush_long,16,,,,,
player,201911100dal,min,MattAl01,targets,1,,,,,
player,201911100dal,min,MattAl01,rec,1,,,,,
player,201911100dal,min,MattAl01,rec_yds,2,,,,,
player,201911100dal,min,MattAl01,rec_td,0,,,,,
player,201911100dal,min,MattAl01,rec_long,2,,,,,
player,201911100dal,min,MattAl01,fumbles,0,,,,,
player,201911100dal,min,MattAl01,fumbles_lost,0,,,,,
player,201911100dal,min,DiggSt00,pass_cmp,0,,,,,
player,201911100dal,min,DiggSt00,pass_att,0,,,,,
player,201911100dal,min,DiggSt00,pass_yds,0,,,,,
player,201911100dal,min,DiggSt00,pass_td,0,,,,,
player,201911100dal,min,DiggSt00,pass_int,0,,,,,
player,201911100dal,min,DiggSt00,pass_sacked,0,,,,,
player,201911100dal,min,DiggSt00,pass_sacked_yds,0,,,,,
player,201911100dal,min,DiggSt00,pass_long,0,,,,,
player,201911100dal,min,DiggSt00,pass_rating,,,,,,
player,201911100dal,min,DiggSt00,rush_att,0,,,,,
player,201911100dal,min,DiggSt00,rush_yds,0,,,,,
player,201911100dal,min,DiggSt00,rush_td,0,,,,,
player,201911100dal,min,DiggSt00,rush_long,0,,,,,
player,201911100dal,min,DiggSt00,targets,6,,,,,
player,201911100dal,min,DiggSt00,rec,3,,,,,
player,201911100dal,min,DiggSt00,rec_yds,49,,,,,
player,201911100dal,min,DiggSt00,rec_td,0,,,,,
player,201911100dal,min,DiggSt00,rec_long,27,,,,,
player,201911100dal,min,DiggSt00,fumbles,0,,,,,
player,201911100dal,min,DiggSt00,fumbles_lost,0,,,,,
player,201911100dal,min,SmitIr01,pass_cmp,0,,,,,
player,201911100dal,min,SmitIr01,pass_att,0,,,,,
player,201911100dal,min,SmitIr01,pass_yds,0,,,,,
player,201911100dal,min,SmitIr01,pass_td,0,,,,,
player,201911100dal,min,SmitIr01,pass_int,0,,,,,
player,201911100dal,min,SmitIr01,pass_sacked,0,,,,,
player,201911100dal,min,SmitIr01,pass_sacked_yds,0,,,,,
player,201911100dal,min,SmitIr01,pass_long,0,,,,,
player,201911100dal,min,SmitIr01,pass_rating,,,,,,
player,201911100dal,min,SmitIr01,rush_att,0,,,,,
player,201911100dal,min,SmitIr01,rush_yds,0,,,,,
player,201911100dal,min,SmitIr01,rush_td,0,,,,,
player,201911100dal,min,SmitIr01,rush_long,0,,,,,
player,201911100dal,min,SmitIr01,targets,6,,,,,
player,201911100dal,min,SmitIr01,rec,5,,,,,
player,201911100dal,min,SmitIr01,rec_yds,34,,,,,
player,201911100dal,min,SmitIr01,rec_td,0,,,,,
player,201911100dal,min,SmitIr01,rec_long,9,,,,,
player,201911100dal,min,SmitIr01,fumbles,0,,,,,
player,201911100dal,min,SmitIr01,fumbles_lost,0,,,,,
player,201911100dal,min,JohnOl00,pass_cmp,0,,,,,
player,201911100dal,min,JohnOl00,pass_att,0,,,,,
player,201911100dal,min,JohnOl00,pass_yds,0,,,,,
player,201911100dal,min,JohnOl00,pass_td,0,,,,,
player,201911100dal,min,JohnOl00,pass_int,0,,,,,
player,201911100dal,min,JohnOl00,pass_sacked,0,,,,,
player,201911100dal,min,JohnOl00,pass_sacked_yds,0,,,,,
player,201911100dal,min,JohnOl00,pass_long,0,,,,,
player,201911100dal,min,JohnOl00,pass_rating,,,,,,
player,201911100dal,min,JohnOl00,rush_att,0,,,,,
player,201911100dal,min,JohnOl00,rush_yds,0,,,,,
player,201911100dal,min,JohnOl00,rush_td,0,,,,,
player,201911100dal,min,JohnOl00,rush_long,0,,,,,
player,201911100dal,min,JohnOl00,targets,4,,,,,
player,201911100dal,min,JohnOl00,rec,2,,,,,
player,201911100dal,min,JohnOl00,rec_yds,25,,,,,
player,201911100dal,min,JohnOl00,rec_td,0,,,,,
player,201911100dal,min,JohnOl00,rec_long,15,,,,,
player,201911100dal,min,JohnOl00,fumbles,0,,,,,
player,201911100dal,min,JohnOl00,fumbles_lost,0,,,,,
player,201911100dal,min,RudoKy00,pass_cmp,0,,,,,
player,201911100dal,min,RudoKy00,pass_att,0,,,,,
player,201911100dal,min,RudoKy00,pass_yds,0,,,,,
player,201911100dal,min,RudoKy00,pass_td,0,,,,,
player,201911100dal,min,RudoKy00,pass_int,0,,,,,
player,201911100dal,min,RudoKy00,pass_sacked,0,,,,,
player,201911100dal,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201911100dal,min,RudoKy00,pass_long,0,,,,,
player,201911100dal,min,RudoKy00,pass_rating,,,,,,
player,201911100dal,min,RudoKy00,rush_att,0,,,,,
player,201911100dal,min,RudoKy00,rush_yds,0,,,,,
player,201911100dal,min,RudoKy00,rush_td,0,,,,,
player,201911100dal,min,RudoKy00,rush_long,0,,,,,
player,201911100dal,min,RudoKy00,targets,5,,,,,
player,201911100dal,min,RudoKy00,rec,4,,,,,
player,201911100dal,min,RudoKy00,rec_yds,14,,,,,
player,201911100dal,min,RudoKy00,rec_td,2,,,,,
player,201911100dal,min,RudoKy00,rec_long,7,,,,,
player,201911100dal,min,RudoKy00,fumbles,0,,,,,
player,201911100dal,min,RudoKy00,fumbles_lost,0,,,,,
player,201911100dal,min,TreaLa00,pass_cmp,0,,,,,
player,201911100dal,min,TreaLa00,pass_att,0,,,,,
player,201911100dal,min,TreaLa00,pass_yds,0,,,,,
player,201911100dal,min,TreaLa00,pass_td,0,,,,,
player,201911100dal,min,TreaLa00,pass_int,0,,,,,
player,201911100dal,min,TreaLa00,pass_sacked,0,,,,,
player,201911100dal,min,TreaLa00,pass_sacked_yds,0,,,,,
player,201911100dal,min,TreaLa00,pass_long,0,,,,,
player,201911100dal,min,TreaLa00,pass_rating,,,,,,
player,201911100dal,min,TreaLa00,rush_att,0,,,,,
player,201911100dal,min,TreaLa00,rush_yds,0,,,,,
