game,2019,13,20191201,201912010den,sdg,"Los Angeles Chargers",20,den,"Denver Broncos",23
team,201912010den,sdg,First Downs,17,,,,,,
team,201912010den,den,First Downs,13,,,,,,
team,201912010den,sdg,Rush-Yds-TDs,29-115-0,,,,,,
team,201912010den,den,Rush-Yds-TDs,25-84-0,,,,,,
team,201912010den,sdg,Cmp-Att-Yd-TD-INT,20-29-265-2-1,,,,,,
team,201912010den,den,Cmp-Att-Yd-TD-INT,18-28-134-2-1,,,,,,
team,201912010den,sdg,Sacked-Yards,3-21,,,,,,
team,201912010den,den,Sacked-Yards,0-0,,,,,,
team,201912010den,sdg,Net Pass Yards,244,,,,,,
team,201912010den,den,Net Pass Yards,134,,,,,,
team,201912010den,sdg,Total Yards,359,,,,,,
team,201912010den,den,Total Yards,218,,,,,,
team,201912010den,sdg,Fumbles-Lost,1-1,,,,,,
team,201912010den,den,Fumbles-Lost,0-0,,,,,,
team,201912010den,sdg,Turnovers,2,,,,,,
team,201912010den,den,Turnovers,1,,,,,,
team,201912010den,sdg,Penalties-Yards,7-82,,,,,,
team,201912010den,den,Penalties-Yards,3-25,,,,,,
team,201912010den,sdg,Third Down Conv.,5-15,,,,,,
team,201912010den,den,Third Down Conv.,7-15,,,,,,
team,201912010den,sdg,Fourth Down Conv.,1-1,,,,,,
team,201912010den,den,Fourth Down Conv.,0-0,,,,,,
team,201912010den,sdg,Time of Possession,32:09,,,,,,
team,201912010den,den,Time of Possession,27:51,,,,,,
player,201912010den,sdg,RivePh00,pass_cmp,20,,,,,
player,201912010den,sdg,RivePh00,pass_att,29,,,,,
player,201912010den,sdg,RivePh00,pass_yds,265,,,,,
player,201912010den,sdg,RivePh00,pass_td,2,,,,,
player,201912010den,sdg,RivePh00,pass_int,1,,,,,
player,201912010den,sdg,RivePh00,pass_sacked,3,,,,,
player,201912010den,sdg,RivePh00,pass_sacked_yds,21,,,,,
player,201912010den,sdg,RivePh00,pass_long,52,,,,,
player,201912010den,sdg,RivePh00,pass_rating,106.3,,,,,
player,201912010den,sdg,RivePh00,rush_att,0,,,,,
player,201912010den,sdg,RivePh00,rush_yds,0,,,,,
player,201912010den,sdg,RivePh00,rush_td,0,,,,,
player,201912010den,sdg,RivePh00,rush_long,0,,,,,
player,201912010den,sdg,RivePh00,targets,0,,,,,
player,201912010den,sdg,RivePh00,rec,0,,,,,
player,201912010den,sdg,RivePh00,rec_yds,0,,,,,
player,201912010den,sdg,RivePh00,rec_td,0,,,,,
player,201912010den,sdg,RivePh00,rec_long,0,,,,,
player,201912010den,sdg,RivePh00,fumbles,0,,,,,
player,201912010den,sdg,RivePh00,fumbles_lost,0,,,,,
player,201912010den,sdg,GordMe00,pass_cmp,0,,,,,
player,201912010den,sdg,GordMe00,pass_att,0,,,,,
player,201912010den,sdg,GordMe00,pass_yds,0,,,,,
player,201912010den,sdg,GordMe00,pass_td,0,,,,,
player,201912010den,sdg,GordMe00,pass_int,0,,,,,
player,201912010den,sdg,GordMe00,pass_sacked,0,,,,,
player,201912010den,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201912010den,sdg,GordMe00,pass_long,0,,,,,
player,201912010den,sdg,GordMe00,pass_rating,,,,,,
player,201912010den,sdg,GordMe00,rush_att,20,,,,,
player,201912010den,sdg,GordMe00,rush_yds,99,,,,,
player,201912010den,sdg,GordMe00,rush_td,0,,,,,
player,201912010den,sdg,GordMe00,rush_long,19,,,,,
player,201912010den,sdg,GordMe00,targets,3,,,,,
player,201912010den,sdg,GordMe00,rec,2,,,,,
player,201912010den,sdg,GordMe00,rec_yds,11,,,,,
player,201912010den,sdg,GordMe00,rec_td,0,,,,,
player,201912010den,sdg,GordMe00,rec_long,6,,,,,
player,201912010den,sdg,GordMe00,fumbles,0,,,,,
player,201912010den,sdg,GordMe00,fumbles_lost,0,,,,,
player,201912010den,sdg,EkelAu00,pass_cmp,0,,,,,
player,201912010den,sdg,EkelAu00,pass_att,0,,,,,
player,201912010den,sdg,EkelAu00,pass_yds,0,,,,,
player,201912010den,sdg,EkelAu00,pass_td,0,,,,,
player,201912010den,sdg,EkelAu00,pass_int,0,,,,,
player,201912010den,sdg,EkelAu00,pass_sacked,0,,,,,
player,201912010den,sdg,EkelAu00,pass_sacked_yds,0,,,,,
player,201912010den,sdg,EkelAu00,pass_long,0,,,,,
player,201912010den,sdg,EkelAu00,pass_rating,,,,,,
player,201912010den,sdg,EkelAu00,rush_att,9,,,,,
player,201912010den,sdg,EkelAu00,rush_yds,16,,,,,
player,201912010den,sdg,EkelAu00,rush_td,0,,,,,
player,201912010den,sdg,EkelAu00,rush_long,8,,,,,
player,201912010den,sdg,EkelAu00,targets,5,,,,,
player,201912010den,sdg,EkelAu00,rec,4,,,,,
player,201912010den,sdg,EkelAu00,rec_yds,51,,,,,
player,201912010den,sdg,EkelAu00,rec_td,1,,,,,
player,201912010den,sdg,EkelAu00,rec_long,30,,,,,
player,201912010den,sdg,EkelAu00,fumbles,0,,,,,
player,201912010den,sdg,EkelAu00,fumbles_lost,0,,,,,
player,201912010den,sdg,WillMi07,pass_cmp,0,,,,,
player,201912010den,sdg,WillMi07,pass_att,0,,,,,
